date,open,high,low,close,volume
2015-01-02,38700.0,41950.0,38000.0,40500.0,45854
2015-01-05,40200.0,41200.0,39650.0,41000.0,51424
2015-01-06,40500.0,41800.0,40400.0,40850.0,41514
2015-01-07,40350.0,41200.0,39850.0,40550.0,25908
2015-01-08,40600.0,43050.0,40600.0,42750.0,112349
2015-01-09,42950.0,44400.0,42100.0,43050.0,53587
2015-01-12,43150.0,45900.0,42700.0,43500.0,111008
2015-01-13,43550.0,47300.0,43550.0,45700.0,253035
2015-01-14,45400.0,48000.0,44500.0,46600.0,165358
2015-01-15,46900.0,46900.0,45050.0,46550.0,123658
2015-01-16,46550.0,47200.0,45350.0,47050.0,101356
2015-01-19,46850.0,48050.0,46300.0,46950.0,110559
2015-01-20,46950.0,47800.0,46450.0,47200.0,39925
2015-01-21,47400.0,48600.0,47200.0,47700.0,46733
2015-01-22,48000.0,49050.0,47000.0,48250.0,77372
2015-01-23,48900.0,48900.0,47600.0,47650.0,26454
2015-01-26,47300.0,48300.0,46900.0,47100.0,32660
2015-01-27,46900.0,48550.0,46350.0,47600.0,67181
2015-01-28,48100.0,50900.0,47000.0,49800.0,105500
2015-01-29,50300.0,51100.0,48600.0,51100.0,80324
2015-01-30,51300.0,51500.0,49400.0,50200.0,67493
2015-02-02,50300.0,50900.0,49000.0,49600.0,38552
2015-02-03,49600.0,49800.0,48500.0,49050.0,55380
2015-02-04,49400.0,51000.0,49200.0,50200.0,45374
2015-02-05,50300.0,52000.0,49250.0,49750.0,56195
2015-02-06,50000.0,50000.0,48500.0,48900.0,20559
2015-02-09,49400.0,50400.0,48050.0,49700.0,42863
2015-02-10,49350.0,51500.0,49000.0,50900.0,44176
2015-02-11,50900.0,50900.0,49000.0,49100.0,42544
2015-02-12,48650.0,49550.0,48650.0,49200.0,41144
2015-02-13,48750.0,49650.0,47400.0,48550.0,66134
2015-02-16,48200.0,49200.0,47550.0,47800.0,55840
2015-02-17,47500.0,48600.0,47200.0,48450.0,19860
2015-02-23,47650.0,48450.0,47150.0,47200.0,55806
2015-02-24,47200.0,51900.0,47200.0,51700.0,99573
2015-02-25,51900.0,55600.0,51300.0,53600.0,75490
2015-02-26,53600.0,54100.0,51500.0,52900.0,48748
2015-02-27,53900.0,55800.0,52100.0,52500.0,58538
2015-03-02,52900.0,54900.0,52000.0,54200.0,48640
2015-03-03,55700.0,55700.0,52000.0,52100.0,45690
2015-03-04,52300.0,53500.0,51100.0,53000.0,42252
2015-03-05,52300.0,52400.0,50500.0,51100.0,57490
2015-03-06,51200.0,51500.0,49850.0,50700.0,37108
