date,open,high,low,close,volume
2015-01-02,6323.0,6633.0,6323.0,6642.0,499715
2015-01-05,6635.0,6664.0,6479.0,6517.0,449354
2015-01-06,6390.0,6479.0,6235.0,6362.0,672895
2015-01-07,6326.0,6577.0,6326.0,6393.0,427419
2015-01-08,6356.0,6482.0,6238.0,6424.0,431137
2015-01-09,6423.0,6512.0,6393.0,6424.0,347675
2015-01-12,6450.0,6479.0,6324.0,6362.0,459921
2015-01-13,6355.0,6452.0,6296.0,6393.0,555523
2015-01-14,6350.0,6417.0,6262.0,6300.0,434129
2015-01-15,6295.0,6354.0,6199.0,6207.0,466635
2015-01-16,6198.0,6265.0,6109.0,6133.0,533205
2015-01-19,6123.0,6390.0,6123.0,6331.0,560554
2015-01-20,6326.0,6666.0,6237.0,6548.0,2059029
2015-01-21,6509.0,7130.0,6420.0,6672.0,2123567
2015-01-22,6702.0,6947.0,6576.0,6704.0,1373191
2015-01-23,6948.0,7695.0,6860.0,7697.0,3931729
2015-01-26,8377.0,8844.0,8066.0,8348.0,12030061
2015-01-27,8313.0,8313.0,7818.0,8100.0,7087654
2015-01-28,8033.0,9305.0,7907.0,9062.0,9483890
2015-01-29,9124.0,9242.0,8250.0,8659.0,9210252
2015-01-30,8404.0,8529.0,8004.0,8442.0,4692792
2015-02-02,8433.0,9676.0,8189.0,9404.0,16642205
2015-02-03,9615.0,9926.0,8498.0,8566.0,15334469
2015-02-04,8562.0,9436.0,8436.0,9000.0,10178776
2015-02-05,8810.0,8936.0,8093.0,8442.0,6482745
2015-02-06,8431.0,8624.0,8187.0,8256.0,3516292
2015-02-09,8500.0,8500.0,7627.0,7821.0,6017688
2015-02-10,8252.0,8319.0,7416.0,7727.0,5733066
2015-02-11,7724.0,7938.0,7665.0,7665.0,2903531
2015-02-12,7695.0,8191.0,7628.0,7852.0,4225206
2015-02-13,7974.0,7974.0,7566.0,7790.0,2402950
2015-02-16,7822.0,7911.0,7541.0,7541.0,1244488
2015-02-17,7626.0,7974.0,7537.0,7790.0,1873788
2015-02-23,7881.0,8348.0,7822.0,8038.0,3529378
2015-02-24,8006.0,9183.0,7910.0,8969.0,7742707
2015-02-25,8992.0,8992.0,8400.0,8534.0,4001933
2015-02-26,8585.0,9089.0,8526.0,8534.0,2704094
2015-02-27,8784.0,8969.0,8593.0,8845.0,2868960
2015-03-02,8840.0,8936.0,8404.0,8442.0,3581178
2015-03-03,8531.0,8627.0,8316.0,8318.0,1752017
2015-03-04,8317.0,8347.0,7910.0,8007.0,2721553
2015-03-05,8033.0,8218.0,7974.0,8100.0,1507514
2015-03-06,8093.0,8278.0,7908.0,8131.0,1738879
2015-03-09,8219.0,8248.0,7908.0,7976.0,1022456
2015-03-10,8008.0,8038.0,7727.0,7883.0,1276614
2015-03-11,7781.0,7936.0,7663.0,7790.0,697415
2015-03-12,7779.0,8157.0,7750.0,8069.0,1169375
2015-03-13,8095.0,8250.0,8006.0,8162.0,810909
2015-03-16,8219.0,8374.0,8093.0,8286.0,1134635
2015-03-17,8281.0,8377.0,8096.0,8194.0,952728
2015-03-18,8093.0,8189.0,7908.0,7976.0,834149
2015-03-19,8004.0,8374.0,7975.0,8131.0,1507502
2015-03-20,8060.0,8312.0,7972.0,8069.0,1546114
2015-03-23,8093.0,8248.0,8063.0,8131.0,1148109
2015-03-24,8125.0,8192.0,8007.0,8038.0,1277819
2015-03-25,8032.0,8780.0,8002.0,8410.0,3503145
2015-03-26,8376.0,8746.0,8280.0,8659.0,2371241
2015-03-27,8780.0,9741.0,8372.0,8410.0,13448438
2015-03-30,8590.0,8686.0,8249.0,8472.0,1867712
2015-03-31,8501.0,8812.0,8434.0,8472.0,1635188
