date,open,high,low,close,volume
2015-01-02,6740.0,7130.0,6690.0,7090.0,510429
2015-01-05,7350.0,7400.0,7170.0,7390.0,701362
2015-01-06,7230.0,7880.0,7230.0,7500.0,1529377
2015-01-07,7700.0,7720.0,7500.0,7700.0,681423
2015-01-08,7720.0,7820.0,7450.0,7740.0,811359
2015-01-09,7800.0,7800.0,7540.0,7720.0,636849
2015-01-12,7720.0,7720.0,7450.0,7600.0,539264
2015-01-13,7590.0,7740.0,7470.0,7470.0,385569
2015-01-14,7480.0,7600.0,7270.0,7270.0,593861
2015-01-15,7270.0,7620.0,7240.0,7580.0,576849
2015-01-16,7580.0,7660.0,7330.0,7380.0,393337
2015-01-19,7440.0,7560.0,7190.0,7230.0,393200
2015-01-20,7240.0,7450.0,7180.0,7390.0,333099
2015-01-21,7400.0,7400.0,7070.0,7090.0,512419
2015-01-22,7080.0,7170.0,6870.0,6910.0,462799
2015-01-23,6990.0,7150.0,6900.0,6950.0,322806
2015-01-26,7020.0,7160.0,6980.0,7100.0,276161
2015-01-27,7110.0,7440.0,7040.0,7400.0,634840
2015-01-28,7400.0,7400.0,7060.0,7130.0,673943
2015-01-29,7180.0,7220.0,6900.0,6940.0,700998
2015-01-30,6960.0,7010.0,6550.0,6690.0,1141337
2015-02-02,6680.0,6740.0,6420.0,6470.0,851217
2015-02-03,6510.0,6770.0,6400.0,6740.0,792107
2015-02-04,6740.0,6790.0,6450.0,6480.0,896503
2015-02-05,6480.0,6540.0,6300.0,6440.0,593375
2015-02-06,6440.0,6600.0,6440.0,6550.0,500167
2015-02-09,6760.0,6990.0,6750.0,6850.0,1595232
2015-02-10,6830.0,7130.0,6600.0,7040.0,1201078
2015-02-11,7080.0,7160.0,6970.0,7110.0,670804
2015-02-12,7150.0,7360.0,7050.0,7160.0,788290
2015-02-13,7240.0,7280.0,7040.0,7150.0,808622
2015-02-16,7150.0,7460.0,7100.0,7420.0,906466
2015-02-17,7390.0,7390.0,7020.0,7130.0,725306
2015-02-23,7140.0,7160.0,6790.0,7000.0,1070208
2015-02-24,6990.0,7040.0,6780.0,6780.0,779993
2015-02-25,6820.0,6970.0,6730.0,6950.0,503587
2015-02-26,6920.0,7190.0,6880.0,7100.0,665605
2015-02-27,7230.0,7230.0,7020.0,7030.0,362414
2015-03-02,7090.0,7330.0,7030.0,7170.0,832539
2015-03-03,7160.0,7170.0,6920.0,6940.0,537731
2015-03-04,7000.0,7260.0,6960.0,7240.0,554906
2015-03-05,7320.0,7760.0,7240.0,7740.0,2254524
2015-03-06,7740.0,7970.0,7610.0,7790.0,1137044
2015-03-09,7890.0,8250.0,7840.0,8100.0,2037056
2015-03-10,8220.0,8420.0,7880.0,7980.0,1485061
2015-03-11,7850.0,7970.0,7620.0,7750.0,1127040
2015-03-12,7800.0,8060.0,7630.0,7900.0,959827
2015-03-13,7950.0,8060.0,7650.0,7680.0,973789
2015-03-16,7680.0,8370.0,7610.0,8370.0,1841721
2015-03-17,8390.0,8410.0,8090.0,8210.0,964428
2015-03-18,8200.0,8450.0,7910.0,7910.0,1010469
2015-03-19,7980.0,8000.0,7710.0,7830.0,685004
2015-03-20,7750.0,7940.0,7710.0,7770.0,448408
2015-03-23,7760.0,7800.0,7540.0,7560.0,674930
2015-03-24,7550.0,7720.0,7430.0,7560.0,542306
2015-03-25,7620.0,7920.0,7550.0,7890.0,714864
2015-03-26,7770.0,7830.0,7560.0,7560.0,494487
2015-03-27,7580.0,7730.0,7330.0,7420.0,465513
2015-03-30,7360.0,7550.0,7270.0,7480.0,377068
2015-03-31,7430.0,7510.0,7180.0,7300.0,482934
2015-04-01,7300.0,7550.0,7250.0,7500.0,402114
2015-04-02,7540.0,8100.0,7380.0,7890.0,1898386
2015-04-03,7850.0,8190.0,7840.0,7950.0,1073436
2015-04-06,8000.0,8000.0,7470.0,7500.0,907873
2015-04-07,7500.0,7540.0,7280.0,7440.0,628822
2015-04-08,7380.0,7480.0,7220.0,7300.0,537119
2015-04-09,7270.0,7390.0,7260.0,7290.0,475726
2015-04-10,7340.0,7410.0,7300.0,7300.0,371817
2015-04-13,7360.0,7360.0,6960.0,7100.0,993431
2015-04-14,7030.0,7140.0,6860.0,7050.0,651193
2015-04-15,7020.0,7040.0,6390.0,6470.0,2398641
2015-04-16,6590.0,6640.0,6490.0,6550.0,787071
2015-04-17,6620.0,6730.0,6490.0,6700.0,670221
2015-04-20,6610.0,6910.0,6610.0,6900.0,696004
2015-04-21,6950.0,6980.0,6750.0,6750.0,439954
2015-04-22,6750.0,6970.0,6410.0,6650.0,732162
2015-04-23,6730.0,6730.0,6500.0,6590.0,498988
2015-04-24,6700.0,6790.0,6580.0,6600.0,300216
2015-04-27,6640.0,6780.0,6620.0,6750.0,224227
2015-04-28,6750.0,6950.0,6690.0,6860.0,314511
2015-04-29,6820.0,6850.0,6680.0,6780.0,205534
2015-04-30,6780.0,6790.0,6630.0,6670.0,295978
2015-05-04,6650.0,6770.0,6620.0,6620.0,141644
2015-05-06,6550.0,6620.0,6200.0,6290.0,403935
2015-05-07,6240.0,6450.0,6070.0,6370.0,457503
2015-05-08,6450.0,6560.0,6340.0,6460.0,164542
2015-05-11,6490.0,6550.0,6350.0,6430.0,158834
2015-05-12,6390.0,6510.0,6320.0,6370.0,149248
2015-05-13,6350.0,6400.0,6270.0,6320.0,201522
2015-05-14,6280.0,6370.0,6140.0,6200.0,503938
2015-05-15,6220.0,6700.0,6220.0,6700.0,867122
2015-05-18,6630.0,6710.0,6230.0,6300.0,625568
2015-05-19,6300.0,6330.0,6100.0,6170.0,524143
2015-05-20,6180.0,6560.0,6180.0,6480.0,1067112
2015-05-21,6480.0,6920.0,6420.0,6870.0,1101242
2015-05-22,7030.0,7050.0,6770.0,6910.0,663380
2015-05-26,6930.0,7060.0,6850.0,6890.0,433022
2015-05-27,6870.0,6890.0,6630.0,6790.0,428471
2015-05-28,6870.0,7080.0,6810.0,7000.0,564476
2015-05-29,7040.0,7070.0,6930.0,7000.0,400193
2015-06-01,6940.0,6940.0,6670.0,6800.0,493558
2015-06-02,6730.0,6840.0,6400.0,6460.0,640387
2015-06-03,6460.0,6590.0,6290.0,6360.0,491724
2015-06-04,6300.0,6400.0,6230.0,6260.0,417395
2015-06-05,6250.0,6290.0,6120.0,6190.0,358658
2015-06-08,6210.0,6320.0,6160.0,6230.0,248506
2015-06-09,6240.0,6380.0,6200.0,6240.0,232726
2015-06-10,6250.0,6340.0,6140.0,6170.0,301821
2015-06-11,6180.0,6330.0,6160.0,6190.0,278345
2015-06-12,6180.0,6290.0,5920.0,6000.0,491234
2015-06-15,6000.0,6180.0,5980.0,6100.0,294944
2015-06-16,6300.0,6540.0,6250.0,6340.0,1053666
2015-06-17,6380.0,6610.0,6260.0,6610.0,855753
2015-06-18,6620.0,6710.0,6470.0,6640.0,545342
2015-06-19,6640.0,6670.0,6530.0,6590.0,317346
2015-06-22,6640.0,6730.0,6560.0,6730.0,296645
2015-06-23,6700.0,6750.0,6470.0,6640.0,452628
2015-06-24,6630.0,6790.0,6450.0,6740.0,442971
2015-06-25,6710.0,6870.0,6550.0,6560.0,555097
2015-06-26,6560.0,6680.0,6460.0,6470.0,438873
2015-06-29,6480.0,6930.0,6410.0,6830.0,835490
2015-06-30,6890.0,7220.0,6740.0,6780.0,1491891
2015-07-01,6780.0,7150.0,6740.0,7150.0,850968
2015-07-02,7130.0,7960.0,7060.0,7960.0,2950462
2015-07-03,7990.0,8450.0,7800.0,8000.0,2314915
2015-07-06,7850.0,8020.0,7640.0,7640.0,981856
2015-07-07,7800.0,7870.0,7250.0,7440.0,959653
2015-07-08,7700.0,8050.0,7630.0,7980.0,1535859
2015-07-09,7810.0,7850.0,7260.0,7680.0,992909
2015-07-10,7670.0,7750.0,7320.0,7470.0,1184673
2015-07-13,7410.0,7680.0,7190.0,7280.0,711959
2015-07-14,7340.0,7490.0,7310.0,7370.0,518622
2015-07-15,7330.0,7390.0,7160.0,7320.0,469151
2015-07-16,7230.0,7550.0,7220.0,7450.0,580233
2015-07-17,7550.0,8790.0,7510.0,8400.0,3224523
2015-07-20,8650.0,9600.0,8610.0,9150.0,3987354
2015-07-21,9680.0,9770.0,9050.0,9450.0,1988271
2015-07-22,9240.0,10450.0,9190.0,9980.0,3771809
2015-07-23,9910.0,10350.0,9760.0,9850.0,1515401
2015-07-24,9950.0,12250.0,9820.0,11150.0,4249662
2015-07-27,11250.0,12000.0,10550.0,10850.0,1761294
2015-07-28,10550.0,11500.0,10250.0,10550.0,1588094
2015-07-29,10750.0,11600.0,10300.0,10800.0,1967919
2015-07-30,10800.0,10900.0,9210.0,9290.0,2950306
2015-07-31,9290.0,10200.0,8930.0,10100.0,1888013
2015-08-03,10100.0,10700.0,10000.0,10500.0,1429177
2015-08-04,11300.0,12800.0,11200.0,12150.0,6743345
2015-08-05,12050.0,13800.0,11700.0,13700.0,4480158
2015-08-06,13700.0,15200.0,13550.0,14200.0,3412045
2015-08-07,14200.0,15100.0,13750.0,14100.0,1916053
2015-08-10,14100.0,14850.0,13750.0,14550.0,1187767
2015-08-11,14750.0,14750.0,13250.0,13600.0,1263876
2015-08-12,13650.0,16100.0,13650.0,16100.0,3958665
2015-08-13,15800.0,16950.0,14950.0,16050.0,2608475
2015-08-17,16500.0,17750.0,16300.0,17200.0,1840849
2015-08-18,16900.0,17050.0,14850.0,15200.0,2866931
2015-08-19,15000.0,15650.0,13550.0,14350.0,2303190
2015-08-20,14300.0,14800.0,13850.0,14150.0,1609641
2015-08-21,13500.0,14000.0,12850.0,13850.0,1712531
2015-08-24,14000.0,14600.0,13450.0,13650.0,1642178
2015-08-25,14250.0,14300.0,13450.0,13700.0,1258828
2015-08-26,13700.0,14550.0,13150.0,14200.0,1599500
2015-08-27,14550.0,15550.0,14200.0,14400.0,2372373
2015-08-28,14850.0,15000.0,14000.0,14300.0,984932
2015-08-31,14250.0,14400.0,13400.0,13450.0,882922
2015-09-01,13550.0,13800.0,13000.0,13000.0,684537
2015-09-02,12700.0,13850.0,12450.0,13700.0,988383
2015-09-03,14000.0,14050.0,13150.0,13150.0,614933
2015-09-04,13250.0,13350.0,11750.0,12000.0,1226758
2015-09-07,12050.0,12300.0,11800.0,11950.0,639046
2015-09-08,11950.0,12150.0,11300.0,11550.0,850313
2015-09-09,11850.0,12600.0,11550.0,12500.0,1477431
2015-09-10,12300.0,12750.0,12150.0,12500.0,1090412
2015-09-11,12250.0,12300.0,11550.0,12000.0,895031
2015-09-14,12050.0,12050.0,11650.0,11900.0,379001
2015-09-15,11950.0,12250.0,11750.0,11900.0,432186
2015-09-16,12100.0,13100.0,12100.0,12400.0,1791931
2015-09-17,12500.0,12650.0,12150.0,12650.0,605935
2015-09-18,12850.0,13550.0,12550.0,13250.0,1222508
2015-09-21,13100.0,14550.0,13000.0,14500.0,1887208
2015-09-22,14250.0,14350.0,13800.0,14150.0,862386
2015-09-23,14050.0,14650.0,13300.0,13300.0,785004
2015-09-24,13600.0,13600.0,13200.0,13400.0,355214
2015-09-25,13450.0,13500.0,12850.0,13250.0,307581
2015-09-30,12900.0,13400.0,12450.0,13400.0,509997
2015-10-01,13500.0,13500.0,13000.0,13100.0,399413
2015-10-02,13000.0,13200.0,12550.0,12550.0,504249
2015-10-05,12750.0,13000.0,12500.0,12550.0,356991
2015-10-06,12650.0,12800.0,12000.0,12100.0,488178
2015-10-07,12050.0,12150.0,11600.0,11750.0,432591
2015-10-08,11800.0,12350.0,11200.0,11700.0,733383
2015-10-12,11700.0,13000.0,11600.0,12550.0,1586017
2015-10-13,12650.0,12900.0,12350.0,12600.0,444851
2015-10-14,12450.0,12550.0,11900.0,12000.0,530894
2015-10-15,12000.0,12350.0,11850.0,12250.0,289989
2015-10-16,12400.0,12700.0,12250.0,12350.0,344660
2015-10-19,12350.0,13100.0,12300.0,13000.0,531497
2015-10-20,13350.0,13600.0,12800.0,13250.0,730804
2015-10-21,13350.0,13550.0,12900.0,13150.0,308043
2015-10-22,12250.0,12950.0,11950.0,12450.0,648299
2015-10-23,12650.0,13500.0,12600.0,13250.0,532644
2015-10-26,13300.0,13400.0,12800.0,13100.0,321739
2015-10-27,13200.0,13200.0,12350.0,12500.0,357586
2015-10-28,12400.0,12550.0,12050.0,12350.0,349737
2015-10-29,12350.0,12650.0,11950.0,12050.0,347910
2015-10-30,12100.0,12200.0,11800.0,12050.0,232371
2015-11-02,11800.0,12100.0,11600.0,11600.0,253299
2015-11-03,11750.0,11900.0,11100.0,11250.0,380998
2015-11-04,11350.0,11500.0,10550.0,11200.0,866383
2015-11-05,11150.0,11850.0,10950.0,11550.0,549768
2015-11-06,11650.0,11750.0,11250.0,11400.0,238908
2015-11-09,11450.0,11750.0,10250.0,11550.0,722772
2015-11-10,11500.0,11500.0,10600.0,11150.0,573775
2015-11-11,11100.0,11950.0,11100.0,11850.0,410977
2015-11-12,11750.0,12050.0,11250.0,11700.0,388203
2015-11-13,11450.0,11700.0,11200.0,11400.0,170290
2015-11-16,11000.0,11500.0,11000.0,11300.0,184562
2015-11-17,11100.0,11200.0,10250.0,10300.0,1336372
2015-11-18,10350.0,10700.0,10250.0,10350.0,650325
2015-11-19,10500.0,10600.0,10300.0,10350.0,298691
2015-11-20,10450.0,11850.0,10400.0,11300.0,1163910
2015-11-23,11350.0,11850.0,11250.0,11550.0,429481
2015-11-24,11600.0,11950.0,11400.0,11550.0,378908
2015-11-25,11550.0,11650.0,11150.0,11400.0,303194
2015-11-26,11400.0,11550.0,11050.0,11250.0,253438
2015-11-27,11200.0,11400.0,11050.0,11250.0,238456
2015-11-30,11300.0,11300.0,10400.0,10900.0,795749
2015-12-01,10800.0,10950.0,10650.0,10800.0,170301
2015-12-02,10750.0,10800.0,10400.0,10650.0,331326
2015-12-03,10550.0,10550.0,10100.0,10250.0,490718
2015-12-04,10150.0,10800.0,10100.0,10350.0,479356
2015-12-07,10550.0,10600.0,10350.0,10400.0,160112
2015-12-08,10400.0,10450.0,9690.0,9700.0,539587
2015-12-09,9700.0,10100.0,9640.0,9850.0,469793
2015-12-10,9800.0,9900.0,9270.0,9520.0,431242
2015-12-11,9520.0,10150.0,9460.0,9880.0,597765
2015-12-14,9750.0,10000.0,9580.0,9880.0,232851
2015-12-15,9990.0,10050.0,9620.0,9750.0,262142
2015-12-16,9860.0,10350.0,9860.0,10100.0,415410
2015-12-17,10150.0,10850.0,10050.0,10750.0,599143
2015-12-18,10600.0,11200.0,10600.0,10850.0,544488
2015-12-21,10800.0,11300.0,10700.0,11100.0,327453
2015-12-22,11150.0,11250.0,10950.0,11100.0,139085
2015-12-23,11200.0,11400.0,10850.0,10850.0,234815
2015-12-24,10900.0,10950.0,10600.0,10650.0,151348
2015-12-28,10650.0,10900.0,10550.0,10600.0,166680
2015-12-29,10800.0,11950.0,10750.0,11800.0,786562
2015-12-30,12000.0,12250.0,11750.0,11950.0,473028
2016-01-04,11950.0,12050.0,11050.0,11200.0,430447
2016-01-05,11100.0,11750.0,11100.0,11700.0,307472
2016-01-06,11650.0,12150.0,11350.0,11400.0,414027
2016-01-07,11350.0,11650.0,10800.0,10800.0,284369
2016-01-08,10550.0,10950.0,10400.0,10650.0,337591
2016-01-11,11100.0,11400.0,10850.0,11050.0,458741
2016-01-12,11400.0,11450.0,11050.0,11300.0,231970
2016-01-13,11400.0,11600.0,11150.0,11450.0,379470
2016-01-14,11150.0,11250.0,10850.0,11150.0,425759
2016-01-15,11250.0,11250.0,10200.0,10600.0,730973
2016-01-18,10300.0,10800.0,10300.0,10750.0,237352
2016-01-19,10750.0,10750.0,10150.0,10300.0,362647
2016-01-20,10300.0,10400.0,9690.0,9900.0,408048
2016-01-21,10050.0,10350.0,9900.0,10000.0,355942
2016-01-22,10400.0,10600.0,10100.0,10200.0,350754
2016-01-25,10300.0,10750.0,10200.0,10550.0,313821
2016-01-26,10500.0,10550.0,10250.0,10400.0,196136
2016-01-27,10550.0,11000.0,10500.0,10750.0,495094
2016-01-28,10650.0,11350.0,10600.0,10900.0,584964
2016-01-29,11100.0,11800.0,10850.0,11600.0,797714
2016-02-01,12000.0,12300.0,11050.0,11350.0,1579936
2016-02-02,12200.0,12550.0,11650.0,11850.0,2306675
2016-02-03,11400.0,12000.0,11350.0,11500.0,550641
2016-02-04,11650.0,12000.0,11400.0,11850.0,474293
2016-02-05,12000.0,12000.0,11500.0,11500.0,323769
2016-02-11,11000.0,11450.0,10850.0,11000.0,589837
2016-02-12,11000.0,11150.0,9950.0,10200.0,769595
2016-02-15,10400.0,11300.0,10350.0,11150.0,524134
2016-02-16,11400.0,11550.0,11050.0,11250.0,427159
2016-02-17,11500.0,11550.0,11100.0,11350.0,415605
2016-02-18,11600.0,11600.0,11200.0,11500.0,432802
2016-02-19,11550.0,12150.0,11400.0,11900.0,763999
2016-02-22,11900.0,12500.0,11850.0,12400.0,693020
2016-02-23,12450.0,12650.0,12000.0,12550.0,672051
2016-02-24,12400.0,12850.0,12350.0,12600.0,715305
2016-02-25,12650.0,13000.0,12300.0,12850.0,581932
2016-02-26,12600.0,13200.0,12450.0,13050.0,658851
2016-02-29,12800.0,12800.0,12050.0,12450.0,1151138
2016-03-02,12650.0,12900.0,12350.0,12400.0,371602
2016-03-03,12400.0,12650.0,12200.0,12550.0,220902
2016-03-04,12400.0,12450.0,12050.0,12150.0,356761
2016-03-07,12200.0,12250.0,11650.0,11700.0,465343
2016-03-08,11750.0,12050.0,11550.0,11800.0,287771
2016-03-09,11800.0,11900.0,11550.0,11650.0,328674
2016-03-10,11700.0,11800.0,11550.0,11600.0,244465
2016-03-11,11600.0,12200.0,11600.0,12050.0,452669
2016-03-14,12050.0,12150.0,11600.0,11700.0,254652
2016-03-15,11650.0,11750.0,11100.0,11150.0,541074
2016-03-16,11050.0,11350.0,11050.0,11050.0,210438
2016-03-17,11250.0,11550.0,11150.0,11300.0,391473
2016-03-18,11300.0,11350.0,10650.0,10700.0,616451
2016-03-21,10800.0,10850.0,10350.0,10550.0,754153
2016-03-22,10550.0,10900.0,10500.0,10850.0,652767
2016-03-23,10900.0,11050.0,10800.0,10950.0,448799
2016-03-24,11050.0,11450.0,10900.0,11400.0,491707
2016-03-25,11350.0,11500.0,11000.0,11100.0,330690
2016-03-28,11150.0,11200.0,10700.0,10800.0,303997
2016-03-29,10900.0,10950.0,10550.0,10800.0,452459
2016-03-30,10700.0,10900.0,10650.0,10650.0,205304
2016-03-31,10650.0,10700.0,10250.0,10250.0,475567
2016-04-01,10350.0,10650.0,10350.0,10450.0,390260
2016-04-04,10600.0,10800.0,10500.0,10650.0,218827
2016-04-05,10650.0,10700.0,10350.0,10450.0,250139
2016-04-06,10350.0,10550.0,10300.0,10450.0,203413
2016-04-07,10450.0,10650.0,10300.0,10350.0,313239
2016-04-08,10250.0,10350.0,10050.0,10150.0,426891
2016-04-11,10200.0,10200.0,9960.0,10000.0,510360
2016-04-12,9980.0,10500.0,9960.0,10450.0,428307
2016-04-14,10550.0,10700.0,10300.0,10400.0,289559
2016-04-15,10400.0,11100.0,10350.0,10700.0,1065564
2016-04-18,10750.0,10900.0,10600.0,10600.0,246622
2016-04-19,10700.0,10700.0,10350.0,10500.0,240114
2016-04-20,10500.0,10800.0,10350.0,10650.0,256691
2016-04-21,10650.0,10700.0,10450.0,10550.0,180058
2016-04-22,10550.0,10900.0,10450.0,10900.0,451364
2016-04-25,11050.0,11400.0,10950.0,11000.0,682492
2016-04-26,11150.0,11150.0,10650.0,10700.0,296379
2016-04-27,10750.0,10800.0,10500.0,10550.0,198811
2016-04-28,10550.0,10800.0,10400.0,10400.0,236085
2016-04-29,10400.0,10600.0,10350.0,10550.0,186630
2016-05-02,10500.0,10550.0,10150.0,10200.0,216320
2016-05-03,10250.0,10400.0,10250.0,10300.0,94897
2016-05-04,10300.0,10600.0,10200.0,10200.0,242441
2016-05-09,10250.0,10400.0,10200.0,10300.0,142774
2016-05-10,10250.0,10450.0,10250.0,10300.0,166622
2016-05-11,10450.0,10850.0,10350.0,10700.0,402434
2016-05-12,10650.0,10650.0,10400.0,10500.0,180151
2016-05-13,10450.0,10550.0,10200.0,10300.0,235547
2016-05-16,10300.0,10600.0,10100.0,10250.0,497122
2016-05-17,10000.0,10100.0,9430.0,9480.0,1049454
2016-05-18,9310.0,9360.0,8270.0,8650.0,1621593
2016-05-19,8580.0,8770.0,8450.0,8620.0,513392
2016-05-20,8560.0,8600.0,8370.0,8430.0,552887
2016-05-23,8450.0,8880.0,8450.0,8850.0,405996
2016-05-24,8850.0,9120.0,8600.0,8900.0,467948
2016-05-25,9030.0,9030.0,8740.0,8740.0,209668
2016-05-26,8740.0,8930.0,8700.0,8740.0,145698
2016-05-27,8770.0,8850.0,8710.0,8790.0,198951
2016-05-30,8760.0,8800.0,8550.0,8550.0,228643
2016-05-31,8510.0,8710.0,8470.0,8600.0,415628
2016-06-01,8610.0,8610.0,8450.0,8460.0,283622
2016-06-02,8470.0,8580.0,8370.0,8560.0,304301
2016-06-03,8560.0,8620.0,8440.0,8500.0,217976
2016-06-07,8520.0,8640.0,8480.0,8540.0,194294
2016-06-08,8500.0,8570.0,8330.0,8350.0,285803
2016-06-09,8350.0,8430.0,8270.0,8430.0,254627
2016-06-10,8440.0,8470.0,8260.0,8370.0,200811
2016-06-13,8310.0,8320.0,7830.0,7850.0,499114
2016-06-14,7760.0,8120.0,7710.0,8050.0,357916
2016-06-15,7990.0,8030.0,7800.0,7850.0,245092
2016-06-16,7780.0,7930.0,7530.0,7770.0,416365
2016-06-17,7770.0,7880.0,7670.0,7740.0,169325
2016-06-20,7710.0,7950.0,7710.0,7840.0,254264
2016-06-21,7950.0,8270.0,7930.0,8080.0,370500
2016-06-22,8020.0,8130.0,7930.0,7980.0,122218
2016-06-23,8090.0,8090.0,7720.0,7740.0,242421
2016-06-24,7820.0,7980.0,7130.0,7210.0,649901
2016-06-27,6900.0,7120.0,6880.0,6990.0,648480
2016-06-28,7100.0,7410.0,7060.0,7310.0,625946
2016-06-29,7390.0,7860.0,7380.0,7710.0,468216
2016-06-30,7780.0,7870.0,7620.0,7700.0,217052
2016-07-01,7700.0,8330.0,7680.0,8250.0,490940
2016-07-04,8310.0,8420.0,8200.0,8330.0,325913
2016-07-05,8360.0,8370.0,8220.0,8300.0,168298
2016-07-06,8250.0,8280.0,7980.0,8120.0,320352
2016-07-07,8190.0,8420.0,8130.0,8420.0,271206
2016-07-08,8420.0,8470.0,8170.0,8270.0,232956
2016-07-11,8320.0,8390.0,8220.0,8300.0,156322
2016-07-12,8250.0,8330.0,8000.0,8050.0,343326
2016-07-13,8070.0,8180.0,7990.0,8120.0,195398
2016-07-14,8130.0,8130.0,7770.0,7770.0,455938
2016-07-15,7810.0,8050.0,7800.0,7890.0,227551
2016-07-18,7850.0,8040.0,7770.0,7950.0,235419
2016-07-19,7910.0,8010.0,7830.0,7900.0,132698
2016-07-20,7900.0,8240.0,7830.0,8100.0,297414
2016-07-21,8110.0,8160.0,7900.0,8000.0,213244
2016-07-22,7950.0,7980.0,7690.0,7800.0,422986
2016-07-25,7800.0,7850.0,7610.0,7780.0,198677
2016-07-26,7810.0,7890.0,7690.0,7820.0,121887
2016-07-27,7770.0,7960.0,7730.0,7800.0,237943
2016-07-28,7800.0,7810.0,7660.0,7660.0,179239
2016-07-29,7650.0,7720.0,7500.0,7580.0,247489
2016-08-01,7600.0,7690.0,7540.0,7690.0,157535
2016-08-02,7750.0,7750.0,7450.0,7530.0,215416
2016-08-03,7530.0,7580.0,7240.0,7250.0,248345
2016-08-04,7250.0,7390.0,7240.0,7390.0,104707
2016-08-05,7450.0,7450.0,7290.0,7330.0,182530
2016-08-08,7350.0,7680.0,7300.0,7500.0,296733
2016-08-09,7510.0,7550.0,7270.0,7280.0,274774
2016-08-10,7230.0,7340.0,7190.0,7210.0,214021
2016-08-11,7280.0,7410.0,7270.0,7330.0,169468
2016-08-12,7340.0,7440.0,7290.0,7420.0,240503
2016-08-16,7380.0,7390.0,7250.0,7250.0,198087
2016-08-17,7160.0,7180.0,6910.0,6910.0,424474
2016-08-18,6890.0,7010.0,6690.0,6710.0,449017
2016-08-19,6720.0,7050.0,6710.0,6920.0,309354
2016-08-22,6940.0,6950.0,6760.0,6760.0,192844
2016-08-23,6710.0,6810.0,6710.0,6720.0,160351
2016-08-24,6780.0,6990.0,6720.0,6800.0,312315
2016-08-25,6730.0,7120.0,6680.0,6990.0,445829
2016-08-26,6990.0,6990.0,6790.0,6810.0,170278
2016-08-29,6750.0,6860.0,6670.0,6690.0,231802
2016-08-30,6700.0,6770.0,6680.0,6770.0,189225
2016-08-31,6790.0,7180.0,6790.0,6990.0,437710
2016-09-01,6900.0,6970.0,6810.0,6860.0,174061
2016-09-02,6840.0,7050.0,6800.0,7050.0,194358
2016-09-05,7080.0,7300.0,7030.0,7120.0,299961
2016-09-06,7100.0,7200.0,6880.0,6900.0,207974
2016-09-07,6900.0,7070.0,6880.0,6990.0,217136
2016-09-08,7020.0,7120.0,6690.0,6800.0,361565
2016-09-09,6810.0,6960.0,6770.0,6850.0,206917
2016-09-12,6780.0,6880.0,6660.0,6680.0,226143
2016-09-13,6710.0,6780.0,6580.0,6610.0,272890
2016-09-19,6580.0,6720.0,6550.0,6700.0,150133
2016-09-20,6720.0,6750.0,6620.0,6650.0,176887
2016-09-21,6620.0,6720.0,6620.0,6680.0,119623
