date,open,high,low,close,volume
2015-01-02,3630.0,3710.0,3550.0,3690.0,133098
2015-01-05,3640.0,3675.0,3615.0,3675.0,54288
2015-01-06,3665.0,3675.0,3600.0,3675.0,54237
2015-01-07,3695.0,3695.0,3625.0,3685.0,44950
2015-01-08,3700.0,3775.0,3665.0,3745.0,61122
2015-01-09,3770.0,3810.0,3725.0,3785.0,47862
2015-01-12,3785.0,3785.0,3710.0,3775.0,33772
2015-01-13,3775.0,3850.0,3740.0,3850.0,78917
2015-01-14,3855.0,3855.0,3770.0,3790.0,80114
2015-01-15,3780.0,3800.0,3715.0,3750.0,55605
2015-01-16,3750.0,3750.0,3705.0,3745.0,45625
2015-01-19,3745.0,3770.0,3710.0,3730.0,47563
2015-01-20,3755.0,3755.0,3670.0,3710.0,34872
2015-01-21,3755.0,3755.0,3655.0,3720.0,51648
2015-01-22,3720.0,3745.0,3680.0,3680.0,38572
2015-01-23,3725.0,3880.0,3685.0,3880.0,114930
2015-01-26,3830.0,3920.0,3800.0,3880.0,48795
2015-01-27,3880.0,3915.0,3815.0,3825.0,70744
2015-01-28,3825.0,3855.0,3745.0,3855.0,63443
2015-01-29,3825.0,4095.0,3800.0,3985.0,127459
2015-01-30,4250.0,4250.0,4000.0,4000.0,268190
2015-02-02,4090.0,4120.0,4030.0,4065.0,143409
2015-02-03,4150.0,4150.0,4050.0,4080.0,34977
2015-02-04,4130.0,4175.0,4070.0,4090.0,36719
2015-02-05,4065.0,4130.0,4065.0,4120.0,36624
2015-02-06,4150.0,4155.0,4100.0,4155.0,62537
2015-02-09,4155.0,4185.0,4115.0,4120.0,57495
2015-02-10,4160.0,4160.0,4050.0,4105.0,54325
2015-02-11,4140.0,4160.0,4055.0,4130.0,38112
2015-02-12,4150.0,4150.0,4000.0,4095.0,35347
2015-02-13,4135.0,4265.0,4125.0,4235.0,92533
2015-02-16,4300.0,4355.0,4250.0,4295.0,61848
2015-02-17,4295.0,4340.0,4220.0,4230.0,47595
2015-02-23,4280.0,4320.0,4250.0,4280.0,39345
2015-02-24,4350.0,4350.0,4250.0,4260.0,78684
2015-02-25,4280.0,4490.0,4265.0,4470.0,135522
2015-02-26,4520.0,4520.0,4400.0,4405.0,49148
2015-02-27,4440.0,4550.0,4390.0,4500.0,115291
2015-03-02,4590.0,4645.0,4520.0,4520.0,61687
2015-03-03,4570.0,4620.0,4495.0,4570.0,70352
2015-03-04,4535.0,4595.0,4500.0,4530.0,71019
2015-03-05,4530.0,4660.0,4500.0,4605.0,125380
2015-03-06,4645.0,4720.0,4620.0,4715.0,289255
2015-03-09,4700.0,4700.0,4530.0,4575.0,70469
2015-03-10,4625.0,4640.0,4430.0,4535.0,113406
2015-03-11,4435.0,4470.0,4350.0,4400.0,61444
2015-03-12,4350.0,4535.0,4325.0,4405.0,155797
2015-03-13,4480.0,4535.0,4455.0,4505.0,42158
2015-03-16,4420.0,4480.0,4385.0,4425.0,49200
2015-03-17,4450.0,4670.0,4410.0,4575.0,241748
2015-03-18,4625.0,4735.0,4490.0,4715.0,259813
2015-03-19,4770.0,4885.0,4670.0,4885.0,267926
2015-03-20,4830.0,4990.0,4735.0,4975.0,216126
2015-03-23,5020.0,5240.0,4980.0,5110.0,172563
2015-03-24,5100.0,5270.0,4985.0,5250.0,167190
2015-03-25,5220.0,5400.0,5160.0,5370.0,215590
2015-03-26,5280.0,5400.0,5190.0,5190.0,161053
2015-03-27,5190.0,5230.0,5070.0,5160.0,123035
2015-03-30,5160.0,5500.0,5160.0,5490.0,229339
