date,open,high,low,close,volume
2015-01-02,2082.0,2136.0,1982.0,2139.0,287307
2015-01-05,2245.0,2307.0,2173.0,2261.0,757080
2015-01-06,2265.0,2507.0,2205.0,2443.0,1445436
2015-01-07,2461.0,2487.0,2161.0,2192.0,892231
2015-01-08,2173.0,2251.0,2084.0,2161.0,356941
2015-01-09,2179.0,2179.0,2058.0,2109.0,283960
2015-01-12,2066.0,2095.0,1970.0,1994.0,314581
2015-01-13,1989.0,2029.0,1989.0,1994.0,112896
2015-01-14,2026.0,2055.0,1982.0,2037.0,123608
2015-01-15,2052.0,2055.0,1996.0,2031.0,67075
2015-01-16,2029.0,2140.0,2006.0,2018.0,259035
2015-01-19,2029.0,2032.0,1899.0,1909.0,204701
2015-01-20,1907.0,2022.0,1879.0,1965.0,85756
2015-01-21,1964.0,1964.0,1911.0,1958.0,57782
2015-01-22,1934.0,1970.0,1915.0,1957.0,74174
2015-01-23,1951.0,1953.0,1900.0,1940.0,98854
2015-01-26,1944.0,1964.0,1831.0,1884.0,153153
2015-01-27,1846.0,1885.0,1843.0,1880.0,68553
2015-01-28,1879.0,1882.0,1831.0,1874.0,88953
2015-01-29,1852.0,1865.0,1810.0,1844.0,113790
2015-01-30,1848.0,1879.0,1815.0,1848.0,73590
2015-02-02,1846.0,1911.0,1831.0,1887.0,74463
2015-02-03,1911.0,1918.0,1846.0,1920.0,79698
2015-02-04,1900.0,1940.0,1888.0,1900.0,55160
2015-02-05,1892.0,1944.0,1892.0,1920.0,34910
2015-02-06,1905.0,1944.0,1899.0,1946.0,67010
2015-02-09,1989.0,2029.0,1964.0,2018.0,186328
2015-02-10,2015.0,2029.0,1951.0,1994.0,81152
2015-02-11,1980.0,2088.0,1936.0,1992.0,145639
2015-02-12,2022.0,2029.0,1947.0,1998.0,49160
2015-02-13,1996.0,2088.0,1964.0,2008.0,176477
2015-02-16,2022.0,2029.0,1982.0,2015.0,80942
2015-02-17,1982.0,2055.0,1982.0,2035.0,65529
2015-02-23,2048.0,2088.0,2015.0,2018.0,66147
2015-02-24,2015.0,2039.0,1999.0,2011.0,49086
2015-02-25,2010.0,2042.0,1977.0,2044.0,84072
2015-02-26,2029.0,2134.0,2022.0,2051.0,405045
2015-02-27,2048.0,2095.0,2035.0,2080.0,117773
2015-03-02,2115.0,2115.0,2035.0,2071.0,70845
2015-03-03,2072.0,2072.0,2015.0,2035.0,80141
2015-03-04,2035.0,2039.0,2010.0,2028.0,57900
2015-03-05,2026.0,2052.0,1993.0,2054.0,57739
2015-03-06,2068.0,2095.0,2032.0,2064.0,53414
2015-03-09,2078.0,2078.0,2022.0,2044.0,49043
2015-03-10,2061.0,2061.0,1982.0,2001.0,47870
2015-03-11,1993.0,1993.0,1921.0,1923.0,60177
2015-03-12,1921.0,1964.0,1879.0,1923.0,51618
2015-03-13,1921.0,1973.0,1899.0,1926.0,61921
2015-03-16,1931.0,1957.0,1921.0,1957.0,44068
2015-03-17,1964.0,1993.0,1947.0,1972.0,39736
2015-03-18,1982.0,1982.0,1921.0,1965.0,28267
2015-03-19,1989.0,1989.0,1947.0,1982.0,23088
2015-03-20,1987.0,2026.0,1970.0,2015.0,66663
2015-03-23,2061.0,2120.0,2029.0,2067.0,177980
2015-03-24,2075.0,2357.0,2066.0,2325.0,558027
2015-03-25,2317.0,2389.0,2251.0,2392.0,210349
2015-03-26,2370.0,2605.0,2291.0,2430.0,305585
2015-03-27,2425.0,2520.0,2357.0,2454.0,120632
2015-03-30,2482.0,2569.0,2451.0,2545.0,186672
2015-03-31,2547.0,2675.0,2527.0,2601.0,169493
2015-04-01,2598.0,2677.0,2575.0,2633.0,122360
2015-04-02,2596.0,2733.0,2580.0,2643.0,95556
2015-04-03,2615.0,2684.0,2487.0,2650.0,266622
2015-04-06,2638.0,2930.0,2638.0,2909.0,338138
2015-04-07,2930.0,2930.0,2812.0,2906.0,192574
2015-04-08,2930.0,2930.0,2834.0,2900.0,72064
2015-04-09,2894.0,3005.0,2822.0,2902.0,109878
2015-04-10,2874.0,3090.0,2848.0,3013.0,156009
2015-04-13,3077.0,3139.0,2981.0,3106.0,187566
2015-04-14,3103.0,3103.0,2770.0,2984.0,296459
2015-04-15,2963.0,3028.0,2933.0,3001.0,118453
2015-04-16,2999.0,3100.0,2913.0,3004.0,88015
2015-04-17,3041.0,3041.0,2963.0,3001.0,55934
2015-04-20,2963.0,3032.0,2782.0,2988.0,186286
2015-04-21,3028.0,3028.0,2881.0,2980.0,112065
2015-04-22,3021.0,3241.0,2887.0,3102.0,274586
2015-04-23,3208.0,3208.0,3021.0,3144.0,149293
2015-04-24,3149.0,3211.0,3097.0,3191.0,168397
2015-04-27,3205.0,3215.0,3143.0,3214.0,106393
2015-04-28,3182.0,3224.0,3110.0,3204.0,940171
2015-04-29,3234.0,3535.0,3176.0,3453.0,394874
2015-04-30,3464.0,3706.0,3392.0,3708.0,284073
2015-05-04,3719.0,3719.0,3411.0,3538.0,202480
2015-05-06,3503.0,3666.0,3254.0,3558.0,219481
2015-05-07,3601.0,3850.0,3470.0,3577.0,262224
2015-05-08,3575.0,3666.0,3535.0,3649.0,169762
2015-05-11,3679.0,4191.0,3648.0,4193.0,579324
2015-05-12,4322.0,4334.0,4080.0,4265.0,301294
2015-05-13,4264.0,4518.0,4106.0,4521.0,225971
2015-05-14,4460.0,4616.0,4329.0,4559.0,225877
2015-05-15,4676.0,5239.0,4558.0,4914.0,331718
2015-05-18,4873.0,5096.0,4689.0,4920.0,220418
2015-05-19,5049.0,5206.0,4944.0,5157.0,148370
2015-05-20,5265.0,5409.0,5147.0,5307.0,224900
2015-05-21,5371.0,5430.0,5141.0,5261.0,137882
2015-05-22,5258.0,5258.0,4663.0,4978.0,570694
2015-05-26,4846.0,5003.0,4682.0,4842.0,281595
2015-05-27,4722.0,5239.0,4623.0,4881.0,327620
2015-05-28,5109.0,5272.0,4879.0,5045.0,350170
2015-05-29,5042.0,5153.0,4873.0,5110.0,210757
2015-06-01,5219.0,5239.0,4819.0,5045.0,186737
2015-06-02,5036.0,5056.0,4813.0,4862.0,206018
2015-06-03,4813.0,5109.0,4734.0,4978.0,237060
2015-06-04,4944.0,5036.0,4846.0,4973.0,123566
2015-06-05,4965.0,5075.0,4859.0,5051.0,172750
2015-06-08,5056.0,5056.0,4853.0,4920.0,121386
2015-06-09,4839.0,4846.0,4538.0,4573.0,334242
2015-06-10,4590.0,4702.0,4485.0,4652.0,144925
2015-06-11,4649.0,4813.0,4571.0,4757.0,179236
