date,open,high,low,close,volume
2015-01-02,7000.0,7230.0,6990.0,7230.0,36480
2015-01-05,7130.0,7210.0,6940.0,6970.0,111266
2015-01-06,6890.0,6930.0,6770.0,6910.0,62739
2015-01-07,6930.0,6940.0,6810.0,6900.0,43013
2015-01-08,6870.0,6920.0,6810.0,6860.0,51712
2015-01-09,6890.0,6990.0,6820.0,6990.0,43209
2015-01-12,6900.0,7030.0,6880.0,7030.0,41393
2015-01-13,7060.0,7060.0,6820.0,6910.0,104960
2015-01-14,6860.0,6970.0,6830.0,6960.0,47870
2015-01-15,6900.0,7020.0,6880.0,7020.0,36747
2015-01-16,7020.0,7030.0,6910.0,7020.0,19284
2015-01-19,6980.0,7020.0,6910.0,6980.0,36480
2015-01-20,6970.0,7020.0,6900.0,6950.0,42318
2015-01-21,6920.0,6970.0,6890.0,6950.0,33729
2015-01-22,6950.0,6970.0,6850.0,6970.0,52133
2015-01-23,6930.0,6990.0,6880.0,6970.0,36289
2015-01-26,6910.0,6950.0,6850.0,6880.0,72888
2015-01-27,6920.0,6920.0,6820.0,6890.0,42350
2015-01-28,6870.0,6910.0,6850.0,6880.0,24800
2015-01-29,6880.0,6890.0,6810.0,6870.0,26912
2015-01-30,6850.0,6960.0,6850.0,6960.0,46293
2015-02-02,6960.0,6960.0,6880.0,6940.0,32327
2015-02-03,6970.0,6970.0,6880.0,6890.0,39308
2015-02-04,6880.0,6960.0,6840.0,6950.0,44811
2015-02-05,6900.0,6930.0,6810.0,6860.0,49404
2015-02-06,6830.0,6880.0,6820.0,6840.0,20523
2015-02-09,6840.0,6870.0,6760.0,6820.0,39898
2015-02-10,6850.0,6870.0,6780.0,6840.0,14576
2015-02-11,6840.0,6920.0,6820.0,6890.0,13348
2015-02-12,6940.0,6970.0,6860.0,6950.0,19057
2015-02-13,6940.0,6990.0,6870.0,6910.0,18462
2015-02-16,6870.0,6910.0,6850.0,6880.0,16036
2015-02-17,6880.0,6900.0,6830.0,6890.0,10549
2015-02-23,6920.0,6960.0,6870.0,6960.0,14033
2015-02-24,6980.0,6990.0,6910.0,6920.0,20417
2015-02-25,6890.0,6930.0,6860.0,6880.0,29005
2015-02-26,6890.0,6940.0,6830.0,6930.0,47477
2015-02-27,6910.0,6950.0,6850.0,6860.0,34488
2015-03-02,6850.0,6890.0,6830.0,6840.0,36921
2015-03-03,6830.0,6860.0,6790.0,6810.0,46557
2015-03-04,6790.0,6840.0,6780.0,6800.0,49411
2015-03-05,6800.0,7050.0,6790.0,6820.0,85435
2015-03-06,6890.0,6970.0,6830.0,6940.0,74151
2015-03-09,6900.0,7010.0,6900.0,6900.0,39783
2015-03-10,6860.0,6940.0,6850.0,6890.0,51194
2015-03-11,6870.0,7000.0,6830.0,6990.0,135659
2015-03-12,6990.0,7110.0,6920.0,6980.0,111514
2015-03-13,7000.0,7110.0,6980.0,7080.0,49706
2015-03-16,7150.0,7150.0,6950.0,6970.0,52648
2015-03-17,6960.0,7020.0,6910.0,6980.0,36120
2015-03-18,7000.0,7020.0,6910.0,6930.0,64182
