date,open,high,low,close,volume
2015-01-02,4957.0,4957.0,4625.0,4847.0,344
2015-01-05,4836.0,4836.0,4816.0,4817.0,51
2015-01-06,4816.0,4816.0,4816.0,4817.0,5
2015-01-07,4806.0,4806.0,4635.0,4787.0,279
2015-01-08,4786.0,4876.0,4615.0,4766.0,386
2015-01-09,4756.0,4756.0,4696.0,4756.0,58
2015-01-12,4756.0,4756.0,4756.0,4756.0,3
2015-01-13,4756.0,5007.0,4666.0,4776.0,386
2015-01-14,4846.0,4947.0,4676.0,4887.0,108
2015-01-15,4886.0,4947.0,4726.0,4797.0,375
2015-01-16,4796.0,5177.0,4786.0,4847.0,2443
2015-01-19,5097.0,5097.0,4816.0,4927.0,352
2015-01-20,5007.0,5007.0,4826.0,4847.0,2036
2015-01-21,4786.0,5569.0,4766.0,5569.0,9690
2015-01-22,5418.0,6121.0,5358.0,5740.0,13693
2015-01-23,5810.0,5830.0,5488.0,5639.0,4499
2015-01-26,5860.0,6080.0,5749.0,6061.0,9020
2015-01-27,6070.0,6070.0,5619.0,5619.0,4596
2015-01-28,5619.0,5619.0,5248.0,5258.0,3761
2015-01-29,5238.0,5368.0,5157.0,5278.0,1050
2015-01-30,5398.0,5579.0,5338.0,5579.0,2527
2015-02-02,5769.0,5960.0,5348.0,5961.0,2864
2015-02-03,5840.0,6010.0,5519.0,5649.0,1534
2015-02-04,5569.0,5820.0,5418.0,5810.0,2518
2015-02-05,5629.0,6673.0,5569.0,6673.0,10782
2015-02-06,7535.0,7535.0,6131.0,6201.0,23223
2015-02-09,6020.0,6502.0,5960.0,6221.0,6039
2015-02-10,6201.0,7154.0,6201.0,7155.0,12365
2015-02-11,7505.0,8218.0,7325.0,8218.0,27290
2015-02-12,8619.0,8800.0,7064.0,7094.0,20340
2015-02-13,7204.0,8158.0,7204.0,7837.0,23965
2015-02-16,8047.0,8830.0,7666.0,8168.0,11304
2015-02-17,8087.0,8148.0,7425.0,7646.0,8959
2015-02-23,7967.0,7967.0,6853.0,6864.0,6485
2015-02-24,6873.0,6913.0,6422.0,6613.0,7980
2015-02-25,6602.0,6943.0,6602.0,6613.0,5047
2015-02-26,6562.0,6673.0,6201.0,6221.0,5402
2015-02-27,6321.0,6482.0,6091.0,6141.0,3033
2015-03-02,6161.0,6662.0,6141.0,6402.0,4038
2015-03-03,6723.0,6723.0,6382.0,6613.0,1736
2015-03-04,6522.0,6642.0,6301.0,6472.0,1939
2015-03-05,6552.0,7024.0,6382.0,6743.0,4609
