date,open,high,low,close,volume
2015-01-02,5480.0,5592.0,5424.0,5473.0,358807
2015-01-05,5513.0,5513.0,5327.0,5441.0,465898
2015-01-06,5303.0,5416.0,5119.0,5184.0,766600
2015-01-07,5182.0,5215.0,5022.0,5152.0,411203
2015-01-08,5182.0,5303.0,5151.0,5232.0,362145
2015-01-09,5279.0,5296.0,5207.0,5256.0,335224
2015-01-12,5223.0,5440.0,5215.0,5401.0,387255
2015-01-13,5399.0,5553.0,5336.0,5384.0,504741
2015-01-14,5408.0,5440.0,5327.0,5329.0,226312
2015-01-15,5327.0,5665.0,5320.0,5610.0,1018883
2015-01-16,5633.0,5633.0,5440.0,5497.0,343572
2015-01-19,5561.0,5697.0,5448.0,5497.0,345740
2015-01-20,5520.0,5778.0,5520.0,5666.0,878530
2015-01-21,5633.0,5665.0,5489.0,5537.0,523596
2015-01-22,5568.0,5754.0,5513.0,5649.0,731677
2015-01-23,5785.0,5802.0,5625.0,5625.0,585674
2015-01-26,5641.0,5706.0,5609.0,5658.0,311622
2015-01-27,5713.0,5745.0,5464.0,5473.0,654667
2015-01-28,5448.0,5537.0,5392.0,5522.0,385902
2015-01-29,5513.0,5513.0,5320.0,5384.0,474384
2015-01-30,5432.0,5440.0,5272.0,5312.0,326442
2015-02-02,5344.0,5520.0,5311.0,5489.0,452942
2015-02-03,5513.0,5601.0,5504.0,5529.0,482826
2015-02-04,5568.0,5730.0,5568.0,5649.0,642046
2015-02-05,5657.0,5730.0,5592.0,5666.0,448125
2015-02-06,5689.0,5745.0,5592.0,5698.0,415706
2015-02-09,5657.0,6195.0,5657.0,6108.0,2657577
2015-02-10,6171.0,6252.0,5995.0,6140.0,1440877
2015-02-11,6188.0,6316.0,6067.0,6317.0,922252
2015-02-12,6260.0,6292.0,6107.0,6148.0,748674
2015-02-13,5947.0,5987.0,5585.0,5601.0,2083183
2015-02-16,5609.0,5609.0,5344.0,5449.0,663850
2015-02-17,5464.0,5496.0,5360.0,5393.0,547775
2015-02-23,5416.0,5585.0,5384.0,5497.0,557460
2015-02-24,5513.0,5649.0,5504.0,5618.0,572774
2015-02-25,5625.0,5657.0,5544.0,5577.0,374820
2015-02-26,5585.0,5737.0,5553.0,5698.0,426346
2015-02-27,5745.0,6083.0,5730.0,6028.0,1464721
2015-03-02,6091.0,6436.0,5987.0,6156.0,2000077
2015-03-03,6219.0,6228.0,6002.0,6108.0,907159
2015-03-04,6164.0,6445.0,6147.0,6357.0,1215155
2015-03-05,6429.0,6453.0,6179.0,6293.0,594539
2015-03-06,6348.0,6493.0,6059.0,6148.0,1104174
2015-03-09,6099.0,6131.0,5947.0,5987.0,629701
2015-03-10,6043.0,6179.0,5954.0,6011.0,591657
2015-03-11,5898.0,6091.0,5874.0,5923.0,473453
2015-03-12,5930.0,6091.0,5914.0,6011.0,357734
2015-03-13,6051.0,6115.0,6002.0,6100.0,364697
2015-03-16,6107.0,6115.0,5842.0,5915.0,563851
2015-03-17,5947.0,6123.0,5930.0,6068.0,442597
2015-03-18,6059.0,6091.0,5898.0,5899.0,422689
2015-03-19,5947.0,6026.0,5866.0,5980.0,377371
2015-03-20,5947.0,5995.0,5770.0,5803.0,622696
2015-03-23,5850.0,5898.0,5713.0,5835.0,372764
2015-03-24,5809.0,6035.0,5802.0,6020.0,531334
2015-03-25,6083.0,6147.0,5962.0,6052.0,594210
2015-03-26,6026.0,6123.0,6002.0,6011.0,423725
2015-03-27,6067.0,6147.0,5954.0,5963.0,472716
2015-03-30,5962.0,6099.0,5962.0,6028.0,465524
2015-03-31,6075.0,6091.0,5906.0,5915.0,488364
2015-04-01,5906.0,5947.0,5809.0,5851.0,361913
2015-04-02,5874.0,5914.0,5802.0,5818.0,323587
2015-04-03,5802.0,5866.0,5778.0,5842.0,311805
2015-04-06,5826.0,6026.0,5785.0,6011.0,769631
2015-04-07,6091.0,6147.0,6002.0,6004.0,525487
2015-04-08,6002.0,6075.0,5954.0,6052.0,454966
2015-04-09,6075.0,6195.0,6019.0,6020.0,801739
2015-04-10,6155.0,6171.0,5962.0,5963.0,831053
2015-04-13,5962.0,6011.0,5866.0,5931.0,569476
2015-04-14,5938.0,6147.0,5914.0,5939.0,852817
2015-04-15,5954.0,6067.0,5947.0,5987.0,579357
2015-04-16,6051.0,6243.0,5987.0,6228.0,1366624
2015-04-17,6268.0,6292.0,6164.0,6228.0,673412
2015-04-20,6171.0,6204.0,6026.0,6044.0,814863
2015-04-21,6107.0,6381.0,6075.0,6300.0,1398789
2015-04-22,6340.0,7039.0,6284.0,6775.0,4022567
2015-04-23,6999.0,7337.0,6589.0,7249.0,4135294
2015-04-24,7297.0,7353.0,7072.0,7354.0,2051763
2015-04-27,7490.0,8277.0,7280.0,8012.0,3633914
2015-04-28,8036.0,8719.0,7883.0,8519.0,3025154
2015-04-29,8599.0,9000.0,8398.0,8680.0,2747150
2015-04-30,8719.0,8920.0,8398.0,8760.0,1460284
2015-05-04,8679.0,9322.0,8639.0,9122.0,2128793
2015-05-06,9081.0,9362.0,8639.0,8961.0,1861748
2015-05-07,8960.0,9201.0,8679.0,9122.0,1533699
2015-05-08,9121.0,9362.0,8719.0,8720.0,1333086
2015-05-11,8840.0,9040.0,8639.0,9001.0,1067300
2015-05-12,8880.0,8880.0,8004.0,8117.0,4446083
2015-05-13,8157.0,8398.0,8036.0,8398.0,2192673
2015-05-14,8478.0,8599.0,8277.0,8519.0,1371911
2015-05-15,8518.0,8558.0,8196.0,8398.0,926220
2015-05-18,8237.0,8358.0,8028.0,8278.0,1269325
2015-05-19,8358.0,9483.0,8317.0,9483.0,3374583
2015-05-20,9764.0,10206.0,9281.0,9564.0,3579693
2015-05-21,9643.0,9965.0,9322.0,9684.0,1928870
2015-05-22,9643.0,10327.0,9483.0,10287.0,2489296
2015-05-26,10125.0,10165.0,9121.0,9443.0,2227310
2015-05-27,9322.0,9643.0,9081.0,9404.0,1230984
2015-05-28,9402.0,9442.0,8639.0,8760.0,2181508
2015-05-29,8719.0,9322.0,8518.0,8560.0,2423695
2015-06-01,8599.0,8799.0,8237.0,8680.0,1076705
2015-06-02,8759.0,8920.0,8116.0,8117.0,1392701
2015-06-03,8237.0,8599.0,8116.0,8439.0,1047284
2015-06-04,8438.0,8558.0,8196.0,8238.0,616699
2015-06-05,8237.0,9242.0,8157.0,8801.0,2193200
