date,open,high,low,close,volume
2015-01-02,2200.0,2220.0,2160.0,2195.0,84233
2015-01-05,2175.0,2210.0,2145.0,2210.0,60226
2015-01-06,2200.0,2200.0,2130.0,2145.0,83377
2015-01-07,2150.0,2170.0,2120.0,2130.0,49477
2015-01-08,2165.0,2165.0,2075.0,2125.0,74647
2015-01-09,2135.0,2145.0,2065.0,2145.0,72945
2015-01-12,2145.0,2170.0,2080.0,2125.0,44977
2015-01-13,2110.0,2140.0,2080.0,2080.0,86778
2015-01-14,2100.0,2120.0,2050.0,2065.0,96216
2015-01-15,2065.0,2065.0,2020.0,2035.0,86458
2015-01-16,2065.0,2065.0,2000.0,2040.0,76225
2015-01-19,2040.0,2120.0,2040.0,2110.0,48240
2015-01-20,2115.0,2155.0,2105.0,2140.0,85928
2015-01-21,2180.0,2180.0,2105.0,2115.0,50504
2015-01-22,2115.0,2135.0,2090.0,2090.0,78833
2015-01-23,2110.0,2170.0,2090.0,2160.0,118848
2015-01-26,2160.0,2160.0,2100.0,2120.0,98251
2015-01-27,2180.0,2180.0,2110.0,2145.0,58752
2015-01-28,2145.0,2415.0,2115.0,2380.0,666709
2015-01-29,2380.0,2385.0,2275.0,2320.0,142790
2015-01-30,2320.0,2360.0,2255.0,2305.0,144312
2015-02-02,2280.0,2435.0,2280.0,2435.0,240364
2015-02-03,2410.0,2485.0,2340.0,2380.0,168011
2015-02-04,2385.0,2450.0,2225.0,2440.0,352707
2015-02-05,2450.0,2475.0,2350.0,2430.0,126905
2015-02-06,2410.0,2495.0,2380.0,2415.0,138128
2015-02-09,2495.0,2695.0,2410.0,2485.0,613877
2015-02-10,2450.0,2480.0,2360.0,2410.0,216847
2015-02-11,2500.0,2580.0,2365.0,2420.0,629418
2015-02-12,2395.0,2440.0,2300.0,2300.0,258573
2015-02-13,2330.0,2340.0,2255.0,2340.0,162563
2015-02-16,2315.0,2450.0,2305.0,2450.0,151383
2015-02-17,2535.0,2535.0,2365.0,2455.0,173953
2015-02-23,2515.0,2630.0,2400.0,2495.0,322621
2015-02-24,2535.0,2580.0,2365.0,2415.0,1071279
2015-02-25,2455.0,2530.0,2410.0,2460.0,464966
2015-02-26,2460.0,2515.0,2420.0,2470.0,298432
2015-02-27,2490.0,2520.0,2455.0,2485.0,226008
2015-03-02,2490.0,2495.0,2420.0,2440.0,156768
2015-03-03,2470.0,2470.0,2325.0,2340.0,125908
2015-03-04,2350.0,2395.0,2310.0,2320.0,121009
2015-03-05,2320.0,2360.0,2295.0,2300.0,119389
2015-03-06,2320.0,2370.0,2305.0,2350.0,64746
2015-03-09,2350.0,2350.0,2260.0,2305.0,76592
2015-03-10,2300.0,2370.0,2250.0,2345.0,107973
2015-03-11,2345.0,2350.0,2270.0,2310.0,61256
2015-03-12,2310.0,2355.0,2280.0,2310.0,96760
2015-03-13,2345.0,2345.0,2290.0,2315.0,114712
2015-03-16,2315.0,2330.0,2190.0,2195.0,285693
2015-03-17,2185.0,2240.0,2150.0,2240.0,192407
2015-03-18,2280.0,2285.0,2235.0,2235.0,125234
2015-03-19,2275.0,2275.0,2200.0,2255.0,97600
2015-03-20,2255.0,2260.0,2205.0,2205.0,69595
2015-03-23,2210.0,2275.0,2200.0,2225.0,118895
2015-03-24,2230.0,2360.0,2230.0,2320.0,232048
2015-03-25,2335.0,2335.0,2285.0,2295.0,123165
2015-03-26,2290.0,2400.0,2280.0,2370.0,329324
2015-03-27,2385.0,2390.0,2315.0,2350.0,112119
2015-03-30,2365.0,2490.0,2350.0,2400.0,313516
2015-03-31,2420.0,2450.0,2385.0,2405.0,165605
2015-04-01,2445.0,2445.0,2390.0,2405.0,100048
2015-04-02,2430.0,2445.0,2345.0,2345.0,194945
2015-04-03,2350.0,2430.0,2320.0,2410.0,201371
2015-04-06,2425.0,2565.0,2385.0,2420.0,739238
2015-04-07,2420.0,2490.0,2380.0,2490.0,274707
2015-04-08,2500.0,2530.0,2470.0,2520.0,180578
2015-04-09,2535.0,2535.0,2470.0,2480.0,142981
2015-04-10,2520.0,2845.0,2475.0,2770.0,1659440
2015-04-13,2850.0,3000.0,2810.0,2890.0,1230546
2015-04-14,2900.0,2960.0,2730.0,2900.0,589440
2015-04-15,2845.0,3030.0,2825.0,3000.0,746178
2015-04-16,3030.0,3075.0,2920.0,3070.0,519108
2015-04-17,3080.0,3490.0,3005.0,3070.0,796796
2015-04-20,3040.0,3130.0,2850.0,3100.0,372143
2015-04-21,3055.0,3170.0,3000.0,3170.0,1262147
