date,open,high,low,close,volume
2015-01-02,3605.0,3640.0,3560.0,3590.0,104936
2015-01-05,3590.0,3780.0,3580.0,3780.0,344400
2015-01-06,3770.0,3820.0,3740.0,3790.0,323414
2015-01-07,3790.0,3885.0,3790.0,3875.0,502299
2015-01-08,3885.0,3905.0,3820.0,3875.0,181923
2015-01-09,3910.0,3910.0,3820.0,3865.0,262382
2015-01-12,3865.0,3995.0,3855.0,3975.0,326828
2015-01-13,3975.0,4015.0,3915.0,3950.0,175186
2015-01-14,3950.0,3950.0,3865.0,3925.0,237907
2015-01-15,3925.0,3950.0,3870.0,3895.0,113535
2015-01-16,3875.0,3950.0,3800.0,3870.0,206976
2015-01-19,3880.0,3895.0,3830.0,3895.0,111506
2015-01-20,3930.0,3930.0,3840.0,3900.0,125844
2015-01-21,3900.0,4020.0,3900.0,4000.0,462308
2015-01-22,4020.0,4040.0,3945.0,4000.0,201109
2015-01-23,3990.0,4040.0,3955.0,4015.0,129575
2015-01-26,4040.0,4040.0,3980.0,4015.0,237584
2015-01-27,4030.0,4030.0,3940.0,3985.0,308822
2015-01-28,3945.0,4000.0,3900.0,3950.0,197992
2015-01-29,3935.0,3945.0,3890.0,3940.0,120158
2015-01-30,3970.0,4185.0,3940.0,4185.0,954292
2015-02-02,4180.0,4345.0,4115.0,4295.0,635238
2015-02-03,4295.0,4325.0,4165.0,4290.0,395012
2015-02-04,4290.0,4345.0,4210.0,4340.0,344395
2015-02-05,4350.0,4350.0,4270.0,4340.0,250668
2015-02-06,4340.0,4400.0,4280.0,4365.0,235299
2015-02-09,4365.0,4395.0,4195.0,4240.0,283921
2015-02-10,4200.0,4305.0,4130.0,4230.0,212546
2015-02-11,4215.0,4405.0,4200.0,4390.0,266264
2015-02-12,4415.0,4485.0,4355.0,4485.0,276947
2015-02-13,4485.0,4510.0,4415.0,4490.0,313945
2015-02-16,4510.0,4645.0,4480.0,4595.0,391979
2015-02-17,4590.0,4680.0,4550.0,4680.0,362449
2015-02-23,4680.0,4795.0,4610.0,4630.0,363464
2015-02-24,4630.0,4690.0,4505.0,4505.0,485154
2015-02-25,4510.0,4620.0,4510.0,4550.0,198683
2015-02-26,4570.0,4570.0,4380.0,4400.0,411115
2015-02-27,4440.0,4665.0,4430.0,4650.0,316517
2015-03-02,4695.0,4705.0,4515.0,4645.0,331393
2015-03-03,4695.0,4695.0,4515.0,4600.0,166843
2015-03-04,4555.0,4585.0,4420.0,4520.0,316122
2015-03-05,4455.0,4510.0,4125.0,4285.0,970155
2015-03-06,4265.0,4335.0,4230.0,4330.0,267161
2015-03-09,4350.0,4375.0,4280.0,4320.0,170537
