date,open,high,low,close,volume
2015-01-02,6625.0,6875.0,6550.0,6833.0,100127
2015-01-05,6766.0,6858.0,6491.0,6692.0,201795
2015-01-06,6541.0,6683.0,6533.0,6642.0,78490
2015-01-07,6658.0,6741.0,6550.0,6733.0,62060
2015-01-08,6733.0,6833.0,6666.0,6808.0,97729
2015-01-09,6808.0,6925.0,6666.0,6725.0,134920
2015-01-12,6708.0,6741.0,6591.0,6650.0,105057
2015-01-13,6616.0,6716.0,6616.0,6675.0,122173
2015-01-14,6691.0,6725.0,6583.0,6633.0,71971
2015-01-15,6633.0,6675.0,6525.0,6583.0,106140
2015-01-16,6583.0,6600.0,6266.0,6300.0,185020
2015-01-19,6400.0,6400.0,6283.0,6300.0,92296
2015-01-20,6383.0,6383.0,6183.0,6208.0,134184
2015-01-21,6175.0,6566.0,6175.0,6517.0,130427
2015-01-22,6608.0,6625.0,6350.0,6367.0,139116
2015-01-23,6500.0,6566.0,6341.0,6533.0,72408
2015-01-26,6533.0,6591.0,6416.0,6500.0,73126
2015-01-27,6566.0,6716.0,6533.0,6667.0,99780
2015-01-28,6666.0,6741.0,6541.0,6625.0,71868
2015-01-29,6633.0,6658.0,6575.0,6617.0,57371
2015-01-30,6625.0,6625.0,6416.0,6425.0,93288
2015-02-02,6433.0,6491.0,6366.0,6442.0,57785
2015-02-03,6458.0,6458.0,6150.0,6250.0,130079
2015-02-04,6291.0,6816.0,6250.0,6417.0,142395
2015-02-05,6450.0,6483.0,6366.0,6400.0,46979
2015-02-06,6483.0,6491.0,6341.0,6408.0,73234
2015-02-09,6383.0,6416.0,6233.0,6325.0,77959
2015-02-10,6375.0,6375.0,6208.0,6350.0,71581
2015-02-11,6350.0,6416.0,6275.0,6400.0,101930
2015-02-12,6475.0,6583.0,6441.0,6533.0,112107
2015-02-13,6625.0,6625.0,6441.0,6550.0,72887
2015-02-16,6541.0,6608.0,6458.0,6517.0,86842
2015-02-17,6508.0,6574.0,6333.0,6392.0,93577
2015-02-23,6408.0,6450.0,6333.0,6350.0,60125
2015-02-24,6350.0,6566.0,6350.0,6408.0,96819
2015-02-25,6500.0,6500.0,6333.0,6358.0,78194
2015-02-26,6391.0,6408.0,6191.0,6225.0,169696
2015-02-27,6250.0,6383.0,6200.0,6317.0,104761
2015-03-02,6358.0,6358.0,6208.0,6225.0,120106
2015-03-03,6283.0,6374.0,6225.0,6325.0,104027
2015-03-04,6333.0,6525.0,6333.0,6517.0,124389
2015-03-05,6566.0,6566.0,6475.0,6500.0,62752
2015-03-06,6541.0,6625.0,6416.0,6567.0,162987
2015-03-09,6625.0,6791.0,6591.0,6608.0,138899
2015-03-10,6691.0,6708.0,6591.0,6700.0,86138
2015-03-11,6674.0,6683.0,6558.0,6642.0,87592
2015-03-12,6633.0,6691.0,6591.0,6617.0,59964
2015-03-13,6616.0,6700.0,6600.0,6625.0,70635
2015-03-16,6566.0,6616.0,6491.0,6517.0,61942
2015-03-17,6541.0,6608.0,6466.0,6483.0,72264
2015-03-18,6475.0,6566.0,6416.0,6475.0,81964
2015-03-19,6541.0,6541.0,6350.0,6358.0,57266
2015-03-20,6358.0,6441.0,6316.0,6400.0,61906
2015-03-23,6483.0,6483.0,6241.0,6258.0,129233
2015-03-24,6308.0,6425.0,6258.0,6383.0,70470
2015-03-25,6358.0,6424.0,6350.0,6392.0,64944
2015-03-26,6291.0,6383.0,6225.0,6250.0,135922
2015-03-27,6258.0,6308.0,6050.0,6075.0,122780
2015-03-30,6091.0,6341.0,6091.0,6317.0,99867
2015-03-31,6341.0,6483.0,6300.0,6433.0,80545
2015-04-01,6408.0,6550.0,6383.0,6550.0,145081
2015-04-02,6575.0,6583.0,6458.0,6483.0,112679
2015-04-03,6500.0,6566.0,6458.0,6500.0,80128
2015-04-06,6508.0,6608.0,6500.0,6608.0,177868
2015-04-07,6666.0,6700.0,6583.0,6658.0,176720
2015-04-08,6700.0,6700.0,6533.0,6575.0,198763
2015-04-09,6575.0,6641.0,6516.0,6600.0,122814
2015-04-10,6600.0,6900.0,6600.0,6892.0,314475
2015-04-13,7016.0,7016.0,6891.0,6925.0,223853
2015-04-14,7000.0,7025.0,6833.0,6867.0,126308
2015-04-15,6875.0,6925.0,6808.0,6833.0,121362
2015-04-16,6916.0,6975.0,6816.0,6933.0,142388
2015-04-17,6991.0,7041.0,6916.0,6992.0,143541
2015-04-20,6925.0,7125.0,6900.0,7050.0,208844
2015-04-21,7100.0,7316.0,7041.0,7300.0,235226
2015-04-22,7366.0,7375.0,6983.0,7250.0,345538
2015-04-23,7375.0,7375.0,7000.0,7225.0,337162
2015-04-24,7258.0,7666.0,7258.0,7600.0,373438
2015-04-27,7641.0,7700.0,7500.0,7650.0,148603
2015-04-28,7700.0,7700.0,7458.0,7458.0,214653
2015-04-29,7425.0,7775.0,7416.0,7758.0,184375
2015-04-30,7775.0,7866.0,7583.0,7825.0,193615
2015-05-04,7916.0,8000.0,7749.0,7825.0,186783
2015-05-06,7816.0,7833.0,7541.0,7683.0,176178
2015-05-07,7733.0,7750.0,7416.0,7717.0,195075
2015-05-08,7624.0,7916.0,7624.0,7817.0,175828
2015-05-11,7858.0,7866.0,7725.0,7850.0,122638
2015-05-12,7850.0,7916.0,7716.0,7750.0,121963
2015-05-13,7766.0,8875.0,7750.0,8875.0,733856
2015-05-14,9083.0,10166.0,9083.0,9917.0,1163563
2015-05-15,10041.0,10374.0,9625.0,10208.0,802332
2015-05-18,10208.0,11583.0,9958.0,11083.0,1066283
2015-05-19,11125.0,12083.0,10833.0,11625.0,678368
2015-05-20,11625.0,12625.0,11458.0,11792.0,732520
2015-05-21,11541.0,11583.0,10583.0,10625.0,2007912
2015-05-22,10958.0,11458.0,10625.0,11000.0,993335
2015-05-26,10833.0,11333.0,10583.0,11083.0,464914
