date,open,high,low,close,volume
2015-01-02,549.0,549.0,549.0,549.0,4
2015-01-05,549.0,549.0,545.0,547.0,682
2015-01-06,547.0,548.0,547.0,547.0,1829
2015-01-07,547.0,547.0,547.0,547.0,27
2015-01-08,547.0,547.0,547.0,547.0,148
2015-01-09,546.0,547.0,546.0,547.0,7
2015-01-12,546.0,547.0,546.0,547.0,12
2015-01-13,547.0,547.0,547.0,547.0,0
2015-01-14,548.0,548.0,548.0,548.0,4
2015-01-15,547.0,547.0,547.0,547.0,4
2015-01-16,547.0,547.0,542.0,546.0,5
2015-01-19,550.0,550.0,550.0,550.0,1002
2015-01-20,550.0,550.0,550.0,550.0,32
2015-01-21,543.0,549.0,543.0,549.0,22
2015-01-22,549.0,549.0,549.0,549.0,2
2015-01-23,549.0,549.0,548.0,548.0,4
2015-01-26,541.0,541.0,541.0,541.0,10
2015-01-27,550.0,550.0,541.0,550.0,22
2015-01-28,549.0,550.0,540.0,545.0,3152
2015-01-29,544.0,546.0,543.0,543.0,501
2015-01-30,545.0,545.0,542.0,542.0,4
2015-02-02,545.0,548.0,545.0,548.0,1359
2015-02-03,548.0,548.0,545.0,545.0,20
2015-02-04,541.0,548.0,541.0,548.0,7
2015-02-05,548.0,548.0,540.0,540.0,197
2015-02-06,540.0,545.0,540.0,545.0,1085
2015-02-09,545.0,545.0,539.0,545.0,92
2015-02-10,545.0,545.0,541.0,545.0,7
2015-02-11,545.0,545.0,541.0,541.0,780
2015-02-12,544.0,544.0,544.0,544.0,235
2015-02-13,550.0,550.0,548.0,548.0,305
2015-02-16,560.0,570.0,550.0,565.0,3417
2015-02-17,555.0,564.0,555.0,564.0,124
2015-02-23,564.0,648.0,560.0,571.0,162500
2015-02-24,573.0,580.0,555.0,562.0,34776
2015-02-25,570.0,589.0,557.0,580.0,14576
2015-02-26,576.0,587.0,569.0,579.0,6044
2015-02-27,580.0,585.0,571.0,577.0,3211
2015-03-02,577.0,577.0,568.0,573.0,1602
2015-03-03,570.0,577.0,561.0,563.0,6517
2015-03-04,563.0,589.0,558.0,583.0,15328
2015-03-05,583.0,618.0,576.0,601.0,16035
2015-03-06,601.0,623.0,587.0,589.0,6106
2015-03-09,580.0,610.0,577.0,599.0,11261
2015-03-10,599.0,607.0,583.0,585.0,8144
2015-03-11,585.0,603.0,584.0,593.0,5033
2015-03-12,592.0,607.0,590.0,590.0,3065
2015-03-13,585.0,601.0,580.0,587.0,2517
2015-03-16,594.0,594.0,580.0,589.0,2792
2015-03-17,585.0,599.0,583.0,598.0,3316
2015-03-18,593.0,610.0,585.0,585.0,3345
