date,open,high,low,close,volume
2015-01-02,3550.0,3570.0,3530.0,3555.0,94750
2015-01-05,3570.0,3650.0,3540.0,3650.0,227012
2015-01-06,3600.0,3660.0,3600.0,3640.0,150785
2015-01-07,3655.0,3655.0,3585.0,3585.0,167687
2015-01-08,3630.0,3685.0,3600.0,3605.0,171911
2015-01-09,3640.0,3670.0,3605.0,3640.0,147723
2015-01-12,3670.0,3695.0,3635.0,3635.0,198765
2015-01-13,3640.0,3690.0,3605.0,3685.0,315311
2015-01-14,3675.0,3725.0,3630.0,3665.0,191201
2015-01-15,3685.0,3750.0,3655.0,3690.0,172757
2015-01-16,3690.0,3790.0,3655.0,3690.0,443842
2015-01-19,3680.0,3720.0,3645.0,3645.0,140931
2015-01-20,3635.0,3685.0,3605.0,3660.0,184666
2015-01-21,3665.0,3675.0,3600.0,3615.0,205724
2015-01-22,3635.0,3650.0,3530.0,3565.0,229476
2015-01-23,3565.0,3610.0,3525.0,3530.0,150744
2015-01-26,3525.0,3550.0,3480.0,3495.0,199570
2015-01-27,3505.0,3525.0,3495.0,3510.0,132878
2015-01-28,3545.0,3610.0,3500.0,3565.0,232208
2015-01-29,3550.0,3610.0,3520.0,3580.0,223900
2015-01-30,3585.0,3610.0,3555.0,3570.0,144762
2015-02-02,3540.0,3595.0,3535.0,3560.0,174033
2015-02-03,3580.0,3580.0,3530.0,3545.0,106866
2015-02-04,3545.0,3565.0,3530.0,3550.0,151472
2015-02-05,3560.0,3700.0,3530.0,3670.0,781213
2015-02-06,3695.0,3720.0,3610.0,3630.0,341027
2015-02-09,3640.0,3790.0,3610.0,3665.0,740622
2015-02-10,3680.0,3760.0,3655.0,3655.0,418577
2015-02-11,3675.0,3740.0,3655.0,3710.0,220323
2015-02-12,3710.0,3745.0,3635.0,3645.0,211585
2015-02-13,3650.0,3975.0,3650.0,3850.0,2198331
2015-02-16,3880.0,3965.0,3810.0,3920.0,1133960
2015-02-17,3935.0,3980.0,3785.0,3825.0,771485
2015-02-23,3865.0,3880.0,3815.0,3815.0,398120
2015-02-24,3675.0,3700.0,3505.0,3545.0,1373964
2015-02-25,3575.0,3605.0,3555.0,3565.0,337413
2015-02-26,3570.0,3680.0,3545.0,3655.0,512194
2015-02-27,3655.0,3755.0,3620.0,3700.0,440423
2015-03-02,3730.0,3735.0,3685.0,3700.0,213034
2015-03-03,3705.0,3750.0,3695.0,3735.0,244681
2015-03-04,3745.0,3750.0,3705.0,3710.0,139271
2015-03-05,3740.0,3745.0,3700.0,3700.0,193949
2015-03-06,3730.0,3770.0,3710.0,3715.0,250555
2015-03-09,3720.0,3760.0,3655.0,3660.0,218054
2015-03-10,3680.0,3700.0,3630.0,3640.0,171699
2015-03-11,3630.0,3790.0,3615.0,3790.0,409813
2015-03-12,3790.0,3830.0,3720.0,3785.0,232228
2015-03-13,3800.0,3825.0,3780.0,3810.0,233713
2015-03-16,3810.0,3875.0,3750.0,3810.0,434073
2015-03-17,3825.0,3870.0,3785.0,3785.0,256515
