date,open,high,low,close,volume
2015-01-02,5377.0,5377.0,5217.0,5258.0,1157386
2015-01-05,5287.0,5347.0,5127.0,5208.0,1686680
2015-01-06,5137.0,5267.0,5018.0,5028.0,1551521
2015-01-07,5038.0,5177.0,5038.0,5138.0,1033993
2015-01-08,5147.0,5157.0,5058.0,5128.0,715493
2015-01-09,5147.0,5337.0,5137.0,5288.0,1564469
2015-01-12,5487.0,6075.0,5437.0,6076.0,7464085
2015-01-13,6085.0,6135.0,5856.0,5946.0,4874183
2015-01-14,6025.0,6065.0,5796.0,5986.0,2537069
2015-01-15,5985.0,6125.0,5916.0,6066.0,2280865
2015-01-16,6065.0,6205.0,5926.0,5976.0,3201726
2015-01-19,6025.0,6195.0,5726.0,6116.0,3529725
2015-01-20,6275.0,6474.0,5995.0,6006.0,5079472
2015-01-21,6055.0,6285.0,5975.0,6175.0,2216648
2015-01-22,6115.0,6255.0,5876.0,5916.0,1978456
2015-01-23,5985.0,6085.0,5796.0,5846.0,1638287
2015-01-26,5886.0,5926.0,5746.0,5886.0,1434609
2015-01-27,5856.0,5985.0,5776.0,5856.0,1804310
2015-01-28,5806.0,5916.0,5746.0,5766.0,1252890
2015-01-29,5786.0,5896.0,5437.0,5467.0,2582091
2015-01-30,5536.0,5716.0,5487.0,5717.0,1372793
2015-02-02,5676.0,5776.0,5596.0,5617.0,870482
2015-02-03,5686.0,5746.0,5626.0,5687.0,696145
2015-02-04,5726.0,5876.0,5636.0,5786.0,1171867
2015-02-05,5786.0,5846.0,5566.0,5597.0,1224886
2015-02-06,5596.0,5716.0,5526.0,5667.0,959918
2015-02-09,5616.0,5686.0,5507.0,5517.0,894089
2015-02-10,5546.0,5726.0,5536.0,5587.0,1013561
2015-02-11,5616.0,5756.0,5616.0,5737.0,907943
2015-02-12,5826.0,5856.0,5626.0,5627.0,1087919
2015-02-13,5616.0,5686.0,5556.0,5637.0,813896
2015-02-16,5666.0,5816.0,5656.0,5776.0,1151613
2015-02-17,5806.0,5816.0,5656.0,5677.0,766494
2015-02-23,5736.0,5896.0,5706.0,5896.0,1699475
2015-02-24,5926.0,6315.0,5896.0,6315.0,3927702
2015-02-25,6374.0,6574.0,6225.0,6475.0,4272637
2015-02-26,6375.0,6504.0,6305.0,6485.0,2082001
2015-02-27,6604.0,6833.0,6275.0,6325.0,3944643
2015-03-02,6295.0,6404.0,6185.0,6295.0,1502007
2015-03-03,6365.0,6404.0,6175.0,6235.0,1379733
2015-03-04,6235.0,6355.0,6075.0,6086.0,1664695
2015-03-05,6115.0,6195.0,6075.0,6086.0,880596
2015-03-06,6165.0,6305.0,6085.0,6215.0,1530526
2015-03-09,6215.0,6235.0,5985.0,5996.0,1541103
2015-03-10,6055.0,6215.0,6015.0,6215.0,1632086
2015-03-11,6105.0,6245.0,6055.0,6066.0,1240297
2015-03-12,6125.0,6135.0,5936.0,6086.0,1325564
2015-03-13,6165.0,6365.0,6135.0,6305.0,2232454
2015-03-16,6414.0,6454.0,6295.0,6345.0,1952860
2015-03-17,6634.0,6664.0,6265.0,6355.0,3897429
2015-03-18,6394.0,6414.0,6145.0,6165.0,1476451
2015-03-19,6215.0,6255.0,5995.0,6046.0,1885250
2015-03-20,6045.0,6215.0,5985.0,6086.0,1906752
2015-03-23,6105.0,6165.0,6025.0,6116.0,922819
2015-03-24,6115.0,6125.0,6035.0,6046.0,831615
2015-03-25,6045.0,6085.0,5926.0,5946.0,1190201
2015-03-26,5946.0,6025.0,5686.0,5796.0,1860438
2015-03-27,5806.0,5826.0,5556.0,5597.0,1775084
2015-03-30,5606.0,5676.0,5497.0,5537.0,1524819
2015-03-31,5616.0,5836.0,5556.0,5737.0,2005848
2015-04-01,5716.0,5786.0,5646.0,5737.0,865180
2015-04-02,5756.0,5846.0,5716.0,5766.0,950455
2015-04-03,5786.0,5936.0,5746.0,5876.0,1079944
2015-04-06,5866.0,5866.0,5716.0,5737.0,880985
2015-04-07,5746.0,5846.0,5507.0,5547.0,2109616
2015-04-08,5586.0,5626.0,5517.0,5617.0,1147672
2015-04-09,5656.0,5796.0,5636.0,5637.0,1528914
2015-04-10,5616.0,5646.0,5546.0,5577.0,1027750
2015-04-13,5606.0,5676.0,5556.0,5607.0,1066942
2015-04-14,5716.0,5936.0,5656.0,5856.0,3013732
2015-04-15,5856.0,5965.0,5786.0,5886.0,1422617
2015-04-16,5936.0,5975.0,5816.0,5916.0,1382973
2015-04-17,5916.0,6025.0,5796.0,5796.0,1557122
2015-04-20,5776.0,5786.0,5606.0,5617.0,1786043
2015-04-21,5636.0,5746.0,5626.0,5687.0,1028568
2015-04-22,5716.0,5796.0,5287.0,5597.0,1768651
2015-04-23,5626.0,5676.0,5437.0,5637.0,1201741
2015-04-24,5746.0,5746.0,5526.0,5527.0,780743
2015-04-27,5526.0,5676.0,5507.0,5657.0,609424
2015-04-28,5656.0,5756.0,5616.0,5687.0,861869
2015-04-29,5716.0,5726.0,5556.0,5587.0,714253
2015-04-30,5566.0,5616.0,5477.0,5497.0,508429
2015-05-04,5477.0,5497.0,5297.0,5308.0,932952
2015-05-06,5317.0,5377.0,5257.0,5337.0,534380
2015-05-07,5307.0,5347.0,5167.0,5347.0,488883
2015-05-08,5337.0,5397.0,5297.0,5337.0,427925
2015-05-11,5357.0,5437.0,5337.0,5367.0,516768
2015-05-12,5407.0,5447.0,5247.0,5288.0,731299
2015-05-13,5287.0,5297.0,5117.0,5228.0,700000
2015-05-14,5237.0,5297.0,5187.0,5208.0,495377
2015-05-15,5237.0,5287.0,5167.0,5198.0,495737
2015-05-18,5167.0,5197.0,4988.0,4988.0,1024639
2015-05-19,5038.0,5377.0,4978.0,5317.0,1567285
2015-05-20,5377.0,5417.0,5247.0,5407.0,841971
2015-05-21,5437.0,5566.0,5347.0,5417.0,1065756
2015-05-22,5497.0,5526.0,5367.0,5447.0,694210
2015-05-26,5636.0,5896.0,5586.0,5746.0,3468496
2015-05-27,5726.0,5736.0,5487.0,5617.0,1307564
2015-05-28,5556.0,5626.0,5457.0,5467.0,764829
2015-05-29,5407.0,5626.0,5377.0,5627.0,1024736
2015-06-01,5666.0,5736.0,5556.0,5597.0,820476
2015-06-02,5606.0,5616.0,5277.0,5278.0,1327297
2015-06-03,5357.0,5586.0,5287.0,5427.0,1259515
2015-06-04,5487.0,5517.0,5337.0,5427.0,804880
2015-06-05,5387.0,5487.0,5137.0,5138.0,1107416
2015-06-08,5177.0,5287.0,5117.0,5218.0,513348
2015-06-09,5247.0,5297.0,5187.0,5238.0,423874
2015-06-10,5267.0,5267.0,5147.0,5158.0,530673
2015-06-11,5197.0,5207.0,5038.0,5138.0,635745
2015-06-12,5117.0,5177.0,5058.0,5108.0,491696
2015-06-15,5098.0,5307.0,5048.0,5238.0,684239
2015-06-16,5237.0,5277.0,5038.0,5118.0,622866
2015-06-17,5187.0,5407.0,5098.0,5387.0,1033190
2015-06-18,5387.0,5906.0,5297.0,5906.0,3263482
2015-06-19,6005.0,6554.0,6005.0,6495.0,9583677
2015-06-22,6594.0,7322.0,6454.0,7004.0,11581998
2015-06-23,7043.0,7262.0,6923.0,7133.0,5123335
2015-06-24,7223.0,7312.0,6973.0,7173.0,2744380
2015-06-25,7093.0,7562.0,7023.0,7253.0,4181911
2015-06-26,7302.0,7482.0,7043.0,7303.0,3782564
2015-06-29,7232.0,7452.0,6953.0,7033.0,2827976
2015-06-30,7073.0,7592.0,6803.0,7532.0,4655307
2015-07-01,7671.0,7761.0,7073.0,7243.0,4291210
2015-07-02,7242.0,7242.0,6833.0,7004.0,3932724
2015-07-03,7083.0,7592.0,6983.0,7582.0,4936171
2015-07-06,7482.0,8011.0,7382.0,7512.0,6405622
2015-07-07,7881.0,8579.0,7252.0,7622.0,8346651
2015-07-08,7691.0,8390.0,7542.0,8281.0,6821603
2015-07-09,8210.0,8240.0,7462.0,8021.0,4341008
2015-07-10,8090.0,8320.0,7821.0,7822.0,2484723
2015-07-13,7781.0,8051.0,7691.0,7981.0,1488989
2015-07-14,8071.0,8200.0,7791.0,7802.0,1813634
2015-07-15,7801.0,7911.0,7552.0,7752.0,1860323
2015-07-16,7791.0,7851.0,7492.0,7542.0,2121682
2015-07-17,7582.0,8270.0,7562.0,8031.0,5833383
2015-07-20,8250.0,8938.0,8240.0,8799.0,8803109
2015-07-21,8669.0,8739.0,8390.0,8710.0,2693346
2015-07-22,8649.0,9208.0,8320.0,8320.0,4134729
2015-07-23,8380.0,8619.0,8200.0,8281.0,1520365
2015-07-24,8410.0,8509.0,8061.0,8101.0,1486510
2015-07-27,8260.0,8589.0,8190.0,8310.0,3141657
2015-07-28,8051.0,8160.0,7502.0,7662.0,3645222
2015-07-29,7741.0,7841.0,7362.0,7423.0,2444599
2015-07-30,7532.0,7651.0,7223.0,7303.0,1432213
2015-07-31,7472.0,7572.0,7033.0,7512.0,2381074
2015-08-03,7532.0,7552.0,7113.0,7113.0,1400806
2015-08-04,7093.0,7482.0,7043.0,7482.0,1471769
2015-08-05,7462.0,7651.0,7392.0,7482.0,1202785
2015-08-06,7512.0,7831.0,7462.0,7792.0,2274464
2015-08-07,7791.0,8170.0,7711.0,8081.0,3128930
2015-08-10,8090.0,8599.0,8031.0,8151.0,4371638
2015-08-11,8140.0,8160.0,7292.0,7333.0,2938142
2015-08-12,7282.0,7512.0,6953.0,7472.0,2945551
2015-08-13,7462.0,7751.0,7232.0,7632.0,1758421
2015-08-17,7651.0,7921.0,7492.0,7502.0,1335547
2015-08-18,7482.0,7681.0,7213.0,7313.0,1158387
2015-08-19,7232.0,7352.0,6953.0,7143.0,1211013
2015-08-20,6993.0,7223.0,6494.0,6624.0,4593292
2015-08-21,6424.0,6903.0,6315.0,6634.0,3371766
2015-08-24,6624.0,6873.0,6394.0,6515.0,1704753
2015-08-25,6684.0,6843.0,6494.0,6804.0,1718028
2015-08-26,6724.0,6853.0,6564.0,6804.0,1878375
2015-08-27,6903.0,7223.0,6823.0,7103.0,2947812
2015-08-28,7282.0,7512.0,7203.0,7203.0,2129278
2015-08-31,7203.0,7322.0,7043.0,7143.0,851173
2015-09-01,7242.0,7352.0,6963.0,6964.0,1544530
2015-09-02,6883.0,7103.0,6794.0,7103.0,902787
2015-09-03,7232.0,7282.0,7063.0,7093.0,1187211
2015-09-04,7163.0,7213.0,6634.0,6694.0,1226908
2015-09-07,6694.0,6724.0,6255.0,6265.0,1549433
2015-09-08,6285.0,6345.0,5846.0,6255.0,2498933
2015-09-09,6384.0,6444.0,6255.0,6365.0,1116948
2015-09-10,6265.0,6355.0,6235.0,6355.0,608315
2015-09-11,6384.0,6534.0,6315.0,6355.0,779438
2015-09-14,6414.0,6434.0,6065.0,6215.0,782068
2015-09-15,6215.0,6365.0,6115.0,6185.0,866072
2015-09-16,6275.0,6394.0,6235.0,6325.0,1095342
2015-09-17,6384.0,6524.0,6085.0,6165.0,1165523
2015-09-18,6195.0,6574.0,5916.0,6575.0,2161235
