date,open,high,low,close,volume
2015-01-02,2199.0,2205.0,2163.0,2170.0,727117
2015-01-05,2146.0,2205.0,2111.0,2209.0,963169
2015-01-06,2199.0,2282.0,2166.0,2244.0,1771505
2015-01-07,2245.0,2286.0,2215.0,2216.0,1268711
2015-01-08,2242.0,2273.0,2186.0,2260.0,1259784
2015-01-09,2273.0,2286.0,2225.0,2244.0,585350
2015-01-12,2286.0,2297.0,2179.0,2209.0,1663974
2015-01-13,2195.0,2317.0,2195.0,2279.0,3189987
2015-01-14,2317.0,2321.0,2262.0,2283.0,1408663
2015-01-15,2313.0,2313.0,2230.0,2232.0,1184843
2015-01-16,2230.0,2262.0,2190.0,2228.0,936066
2015-01-19,2258.0,2305.0,2238.0,2288.0,1151918
2015-01-20,2308.0,2308.0,2245.0,2263.0,799977
2015-01-21,2273.0,2278.0,2222.0,2240.0,974820
2015-01-22,2250.0,2329.0,2190.0,2213.0,3361987
2015-01-23,2222.0,2225.0,2155.0,2157.0,1261633
2015-01-26,2179.0,2202.0,2139.0,2160.0,851963
2015-01-27,2163.0,2195.0,2150.0,2157.0,930529
2015-01-28,2143.0,2205.0,2143.0,2193.0,858120
2015-01-29,2190.0,2202.0,2170.0,2185.0,377752
2015-01-30,2210.0,2210.0,2160.0,2173.0,575173
2015-02-02,2150.0,2163.0,2079.0,2106.0,952633
2015-02-03,2096.0,2182.0,2068.0,2185.0,1210177
2015-02-04,2210.0,2230.0,2175.0,2193.0,839257
2015-02-05,2190.0,2195.0,2130.0,2153.0,649526
2015-02-06,2175.0,2175.0,2143.0,2170.0,362712
2015-02-09,2166.0,2199.0,2150.0,2153.0,719616
2015-02-10,2163.0,2170.0,2111.0,2160.0,638475
2015-02-11,2160.0,2225.0,2130.0,2228.0,932945
2015-02-12,2245.0,2288.0,2225.0,2256.0,2794330
2015-02-13,2282.0,2313.0,2233.0,2256.0,2336543
2015-02-16,2262.0,2273.0,2195.0,2200.0,895190
2015-02-17,2222.0,2333.0,2210.0,2303.0,2432369
2015-02-23,2333.0,2629.0,2325.0,2600.0,8475747
2015-02-24,2590.0,2618.0,2535.0,2612.0,3029342
2015-02-25,2658.0,2749.0,2550.0,2555.0,4341859
2015-02-26,2545.0,2638.0,2540.0,2575.0,2100576
2015-02-27,2565.0,2629.0,2506.0,2510.0,1460877
2015-03-02,2515.0,2583.0,2491.0,2553.0,1242723
2015-03-03,2585.0,2633.0,2520.0,2540.0,1571656
2015-03-04,2520.0,2605.0,2515.0,2608.0,1108180
2015-03-05,2629.0,2633.0,2550.0,2565.0,1566458
2015-03-06,2590.0,2642.0,2504.0,2573.0,1955891
2015-03-09,2570.0,2575.0,2420.0,2442.0,1289425
2015-03-10,2464.0,2479.0,2302.0,2371.0,1797856
2015-03-11,2349.0,2392.0,2317.0,2366.0,911837
2015-03-12,2369.0,2440.0,2360.0,2383.0,974816
2015-03-13,2396.0,2448.0,2372.0,2418.0,894491
2015-03-16,2432.0,2444.0,2376.0,2415.0,796184
2015-03-17,2444.0,2444.0,2293.0,2308.0,1472274
2015-03-18,2325.0,2333.0,2262.0,2268.0,868720
2015-03-19,2278.0,2360.0,2245.0,2319.0,1221821
2015-03-20,2325.0,2333.0,2288.0,2297.0,552973
2015-03-23,2317.0,2484.0,2317.0,2418.0,3825870
2015-03-24,2420.0,2428.0,2353.0,2415.0,1148689
2015-03-25,2444.0,2456.0,2385.0,2395.0,1162852
2015-03-26,2389.0,2412.0,2321.0,2355.0,990825
2015-03-27,2459.0,2530.0,2329.0,2331.0,2832523
2015-03-30,2333.0,2440.0,2297.0,2386.0,1610516
2015-03-31,2405.0,2432.0,2360.0,2406.0,998740
2015-04-01,2400.0,2432.0,2372.0,2425.0,890825
2015-04-02,2451.0,2471.0,2405.0,2406.0,1405424
2015-04-03,2408.0,2464.0,2389.0,2446.0,1177613
2015-04-06,2468.0,2560.0,2451.0,2516.0,2914941
2015-04-07,2515.0,2530.0,2464.0,2501.0,1260307
2015-04-08,2499.0,2510.0,2456.0,2458.0,1029805
2015-04-09,2459.0,2499.0,2435.0,2454.0,1106327
2015-04-10,2495.0,2729.0,2484.0,2659.0,7163083
2015-04-13,2658.0,2677.0,2585.0,2600.0,1873440
2015-04-14,2598.0,2721.0,2560.0,2608.0,3361347
2015-04-15,2614.0,2744.0,2595.0,2746.0,2554290
2015-04-16,2855.0,3093.0,2783.0,3019.0,10964281
2015-04-17,3021.0,3065.0,2940.0,3008.0,5590536
2015-04-20,3148.0,3389.0,3144.0,3265.0,10298820
2015-04-21,3330.0,3350.0,3188.0,3349.0,4334363
2015-04-22,3283.0,3339.0,2942.0,3139.0,4407541
2015-04-23,3160.0,3223.0,2965.0,2992.0,3670609
2015-04-24,2998.0,3116.0,2900.0,3063.0,2764482
2015-04-27,3069.0,3196.0,3065.0,3095.0,2062630
2015-04-28,3136.0,3172.0,3018.0,3103.0,2821380
2015-04-29,3093.0,3255.0,3080.0,3225.0,3713562
2015-04-30,3203.0,3235.0,3085.0,3111.0,2087990
2015-05-04,3116.0,3144.0,2925.0,2930.0,1482402
