date,open,high,low,close,volume
2015-01-02,3795.0,3900.0,3765.0,3880.0,228532
2015-01-05,3925.0,4000.0,3845.0,3980.0,317872
2015-01-06,3930.0,4030.0,3915.0,4020.0,261234
2015-01-07,4025.0,4045.0,3915.0,3935.0,203614
2015-01-08,3950.0,3965.0,3875.0,3920.0,154806
2015-01-09,3920.0,4115.0,3920.0,4100.0,581717
2015-01-12,4100.0,4140.0,4050.0,4120.0,360006
2015-01-13,4160.0,4205.0,4030.0,4100.0,450350
2015-01-14,4100.0,4115.0,4020.0,4035.0,185615
2015-01-15,4035.0,4070.0,3935.0,3955.0,305395
2015-01-16,3930.0,3955.0,3815.0,3865.0,288809
2015-01-19,3905.0,3935.0,3870.0,3895.0,134227
2015-01-20,3930.0,4050.0,3885.0,4050.0,223716
2015-01-21,4020.0,4095.0,4010.0,4085.0,237197
2015-01-22,4085.0,4150.0,3905.0,3975.0,357977
2015-01-23,4005.0,4090.0,3935.0,4065.0,197279
2015-01-26,4070.0,4090.0,3960.0,3970.0,225848
2015-01-27,3985.0,4195.0,3975.0,4090.0,559484
2015-01-28,4090.0,4270.0,4050.0,4195.0,985765
2015-01-29,4180.0,4195.0,4085.0,4180.0,367836
2015-01-30,4200.0,4260.0,4105.0,4105.0,309512
2015-02-02,4060.0,4115.0,4020.0,4100.0,194558
2015-02-03,4100.0,4120.0,3925.0,3950.0,372227
2015-02-04,3990.0,4080.0,3955.0,3985.0,269174
2015-02-05,3990.0,4050.0,3935.0,4050.0,198392
2015-02-06,4060.0,4160.0,3975.0,4125.0,370784
2015-02-09,4125.0,4145.0,4010.0,4030.0,260260
2015-02-10,4030.0,4045.0,3630.0,3685.0,1131267
2015-02-11,3690.0,3715.0,3540.0,3615.0,458553
2015-02-12,3680.0,3725.0,3575.0,3695.0,246017
2015-02-13,3680.0,3720.0,3630.0,3645.0,231975
2015-02-16,3630.0,3715.0,3630.0,3650.0,164615
2015-02-17,3650.0,3715.0,3635.0,3700.0,110731
2015-02-23,3740.0,3840.0,3690.0,3830.0,269028
2015-02-24,3830.0,3920.0,3830.0,3900.0,212401
2015-02-25,3905.0,3940.0,3825.0,3840.0,144685
2015-02-26,3900.0,3900.0,3820.0,3855.0,93730
2015-02-27,3810.0,3890.0,3810.0,3865.0,90887
2015-03-02,3840.0,3895.0,3825.0,3880.0,163204
2015-03-03,3860.0,3895.0,3855.0,3875.0,92509
2015-03-04,3980.0,4175.0,3970.0,4075.0,813672
2015-03-05,4160.0,4260.0,4095.0,4195.0,767978
2015-03-06,4200.0,4240.0,4090.0,4155.0,253263
2015-03-09,4150.0,4395.0,4045.0,4245.0,776733
2015-03-10,4340.0,4370.0,4125.0,4280.0,398581
2015-03-11,4280.0,4515.0,4260.0,4280.0,1119404
2015-03-12,4270.0,4360.0,4120.0,4190.0,618401
2015-03-13,4305.0,4455.0,4265.0,4330.0,842711
2015-03-16,4335.0,4375.0,4270.0,4280.0,262083
2015-03-17,4290.0,4420.0,4270.0,4375.0,315078
