date,open,high,low,close,volume
2015-01-02,5990.0,6442.0,5957.0,6359.0,1321044
2015-01-05,6275.0,6417.0,6191.0,6409.0,668189
2015-01-06,6358.0,6450.0,6224.0,6283.0,435894
2015-01-07,6325.0,7018.0,6325.0,6701.0,2373507
2015-01-08,6734.0,6742.0,6525.0,6643.0,587451
2015-01-09,6692.0,6851.0,6550.0,6576.0,708852
2015-01-12,6609.0,6768.0,6575.0,6668.0,393245
2015-01-13,6759.0,6759.0,6375.0,6384.0,516657
2015-01-14,6392.0,6483.0,6325.0,6375.0,316342
2015-01-15,6525.0,6801.0,6425.0,6509.0,827030
2015-01-16,6508.0,6559.0,6308.0,6425.0,347246
2015-01-19,6500.0,6508.0,6283.0,6350.0,282785
2015-01-20,6408.0,6433.0,6283.0,6434.0,282762
2015-01-21,6433.0,6634.0,6433.0,6434.0,420396
2015-01-22,6433.0,6442.0,6191.0,6267.0,361183
2015-01-23,6283.0,6366.0,6191.0,6191.0,336994
2015-01-26,6208.0,6375.0,6208.0,6342.0,230918
2015-01-27,6325.0,6467.0,6266.0,6283.0,266473
2015-01-28,6266.0,6275.0,6132.0,6166.0,229454
2015-01-29,6199.0,6199.0,6007.0,6049.0,306928
2015-01-30,6091.0,6141.0,5974.0,6066.0,194295
2015-02-02,6091.0,6091.0,5965.0,6033.0,173692
2015-02-03,6007.0,6375.0,6007.0,6267.0,544145
2015-02-04,6308.0,6450.0,6208.0,6350.0,357492
2015-02-05,6383.0,6475.0,6216.0,6325.0,345624
2015-02-06,6366.0,6433.0,6308.0,6359.0,226472
2015-02-09,6408.0,6559.0,6275.0,6342.0,445222
2015-02-10,6275.0,6333.0,6032.0,6100.0,321417
2015-02-11,6183.0,6249.0,6091.0,6133.0,155723
2015-02-12,6132.0,6141.0,6032.0,6033.0,211349
2015-02-13,6032.0,6174.0,6016.0,6074.0,198920
2015-02-16,6049.0,6341.0,6016.0,6267.0,254335
2015-02-17,6249.0,6308.0,6099.0,6150.0,181715
2015-02-23,6174.0,6316.0,6141.0,6141.0,237053
2015-02-24,6216.0,6266.0,5614.0,5657.0,1012410
2015-02-25,5698.0,5740.0,5573.0,5673.0,515737
2015-02-26,5665.0,5773.0,5606.0,5757.0,271932
2015-02-27,5756.0,5949.0,5690.0,5857.0,331218
2015-03-02,5873.0,5940.0,5848.0,5857.0,221418
2015-03-03,5865.0,6024.0,5848.0,5974.0,285949
2015-03-04,6057.0,6057.0,5957.0,6008.0,157308
2015-03-05,6057.0,6249.0,6041.0,6058.0,442251
2015-03-06,6041.0,6066.0,5924.0,5958.0,252819
2015-03-09,5990.0,6082.0,5840.0,5882.0,335683
2015-03-10,5907.0,5974.0,5731.0,5765.0,259036
2015-03-11,5765.0,5882.0,5731.0,5765.0,199696
2015-03-12,5740.0,5823.0,5698.0,5765.0,303574
2015-03-13,5765.0,5807.0,5681.0,5732.0,301645
2015-03-16,5756.0,5765.0,5681.0,5732.0,133824
2015-03-17,5740.0,5798.0,5698.0,5732.0,284883
2015-03-18,5740.0,5815.0,5690.0,5732.0,318605
2015-03-19,5740.0,5740.0,5640.0,5648.0,271422
2015-03-20,5665.0,5782.0,5648.0,5757.0,265098
2015-03-23,5798.0,5798.0,5715.0,5715.0,204592
2015-03-24,5756.0,5756.0,5640.0,5707.0,218623
2015-03-25,5731.0,5756.0,5656.0,5665.0,197752
2015-03-26,5681.0,5773.0,5640.0,5749.0,179236
2015-03-27,5773.0,5890.0,5681.0,5707.0,410657
