date,open,high,low,close,volume
2015-01-02,2175.0,2185.0,2135.0,2160.0,6352
2015-01-05,2165.0,2165.0,2110.0,2140.0,36971
2015-01-06,2110.0,2135.0,2085.0,2135.0,68332
2015-01-07,2140.0,2140.0,2070.0,2120.0,9296
2015-01-08,2125.0,2195.0,2095.0,2195.0,34147
2015-01-09,2190.0,2195.0,2150.0,2190.0,4059
2015-01-12,2190.0,2240.0,2160.0,2215.0,45842
2015-01-13,2180.0,2305.0,2180.0,2280.0,103540
2015-01-14,2280.0,2330.0,2250.0,2315.0,47310
2015-01-15,2300.0,2320.0,2270.0,2320.0,39634
2015-01-16,2320.0,2400.0,2260.0,2360.0,107567
2015-01-19,2355.0,2380.0,2315.0,2330.0,12384
2015-01-20,2320.0,2370.0,2280.0,2335.0,21730
2015-01-21,2340.0,2340.0,2255.0,2255.0,53949
2015-01-22,2320.0,2320.0,2220.0,2260.0,47344
2015-01-23,2240.0,2345.0,2240.0,2315.0,52242
2015-01-26,2315.0,2515.0,2275.0,2340.0,99498
2015-01-27,2340.0,2350.0,2280.0,2330.0,33970
2015-01-28,2330.0,2380.0,2305.0,2305.0,68924
2015-01-29,2285.0,2320.0,2280.0,2280.0,17567
2015-01-30,2275.0,2315.0,2270.0,2270.0,31954
2015-02-02,2305.0,2305.0,2265.0,2295.0,9963
2015-02-03,2300.0,2340.0,2255.0,2285.0,24442
2015-02-04,2290.0,2310.0,2270.0,2285.0,23006
2015-02-05,2290.0,2390.0,2265.0,2305.0,27638
2015-02-06,2345.0,2350.0,2290.0,2300.0,28566
2015-02-09,2295.0,2330.0,2250.0,2325.0,55540
2015-02-10,2315.0,2340.0,2250.0,2270.0,38888
2015-02-11,2270.0,2310.0,2260.0,2295.0,30793
2015-02-12,2300.0,2310.0,2155.0,2270.0,104478
2015-02-13,2265.0,2275.0,2200.0,2200.0,38817
2015-02-16,2190.0,2230.0,2160.0,2180.0,145755
2015-02-17,2200.0,2200.0,2060.0,2085.0,677246
2015-02-23,2080.0,2135.0,2075.0,2115.0,151127
2015-02-24,2130.0,2130.0,2090.0,2110.0,115329
2015-02-25,2135.0,2135.0,2105.0,2130.0,73611
2015-02-26,2135.0,2160.0,2090.0,2115.0,150339
2015-02-27,2120.0,2170.0,2115.0,2145.0,60463
2015-03-02,2140.0,2160.0,2135.0,2150.0,53918
2015-03-03,2140.0,2165.0,2100.0,2135.0,273001
2015-03-04,2150.0,2180.0,2130.0,2180.0,155802
2015-03-05,2180.0,2270.0,2175.0,2215.0,131926
2015-03-06,2210.0,2275.0,2200.0,2245.0,133495
2015-03-09,2255.0,2270.0,2205.0,2215.0,56479
2015-03-10,2195.0,2255.0,2180.0,2215.0,125695
2015-03-11,2185.0,2240.0,2185.0,2210.0,41632
2015-03-12,2210.0,2215.0,2170.0,2190.0,46715
2015-03-13,2190.0,2245.0,2160.0,2225.0,53919
2015-03-16,2245.0,2300.0,2170.0,2205.0,71033
2015-03-17,2210.0,2250.0,2155.0,2215.0,63973
2015-03-18,2220.0,2485.0,2190.0,2400.0,227609
2015-03-19,2400.0,2405.0,2280.0,2360.0,198554
2015-03-20,2360.0,2370.0,2290.0,2340.0,82394
2015-03-23,2360.0,2360.0,2310.0,2340.0,51338
2015-03-24,2345.0,2345.0,2290.0,2335.0,44124
2015-03-25,2350.0,2350.0,2295.0,2295.0,53128
2015-03-26,2270.0,2335.0,2235.0,2310.0,139105
2015-03-27,2315.0,2315.0,2265.0,2280.0,35033
2015-03-30,2285.0,2360.0,2255.0,2345.0,60176
2015-03-31,2345.0,2360.0,2320.0,2330.0,74910
2015-04-01,2335.0,2350.0,2310.0,2335.0,40326
2015-04-02,2340.0,2420.0,2340.0,2420.0,126056
2015-04-03,2420.0,2420.0,2380.0,2420.0,45350
2015-04-06,2430.0,2510.0,2390.0,2490.0,269490
2015-04-07,2490.0,2515.0,2455.0,2490.0,57045
2015-04-08,2500.0,2500.0,2425.0,2430.0,303916
2015-04-09,2430.0,2480.0,2405.0,2440.0,73537
2015-04-10,2425.0,2470.0,2380.0,2460.0,147212
2015-04-13,2470.0,2470.0,2415.0,2425.0,24583
2015-04-14,2425.0,2440.0,2400.0,2430.0,102881
2015-04-15,2430.0,2445.0,2400.0,2410.0,63693
2015-04-16,2405.0,2445.0,2390.0,2410.0,63649
2015-04-17,2415.0,2430.0,2380.0,2425.0,54065
2015-04-20,2455.0,2455.0,2410.0,2430.0,39845
2015-04-21,2425.0,2440.0,2380.0,2380.0,71767
2015-04-22,2400.0,2425.0,2255.0,2355.0,141659
2015-04-23,2350.0,2495.0,2270.0,2420.0,124317
2015-04-24,2415.0,2415.0,2240.0,2360.0,222189
2015-04-27,2365.0,2365.0,2200.0,2240.0,573816
2015-04-28,2265.0,2265.0,2165.0,2180.0,395229
2015-04-29,2185.0,2235.0,2170.0,2235.0,67502
2015-04-30,2245.0,2245.0,2195.0,2205.0,47975
2015-05-04,2195.0,2250.0,2175.0,2250.0,53842
2015-05-06,2210.0,2235.0,2195.0,2220.0,48217
2015-05-07,2195.0,2265.0,2175.0,2245.0,60341
2015-05-08,2230.0,2255.0,2210.0,2255.0,23151
2015-05-11,2255.0,2255.0,2200.0,2250.0,19584
2015-05-12,2270.0,2270.0,2205.0,2225.0,42771
2015-05-13,2225.0,2225.0,2170.0,2220.0,87400
2015-05-14,2220.0,2225.0,2185.0,2195.0,51895
2015-05-15,2195.0,2220.0,2185.0,2220.0,26232
2015-05-18,2225.0,2230.0,2170.0,2190.0,35394
2015-05-19,2190.0,2220.0,2165.0,2205.0,47049
2015-05-20,2225.0,2225.0,2180.0,2205.0,50164
2015-05-21,2205.0,2240.0,2185.0,2230.0,75359
2015-05-22,2230.0,2245.0,2195.0,2225.0,154744
2015-05-26,2245.0,2250.0,2190.0,2210.0,28074
2015-05-27,2205.0,2210.0,2140.0,2195.0,136109
2015-05-28,2195.0,2200.0,2175.0,2190.0,26634
2015-05-29,2190.0,2205.0,2170.0,2190.0,16357
2015-06-01,2175.0,2320.0,2170.0,2270.0,69861
2015-06-02,2270.0,2305.0,2250.0,2260.0,45624
2015-06-03,2275.0,2275.0,2210.0,2235.0,27492
2015-06-04,2240.0,2255.0,2200.0,2240.0,123471
2015-06-05,2210.0,2245.0,2185.0,2215.0,42898
2015-06-08,2220.0,2230.0,2180.0,2190.0,29051
2015-06-09,2185.0,2195.0,2140.0,2150.0,60868
2015-06-10,2150.0,2175.0,2070.0,2070.0,266902
2015-06-11,2085.0,2110.0,2030.0,2040.0,201696
2015-06-12,2040.0,2105.0,1995.0,2055.0,90928
2015-06-15,2065.0,2150.0,2055.0,2085.0,77164
2015-06-16,2090.0,2165.0,2065.0,2165.0,50764
2015-06-17,2155.0,2180.0,2100.0,2175.0,19963
2015-06-18,2180.0,2180.0,2125.0,2145.0,18100
2015-06-19,2200.0,2200.0,2100.0,2150.0,62395
2015-06-22,2155.0,2155.0,2100.0,2150.0,19289
2015-06-23,2120.0,2140.0,2100.0,2120.0,235760
2015-06-24,2125.0,2290.0,2105.0,2240.0,116162
2015-06-25,2255.0,2255.0,2130.0,2230.0,63432
2015-06-26,2230.0,2270.0,2140.0,2260.0,65171
2015-06-29,2255.0,2290.0,2170.0,2250.0,121822
2015-06-30,2250.0,2250.0,2170.0,2235.0,156027
2015-07-01,2190.0,2245.0,2170.0,2235.0,105807
2015-07-02,2230.0,2240.0,2180.0,2235.0,48552
2015-07-03,2235.0,2245.0,2170.0,2180.0,29975
2015-07-06,2170.0,2200.0,2130.0,2190.0,51107
2015-07-07,2190.0,2210.0,2165.0,2195.0,21896
2015-07-08,2175.0,2300.0,2170.0,2235.0,69036
2015-07-09,2195.0,2255.0,2175.0,2255.0,48636
2015-07-10,2260.0,2275.0,2225.0,2225.0,38425
2015-07-13,2230.0,2285.0,2210.0,2285.0,59464
2015-07-14,2275.0,2295.0,2235.0,2290.0,31549
2015-07-15,2290.0,2295.0,2250.0,2280.0,38038
2015-07-16,2280.0,2285.0,2240.0,2265.0,39188
2015-07-17,2265.0,2275.0,2235.0,2250.0,34878
2015-07-20,2250.0,2265.0,2230.0,2255.0,25386
2015-07-21,2255.0,2275.0,2235.0,2275.0,23846
2015-07-22,2275.0,2290.0,2250.0,2265.0,45995
2015-07-23,2265.0,2300.0,2245.0,2275.0,34698
2015-07-24,2280.0,2440.0,2275.0,2380.0,188150
2015-07-27,2385.0,2425.0,2325.0,2380.0,84534
2015-07-28,2355.0,2405.0,2260.0,2380.0,143271
2015-07-29,2370.0,2385.0,2315.0,2370.0,24826
2015-07-30,2335.0,2355.0,2275.0,2280.0,39632
2015-07-31,2285.0,2315.0,2245.0,2280.0,52643
2015-08-03,2310.0,2310.0,2205.0,2220.0,63821
2015-08-04,2220.0,2295.0,2205.0,2250.0,25747
2015-08-05,2260.0,2295.0,2235.0,2295.0,10125
2015-08-06,2265.0,2325.0,2265.0,2325.0,23238
2015-08-07,2330.0,2330.0,2280.0,2320.0,10605
2015-08-10,2325.0,2330.0,2245.0,2250.0,50891
2015-08-11,2290.0,2290.0,2220.0,2245.0,20225
2015-08-12,2245.0,2250.0,2145.0,2200.0,64919
2015-08-13,2205.0,2240.0,2200.0,2240.0,5541
2015-08-17,2240.0,2245.0,2195.0,2220.0,4818
2015-08-18,2190.0,2235.0,2150.0,2170.0,45538
2015-08-19,2200.0,2205.0,2050.0,2175.0,163280
2015-08-20,2090.0,2210.0,2090.0,2115.0,22836
2015-08-21,1915.0,2100.0,1895.0,2065.0,299411
2015-08-24,2000.0,2045.0,1910.0,2020.0,79403
2015-08-25,2020.0,2080.0,2010.0,2055.0,63454
2015-08-26,2070.0,2185.0,2060.0,2160.0,61334
2015-08-27,2155.0,2220.0,2140.0,2185.0,35213
2015-08-28,2165.0,2225.0,2165.0,2225.0,47855
2015-08-31,2225.0,2245.0,2165.0,2240.0,10361
2015-09-01,2235.0,2245.0,2180.0,2235.0,27106
2015-09-02,2230.0,2235.0,2170.0,2215.0,4620
2015-09-03,2215.0,2220.0,2185.0,2220.0,34831
2015-09-04,2215.0,2260.0,2180.0,2220.0,29292
2015-09-07,2215.0,2260.0,2080.0,2255.0,16859
2015-09-08,2240.0,2285.0,2170.0,2220.0,15937
2015-09-09,2225.0,2250.0,2180.0,2240.0,49611
2015-09-10,2210.0,2275.0,2200.0,2265.0,20979
2015-09-11,2265.0,2435.0,2240.0,2330.0,94779
2015-09-14,2330.0,2365.0,2275.0,2325.0,18097
2015-09-15,2295.0,2325.0,2245.0,2245.0,11776
2015-09-16,2250.0,2280.0,2185.0,2200.0,45721
2015-09-17,2200.0,2245.0,2190.0,2235.0,13072
2015-09-18,2245.0,2285.0,2235.0,2275.0,21110
2015-09-21,2270.0,2270.0,2190.0,2225.0,68086
2015-09-22,2225.0,2230.0,2135.0,2165.0,349378
2015-09-23,2170.0,2175.0,2100.0,2145.0,152943
2015-09-24,2150.0,2195.0,2070.0,2085.0,275192
2015-09-25,2090.0,2180.0,2080.0,2160.0,33259
2015-09-30,2160.0,2185.0,2150.0,2165.0,55041
2015-10-01,2170.0,2195.0,2130.0,2165.0,18459
2015-10-02,2160.0,2200.0,2145.0,2180.0,97697
2015-10-05,2180.0,2200.0,2165.0,2185.0,47867
2015-10-06,2185.0,2230.0,2150.0,2225.0,68889
2015-10-07,2225.0,2235.0,2180.0,2215.0,24549
2015-10-08,2215.0,2300.0,2180.0,2295.0,83789
2015-10-12,2295.0,2300.0,2225.0,2290.0,57870
2015-10-13,2290.0,2290.0,2245.0,2245.0,16155
2015-10-14,2245.0,2265.0,2190.0,2220.0,37758
2015-10-15,2225.0,2250.0,2205.0,2230.0,34771
2015-10-16,2240.0,2295.0,2230.0,2270.0,79086
2015-10-19,2270.0,2315.0,2240.0,2240.0,44536
2015-10-20,2245.0,2290.0,2240.0,2265.0,37498
2015-10-21,2265.0,2315.0,2250.0,2290.0,33541
2015-10-22,2275.0,2935.0,2275.0,2370.0,6350020
2015-10-23,2450.0,2580.0,2330.0,2360.0,1383853
2015-10-26,2410.0,2795.0,2405.0,2575.0,3906218
2015-10-27,2530.0,2660.0,2520.0,2600.0,912599
2015-10-28,2600.0,2690.0,2515.0,2590.0,673568
2015-10-29,2595.0,2720.0,2515.0,2515.0,1316466
2015-10-30,2515.0,2590.0,2430.0,2550.0,426554
2015-11-02,2510.0,2750.0,2490.0,2640.0,754268
2015-11-03,2680.0,2770.0,2525.0,2580.0,845626
2015-11-04,2595.0,2700.0,2560.0,2700.0,715834
2015-11-05,2700.0,2765.0,2635.0,2715.0,813451
2015-11-06,2700.0,2790.0,2540.0,2620.0,928529
