date,open,high,low,close,volume
2015-01-02,9060.0,9060.0,8820.0,9000.0,7601
2015-01-05,9080.0,9080.0,8830.0,8990.0,9247
2015-01-06,9050.0,9050.0,8860.0,8980.0,25503
2015-01-07,9000.0,9000.0,8750.0,8840.0,26845
2015-01-08,8830.0,8830.0,8540.0,8700.0,34780
2015-01-09,8800.0,8800.0,8550.0,8590.0,29357
2015-01-12,8740.0,8740.0,8340.0,8430.0,19714
2015-01-13,8470.0,8470.0,8250.0,8390.0,30253
2015-01-14,8280.0,8430.0,8280.0,8370.0,12619
2015-01-15,8500.0,8500.0,8250.0,8350.0,18954
2015-01-16,8380.0,8380.0,8250.0,8270.0,10562
2015-01-19,8280.0,9000.0,8220.0,8910.0,55924
2015-01-20,8850.0,9140.0,8800.0,9140.0,43879
2015-01-21,9090.0,9150.0,8940.0,9000.0,10709
2015-01-22,9050.0,9050.0,8860.0,8980.0,14342
2015-01-23,8940.0,9110.0,8850.0,8960.0,18220
2015-01-26,9100.0,9210.0,8800.0,9190.0,72544
2015-01-27,9210.0,9440.0,9030.0,9180.0,79816
2015-01-28,9130.0,9270.0,9100.0,9200.0,18775
2015-01-29,9170.0,9340.0,8910.0,9100.0,26791
2015-01-30,9230.0,9230.0,8750.0,8820.0,26832
2015-02-02,8820.0,9550.0,8570.0,9270.0,111321
2015-02-03,9270.0,9270.0,8540.0,8610.0,149436
2015-02-04,8610.0,8760.0,8560.0,8560.0,29000
2015-02-05,8550.0,8640.0,8380.0,8450.0,30518
2015-02-06,8400.0,8570.0,8340.0,8450.0,35140
2015-02-09,8500.0,8530.0,8320.0,8480.0,21205
2015-02-10,8500.0,8570.0,8250.0,8290.0,23082
2015-02-11,8350.0,8450.0,8240.0,8330.0,12459
2015-02-12,8330.0,8640.0,8320.0,8430.0,17351
2015-02-13,8430.0,8590.0,8330.0,8370.0,26113
2015-02-16,8430.0,8540.0,8330.0,8330.0,7874
2015-02-17,8300.0,8440.0,8250.0,8330.0,24794
2015-02-23,8400.0,8450.0,8140.0,8180.0,40344
2015-02-24,8260.0,8260.0,8130.0,8210.0,29409
2015-02-25,8260.0,8620.0,8180.0,8510.0,76559
2015-02-26,8580.0,8650.0,8350.0,8600.0,27662
2015-02-27,8600.0,8770.0,8510.0,8620.0,37927
2015-03-02,8620.0,8770.0,8590.0,8720.0,19779
2015-03-03,8700.0,8770.0,8600.0,8650.0,12333
2015-03-04,8760.0,8800.0,8650.0,8740.0,22073
2015-03-05,8790.0,8790.0,8610.0,8730.0,3789
2015-03-06,8730.0,8790.0,8580.0,8720.0,11942
2015-03-09,8610.0,8680.0,8470.0,8580.0,4599
2015-03-10,8750.0,8750.0,8500.0,8590.0,8757
2015-03-11,8590.0,8800.0,8580.0,8780.0,46746
2015-03-12,8700.0,8770.0,8650.0,8770.0,10336
2015-03-13,8750.0,8770.0,8590.0,8730.0,11619
2015-03-16,8750.0,8750.0,8570.0,8620.0,8258
2015-03-17,8720.0,8720.0,8480.0,8520.0,14529
2015-03-18,8520.0,8680.0,8520.0,8520.0,16062
2015-03-19,8550.0,8660.0,8440.0,8490.0,10771
2015-03-20,8490.0,8490.0,8320.0,8400.0,12512
2015-03-23,8360.0,9190.0,8360.0,9080.0,170848
2015-03-24,9080.0,9140.0,8760.0,8830.0,33256
2015-03-25,8850.0,8850.0,8490.0,8510.0,90277
2015-03-26,8520.0,8610.0,8390.0,8470.0,102952
2015-03-27,8580.0,8580.0,8160.0,8180.0,58820
2015-03-30,8250.0,8500.0,8120.0,8400.0,69988
2015-03-31,8470.0,8520.0,8280.0,8420.0,26188
2015-04-01,8480.0,8500.0,8290.0,8500.0,29432
2015-04-02,8570.0,8750.0,8210.0,8300.0,124515
2015-04-03,8370.0,8390.0,8030.0,8100.0,116067
2015-04-06,8170.0,8340.0,8090.0,8150.0,104791
2015-04-07,8310.0,8310.0,8110.0,8220.0,54320
2015-04-08,8240.0,8240.0,8140.0,8220.0,23485
2015-04-09,8190.0,8380.0,8100.0,8180.0,80406
2015-04-10,8190.0,8300.0,8150.0,8300.0,36686
2015-04-13,8400.0,8580.0,8280.0,8390.0,84526
2015-04-14,8420.0,8440.0,8100.0,8200.0,99863
2015-04-15,8170.0,8360.0,8150.0,8190.0,98705
2015-04-16,8300.0,8350.0,8210.0,8340.0,36052
2015-04-17,8460.0,8460.0,8240.0,8320.0,90175
2015-04-20,8320.0,8350.0,8180.0,8270.0,30463
2015-04-21,8330.0,8350.0,8220.0,8320.0,34094
2015-04-22,8390.0,8390.0,8100.0,8200.0,68965
2015-04-23,8260.0,8260.0,8050.0,8090.0,59292
2015-04-24,8180.0,8260.0,8050.0,8210.0,48184
2015-04-27,8290.0,8290.0,8070.0,8130.0,78869
2015-04-28,8250.0,8250.0,8070.0,8130.0,34001
2015-04-29,8130.0,8210.0,8040.0,8110.0,42169
2015-04-30,8120.0,8120.0,7890.0,7920.0,63667
2015-05-04,7920.0,7930.0,7700.0,7910.0,58903
2015-05-06,7750.0,7910.0,7750.0,7910.0,35682
2015-05-07,7810.0,7930.0,7750.0,7920.0,29371
2015-05-08,7950.0,8130.0,7850.0,8090.0,30792
2015-05-11,8090.0,8180.0,8030.0,8130.0,22379
2015-05-12,8130.0,8160.0,7920.0,8000.0,56426
2015-05-13,8020.0,8040.0,7900.0,8000.0,53997
2015-05-14,7980.0,8020.0,7950.0,8010.0,20347
2015-05-15,8020.0,8120.0,7920.0,8000.0,52010
2015-05-18,7960.0,8030.0,7740.0,7890.0,59173
2015-05-19,8050.0,8050.0,7740.0,7890.0,40676
2015-05-20,7940.0,7980.0,7830.0,7980.0,23404
2015-05-21,7980.0,8020.0,7800.0,7890.0,46580
2015-05-22,7890.0,7950.0,7820.0,7940.0,34850
2015-05-26,7920.0,7960.0,7820.0,7930.0,17080
2015-05-27,7820.0,7890.0,7780.0,7860.0,21314
2015-05-28,7860.0,7990.0,7780.0,7930.0,21875
2015-05-29,8020.0,8020.0,7650.0,7780.0,45335
2015-06-01,7790.0,7850.0,7500.0,7590.0,40369
2015-06-02,7660.0,7660.0,7190.0,7260.0,79037
2015-06-03,7350.0,7350.0,6900.0,7080.0,66992
2015-06-04,7070.0,7100.0,6840.0,7100.0,41056
2015-06-05,7170.0,7170.0,6950.0,7030.0,39202
2015-06-08,7030.0,7260.0,6950.0,7030.0,41067
2015-06-09,7030.0,7140.0,6960.0,7070.0,15251
2015-06-10,7100.0,7100.0,6820.0,6960.0,45041
2015-06-11,7040.0,7040.0,6860.0,6990.0,27007
2015-06-12,6980.0,7100.0,6840.0,6990.0,21829
2015-06-15,7000.0,7040.0,6700.0,6700.0,42338
2015-06-16,6650.0,6740.0,6550.0,6700.0,28927
2015-06-17,6590.0,6730.0,6550.0,6710.0,13777
2015-06-18,6780.0,6820.0,6570.0,6660.0,21617
