date,open,high,low,close,volume
2015-01-02,8880.0,9060.0,8700.0,8940.0,273583
2015-01-05,9030.0,9160.0,8860.0,8930.0,336043
2015-01-06,8770.0,9090.0,8680.0,9030.0,364908
2015-01-07,9100.0,9110.0,8670.0,8670.0,277356
2015-01-08,8850.0,9290.0,8780.0,8840.0,1388546
2015-01-09,8890.0,9070.0,8770.0,9030.0,381670
2015-01-12,9000.0,9270.0,8880.0,9220.0,608864
2015-01-13,9340.0,10400.0,8950.0,8960.0,3414278
2015-01-14,9050.0,9120.0,8820.0,9100.0,482748
2015-01-15,9150.0,9600.0,9010.0,9360.0,616022
2015-01-16,9300.0,9590.0,9240.0,9250.0,415502
2015-01-19,9380.0,9480.0,9240.0,9250.0,279306
2015-01-20,9260.0,9330.0,8500.0,8770.0,494223
2015-01-21,8770.0,9030.0,8480.0,8960.0,486603
2015-01-22,8970.0,9100.0,8280.0,8780.0,487660
2015-01-23,8810.0,8880.0,8660.0,8750.0,152274
2015-01-26,8730.0,8840.0,8330.0,8810.0,416665
2015-01-27,8730.0,8820.0,8600.0,8600.0,155428
2015-01-28,8610.0,8650.0,8340.0,8410.0,266974
2015-01-29,8410.0,8600.0,8350.0,8370.0,171514
2015-01-30,8400.0,8490.0,8230.0,8300.0,162943
2015-02-02,8250.0,8430.0,8230.0,8300.0,141316
2015-02-03,8380.0,8680.0,8290.0,8550.0,231552
2015-02-04,8800.0,8800.0,8560.0,8640.0,228273
2015-02-05,8610.0,8800.0,8540.0,8600.0,518089
2015-02-06,8620.0,8640.0,8310.0,8560.0,254700
2015-02-09,8590.0,8700.0,8390.0,8570.0,207035
2015-02-10,8620.0,8650.0,8380.0,8500.0,129068
2015-02-11,8500.0,8980.0,8400.0,8930.0,751285
2015-02-12,8900.0,8930.0,8520.0,8580.0,278165
2015-02-13,8640.0,8830.0,8490.0,8650.0,198192
2015-02-16,8640.0,8800.0,8260.0,8300.0,258934
2015-02-17,8310.0,8560.0,8240.0,8540.0,136587
2015-02-23,8500.0,8560.0,8290.0,8340.0,156225
2015-02-24,8380.0,8560.0,8370.0,8550.0,136134
2015-02-25,8600.0,8610.0,8400.0,8420.0,101887
2015-02-26,8510.0,9180.0,8410.0,8860.0,715093
2015-02-27,8950.0,8960.0,8740.0,8900.0,183733
2015-03-02,8950.0,9040.0,8790.0,9030.0,193997
2015-03-03,9040.0,9300.0,8800.0,8800.0,584554
2015-03-04,8900.0,9170.0,8840.0,8920.0,375463
2015-03-05,8980.0,9130.0,8780.0,8940.0,247137
2015-03-06,9010.0,9120.0,8860.0,8910.0,134109
2015-03-09,8890.0,8980.0,8520.0,8980.0,308786
2015-03-10,9030.0,9050.0,8530.0,8700.0,160014
2015-03-11,8610.0,8830.0,8340.0,8360.0,273727
2015-03-12,8440.0,8490.0,8360.0,8400.0,77144
2015-03-13,8420.0,8880.0,8400.0,8670.0,365793
2015-03-16,8630.0,8790.0,8430.0,8520.0,190854
2015-03-17,8600.0,8970.0,8490.0,8700.0,412429
2015-03-18,8780.0,8780.0,8420.0,8470.0,228988
2015-03-19,8550.0,8550.0,8370.0,8480.0,112440
2015-03-20,8490.0,8550.0,8410.0,8490.0,68833
2015-03-23,8520.0,8760.0,8470.0,8520.0,169692
2015-03-24,8530.0,8680.0,8390.0,8620.0,134534
2015-03-25,8650.0,8720.0,8540.0,8640.0,154117
2015-03-26,8630.0,8640.0,8100.0,8180.0,322944
2015-03-27,8200.0,8300.0,8130.0,8170.0,98439
2015-03-30,8190.0,8280.0,8140.0,8230.0,49890
2015-03-31,8210.0,8280.0,8150.0,8150.0,69621
2015-04-01,8150.0,8250.0,7950.0,8060.0,140034
2015-04-02,8020.0,8120.0,8000.0,8010.0,62826
2015-04-03,8000.0,8190.0,7950.0,8170.0,71521
2015-04-06,8160.0,8230.0,8030.0,8070.0,77736
2015-04-07,8100.0,8490.0,8080.0,8380.0,391631
2015-04-08,8380.0,8460.0,8070.0,8140.0,165782
2015-04-09,8150.0,8300.0,8150.0,8240.0,109707
2015-04-10,8240.0,8300.0,8200.0,8230.0,96149
2015-04-13,8330.0,8330.0,8060.0,8120.0,79754
2015-04-14,8130.0,8390.0,8070.0,8070.0,187364
2015-04-15,8080.0,8240.0,8080.0,8120.0,99599
2015-04-16,8190.0,8240.0,8110.0,8120.0,108007
2015-04-17,8140.0,8220.0,8120.0,8150.0,57046
2015-04-20,8100.0,8120.0,7940.0,7950.0,147328
2015-04-21,8000.0,8320.0,7960.0,8280.0,266098
2015-04-22,8350.0,9000.0,7600.0,8510.0,1499390
2015-04-23,8600.0,9580.0,8350.0,8600.0,2296658
2015-04-24,8730.0,8930.0,8250.0,8520.0,376505
2015-04-27,8520.0,8840.0,8520.0,8660.0,259311
2015-04-28,8560.0,8660.0,8340.0,8350.0,218588
2015-04-29,8410.0,8530.0,8130.0,8130.0,169209
2015-04-30,8200.0,8260.0,7990.0,8000.0,124218
2015-05-04,7960.0,8070.0,7710.0,7750.0,132107
2015-05-06,7570.0,7740.0,7520.0,7640.0,100223
2015-05-07,7800.0,7800.0,7540.0,7590.0,120417
2015-05-08,7590.0,7870.0,7580.0,7760.0,91351
2015-05-11,7800.0,7920.0,7690.0,7810.0,76021
2015-05-12,7850.0,8360.0,7850.0,8090.0,388582
2015-05-13,8090.0,8310.0,7910.0,7990.0,145261
2015-05-14,8000.0,8100.0,7910.0,7930.0,64998
2015-05-15,7990.0,8120.0,7950.0,8070.0,87619
2015-05-18,8080.0,8140.0,7900.0,7910.0,55628
2015-05-19,7860.0,8000.0,7820.0,7930.0,64498
2015-05-20,7960.0,7980.0,7800.0,7860.0,84246
2015-05-21,7880.0,7970.0,7770.0,7790.0,59501
2015-05-22,7890.0,7900.0,7730.0,7820.0,56846
2015-05-26,7830.0,7900.0,7710.0,7730.0,54611
2015-05-27,7730.0,7800.0,7640.0,7700.0,45900
2015-05-28,7680.0,7920.0,7680.0,7730.0,71701
2015-05-29,7830.0,7830.0,7640.0,7660.0,69040
2015-06-01,7630.0,8010.0,7440.0,7950.0,144674
2015-06-02,7870.0,7930.0,7600.0,7680.0,77141
2015-06-03,7600.0,7740.0,7480.0,7490.0,74676
2015-06-04,7400.0,8000.0,7400.0,7880.0,209783
2015-06-05,7700.0,7840.0,7670.0,7680.0,47418
2015-06-08,7780.0,7790.0,7600.0,7710.0,56614
2015-06-09,7620.0,7810.0,7590.0,7610.0,51848
2015-06-10,7650.0,7730.0,7500.0,7500.0,74259
2015-06-11,7730.0,7730.0,7500.0,7520.0,29831
2015-06-12,7530.0,7620.0,7320.0,7370.0,58001
2015-06-15,7430.0,7430.0,7010.0,7010.0,83324
2015-06-16,6950.0,7450.0,6810.0,7350.0,99896
2015-06-17,7410.0,7960.0,7120.0,7420.0,261192
2015-06-18,7570.0,7740.0,7400.0,7480.0,58755
2015-06-19,7490.0,7530.0,7380.0,7520.0,33585
2015-06-22,7600.0,7860.0,7500.0,7820.0,129769
2015-06-23,7830.0,7830.0,7730.0,7830.0,42018
2015-06-24,7870.0,7870.0,7650.0,7720.0,38963
2015-06-25,7750.0,7770.0,7530.0,7690.0,31855
2015-06-26,7740.0,7740.0,7520.0,7520.0,72449
2015-06-29,7500.0,7510.0,7180.0,7190.0,74998
2015-06-30,7010.0,7260.0,7010.0,7200.0,34278
2015-07-01,7330.0,7380.0,7220.0,7250.0,22343
2015-07-02,7300.0,7400.0,7170.0,7170.0,35512
2015-07-03,7250.0,7250.0,7110.0,7150.0,26446
2015-07-06,6970.0,7160.0,6820.0,6820.0,114303
2015-07-07,6790.0,6980.0,6550.0,6640.0,116026
2015-07-08,6610.0,6720.0,6450.0,6450.0,67836
2015-07-09,6370.0,6450.0,6160.0,6220.0,82548
2015-07-10,6220.0,6380.0,6180.0,6350.0,65896
2015-07-13,6450.0,6610.0,6310.0,6570.0,41943
2015-07-14,6580.0,6930.0,6580.0,6700.0,67089
2015-07-15,6710.0,6770.0,6560.0,6680.0,30879
2015-07-16,6890.0,6890.0,6630.0,6770.0,32395
2015-07-17,6850.0,6890.0,6670.0,6770.0,61203
2015-07-20,6800.0,6950.0,6730.0,6770.0,41270
2015-07-21,6740.0,6900.0,6740.0,6800.0,47142
2015-07-22,6750.0,6830.0,6690.0,6790.0,28507
2015-07-23,6870.0,6890.0,6720.0,6800.0,23851
2015-07-24,6800.0,6840.0,6700.0,6760.0,28205
2015-07-27,6730.0,6790.0,6510.0,6530.0,52575
2015-07-28,6340.0,6460.0,6230.0,6390.0,35351
2015-07-29,6360.0,6600.0,6350.0,6410.0,31066
2015-07-30,6450.0,6500.0,6240.0,6240.0,32854
2015-07-31,6150.0,6360.0,6150.0,6320.0,21768
2015-08-03,6360.0,6430.0,6210.0,6300.0,18074
2015-08-04,6200.0,6380.0,6200.0,6300.0,32414
2015-08-05,6370.0,6430.0,6280.0,6380.0,42222
2015-08-06,6440.0,6630.0,6360.0,6630.0,68230
2015-08-07,6630.0,6650.0,6480.0,6510.0,24470
2015-08-10,6510.0,6540.0,6360.0,6400.0,18732
2015-08-11,6500.0,7060.0,6300.0,6810.0,183460
2015-08-12,6790.0,6880.0,6350.0,6600.0,82590
2015-08-13,6530.0,6800.0,6460.0,6680.0,56454
2015-08-17,6800.0,6800.0,6520.0,6540.0,23981
2015-08-18,6510.0,6670.0,6100.0,6170.0,90998
2015-08-19,5890.0,6090.0,5830.0,5840.0,37415
2015-08-20,5640.0,5890.0,5640.0,5750.0,30898
2015-08-21,5510.0,5690.0,5100.0,5170.0,69241
2015-08-24,4710.0,5180.0,4710.0,4800.0,127643
2015-08-25,4805.0,5100.0,4805.0,5020.0,67699
2015-08-26,5160.0,5280.0,5110.0,5250.0,66512
2015-08-27,5260.0,5900.0,5260.0,5650.0,188525
