date,open,high,low,close,volume
2015-01-02,2067.0,2077.0,2032.0,2060.0,8835
2015-01-05,2062.0,2075.0,2035.0,2065.0,4794
2015-01-06,2065.0,2075.0,2045.0,2065.0,7542
2015-01-07,2085.0,2087.0,2047.0,2070.0,8016
2015-01-08,2065.0,2090.0,2017.0,2070.0,16370
2015-01-09,2075.0,2075.0,2032.0,2050.0,9772
2015-01-12,2050.0,2075.0,2035.0,2040.0,13567
2015-01-13,2040.0,2080.0,2035.0,2050.0,14669
2015-01-14,1995.0,2250.0,1995.0,2230.0,120162
2015-01-15,2225.0,2227.0,2140.0,2190.0,82766
2015-01-16,2207.0,2207.0,2060.0,2090.0,74548
2015-01-19,2099.0,2245.0,2054.0,2167.0,112128
2015-01-20,2207.0,2330.0,2207.0,2225.0,185457
2015-01-21,2375.0,2515.0,2220.0,2265.0,1032192
2015-01-22,2257.0,2400.0,2165.0,2200.0,237125
2015-01-23,2222.0,2300.0,2175.0,2250.0,112930
2015-01-26,2212.0,2325.0,2205.0,2280.0,87376
2015-01-27,2280.0,2335.0,2250.0,2300.0,79659
2015-01-28,2295.0,2550.0,2272.0,2380.0,301966
2015-01-29,2382.0,2437.0,2310.0,2410.0,103839
2015-01-30,2420.0,2420.0,2320.0,2350.0,59874
2015-02-02,2327.0,2360.0,2220.0,2265.0,103879
2015-02-03,2288.0,2288.0,2196.0,2272.0,64691
2015-02-04,2256.0,2270.0,2224.0,2267.0,44903
2015-02-05,2270.0,2270.0,2204.0,2242.0,51273
2015-02-06,2220.0,2247.0,2205.0,2240.0,35856
2015-02-09,2238.0,2248.0,2199.0,2222.0,21670
2015-02-10,2237.0,2237.0,2132.0,2170.0,78668
2015-02-11,2170.0,2207.0,2145.0,2200.0,43968
2015-02-12,2208.0,2208.0,2156.0,2177.0,22320
2015-02-13,2210.0,2210.0,2180.0,2195.0,30946
2015-02-16,2195.0,2202.0,2162.0,2190.0,44557
2015-02-17,2190.0,2217.0,2170.0,2200.0,42197
2015-02-23,2202.0,2222.0,2172.0,2195.0,36371
2015-02-24,2196.0,2228.0,2181.0,2222.0,23843
2015-02-25,2232.0,2232.0,2195.0,2220.0,18687
2015-02-26,2225.0,2225.0,2187.0,2205.0,30811
2015-02-27,2203.0,2218.0,2121.0,2172.0,94376
2015-03-02,2172.0,2180.0,2122.0,2140.0,87354
2015-03-03,2139.0,2163.0,2131.0,2147.0,25176
2015-03-04,2145.0,2155.0,2130.0,2145.0,33705
2015-03-05,2145.0,2157.0,2135.0,2145.0,46901
2015-03-06,2135.0,2215.0,2132.0,2215.0,47240
2015-03-09,2170.0,2207.0,2165.0,2205.0,40839
2015-03-10,2193.0,2220.0,2169.0,2192.0,28966
2015-03-11,2162.0,2192.0,2145.0,2180.0,29670
2015-03-12,2159.0,2195.0,2159.0,2182.0,9918
2015-03-13,2175.0,2205.0,2167.0,2200.0,22064
2015-03-16,2185.0,2257.0,2180.0,2250.0,65232
2015-03-17,2250.0,2250.0,2212.0,2245.0,46179
2015-03-18,2259.0,2348.0,2246.0,2292.0,76643
2015-03-19,2290.0,2290.0,2251.0,2272.0,30577
2015-03-20,2290.0,2290.0,2230.0,2275.0,23552
2015-03-23,2280.0,2365.0,2240.0,2350.0,99493
2015-03-24,2345.0,2388.0,2329.0,2342.0,27600
2015-03-25,2395.0,2395.0,2315.0,2345.0,26978
2015-03-26,2340.0,2340.0,2269.0,2322.0,32054
2015-03-27,2283.0,2325.0,2261.0,2262.0,31509
2015-03-30,2262.0,2325.0,2250.0,2280.0,30969
2015-03-31,2299.0,2388.0,2274.0,2302.0,45839
2015-04-01,2300.0,2307.0,2240.0,2290.0,40399
2015-04-02,2300.0,2320.0,2265.0,2280.0,21996
2015-04-03,2282.0,2300.0,2267.0,2285.0,18216
2015-04-06,2270.0,2300.0,2255.0,2275.0,23390
2015-04-07,2275.0,2300.0,2260.0,2280.0,37407
2015-04-08,2300.0,2392.0,2287.0,2365.0,203408
2015-04-09,2370.0,2410.0,2340.0,2360.0,82793
2015-04-10,2365.0,2390.0,2340.0,2370.0,54776
2015-04-13,2391.0,2458.0,2384.0,2407.0,71141
2015-04-14,2433.0,2433.0,2321.0,2322.0,65104
2015-04-15,2313.0,2353.0,2311.0,2312.0,22036
2015-04-16,2315.0,2342.0,2305.0,2330.0,36407
2015-04-17,2315.0,2348.0,2274.0,2307.0,30182
2015-04-20,2250.0,2350.0,2247.0,2280.0,23873
2015-04-21,2280.0,2302.0,2250.0,2275.0,20450
2015-04-22,2285.0,2290.0,2212.0,2245.0,42529
2015-04-23,2245.0,2275.0,2220.0,2220.0,24983
2015-04-24,2220.0,2287.0,2212.0,2265.0,41962
2015-04-27,2251.0,2273.0,2231.0,2257.0,18059
2015-04-28,2268.0,2268.0,2211.0,2217.0,37728
2015-04-29,2217.0,2247.0,2200.0,2210.0,30853
2015-04-30,2210.0,2222.0,2140.0,2160.0,29821
2015-05-04,2175.0,2180.0,2130.0,2145.0,51697
2015-05-06,2140.0,2175.0,2120.0,2120.0,23041
2015-05-07,2138.0,2148.0,2109.0,2127.0,9998
2015-05-08,2155.0,2155.0,2127.0,2140.0,10700
2015-05-11,2130.0,2195.0,2127.0,2175.0,11963
2015-05-12,2196.0,2203.0,2189.0,2202.0,12414
2015-05-13,2210.0,2250.0,2207.0,2225.0,16985
2015-05-14,2225.0,2225.0,2202.0,2225.0,10357
2015-05-15,2235.0,2237.0,2192.0,2225.0,14312
2015-05-18,2200.0,2235.0,2145.0,2150.0,25424
2015-05-19,2087.0,2182.0,2087.0,2110.0,33813
2015-05-20,2119.0,2133.0,2091.0,2122.0,15500
2015-05-21,2121.0,2143.0,2099.0,2132.0,25774
2015-05-22,2155.0,2155.0,2110.0,2110.0,17021
2015-05-26,2109.0,2133.0,2101.0,2122.0,17605
2015-05-27,2135.0,2135.0,2089.0,2097.0,21275
2015-05-28,2097.0,2122.0,2077.0,2110.0,11804
2015-05-29,2130.0,2130.0,2095.0,2100.0,20627
2015-06-01,2130.0,2130.0,2077.0,2085.0,17749
2015-06-02,2085.0,2092.0,2022.0,2040.0,22688
2015-06-03,2042.0,2077.0,2035.0,2070.0,20305
2015-06-04,2175.0,2175.0,2025.0,2055.0,13697
2015-06-05,2026.0,2133.0,2026.0,2067.0,8934
2015-06-08,2095.0,2095.0,2047.0,2085.0,8453
2015-06-09,2079.0,2133.0,2054.0,2092.0,6497
2015-06-10,2092.0,2105.0,2070.0,2105.0,12196
2015-06-11,2110.0,2110.0,2090.0,2090.0,7864
2015-06-12,2115.0,2200.0,2067.0,2085.0,47975
2015-06-15,2085.0,2117.0,2060.0,2105.0,8364
2015-06-16,2113.0,2113.0,1974.0,2102.0,32969
2015-06-17,2122.0,2122.0,2080.0,2100.0,7984
2015-06-18,2118.0,2118.0,2084.0,2097.0,3126
2015-06-19,2118.0,2118.0,2069.0,2077.0,21155
2015-06-22,2105.0,2152.0,2075.0,2125.0,18907
2015-06-23,2117.0,2152.0,2117.0,2150.0,6010
2015-06-24,2150.0,2152.0,2095.0,2130.0,7494
2015-06-25,2094.0,2135.0,2074.0,2127.0,16732
2015-06-26,2125.0,2125.0,2084.0,2087.0,9873
2015-06-29,2090.0,2095.0,2045.0,2065.0,15091
2015-06-30,2049.0,2076.0,2031.0,2077.0,4318
2015-07-01,2076.0,2143.0,2054.0,2132.0,13742
2015-07-02,2138.0,2160.0,2101.0,2137.0,5910
2015-07-03,2107.0,2150.0,2100.0,2105.0,19152
2015-07-06,2050.0,2097.0,2037.0,2085.0,22827
2015-07-07,2095.0,2095.0,2060.0,2085.0,16483
2015-07-08,2095.0,2095.0,2055.0,2080.0,10106
2015-07-09,2093.0,2093.0,2016.0,2092.0,16593
2015-07-10,2092.0,2205.0,2050.0,2140.0,61603
2015-07-13,2140.0,2165.0,2125.0,2150.0,15938
2015-07-14,2152.0,2180.0,2125.0,2180.0,24392
2015-07-15,2179.0,2203.0,2156.0,2187.0,18301
2015-07-16,2180.0,2188.0,2149.0,2162.0,8520
2015-07-17,2160.0,2190.0,2104.0,2147.0,20617
2015-07-20,2147.0,2165.0,2125.0,2150.0,11873
2015-07-21,2115.0,2147.0,2110.0,2145.0,13597
2015-07-22,2115.0,2150.0,2075.0,2120.0,24999
2015-07-23,2118.0,2138.0,2086.0,2117.0,3999
2015-07-24,2115.0,2138.0,2064.0,2107.0,15664
2015-07-27,2062.0,2097.0,2025.0,2060.0,14469
2015-07-28,2040.0,2072.0,2025.0,2055.0,20390
2015-07-29,2050.0,2075.0,2042.0,2060.0,10444
2015-07-30,2050.0,2075.0,2010.0,2045.0,19061
2015-07-31,2057.0,2057.0,2020.0,2045.0,11825
2015-08-03,2025.0,2057.0,2005.0,2005.0,3907
2015-08-04,2023.0,2058.0,1979.0,2022.0,20315
2015-08-05,2025.0,2070.0,2025.0,2060.0,8776
2015-08-06,2052.0,2077.0,1985.0,2015.0,12647
2015-08-07,2033.0,2055.0,1996.0,2002.0,32082
2015-08-10,2022.0,2022.0,1985.0,2000.0,8763
2015-08-11,1999.0,2023.0,1984.0,2007.0,2133
2015-08-12,2000.0,2017.0,1980.0,1995.0,4191
2015-08-13,2030.0,2032.0,1990.0,2020.0,10274
2015-08-17,2035.0,2035.0,1985.0,2015.0,14871
2015-08-18,2030.0,2030.0,1901.0,1902.0,41540
2015-08-19,1902.0,1920.0,1850.0,1875.0,26924
2015-08-20,1836.0,1880.0,1816.0,1842.0,20460
2015-08-21,1749.0,1823.0,1749.0,1767.0,24710
2015-08-24,1767.0,1832.0,1705.0,1705.0,12124
2015-08-25,1669.0,1830.0,1669.0,1787.0,9665
2015-08-26,1749.0,1873.0,1749.0,1842.0,17344
2015-08-27,1810.0,1830.0,1800.0,1820.0,13736
2015-08-28,1819.0,1883.0,1819.0,1872.0,23448
2015-08-31,1850.0,1897.0,1840.0,1855.0,5368
2015-09-01,1845.0,1875.0,1822.0,1855.0,4231
2015-09-02,1814.0,1853.0,1814.0,1847.0,1963
2015-09-03,1855.0,1855.0,1825.0,1850.0,5329
2015-09-04,1850.0,1850.0,1820.0,1840.0,3604
2015-09-07,1850.0,1850.0,1810.0,1825.0,2977
2015-09-08,1823.0,1840.0,1786.0,1812.0,3728
2015-09-09,1785.0,1827.0,1785.0,1825.0,10500
2015-09-10,1825.0,1825.0,1800.0,1800.0,3702
2015-09-11,1835.0,1835.0,1800.0,1835.0,5042
2015-09-14,1842.0,1845.0,1785.0,1795.0,6335
2015-09-15,1802.0,1815.0,1750.0,1790.0,26760
2015-09-16,1777.0,1805.0,1750.0,1790.0,30613
2015-09-17,1774.0,1806.0,1774.0,1807.0,10293
2015-09-18,1815.0,1815.0,1795.0,1815.0,12788
2015-09-21,1825.0,1825.0,1787.0,1795.0,5946
2015-09-22,1795.0,1812.0,1770.0,1800.0,9667
2015-09-23,1772.0,1797.0,1760.0,1785.0,8362
2015-09-24,1800.0,1800.0,1770.0,1785.0,3759
2015-09-25,1783.0,1783.0,1734.0,1767.0,22571
2015-09-30,1767.0,2037.0,1757.0,1930.0,105980
2015-10-01,1929.0,1993.0,1911.0,1952.0,23292
2015-10-02,1975.0,1980.0,1940.0,1960.0,11038
2015-10-05,1960.0,2010.0,1942.0,2000.0,21159
2015-10-06,2015.0,2015.0,1955.0,1980.0,6610
2015-10-07,2010.0,2010.0,1907.0,1930.0,13754
2015-10-08,1930.0,1955.0,1907.0,1925.0,8089
2015-10-12,1925.0,1975.0,1905.0,1960.0,10830
2015-10-13,1959.0,1970.0,1929.0,1962.0,8115
2015-10-14,1950.0,2000.0,1940.0,1975.0,9151
2015-10-15,1981.0,1998.0,1951.0,1997.0,11492
2015-10-16,1995.0,2003.0,1889.0,1967.0,14664
2015-10-19,1944.0,2013.0,1934.0,1972.0,14329
2015-10-20,1988.0,1988.0,1924.0,1952.0,3748
2015-10-21,1932.0,1962.0,1932.0,1935.0,7476
2015-10-22,1935.0,1957.0,1912.0,1945.0,40345
2015-10-23,1955.0,1955.0,1915.0,1915.0,14642
2015-10-26,1905.0,1905.0,1819.0,1842.0,41188
2015-10-27,1833.0,1863.0,1821.0,1822.0,7477
2015-10-28,1829.0,1911.0,1821.0,1912.0,30045
2015-10-29,1915.0,1965.0,1849.0,1872.0,25932
2015-10-30,1860.0,1890.0,1852.0,1860.0,7434
2015-11-02,1867.0,1897.0,1835.0,1875.0,5711
2015-11-03,1875.0,1890.0,1840.0,1875.0,7944
2015-11-04,1849.0,1858.0,1836.0,1857.0,11435
2015-11-05,1856.0,1856.0,1774.0,1857.0,29576
2015-11-06,1857.0,1857.0,1805.0,1850.0,11635
2015-11-09,1833.0,1853.0,1746.0,1747.0,22931
2015-11-10,1792.0,1792.0,1740.0,1785.0,3689
2015-11-11,1753.0,1783.0,1736.0,1737.0,12222
2015-11-12,1744.0,1788.0,1734.0,1782.0,13959
2015-11-13,1780.0,2125.0,1780.0,1975.0,401264
2015-11-16,1948.0,2048.0,1806.0,1807.0,117643
2015-11-17,1855.0,2202.0,1855.0,2000.0,510942
2015-11-18,1992.0,2382.0,1925.0,2145.0,1440168
2015-11-19,2160.0,2267.0,2045.0,2080.0,275230
2015-11-20,2098.0,2110.0,1944.0,1997.0,224292
2015-11-23,1981.0,2028.0,1929.0,1997.0,99057
2015-11-24,2002.0,2037.0,1942.0,1950.0,141495
2015-11-25,1954.0,1983.0,1909.0,1962.0,59671
2015-11-26,1961.0,2353.0,1949.0,2117.0,609299
