date,open,high,low,close,volume
2015-01-02,8216.0,8376.0,7800.0,7898.0,132272
2015-01-05,7960.0,8312.0,7576.0,7802.0,84930
2015-01-06,7705.0,8345.0,7673.0,7930.0,99612
2015-01-07,7833.0,8024.0,7576.0,7673.0,58207
2015-01-08,7673.0,7737.0,7289.0,7386.0,41473
2015-01-09,7416.0,7448.0,7129.0,7354.0,40609
2015-01-12,6265.0,6265.0,6265.0,6267.0,23072
2015-01-13,5326.0,5562.0,5326.0,5327.0,1023035
2015-01-14,4532.0,4532.0,4532.0,4534.0,46296
2015-01-15,3918.0,4526.0,3855.0,4336.0,5055242
2015-01-16,4366.0,4487.0,4168.0,4272.0,1100256
2015-01-19,4335.0,4348.0,4124.0,4157.0,528569
2015-01-20,4187.0,4443.0,4098.0,4207.0,726073
2015-01-21,4219.0,4347.0,4060.0,4125.0,414558
2015-01-22,4117.0,4207.0,3919.0,4028.0,544414
2015-01-23,4035.0,4386.0,4035.0,4233.0,443785
2015-01-26,4233.0,4392.0,4143.0,4182.0,216353
2015-01-27,4219.0,4251.0,4046.0,4093.0,198435
2015-01-28,4066.0,4219.0,4060.0,4143.0,170332
2015-01-29,4174.0,4672.0,4091.0,4413.0,1089868
2015-01-30,4411.0,4411.0,4226.0,4259.0,319913
2015-02-02,4276.0,4891.0,4156.0,4655.0,1394571
2015-02-03,4640.0,4795.0,4436.0,4476.0,671517
2015-02-04,4520.0,4609.0,4457.0,4457.0,394255
2015-02-05,4514.0,4514.0,4245.0,4374.0,337319
2015-02-06,4410.0,4410.0,4264.0,4272.0,209897
2015-02-09,4309.0,4360.0,3945.0,4080.0,281161
2015-02-10,4008.0,4245.0,4003.0,4182.0,161996
2015-02-11,4181.0,4430.0,4110.0,4329.0,284772
2015-02-12,4283.0,4341.0,4117.0,4118.0,129999
2015-02-13,4117.0,4283.0,4097.0,4195.0,111150
2015-02-16,4218.0,4250.0,3899.0,3939.0,450990
2015-02-17,3931.0,3976.0,3861.0,3875.0,200027
2015-02-23,3887.0,3970.0,3817.0,3901.0,252924
2015-02-24,3931.0,3945.0,3784.0,3856.0,280050
2015-02-25,3868.0,3912.0,3739.0,3753.0,717333
2015-02-26,3771.0,3836.0,3739.0,3780.0,229937
2015-02-27,3797.0,3874.0,3771.0,3837.0,337387
2015-03-02,3874.0,4161.0,3817.0,3895.0,1672792
2015-03-03,3528.0,3817.0,3324.0,3664.0,994250
2015-03-04,3701.0,3918.0,3644.0,3735.0,490612
2015-03-05,3759.0,3829.0,3663.0,3690.0,301988
2015-03-06,3695.0,4213.0,3695.0,3996.0,1732603
2015-03-09,4040.0,4097.0,3817.0,3837.0,540134
2015-03-10,3804.0,3874.0,3490.0,3505.0,893401
2015-03-11,3548.0,3638.0,3477.0,3498.0,410236
2015-03-12,2972.0,2972.0,2972.0,2973.0,57088
2015-03-13,2530.0,2530.0,2530.0,2532.0,74753
2015-03-16,2217.0,2383.0,2154.0,2193.0,5207143
2015-03-17,2199.0,2519.0,2199.0,2519.0,2794755
2015-03-18,2544.0,2895.0,2518.0,2897.0,3263089
2015-03-19,3061.0,3298.0,2895.0,3005.0,3202888
2015-03-20,3074.0,3163.0,2786.0,2973.0,1640476
2015-03-23,2998.0,3414.0,2863.0,3415.0,2437945
2015-03-24,3317.0,3407.0,3132.0,3133.0,1831714
2015-03-25,3190.0,3260.0,3030.0,3051.0,845949
2015-03-26,3004.0,3094.0,2889.0,2961.0,691812
2015-03-27,3004.0,3023.0,2889.0,2954.0,440996
2015-03-30,2952.0,3145.0,2934.0,3069.0,537043
2015-03-31,3101.0,3101.0,2960.0,2986.0,394405
2015-04-01,3049.0,3049.0,2947.0,2980.0,327356
2015-04-02,2992.0,3030.0,2845.0,2877.0,428238
2015-04-03,2876.0,3176.0,2876.0,2973.0,905863
2015-04-06,3413.0,3413.0,2665.0,3294.0,4568203
2015-04-07,3305.0,3343.0,3101.0,3133.0,1247917
2015-04-08,3087.0,3170.0,3017.0,3095.0,696942
2015-04-09,3119.0,3139.0,3011.0,3025.0,539273
2015-04-10,3036.0,3094.0,3011.0,3051.0,559826
2015-04-13,3068.0,3068.0,2952.0,2986.0,573630
2015-04-14,3011.0,3107.0,2960.0,2999.0,593189
2015-04-15,3056.0,3196.0,2973.0,3165.0,760464
2015-04-16,3227.0,3247.0,3061.0,3088.0,653912
2015-04-17,3074.0,3144.0,3042.0,3095.0,344650
2015-04-20,3049.0,3100.0,3004.0,3031.0,384091
2015-04-21,3036.0,3087.0,3011.0,3025.0,344938
2015-04-22,3023.0,3113.0,2748.0,2986.0,605857
2015-04-23,3024.0,3081.0,2941.0,2993.0,390725
2015-04-24,3004.0,3010.0,2876.0,2922.0,262752
2015-04-27,2921.0,2973.0,2890.0,2916.0,181885
2015-04-28,2915.0,2941.0,2806.0,2826.0,392762
2015-04-29,2748.0,2838.0,2627.0,2628.0,438287
2015-04-30,2614.0,3017.0,2607.0,2814.0,1304675
2015-05-04,3184.0,3234.0,3036.0,3236.0,1676593
2015-05-06,3234.0,3707.0,3068.0,3088.0,2868093
2015-05-07,3049.0,3325.0,2877.0,2909.0,1133966
2015-05-08,2920.0,3029.0,2805.0,3005.0,537589
2015-05-11,3004.0,3170.0,2985.0,3088.0,424685
2015-05-12,3106.0,3216.0,2972.0,3069.0,548118
2015-05-13,3049.0,3093.0,2972.0,3031.0,335486
2015-05-14,3036.0,3068.0,2934.0,3005.0,370316
2015-05-15,3036.0,3433.0,2972.0,3268.0,1696622
2015-05-18,3324.0,3445.0,3247.0,3312.0,645614
2015-05-19,3305.0,3356.0,3196.0,3306.0,466744
2015-05-20,3325.0,3382.0,3139.0,3140.0,674298
2015-05-21,3132.0,3222.0,3030.0,3210.0,474807
2015-05-22,3253.0,3516.0,3132.0,3383.0,1179042
2015-05-26,3356.0,3382.0,3164.0,3165.0,642051
2015-05-27,3138.0,3216.0,3101.0,3152.0,270646
2015-05-28,3177.0,3291.0,3081.0,3127.0,413542
2015-05-29,3145.0,3535.0,3068.0,3491.0,990859
2015-06-01,3413.0,3413.0,3170.0,3268.0,728870
2015-06-02,3259.0,3266.0,3100.0,3147.0,413364
2015-06-03,3081.0,3280.0,3081.0,3165.0,401990
2015-06-04,3138.0,3330.0,3113.0,3236.0,471509
2015-06-05,3248.0,3292.0,3119.0,3140.0,290528
2015-06-08,3170.0,3216.0,3068.0,3184.0,212421
2015-06-09,3184.0,3325.0,3132.0,3197.0,370099
2015-06-10,3196.0,3503.0,3139.0,3255.0,835187
2015-06-11,3312.0,3312.0,3119.0,3140.0,446850
2015-06-12,3126.0,3170.0,3075.0,3083.0,309943
2015-06-15,3055.0,3080.0,2952.0,2973.0,243647
2015-06-16,2972.0,3222.0,2908.0,3037.0,399935
2015-06-17,3042.0,3042.0,2946.0,2973.0,357012
2015-06-18,2972.0,3004.0,2915.0,2922.0,234990
2015-06-19,2909.0,3087.0,2877.0,2961.0,337674
2015-06-22,2960.0,3101.0,2920.0,3101.0,338681
2015-06-23,3101.0,3138.0,3030.0,3044.0,316049
2015-06-24,3042.0,3093.0,3023.0,3037.0,249106
2015-06-25,3036.0,3291.0,3011.0,3152.0,785427
2015-06-26,3183.0,3963.0,3131.0,3230.0,4145139
2015-06-29,3273.0,3356.0,3068.0,3108.0,791151
2015-06-30,3101.0,4035.0,3068.0,4035.0,4772120
2015-07-01,4648.0,5242.0,4443.0,5244.0,7692514
2015-07-02,5127.0,6323.0,4961.0,5295.0,10442278
2015-07-03,5185.0,5594.0,4667.0,4758.0,3385026
2015-07-06,4680.0,5281.0,4546.0,4835.0,2826058
2015-07-07,4955.0,5141.0,4328.0,4438.0,2116942
2015-07-08,4539.0,4909.0,4250.0,4553.0,2719420
2015-07-09,4500.0,4922.0,4468.0,4700.0,1994989
2015-07-10,4763.0,4916.0,4615.0,4617.0,1394670
2015-07-13,4589.0,4648.0,4385.0,4444.0,905456
2015-07-14,4514.0,4744.0,4392.0,4508.0,1098693
2015-07-15,4500.0,4641.0,4334.0,4451.0,1251454
2015-07-16,4514.0,4514.0,4218.0,4368.0,1262468
2015-07-17,4411.0,4565.0,4193.0,4349.0,1044812
2015-07-20,4398.0,4411.0,4271.0,4317.0,832734
2015-07-21,4251.0,5607.0,4232.0,4803.0,7792987
2015-07-22,4795.0,5306.0,4546.0,4790.0,2814581
2015-07-23,4795.0,5070.0,4661.0,4860.0,1632063
2015-07-24,4916.0,5083.0,4698.0,4700.0,973340
2015-07-27,4738.0,4847.0,4469.0,4496.0,786269
2015-07-28,4493.0,4596.0,4238.0,4470.0,854999
2015-07-29,4366.0,4508.0,4309.0,4317.0,552003
2015-07-30,3675.0,3964.0,3675.0,3811.0,1568422
2015-07-31,3988.0,4149.0,3803.0,3824.0,851464
2015-08-03,3861.0,3932.0,3516.0,3588.0,675791
2015-08-04,3630.0,4066.0,3547.0,3741.0,1465600
2015-08-05,3785.0,3804.0,3707.0,3760.0,334395
2015-08-06,3771.0,3931.0,3727.0,3767.0,431406
2015-08-07,3734.0,3976.0,3688.0,3760.0,807057
2015-08-10,3727.0,3803.0,3695.0,3709.0,242307
