date,open,high,low,close,volume
2015-01-02,4425.0,4560.0,4420.0,4560.0,82502
2015-01-05,4550.0,4580.0,4500.0,4565.0,39456
2015-01-06,4510.0,4555.0,4460.0,4505.0,26269
2015-01-07,4450.0,4485.0,4405.0,4435.0,34875
2015-01-08,4430.0,4510.0,4415.0,4490.0,28637
2015-01-09,4490.0,4535.0,4460.0,4530.0,32040
2015-01-12,4530.0,4660.0,4530.0,4590.0,119885
2015-01-13,4605.0,4630.0,4510.0,4550.0,35307
2015-01-14,4570.0,4650.0,4530.0,4600.0,26530
2015-01-15,4600.0,4620.0,4560.0,4590.0,23211
2015-01-16,4625.0,4630.0,4550.0,4560.0,32810
2015-01-19,4560.0,4590.0,4510.0,4520.0,29233
2015-01-20,4500.0,4520.0,4420.0,4435.0,61789
2015-01-21,4475.0,4485.0,4415.0,4440.0,22277
2015-01-22,4420.0,4455.0,4395.0,4400.0,26358
2015-01-23,4405.0,4460.0,4380.0,4410.0,19677
2015-01-26,4375.0,4480.0,4375.0,4455.0,14752
2015-01-27,4435.0,4505.0,4430.0,4480.0,17762
2015-01-28,4540.0,4590.0,4510.0,4550.0,36497
2015-01-29,4560.0,4560.0,4465.0,4470.0,13829
2015-01-30,4450.0,4480.0,4375.0,4380.0,41606
2015-02-02,4350.0,4385.0,4335.0,4380.0,34923
2015-02-03,4415.0,4415.0,4365.0,4405.0,14419
2015-02-04,4405.0,4445.0,4400.0,4430.0,22640
2015-02-05,4445.0,4470.0,4390.0,4470.0,15782
2015-02-06,4475.0,4660.0,4470.0,4595.0,75509
2015-02-09,4490.0,4535.0,4310.0,4325.0,202885
2015-02-10,4310.0,4325.0,4010.0,4175.0,152234
2015-02-11,4175.0,4220.0,4120.0,4120.0,101009
2015-02-12,4190.0,4190.0,4110.0,4150.0,78806
2015-02-13,4175.0,4215.0,4125.0,4190.0,41955
2015-02-16,4220.0,4270.0,4190.0,4240.0,32343
2015-02-17,4260.0,4260.0,4190.0,4215.0,30538
2015-02-23,4220.0,4300.0,4220.0,4230.0,27496
2015-02-24,4230.0,4285.0,4230.0,4255.0,60031
2015-02-25,4290.0,4290.0,4220.0,4260.0,31196
2015-02-26,4270.0,4275.0,4230.0,4245.0,19687
2015-02-27,4230.0,4335.0,4230.0,4290.0,54644
2015-03-02,4300.0,4340.0,4290.0,4320.0,33312
2015-03-03,4350.0,4385.0,4300.0,4350.0,39017
2015-03-04,4395.0,4420.0,4355.0,4400.0,56576
2015-03-05,4425.0,4425.0,4345.0,4400.0,22040
2015-03-06,4375.0,4415.0,4330.0,4390.0,74274
2015-03-09,4400.0,4420.0,4340.0,4345.0,44797
2015-03-10,4350.0,4400.0,4300.0,4300.0,55415
2015-03-11,4315.0,4325.0,4245.0,4290.0,37208
2015-03-12,4260.0,4300.0,4240.0,4300.0,76714
2015-03-13,4280.0,4330.0,4250.0,4295.0,66798
2015-03-16,4295.0,4360.0,4295.0,4310.0,64876
2015-03-17,4340.0,4360.0,4300.0,4315.0,63038
2015-03-18,4370.0,4370.0,4275.0,4275.0,52546
2015-03-19,4300.0,4320.0,4235.0,4250.0,49387
2015-03-20,4250.0,4270.0,4215.0,4220.0,44167
2015-03-23,4230.0,4305.0,4220.0,4280.0,37008
2015-03-24,4270.0,4330.0,4270.0,4275.0,101873
2015-03-25,4315.0,4345.0,4275.0,4290.0,51681
2015-03-26,4300.0,4300.0,4230.0,4300.0,34589
2015-03-27,4285.0,4330.0,4250.0,4270.0,34137
2015-03-30,4260.0,4365.0,4260.0,4330.0,106714
2015-03-31,4390.0,4395.0,4320.0,4340.0,39588
2015-04-01,4330.0,4365.0,4315.0,4360.0,64250
2015-04-02,4330.0,4420.0,4330.0,4345.0,60392
2015-04-03,4350.0,4430.0,4350.0,4385.0,89145
2015-04-06,4410.0,4490.0,4395.0,4400.0,119225
2015-04-07,4410.0,4425.0,4375.0,4385.0,68901
2015-04-08,4380.0,4480.0,4380.0,4475.0,140647
2015-04-09,4505.0,4510.0,4435.0,4490.0,58433
2015-04-10,4495.0,4825.0,4490.0,4825.0,501370
2015-04-13,4840.0,5100.0,4810.0,4845.0,321894
2015-04-14,4900.0,4900.0,4680.0,4785.0,150316
2015-04-15,4785.0,4840.0,4740.0,4795.0,98106
2015-04-16,4805.0,4825.0,4670.0,4725.0,99553
2015-04-17,4705.0,4825.0,4705.0,4770.0,84305
2015-04-20,4770.0,5480.0,4750.0,5480.0,1176180
2015-04-21,5480.0,5770.0,5460.0,5660.0,761714
2015-04-22,5600.0,5750.0,4950.0,5750.0,442260
2015-04-23,5750.0,5790.0,5520.0,5550.0,211785
2015-04-24,5490.0,5640.0,5290.0,5340.0,186118
2015-04-27,5340.0,5500.0,5200.0,5320.0,523345
2015-04-28,5380.0,5740.0,5230.0,5550.0,327156
2015-04-29,5650.0,5650.0,5440.0,5560.0,118748
2015-04-30,5560.0,5720.0,5450.0,5520.0,279883
2015-05-04,5520.0,5520.0,5160.0,5300.0,169918
2015-05-06,5290.0,5290.0,4925.0,5120.0,187270
2015-05-07,5120.0,5140.0,4590.0,4930.0,516563
2015-05-08,5000.0,5270.0,4975.0,5120.0,408010
2015-05-11,5250.0,5420.0,5080.0,5200.0,327773
2015-05-12,5280.0,5460.0,5150.0,5370.0,317122
2015-05-13,5400.0,5830.0,5100.0,5730.0,795820
2015-05-14,5680.0,5940.0,5600.0,5890.0,458731
2015-05-15,5890.0,5910.0,5700.0,5860.0,151233
2015-05-18,5860.0,6660.0,5860.0,6500.0,930007
2015-05-19,6520.0,6610.0,6130.0,6290.0,421259
2015-05-20,6350.0,6510.0,6150.0,6330.0,284213
2015-05-21,6400.0,6510.0,6240.0,6410.0,303464
2015-05-22,6450.0,6600.0,6100.0,6300.0,292003
2015-05-26,6230.0,6230.0,5930.0,6000.0,174317
2015-05-27,5900.0,6000.0,5750.0,5900.0,170441
2015-05-28,6040.0,6090.0,5840.0,5910.0,143001
2015-05-29,5910.0,6270.0,5900.0,6130.0,207549
2015-06-01,6200.0,6650.0,5990.0,6500.0,582750
2015-06-02,6540.0,6600.0,6250.0,6350.0,223534
2015-06-03,6260.0,6400.0,6150.0,6250.0,153693
2015-06-04,6330.0,6330.0,5880.0,5920.0,235134
2015-06-05,5780.0,6010.0,5630.0,5930.0,167458
2015-06-08,5920.0,5920.0,5670.0,5720.0,167025
2015-06-09,5820.0,6000.0,5610.0,6000.0,128219
2015-06-10,6120.0,6120.0,5800.0,5900.0,74430
