date,open,high,low,close,volume
2015-01-02,14200.0,15100.0,14100.0,14100.0,72234
2015-01-05,14050.0,14600.0,14050.0,14450.0,28595
2015-01-06,14450.0,14550.0,14000.0,14400.0,20038
2015-01-07,14250.0,15050.0,14250.0,14850.0,77940
2015-01-08,14650.0,15300.0,14650.0,15150.0,61486
2015-01-09,15150.0,16000.0,15150.0,15750.0,92593
2015-01-12,16000.0,16000.0,15550.0,15750.0,37821
2015-01-13,15850.0,16050.0,15300.0,15500.0,34802
2015-01-14,15500.0,16000.0,15100.0,15550.0,34559
2015-01-15,15500.0,15800.0,15250.0,15800.0,15457
2015-01-16,15950.0,15950.0,15400.0,15500.0,21742
2015-01-19,15450.0,15850.0,15200.0,15550.0,23617
2015-01-20,15800.0,15800.0,15300.0,15550.0,15631
2015-01-21,15650.0,15650.0,15450.0,15600.0,15025
2015-01-22,15550.0,15850.0,15150.0,15300.0,34895
2015-01-23,15400.0,15650.0,15200.0,15300.0,21791
2015-01-26,15300.0,15550.0,15250.0,15550.0,20849
2015-01-27,15650.0,16100.0,15600.0,15600.0,42449
2015-01-28,15350.0,15700.0,15350.0,15700.0,20882
2015-01-29,15850.0,15850.0,15200.0,15400.0,22525
2015-01-30,15350.0,15600.0,14900.0,15350.0,22432
2015-02-02,15150.0,15200.0,14750.0,14900.0,12911
2015-02-03,14950.0,15150.0,14800.0,15000.0,13314
2015-02-04,15200.0,15600.0,14800.0,15500.0,21532
2015-02-05,15700.0,16000.0,15200.0,16000.0,58489
2015-02-06,16200.0,16300.0,15950.0,16050.0,47211
2015-02-09,16100.0,16400.0,15950.0,15950.0,43226
2015-02-10,16000.0,16250.0,15650.0,16000.0,46396
2015-02-11,15950.0,16000.0,15800.0,15950.0,14143
2015-02-12,15850.0,16500.0,15850.0,16200.0,35163
2015-02-13,16250.0,16400.0,16050.0,16050.0,16289
2015-02-16,16050.0,16350.0,15900.0,16050.0,21125
2015-02-17,15950.0,16250.0,15700.0,15900.0,21734
2015-02-23,15850.0,16100.0,15600.0,16000.0,15149
2015-02-24,16100.0,16150.0,15800.0,16000.0,37707
2015-02-25,15950.0,16200.0,15800.0,15850.0,15696
2015-02-26,15850.0,16500.0,15850.0,16350.0,54811
2015-02-27,16350.0,16950.0,15800.0,16000.0,73736
2015-03-02,15900.0,16550.0,15900.0,16550.0,27890
2015-03-03,16600.0,17000.0,16550.0,16800.0,36818
2015-03-04,16900.0,17000.0,16500.0,16950.0,19482
2015-03-05,17000.0,17050.0,16650.0,16900.0,13779
2015-03-06,17150.0,17150.0,16600.0,16850.0,17701
2015-03-09,16700.0,16750.0,16550.0,16550.0,10006
2015-03-10,16550.0,17000.0,16050.0,16850.0,20947
2015-03-11,16750.0,16750.0,16250.0,16600.0,18862
2015-03-12,16550.0,16800.0,16300.0,16600.0,17329
2015-03-13,16850.0,16950.0,16500.0,16550.0,34535
2015-03-16,16450.0,16850.0,16450.0,16600.0,22447
2015-03-17,16900.0,16900.0,16300.0,16500.0,18560
2015-03-18,16350.0,16550.0,16150.0,16450.0,22603
2015-03-19,16450.0,16750.0,16300.0,16400.0,12958
2015-03-20,16300.0,16600.0,15900.0,16200.0,19188
2015-03-23,16200.0,16350.0,15850.0,16200.0,20063
2015-03-24,16200.0,16250.0,16100.0,16150.0,13220
2015-03-25,16050.0,16200.0,15850.0,16100.0,17441
2015-03-26,16150.0,16400.0,15850.0,15950.0,14513
2015-03-27,16000.0,16000.0,15450.0,15900.0,20592
2015-03-30,15850.0,15900.0,15250.0,15550.0,29358
2015-03-31,15600.0,16000.0,15600.0,16000.0,48635
2015-04-01,15750.0,16050.0,15750.0,16000.0,29658
2015-04-02,16050.0,16400.0,15850.0,15900.0,25054
2015-04-03,16000.0,16050.0,15700.0,15950.0,19501
2015-04-06,16000.0,16000.0,15800.0,16000.0,24147
2015-04-07,16050.0,16200.0,15750.0,15800.0,18825
2015-04-08,15750.0,15750.0,15100.0,15300.0,46248
2015-04-09,15350.0,15400.0,15150.0,15300.0,19913
2015-04-10,15150.0,15450.0,15050.0,15100.0,32691
2015-04-13,15400.0,15550.0,14950.0,15050.0,23217
2015-04-14,15050.0,15250.0,14650.0,15100.0,37098
2015-04-15,15150.0,15250.0,14850.0,15100.0,23087
2015-04-16,15100.0,15600.0,15000.0,15550.0,20403
