date,open,high,low,close,volume
2015-01-02,7970.0,8170.0,7750.0,7910.0,39333
2015-01-05,7930.0,8000.0,7520.0,7620.0,100256
2015-01-06,7430.0,7570.0,7360.0,7540.0,39320
2015-01-07,7450.0,7640.0,7370.0,7520.0,47650
2015-01-08,7530.0,7570.0,7430.0,7530.0,19394
2015-01-09,7570.0,7620.0,7400.0,7620.0,27207
2015-01-12,7520.0,7680.0,7480.0,7600.0,25470
2015-01-13,7660.0,7660.0,7450.0,7570.0,14148
2015-01-14,7570.0,7570.0,7380.0,7570.0,27451
2015-01-15,7560.0,7610.0,7490.0,7600.0,7899
2015-01-16,7640.0,7640.0,7470.0,7570.0,6917
2015-01-19,7600.0,7650.0,7120.0,7570.0,30546
2015-01-20,7590.0,7590.0,7450.0,7570.0,13099
2015-01-21,7700.0,7700.0,7470.0,7550.0,7880
2015-01-22,7540.0,7550.0,7400.0,7480.0,27178
2015-01-23,7470.0,7530.0,7400.0,7530.0,12027
2015-01-26,7400.0,7500.0,7350.0,7480.0,22920
2015-01-27,7480.0,7520.0,7340.0,7400.0,10027
2015-01-28,7500.0,7500.0,7300.0,7500.0,15658
2015-01-29,7410.0,7750.0,7410.0,7750.0,26594
2015-01-30,7800.0,7890.0,7660.0,7740.0,14423
2015-02-02,7740.0,7970.0,7660.0,7660.0,17979
2015-02-03,7560.0,7650.0,7420.0,7590.0,11994
2015-02-04,7650.0,7720.0,7570.0,7660.0,22231
2015-02-05,7700.0,7700.0,7550.0,7650.0,7550
2015-02-06,7700.0,7840.0,7630.0,7840.0,9501
2015-02-09,7900.0,8280.0,7710.0,8130.0,36312
2015-02-10,8060.0,8160.0,7950.0,8050.0,7633
2015-02-11,8040.0,8150.0,7970.0,8030.0,15034
2015-02-12,8030.0,8100.0,7860.0,8030.0,6191
2015-02-13,8030.0,8130.0,7830.0,7960.0,14467
2015-02-16,7900.0,8030.0,7900.0,7990.0,6235
2015-02-17,8050.0,8050.0,7830.0,8030.0,10509
2015-02-23,8130.0,8130.0,7920.0,8000.0,6444
2015-02-24,8100.0,8100.0,7930.0,7980.0,5454
2015-02-25,8000.0,8060.0,7900.0,8010.0,2720
2015-02-26,8010.0,8010.0,7890.0,7950.0,5609
2015-02-27,7950.0,8180.0,7900.0,8000.0,3489
2015-03-02,8070.0,8070.0,7960.0,8000.0,7005
2015-03-03,8000.0,8000.0,7790.0,7940.0,14560
2015-03-04,7900.0,7940.0,7870.0,7920.0,1964
2015-03-05,7920.0,8000.0,7800.0,7890.0,8848
2015-03-06,7890.0,7890.0,7790.0,7790.0,14750
2015-03-09,7840.0,7850.0,7660.0,7830.0,18636
2015-03-10,7830.0,7900.0,7720.0,7830.0,4815
2015-03-11,7830.0,7930.0,7750.0,7930.0,7151
2015-03-12,7980.0,8160.0,7930.0,8060.0,10515
2015-03-13,8010.0,8710.0,8010.0,8600.0,42672
2015-03-16,8790.0,8790.0,8470.0,8570.0,15939
2015-03-17,8570.0,8790.0,8430.0,8580.0,30223
2015-03-18,8600.0,8660.0,8400.0,8540.0,18881
2015-03-19,8540.0,8790.0,8350.0,8420.0,17806
2015-03-20,8360.0,8530.0,8300.0,8450.0,8185
2015-03-23,8280.0,8660.0,8280.0,8600.0,25629
2015-03-24,8610.0,9700.0,8600.0,9590.0,81014
2015-03-25,9590.0,9590.0,9010.0,9410.0,19207
2015-03-26,9300.0,9520.0,9120.0,9400.0,13057
2015-03-27,9480.0,9480.0,9230.0,9350.0,5342
2015-03-30,9350.0,9450.0,9270.0,9340.0,7897
2015-03-31,9400.0,9400.0,9030.0,9320.0,22239
2015-04-01,9400.0,9400.0,9080.0,9190.0,6432
2015-04-02,9250.0,9380.0,9160.0,9290.0,5900
2015-04-03,9280.0,9470.0,9170.0,9310.0,7077
2015-04-06,9260.0,9400.0,9100.0,9380.0,11812
2015-04-07,9400.0,9400.0,9250.0,9310.0,4945
2015-04-08,9270.0,9380.0,9170.0,9250.0,2965
2015-04-09,9250.0,9300.0,9100.0,9300.0,7613
2015-04-10,9390.0,9750.0,9390.0,9590.0,16568
2015-04-13,9660.0,9740.0,9200.0,9210.0,15133
2015-04-14,9200.0,9250.0,8960.0,9100.0,35945
2015-04-15,9070.0,9260.0,9020.0,9160.0,7499
2015-04-16,9070.0,9200.0,9070.0,9180.0,1716
2015-04-17,9170.0,9270.0,9100.0,9200.0,8150
2015-04-20,9200.0,9290.0,8990.0,9130.0,9695
2015-04-21,9140.0,9250.0,8950.0,9120.0,16633
2015-04-22,9170.0,9180.0,8850.0,9090.0,35796
2015-04-23,9090.0,9090.0,8800.0,9000.0,10034
2015-04-24,9000.0,9130.0,8870.0,8990.0,9738
2015-04-27,8990.0,9040.0,8770.0,8900.0,39747
2015-04-28,8820.0,8950.0,8750.0,8870.0,19102
2015-04-29,8780.0,8950.0,8780.0,8900.0,9818
2015-04-30,9010.0,9080.0,8770.0,8950.0,8239
2015-05-04,9050.0,9050.0,8770.0,8920.0,4903
2015-05-06,8900.0,8930.0,8450.0,8620.0,66713
2015-05-07,8570.0,8660.0,8420.0,8600.0,21578
2015-05-08,8710.0,8850.0,8510.0,8700.0,15308
2015-05-11,8700.0,8970.0,8650.0,8900.0,35597
2015-05-12,9080.0,9080.0,8880.0,8900.0,24582
2015-05-13,8900.0,9060.0,8830.0,9040.0,21924
2015-05-14,9000.0,9170.0,8900.0,9150.0,12052
2015-05-15,9230.0,9250.0,9020.0,9230.0,7367
2015-05-18,9160.0,9210.0,8910.0,9170.0,8749
2015-05-19,9100.0,9290.0,9000.0,9200.0,26661
2015-05-20,9200.0,9790.0,9070.0,9570.0,28287
2015-05-21,9600.0,9600.0,9350.0,9540.0,9943
2015-05-22,9530.0,9680.0,9450.0,9600.0,12301
2015-05-26,9650.0,10300.0,9620.0,9900.0,37348
2015-05-27,9900.0,10400.0,9760.0,10200.0,39866
2015-05-28,10400.0,10600.0,10100.0,10350.0,24003
2015-05-29,10150.0,10950.0,10050.0,10750.0,25060
2015-06-01,10700.0,10700.0,10300.0,10550.0,10215
2015-06-02,10650.0,10850.0,10000.0,10350.0,22782
2015-06-03,10250.0,10450.0,10100.0,10350.0,10527
2015-06-04,10700.0,11850.0,10600.0,11600.0,118513
2015-06-05,12000.0,12550.0,11500.0,12300.0,256990
2015-06-08,12200.0,14100.0,12200.0,13850.0,210446
2015-06-09,13600.0,13850.0,12900.0,13150.0,220094
2015-06-10,13700.0,15000.0,13150.0,14800.0,321203
2015-06-11,0.0,0.0,0.0,14800.0,0
2015-06-12,15850.0,16600.0,15800.0,15800.0,287030
2015-06-15,15800.0,16800.0,15800.0,16550.0,115137
2015-06-16,16600.0,16650.0,14900.0,14900.0,81232
2015-06-17,15300.0,16400.0,14700.0,16000.0,98370
2015-06-18,15850.0,16500.0,15300.0,16000.0,49430
2015-06-19,16450.0,16450.0,15450.0,15800.0,25049
2015-06-22,15800.0,16100.0,15550.0,15700.0,40873
2015-06-23,15850.0,16300.0,15100.0,16000.0,89207
2015-06-24,16000.0,18000.0,15950.0,17000.0,72640
2015-06-25,17000.0,17600.0,16250.0,17250.0,50358
2015-06-26,17000.0,17000.0,15800.0,16300.0,84089
2015-06-29,15550.0,16200.0,15200.0,15650.0,75723
2015-06-30,15500.0,15700.0,14800.0,15700.0,44233
2015-07-01,15700.0,16400.0,15500.0,15900.0,25481
2015-07-02,16050.0,16050.0,15050.0,15500.0,42316
2015-07-03,15250.0,15900.0,15250.0,15600.0,23860
2015-07-06,15100.0,15400.0,14400.0,14400.0,57307
2015-07-07,14900.0,14950.0,13450.0,13800.0,70847
2015-07-08,13800.0,14450.0,13200.0,14400.0,48452
2015-07-09,14400.0,14500.0,13400.0,14400.0,33831
2015-07-10,14600.0,14600.0,13300.0,13450.0,69770
2015-07-13,12400.0,13050.0,12100.0,13000.0,166719
2015-07-14,13000.0,13350.0,12600.0,13200.0,29593
2015-07-15,13350.0,13550.0,12500.0,12800.0,33205
