date,open,high,low,close,volume
2015-01-02,2225.0,2225.0,2195.0,2205.0,118763
2015-01-05,2205.0,2275.0,2200.0,2225.0,282664
2015-01-06,2225.0,2305.0,2205.0,2290.0,438326
2015-01-07,2290.0,2315.0,2265.0,2285.0,248776
2015-01-08,2300.0,2305.0,2265.0,2265.0,185668
2015-01-09,2270.0,2310.0,2265.0,2285.0,227370
2015-01-12,2265.0,2290.0,2255.0,2265.0,155959
2015-01-13,2265.0,2295.0,2250.0,2250.0,138320
2015-01-14,2280.0,2280.0,2235.0,2255.0,131379
2015-01-15,2260.0,2290.0,2245.0,2285.0,183422
2015-01-16,2280.0,2280.0,2240.0,2255.0,178272
2015-01-19,2260.0,2295.0,2245.0,2270.0,168866
2015-01-20,2275.0,2290.0,2265.0,2280.0,123241
2015-01-21,2265.0,2290.0,2250.0,2290.0,190914
2015-01-22,2300.0,2315.0,2270.0,2275.0,298737
2015-01-23,2280.0,2310.0,2270.0,2300.0,216467
2015-01-26,2300.0,2300.0,2275.0,2280.0,130206
2015-01-27,2290.0,2290.0,2270.0,2275.0,147616
2015-01-28,2280.0,2335.0,2265.0,2325.0,658955
2015-01-29,2330.0,2335.0,2300.0,2315.0,241016
2015-01-30,2320.0,2330.0,2290.0,2305.0,162394
2015-02-02,2305.0,2315.0,2290.0,2305.0,180349
2015-02-03,2305.0,2350.0,2285.0,2325.0,276800
2015-02-04,2315.0,2340.0,2310.0,2335.0,237110
2015-02-05,2345.0,2380.0,2320.0,2370.0,473961
2015-02-06,2375.0,2400.0,2345.0,2360.0,520901
2015-02-09,2360.0,2370.0,2305.0,2325.0,397954
2015-02-10,2340.0,2345.0,2310.0,2320.0,236240
2015-02-11,2330.0,2345.0,2310.0,2325.0,255966
2015-02-12,2320.0,2335.0,2310.0,2315.0,178631
2015-02-13,2315.0,2335.0,2205.0,2265.0,1077579
2015-02-16,2295.0,2320.0,2265.0,2315.0,315623
2015-02-17,2335.0,2350.0,2310.0,2345.0,317957
2015-02-23,2555.0,2595.0,2420.0,2430.0,3402105
2015-02-24,2455.0,2475.0,2390.0,2430.0,1015751
2015-02-25,2500.0,2515.0,2425.0,2425.0,1094507
2015-02-26,2405.0,2450.0,2405.0,2445.0,435923
2015-02-27,2445.0,2500.0,2430.0,2500.0,984616
2015-03-02,2530.0,2540.0,2465.0,2515.0,786651
2015-03-03,2525.0,2530.0,2485.0,2515.0,612644
2015-03-04,2525.0,2530.0,2480.0,2495.0,506252
2015-03-05,2485.0,2505.0,2455.0,2480.0,357819
2015-03-06,2470.0,2485.0,2440.0,2465.0,353855
2015-03-09,2450.0,2465.0,2430.0,2455.0,251853
2015-03-10,2465.0,2500.0,2435.0,2500.0,337528
2015-03-11,2480.0,2495.0,2450.0,2450.0,383320
2015-03-12,2455.0,2490.0,2450.0,2480.0,219574
2015-03-13,2485.0,2505.0,2455.0,2475.0,283896
2015-03-16,2485.0,2565.0,2480.0,2540.0,1037781
2015-03-17,2550.0,2555.0,2510.0,2510.0,451458
2015-03-18,2515.0,2525.0,2470.0,2470.0,462656
2015-03-19,2475.0,2505.0,2450.0,2460.0,305492
2015-03-20,2465.0,2495.0,2450.0,2465.0,327280
2015-03-23,2485.0,2500.0,2465.0,2470.0,341784
2015-03-24,2480.0,2565.0,2480.0,2515.0,1123909
2015-03-25,2515.0,2545.0,2490.0,2490.0,471570
2015-03-26,2490.0,2505.0,2445.0,2445.0,336552
2015-03-27,2445.0,2475.0,2425.0,2430.0,363925
2015-03-30,2460.0,2485.0,2400.0,2480.0,546539
2015-03-31,2475.0,2495.0,2475.0,2485.0,334578
2015-04-01,2490.0,2775.0,2485.0,2735.0,4834369
2015-04-02,2870.0,2950.0,2590.0,2630.0,5566093
2015-04-03,2620.0,2660.0,2590.0,2615.0,1146067
2015-04-06,2615.0,2695.0,2610.0,2660.0,1028873
2015-04-07,2670.0,2670.0,2590.0,2610.0,864145
2015-04-08,2610.0,2670.0,2610.0,2650.0,614114
2015-04-09,2670.0,2685.0,2630.0,2630.0,599822
2015-04-10,2635.0,2865.0,2625.0,2810.0,2654890
2015-04-13,2860.0,3230.0,2820.0,3230.0,5492570
2015-04-14,3330.0,3550.0,3230.0,3410.0,9517778
2015-04-15,3420.0,3615.0,3290.0,3485.0,4836952
2015-04-16,3540.0,3725.0,3425.0,3425.0,4704942
2015-04-17,3935.0,3935.0,3850.0,3935.0,2150408
2015-04-20,4050.0,4525.0,4035.0,4525.0,9073006
2015-04-21,4735.0,4930.0,4440.0,4495.0,7835462
2015-04-22,4515.0,4780.0,3825.0,4260.0,8813641
2015-04-23,4465.0,4895.0,4100.0,4895.0,11799075
2015-04-24,4950.0,4990.0,4390.0,4400.0,7850257
2015-04-27,4380.0,4595.0,4300.0,4460.0,2549878
2015-04-28,4525.0,4730.0,4285.0,4340.0,3739608
2015-04-29,4345.0,4680.0,4200.0,4355.0,3486942
2015-04-30,4355.0,4565.0,4205.0,4225.0,1556575
2015-05-04,4200.0,4275.0,3835.0,3890.0,2055126
2015-05-06,3890.0,4325.0,3850.0,4030.0,3494681
2015-05-07,3900.0,4340.0,3900.0,4280.0,2556939
2015-05-08,4280.0,4580.0,4260.0,4440.0,2121283
2015-05-11,4560.0,4680.0,4435.0,4635.0,1527418
2015-05-12,4635.0,4695.0,4410.0,4550.0,1125882
2015-05-13,4550.0,4980.0,4480.0,4750.0,3590880
2015-05-14,4710.0,4925.0,4635.0,4715.0,1624932
2015-05-15,4730.0,5420.0,4730.0,5420.0,5937483
2015-05-18,5340.0,5420.0,4670.0,4700.0,5461996
2015-05-19,4760.0,5370.0,4760.0,5160.0,4156452
