date,open,high,low,close,volume
2015-01-02,574.0,574.0,552.0,558.0,325304
2015-01-05,556.0,565.0,545.0,558.0,164327
2015-01-06,563.0,563.0,542.0,543.0,261960
2015-01-07,543.0,568.0,526.0,568.0,367142
2015-01-08,570.0,586.0,569.0,570.0,405243
2015-01-09,567.0,580.0,552.0,580.0,167531
2015-01-12,578.0,584.0,572.0,580.0,192612
2015-01-13,580.0,580.0,556.0,558.0,218528
2015-01-14,566.0,640.0,556.0,642.0,2500926
2015-01-15,668.0,721.0,634.0,661.0,7324207
2015-01-16,655.0,708.0,634.0,690.0,3100249
2015-01-19,683.0,793.0,676.0,794.0,8360591
2015-01-20,843.0,912.0,843.0,913.0,2298047
2015-01-21,980.0,1046.0,845.0,866.0,23128421
2015-01-22,864.0,907.0,738.0,800.0,17262361
2015-01-23,803.0,832.0,737.0,774.0,7268234
2015-01-26,761.0,853.0,743.0,844.0,10089158
2015-01-27,844.0,866.0,776.0,797.0,5953301
2015-01-28,796.0,914.0,768.0,915.0,13510797
2015-01-29,931.0,964.0,791.0,824.0,9202863
2015-01-30,822.0,835.0,756.0,802.0,3463889
2015-02-02,815.0,823.0,756.0,789.0,2211215
2015-02-03,790.0,796.0,729.0,750.0,2088721
2015-02-04,750.0,804.0,736.0,800.0,2989813
2015-02-05,795.0,803.0,766.0,774.0,1304184
2015-02-06,770.0,787.0,741.0,758.0,1365357
2015-02-09,747.0,766.0,689.0,724.0,1851087
2015-02-10,724.0,724.0,682.0,708.0,510153
2015-02-11,702.0,726.0,691.0,708.0,771371
2015-02-12,718.0,720.0,701.0,713.0,435168
2015-02-13,705.0,714.0,676.0,701.0,813250
2015-02-16,699.0,699.0,671.0,692.0,457098
2015-02-17,701.0,762.0,697.0,738.0,4246477
2015-02-23,722.0,739.0,694.0,710.0,1173274
2015-02-24,707.0,719.0,700.0,715.0,558786
2015-02-25,729.0,738.0,713.0,736.0,569767
2015-02-26,743.0,748.0,717.0,736.0,559807
2015-02-27,779.0,781.0,733.0,752.0,2068617
2015-03-02,749.0,758.0,730.0,745.0,599134
2015-03-03,749.0,761.0,737.0,750.0,505119
2015-03-04,743.0,778.0,743.0,758.0,1186246
2015-03-05,755.0,767.0,740.0,755.0,339337
2015-03-06,753.0,783.0,746.0,769.0,578262
2015-03-09,777.0,847.0,773.0,789.0,2054262
2015-03-10,780.0,809.0,747.0,780.0,690339
2015-03-11,771.0,792.0,755.0,774.0,437911
2015-03-12,772.0,805.0,770.0,806.0,636065
2015-03-13,815.0,835.0,792.0,820.0,970917
2015-03-16,832.0,941.0,822.0,943.0,7091470
2015-03-17,927.0,951.0,908.0,948.0,2818480
2015-03-18,957.0,959.0,910.0,957.0,2842336
2015-03-19,956.0,994.0,895.0,908.0,2085674
2015-03-20,902.0,918.0,863.0,893.0,976366
2015-03-23,880.0,959.0,871.0,908.0,1243738
2015-03-24,926.0,1043.0,913.0,1044.0,2633772
2015-03-25,1067.0,1121.0,992.0,1006.0,4574259
2015-03-26,1001.0,1001.0,935.0,960.0,1894971
2015-03-27,967.0,1087.0,963.0,1039.0,3227199
2015-03-30,1037.0,1046.0,996.0,1035.0,832550
2015-03-31,1031.0,1046.0,936.0,993.0,758511
2015-04-01,995.0,1024.0,958.0,1017.0,653342
2015-04-02,1015.0,1015.0,919.0,934.0,1455859
2015-04-03,977.0,982.0,945.0,962.0,699080
2015-04-06,961.0,987.0,956.0,978.0,541041
2015-04-07,976.0,1088.0,960.0,1030.0,1843540
2015-04-08,1067.0,1067.0,988.0,1046.0,781828
2015-04-09,1044.0,1197.0,1044.0,1096.0,2143085
2015-04-10,1118.0,1118.0,1052.0,1086.0,772449
2015-04-13,1082.0,1243.0,1082.0,1220.0,1961426
2015-04-14,1218.0,1336.0,1153.0,1228.0,1535054
2015-04-15,1217.0,1266.0,1191.0,1241.0,769920
2015-04-16,1230.0,1319.0,1153.0,1174.0,4037309
2015-04-17,1142.0,1160.0,1053.0,1070.0,2590991
2015-04-20,1051.0,1106.0,1034.0,1072.0,1162882
2015-04-21,1091.0,1130.0,1051.0,1096.0,642052
2015-04-22,1075.0,1094.0,933.0,1046.0,1237303
2015-04-23,1083.0,1083.0,976.0,1027.0,585801
2015-04-24,1095.0,1144.0,1030.0,1145.0,1719020
2015-04-27,1183.0,1219.0,1148.0,1220.0,1149943
2015-04-28,1210.0,1271.0,1174.0,1220.0,849255
2015-04-29,1239.0,1268.0,1212.0,1228.0,769458
2015-04-30,1253.0,1253.0,1153.0,1195.0,749467
2015-05-04,1183.0,1192.0,1117.0,1158.0,574061
2015-05-06,1161.0,1314.0,1161.0,1314.0,2666765
2015-05-07,1312.0,1477.0,1269.0,1382.0,2000454
2015-05-08,1388.0,1416.0,1292.0,1342.0,1089093
2015-05-11,1341.0,1374.0,1311.0,1330.0,712326
2015-05-12,1345.0,1407.0,1274.0,1307.0,1651740
2015-05-13,1308.0,1308.0,1226.0,1241.0,979582
2015-05-14,1183.0,1225.0,1100.0,1211.0,1792577
2015-05-15,1222.0,1230.0,1173.0,1211.0,460330
2015-05-18,1204.0,1204.0,1116.0,1155.0,1171721
2015-05-19,1127.0,1158.0,1112.0,1160.0,550071
2015-05-20,1204.0,1267.0,1138.0,1162.0,1835385
2015-05-21,1189.0,1195.0,1125.0,1175.0,544291
2015-05-22,1174.0,1198.0,1140.0,1189.0,382307
2015-05-26,1235.0,1347.0,1200.0,1318.0,2051114
2015-05-27,1330.0,1467.0,1275.0,1404.0,2025933
2015-05-28,1445.0,1445.0,1335.0,1337.0,1163804
2015-05-29,1360.0,1432.0,1338.0,1434.0,844601
2015-06-01,1390.0,1402.0,1271.0,1391.0,960099
2015-06-02,1385.0,1423.0,1293.0,1316.0,462259
2015-06-03,1278.0,1446.0,1278.0,1416.0,1133839
2015-06-04,1415.0,1627.0,1366.0,1628.0,3256388
2015-06-05,1667.0,1871.0,1667.0,1863.0,6307960
2015-06-08,1860.0,2070.0,1745.0,2036.0,4292282
2015-06-09,2196.0,2337.0,1981.0,2339.0,4933369
2015-06-10,2456.0,2623.0,2355.0,2484.0,5378593
2015-06-11,2447.0,2478.0,2220.0,2480.0,3081071
2015-06-12,2553.0,2676.0,2457.0,2581.0,1615539
2015-06-15,2664.0,2690.0,2162.0,2204.0,2999873
2015-06-16,2163.0,2267.0,2011.0,2216.0,1272042
2015-06-17,2413.0,2413.0,2150.0,2208.0,1384373
2015-06-18,2209.0,2219.0,2100.0,2120.0,714682
2015-06-19,2192.0,2298.0,2105.0,2251.0,839387
2015-06-22,2225.0,2331.0,2159.0,2283.0,523313
2015-06-23,2290.0,2290.0,2185.0,2248.0,468466
2015-06-24,2246.0,2263.0,2157.0,2221.0,639917
2015-06-25,2236.0,2258.0,2178.0,2221.0,502206
2015-06-26,2236.0,2429.0,2178.0,2405.0,1562259
2015-06-29,2325.0,2325.0,2191.0,2230.0,947860
2015-06-30,2229.0,2229.0,2013.0,2169.0,884359
2015-07-01,2205.0,2315.0,2167.0,2278.0,676900
2015-07-02,2295.0,2391.0,2230.0,2349.0,931323
2015-07-03,2387.0,2562.0,2348.0,2397.0,2144088
2015-07-06,2348.0,2478.0,2338.0,2366.0,889743
