date,open,high,low,close,volume
2015-01-02,6983.0,7035.0,6863.0,6958.0,21636
2015-01-05,6880.0,6957.0,6786.0,6881.0,26389
2015-01-06,6854.0,6880.0,6554.0,6786.0,39139
2015-01-07,6794.0,6829.0,6648.0,6735.0,38209
2015-01-08,6734.0,6794.0,6485.0,6589.0,140996
2015-01-09,6657.0,6657.0,6451.0,6572.0,46205
2015-01-12,6546.0,6640.0,6546.0,6615.0,28335
2015-01-13,6614.0,6717.0,6597.0,6718.0,46997
2015-01-14,6760.0,6777.0,6657.0,6726.0,42103
2015-01-15,6691.0,6975.0,6691.0,6975.0,56212
2015-01-16,6975.0,7052.0,6906.0,6966.0,40357
2015-01-19,7009.0,7129.0,6957.0,6975.0,30873
2015-01-20,7035.0,7035.0,6897.0,6966.0,11845
2015-01-21,6966.0,7077.0,6897.0,7069.0,18432
2015-01-22,7069.0,7292.0,7035.0,7112.0,46560
2015-01-23,7206.0,7395.0,7112.0,7250.0,39118
2015-01-26,7249.0,7524.0,7249.0,7310.0,20896
2015-01-27,7326.0,7378.0,7146.0,7292.0,17691
2015-01-28,7361.0,7361.0,7120.0,7241.0,30203
2015-01-29,7189.0,7292.0,7086.0,7215.0,33072
2015-01-30,7343.0,7352.0,7120.0,7352.0,34565
2015-02-02,7352.0,7489.0,7129.0,7164.0,18891
2015-02-03,7249.0,7249.0,6983.0,7052.0,17865
2015-02-04,7086.0,7429.0,7026.0,7275.0,32054
2015-02-05,7378.0,7455.0,7266.0,7404.0,18728
2015-02-06,7403.0,7618.0,7378.0,7618.0,24344
2015-02-09,7438.0,7446.0,6846.0,7121.0,75907
2015-02-10,7120.0,7120.0,6880.0,6949.0,54148
2015-02-11,6914.0,7120.0,6820.0,6863.0,46426
2015-02-12,6975.0,7172.0,6803.0,7172.0,74820
2015-02-13,7275.0,8021.0,7198.0,7327.0,268758
2015-02-16,7352.0,7498.0,7198.0,7352.0,53311
2015-02-17,7352.0,7378.0,6983.0,7138.0,58567
2015-02-23,7172.0,7403.0,7035.0,7318.0,38911
2015-02-24,7438.0,7438.0,7275.0,7318.0,23914
2015-02-25,7318.0,7721.0,7318.0,7481.0,98204
2015-02-26,7481.0,7661.0,7395.0,7550.0,39977
2015-02-27,7566.0,7850.0,7566.0,7636.0,53036
2015-03-02,7661.0,7704.0,7412.0,7550.0,31758
2015-03-03,7549.0,7618.0,7378.0,7430.0,36598
2015-03-04,7446.0,7738.0,7446.0,7721.0,43468
2015-03-05,7764.0,8013.0,7661.0,7696.0,50883
2015-03-06,7712.0,8527.0,7712.0,8090.0,160502
2015-03-09,8090.0,8133.0,7875.0,7876.0,49433
2015-03-10,7987.0,8244.0,7824.0,7944.0,78891
2015-03-11,7935.0,8133.0,7601.0,7661.0,77966
2015-03-12,7721.0,7910.0,7498.0,7627.0,51771
2015-03-13,7627.0,7807.0,7524.0,7661.0,87928
2015-03-16,7712.0,7712.0,7438.0,7524.0,48070
2015-03-17,7609.0,7635.0,7481.0,7541.0,40479
2015-03-18,7541.0,7635.0,7343.0,7481.0,43271
2015-03-19,7515.0,7661.0,7361.0,7473.0,52343
2015-03-20,7524.0,7807.0,7446.0,7636.0,101047
2015-03-23,8184.0,8768.0,7953.0,7996.0,715425
2015-03-24,7944.0,8107.0,7635.0,7790.0,233353
2015-03-25,7755.0,7995.0,7729.0,7893.0,142650
2015-03-26,7807.0,8193.0,7807.0,8013.0,118867
2015-03-27,7944.0,8038.0,7781.0,7859.0,62620
2015-03-30,7867.0,8244.0,7858.0,8039.0,51636
2015-03-31,8133.0,8184.0,7927.0,7962.0,31890
2015-04-01,7918.0,8150.0,7747.0,7996.0,112422
2015-04-02,8021.0,8493.0,7970.0,8348.0,99550
2015-04-03,8356.0,8510.0,8176.0,8245.0,38554
2015-04-06,8158.0,8493.0,8030.0,8313.0,51285
2015-04-07,8399.0,8442.0,8124.0,8133.0,56631
2015-04-08,8176.0,8347.0,8158.0,8185.0,43059
2015-04-09,8244.0,8442.0,8193.0,8365.0,55865
2015-04-10,8442.0,8956.0,8424.0,8957.0,179400
2015-04-13,9042.0,10054.0,8853.0,8854.0,397509
2015-04-14,8956.0,8956.0,8356.0,8416.0,187496
2015-04-15,8416.0,8613.0,8356.0,8408.0,61447
2015-04-16,8416.0,8699.0,8407.0,8476.0,68449
2015-04-17,8476.0,8527.0,8407.0,8468.0,52244
2015-04-20,8442.0,8527.0,8227.0,8313.0,65922
2015-04-21,8321.0,8467.0,8236.0,8459.0,81977
2015-04-22,8493.0,8502.0,7935.0,8065.0,104365
2015-04-23,8098.0,8176.0,7824.0,7919.0,52266
2015-04-24,7892.0,8013.0,7850.0,7970.0,25885
2015-04-27,7978.0,8330.0,7978.0,8331.0,34747
2015-04-28,8373.0,8750.0,8201.0,8648.0,67162
2015-04-29,8750.0,9008.0,8373.0,8511.0,113480
2015-04-30,8364.0,8502.0,8227.0,8245.0,27830
2015-05-04,8296.0,8296.0,8064.0,8236.0,30623
2015-05-06,8124.0,8253.0,7978.0,8065.0,37640
2015-05-07,8055.0,8219.0,7995.0,8210.0,22903
2015-05-08,8253.0,8536.0,8193.0,8408.0,36781
2015-05-11,8424.0,8682.0,8399.0,8433.0,70268
2015-05-12,8330.0,8502.0,8227.0,8305.0,35616
2015-05-13,8236.0,8433.0,8150.0,8339.0,42268
2015-05-14,8424.0,8802.0,8373.0,8751.0,104547
2015-05-15,8853.0,8871.0,8562.0,8562.0,33482
2015-05-18,8562.0,8836.0,8407.0,8528.0,33081
2015-05-19,8527.0,8570.0,8407.0,8536.0,21157
2015-05-20,8450.0,8596.0,8382.0,8459.0,47377
2015-05-21,8613.0,9179.0,8467.0,9043.0,310157
2015-05-22,9059.0,9437.0,8888.0,9077.0,259177
2015-05-26,9111.0,9145.0,8579.0,8734.0,124622
2015-05-27,8502.0,8733.0,8176.0,8279.0,121399
2015-05-28,8287.0,8450.0,8287.0,8296.0,31845
2015-05-29,8296.0,8347.0,8167.0,8339.0,43768
2015-06-01,8339.0,8682.0,8321.0,8614.0,70334
2015-06-02,8750.0,8853.0,8484.0,8614.0,57735
2015-06-03,8613.0,8665.0,8390.0,8648.0,59232
2015-06-04,8699.0,8750.0,8459.0,8579.0,33236
2015-06-05,8519.0,8596.0,8339.0,8545.0,44319
2015-06-08,8553.0,8922.0,8493.0,8854.0,55145
2015-06-09,8819.0,9265.0,8819.0,8991.0,113766
2015-06-10,9111.0,9351.0,8768.0,9043.0,68441
2015-06-11,9094.0,9265.0,8991.0,8991.0,50094
2015-06-12,8991.0,9265.0,8802.0,9025.0,60292
2015-06-15,9042.0,9746.0,9025.0,9094.0,184045
2015-06-16,8922.0,9128.0,8630.0,8991.0,66097
2015-06-17,8991.0,9351.0,8802.0,9283.0,70843
2015-06-18,9368.0,9557.0,9042.0,9077.0,97960
2015-06-19,9145.0,9437.0,9128.0,9334.0,140375
2015-06-22,9334.0,9334.0,8956.0,9180.0,76938
2015-06-23,9179.0,9523.0,9179.0,9472.0,78599
2015-06-24,9488.0,9900.0,9231.0,9420.0,66971
