date,open,high,low,close,volume
2015-01-02,3160.0,3215.0,3160.0,3200.0,17423
2015-01-05,3220.0,3250.0,3180.0,3250.0,21954
2015-01-06,3245.0,3245.0,3190.0,3220.0,10782
2015-01-07,3250.0,3250.0,3205.0,3235.0,2387
2015-01-08,3260.0,3300.0,3200.0,3300.0,19393
2015-01-09,3315.0,3380.0,3300.0,3380.0,14099
2015-01-12,3375.0,3395.0,3310.0,3350.0,16756
2015-01-13,3350.0,3375.0,3310.0,3350.0,2463
2015-01-14,3360.0,3360.0,3290.0,3350.0,8511
2015-01-15,3355.0,3355.0,3295.0,3335.0,3810
2015-01-16,3345.0,3345.0,3195.0,3215.0,44049
2015-01-19,3260.0,3260.0,3185.0,3215.0,28810
2015-01-20,3225.0,3235.0,3180.0,3210.0,8006
2015-01-21,3210.0,3230.0,3140.0,3160.0,13632
2015-01-22,3185.0,3185.0,3135.0,3170.0,11241
2015-01-23,3195.0,3195.0,3120.0,3150.0,13167
2015-01-26,3160.0,3160.0,3125.0,3125.0,5773
2015-01-27,3140.0,3200.0,3110.0,3150.0,45708
2015-01-28,3195.0,3195.0,3155.0,3170.0,14363
2015-01-29,3200.0,3200.0,3150.0,3195.0,7221
2015-01-30,3210.0,3210.0,3155.0,3170.0,13811
2015-02-02,3170.0,3180.0,3150.0,3175.0,4759
2015-02-03,3195.0,3250.0,3170.0,3235.0,34548
2015-02-04,3235.0,3260.0,3215.0,3250.0,8387
2015-02-05,3260.0,3735.0,3225.0,3735.0,116016
2015-02-06,4090.0,4090.0,3780.0,3790.0,420621
2015-02-09,3775.0,3850.0,3765.0,3850.0,83808
2015-02-10,3850.0,3850.0,3730.0,3750.0,53767
2015-02-11,3765.0,3900.0,3730.0,3850.0,53494
2015-02-12,3830.0,3840.0,3725.0,3820.0,93340
2015-02-13,3810.0,3810.0,3740.0,3765.0,148183
2015-02-16,3795.0,3950.0,3775.0,3805.0,46359
2015-02-17,3830.0,3830.0,3750.0,3805.0,31965
2015-02-23,3805.0,3900.0,3805.0,3830.0,37391
2015-02-24,3895.0,3895.0,3810.0,3830.0,46718
2015-02-25,3870.0,3870.0,3785.0,3815.0,17184
2015-02-26,3845.0,3850.0,3770.0,3840.0,35670
2015-02-27,3815.0,3865.0,3815.0,3850.0,38875
2015-03-02,3850.0,3945.0,3795.0,3850.0,30296
2015-03-03,3915.0,3915.0,3815.0,3880.0,56032
2015-03-04,3880.0,3880.0,3840.0,3870.0,10225
2015-03-05,3870.0,3960.0,3860.0,3905.0,69300
2015-03-06,3945.0,3945.0,3840.0,3890.0,41014
2015-03-09,3905.0,3950.0,3850.0,3885.0,43751
2015-03-10,3870.0,3890.0,3765.0,3830.0,49632
2015-03-11,3830.0,3830.0,3765.0,3790.0,44283
2015-03-12,3820.0,3830.0,3790.0,3830.0,18183
2015-03-13,3865.0,3870.0,3825.0,3855.0,24242
2015-03-16,3855.0,3910.0,3840.0,3880.0,25693
2015-03-17,3900.0,3940.0,3860.0,3880.0,63998
2015-03-18,3910.0,3910.0,3850.0,3875.0,40523
2015-03-19,3855.0,3875.0,3815.0,3865.0,50330
2015-03-20,3895.0,4070.0,3835.0,3990.0,161056
2015-03-23,3985.0,4050.0,3830.0,3980.0,158081
2015-03-24,3950.0,3955.0,3880.0,3910.0,63346
2015-03-25,3910.0,4320.0,3865.0,4130.0,358899
2015-03-26,4130.0,4160.0,4045.0,4080.0,66865
2015-03-27,4160.0,4245.0,4045.0,4245.0,81000
2015-03-30,4275.0,4360.0,4190.0,4240.0,66599
2015-03-31,4240.0,4400.0,4210.0,4330.0,108393
2015-04-01,4360.0,4390.0,4215.0,4265.0,77100
2015-04-02,4240.0,4360.0,4240.0,4270.0,77224
2015-04-03,4365.0,4365.0,4155.0,4155.0,52099
2015-04-06,4160.0,4185.0,4125.0,4150.0,66961
2015-04-07,4230.0,4230.0,4150.0,4165.0,33747
2015-04-08,4195.0,4280.0,4165.0,4280.0,41909
2015-04-09,4300.0,4345.0,4280.0,4345.0,57975
2015-04-10,4345.0,4385.0,4315.0,4345.0,33593
2015-04-13,4390.0,4390.0,4260.0,4370.0,37431
2015-04-14,4400.0,4400.0,4110.0,4190.0,46398
2015-04-15,4230.0,4265.0,4170.0,4265.0,23583
2015-04-16,4275.0,4340.0,4150.0,4240.0,51788
2015-04-17,4240.0,4280.0,4155.0,4200.0,30435
2015-04-20,4180.0,4195.0,4060.0,4090.0,70949
2015-04-21,4100.0,4230.0,4090.0,4225.0,39382
2015-04-22,4300.0,4300.0,3955.0,4160.0,30155
2015-04-23,4160.0,4230.0,4115.0,4120.0,25908
2015-04-24,4120.0,4140.0,3980.0,3985.0,34903
2015-04-27,4015.0,4150.0,3950.0,3995.0,39577
2015-04-28,4050.0,4100.0,3980.0,4045.0,31635
2015-04-29,4100.0,4285.0,4055.0,4240.0,39055
2015-04-30,4280.0,4280.0,4150.0,4200.0,12409
2015-05-04,4200.0,4205.0,4090.0,4090.0,26806
2015-05-06,4090.0,4145.0,3955.0,3970.0,26964
2015-05-07,4000.0,4070.0,3905.0,4070.0,40118
2015-05-08,4015.0,4115.0,4015.0,4100.0,12059
2015-05-11,4210.0,4210.0,4110.0,4160.0,16154
2015-05-12,4240.0,4270.0,4165.0,4260.0,85329
2015-05-13,4255.0,4275.0,4150.0,4235.0,25054
2015-05-14,4275.0,4280.0,4210.0,4210.0,29713
2015-05-15,4195.0,4260.0,3810.0,3860.0,153072
