date,open,high,low,close,volume
2015-01-02,2388.0,2446.0,2385.0,2385.0,8983
2015-01-05,2385.0,2423.0,2342.0,2350.0,33765
2015-01-06,2350.0,2400.0,2330.0,2335.0,24501
2015-01-07,2338.0,2354.0,2299.0,2323.0,28730
2015-01-08,2326.0,2354.0,2288.0,2300.0,22585
2015-01-09,2323.0,2338.0,2295.0,2315.0,28169
2015-01-12,2319.0,2373.0,2319.0,2327.0,14227
2015-01-13,2350.0,2350.0,2295.0,2327.0,14568
2015-01-14,2323.0,2350.0,2284.0,2315.0,17695
2015-01-15,2315.0,2338.0,2307.0,2335.0,15066
2015-01-16,2323.0,2326.0,2295.0,2296.0,39782
2015-01-19,2284.0,2303.0,2257.0,2284.0,12466
2015-01-20,2284.0,2319.0,2257.0,2292.0,27490
2015-01-21,2292.0,2307.0,2253.0,2269.0,26338
2015-01-22,2257.0,2311.0,2253.0,2265.0,24016
2015-01-23,2264.0,2408.0,2261.0,2389.0,44265
2015-01-26,2400.0,2400.0,2346.0,2354.0,21082
2015-01-27,2354.0,2547.0,2354.0,2462.0,96050
2015-01-28,2462.0,2489.0,2400.0,2478.0,43803
2015-01-29,2462.0,2493.0,2427.0,2443.0,14692
2015-01-30,2443.0,2470.0,2354.0,2385.0,39580
2015-02-02,2385.0,2551.0,2330.0,2493.0,53096
2015-02-03,2508.0,2508.0,2443.0,2486.0,21742
2015-02-04,2508.0,2508.0,2446.0,2493.0,6262
2015-02-05,2470.0,2501.0,2458.0,2493.0,7055
2015-02-06,2501.0,2520.0,2477.0,2482.0,14298
2015-02-09,2481.0,2505.0,2431.0,2447.0,25897
2015-02-10,2512.0,2512.0,2415.0,2455.0,17597
2015-02-11,2454.0,2477.0,2435.0,2455.0,12607
2015-02-12,2454.0,2458.0,2388.0,2408.0,22294
2015-02-13,2400.0,2450.0,2400.0,2424.0,31588
2015-02-16,2423.0,2597.0,2396.0,2501.0,81779
2015-02-17,2501.0,2512.0,2477.0,2493.0,33077
2015-02-23,2505.0,2865.0,2485.0,2865.0,287161
2015-02-24,2965.0,3213.0,2787.0,2799.0,816652
2015-02-25,2837.0,2927.0,2717.0,2811.0,254274
2015-02-26,2818.0,3229.0,2810.0,3229.0,1474004
2015-02-27,3368.0,3705.0,3263.0,3368.0,1286953
2015-03-02,3267.0,3306.0,3058.0,3097.0,696491
2015-03-03,3035.0,3182.0,3027.0,3059.0,412893
2015-03-04,3097.0,3484.0,3081.0,3214.0,813635
2015-03-05,3174.0,3248.0,3097.0,3105.0,280958
2015-03-06,3105.0,3209.0,3066.0,3097.0,173760
2015-03-09,3089.0,3325.0,3081.0,3121.0,202475
2015-03-10,3147.0,3275.0,2996.0,3097.0,125286
2015-03-11,3050.0,3093.0,3012.0,3035.0,87144
2015-03-12,3050.0,3167.0,3027.0,3059.0,72613
2015-03-13,3081.0,3229.0,3081.0,3105.0,141423
2015-03-16,3116.0,3182.0,3109.0,3113.0,83272
2015-03-17,3116.0,3244.0,3105.0,3132.0,126364
2015-03-18,3147.0,3600.0,3112.0,3601.0,1550136
2015-03-19,3666.0,3763.0,3321.0,3353.0,1054290
2015-03-20,3383.0,3403.0,3244.0,3291.0,285686
2015-03-23,3298.0,3422.0,3240.0,3291.0,232919
2015-03-24,3325.0,3368.0,3252.0,3260.0,167223
2015-03-25,3294.0,3395.0,3267.0,3361.0,154981
2015-03-26,3333.0,3352.0,3267.0,3334.0,110091
2015-03-27,3352.0,3356.0,3275.0,3345.0,113195
2015-03-30,3290.0,3337.0,3248.0,3299.0,76746
2015-03-31,3329.0,3329.0,3190.0,3217.0,76343
2015-04-01,3190.0,3213.0,3081.0,3206.0,135730
2015-04-02,3163.0,3205.0,3097.0,3152.0,58648
2015-04-03,3120.0,3337.0,3120.0,3299.0,138858
2015-04-06,3310.0,3430.0,3256.0,3337.0,124624
2015-04-07,3337.0,3360.0,3290.0,3318.0,48803
2015-04-08,3407.0,3426.0,3360.0,3376.0,102106
