date,open,high,low,close,volume
2015-01-02,11600.0,11800.0,11500.0,11800.0,9665
2015-01-05,11700.0,11850.0,11500.0,11750.0,6034
2015-01-06,11600.0,11700.0,11450.0,11650.0,8232
2015-01-07,11550.0,11750.0,11350.0,11550.0,9497
2015-01-08,11450.0,11600.0,11350.0,11350.0,8600
2015-01-09,11550.0,11550.0,11250.0,11450.0,2731
2015-01-12,11600.0,11600.0,11450.0,11550.0,3730
2015-01-13,11700.0,11700.0,11400.0,11600.0,5480
2015-01-14,11600.0,11600.0,11300.0,11600.0,8903
2015-01-15,11550.0,11600.0,11450.0,11500.0,6324
2015-01-16,11500.0,11500.0,11250.0,11450.0,11537
2015-01-19,11350.0,11450.0,11200.0,11300.0,11645
2015-01-20,11250.0,11400.0,11000.0,11200.0,19776
2015-01-21,11100.0,11200.0,10800.0,10950.0,20252
2015-01-22,10850.0,11450.0,10850.0,11250.0,7842
2015-01-23,11200.0,11800.0,11200.0,11800.0,25670
2015-01-26,11700.0,12900.0,11700.0,12850.0,45469
2015-01-27,13000.0,13000.0,12550.0,12900.0,19911
2015-01-28,12800.0,13650.0,12650.0,13650.0,44909
2015-01-29,13550.0,13700.0,13100.0,13450.0,20479
2015-01-30,13300.0,13500.0,13100.0,13250.0,6636
2015-02-02,13500.0,13650.0,13200.0,13250.0,13785
2015-02-03,13200.0,13450.0,12900.0,13050.0,20182
2015-02-04,12950.0,13250.0,12950.0,13200.0,8623
2015-02-05,13300.0,13300.0,12950.0,13200.0,6258
2015-02-06,13100.0,13350.0,12900.0,13150.0,7778
2015-02-09,13050.0,13150.0,12550.0,13050.0,19045
2015-02-10,12950.0,13100.0,12800.0,13000.0,7531
2015-02-11,13100.0,13100.0,12750.0,12900.0,6976
2015-02-12,12850.0,12850.0,12500.0,12500.0,19887
2015-02-13,12550.0,13000.0,12550.0,12900.0,5176
2015-02-16,12850.0,12950.0,12550.0,12950.0,7382
2015-02-17,12950.0,13150.0,12600.0,13050.0,17848
2015-02-23,13050.0,13050.0,12800.0,13000.0,9525
2015-02-24,12800.0,13300.0,12800.0,13150.0,9628
2015-02-25,13050.0,13350.0,13000.0,13350.0,8136
2015-02-26,13350.0,13350.0,13100.0,13300.0,6276
2015-02-27,13200.0,13450.0,13150.0,13300.0,1747
2015-03-02,13200.0,13500.0,13200.0,13450.0,5395
2015-03-03,13500.0,13500.0,13100.0,13350.0,28016
2015-03-04,13300.0,13450.0,13100.0,13150.0,10879
2015-03-05,13050.0,13200.0,12950.0,13200.0,10303
2015-03-06,13100.0,13100.0,12950.0,12950.0,9927
2015-03-09,12950.0,13000.0,12750.0,13000.0,6833
2015-03-10,13000.0,13000.0,12750.0,12800.0,5305
2015-03-11,12650.0,13000.0,12650.0,13000.0,1740
2015-03-12,13050.0,13050.0,12700.0,12850.0,9774
2015-03-13,12700.0,13000.0,12700.0,12800.0,3770
2015-03-16,13000.0,13000.0,12600.0,12750.0,6276
2015-03-17,12900.0,12900.0,12600.0,12750.0,3619
2015-03-18,12750.0,13100.0,12400.0,12950.0,13290
2015-03-19,12800.0,12950.0,12200.0,12750.0,24603
2015-03-20,12600.0,12800.0,12250.0,12650.0,13396
2015-03-23,12700.0,12850.0,12650.0,12850.0,6446
2015-03-24,12850.0,12900.0,12700.0,12800.0,5364
2015-03-25,12800.0,12900.0,12700.0,12700.0,18019
2015-03-26,12650.0,12900.0,12650.0,12800.0,6061
2015-03-27,12750.0,12950.0,12650.0,12700.0,18147
2015-03-30,12700.0,12800.0,12600.0,12700.0,26965
2015-03-31,12650.0,12900.0,12550.0,12800.0,8259
2015-04-01,12700.0,12900.0,12700.0,12800.0,6263
2015-04-02,12800.0,12850.0,12700.0,12850.0,3762
2015-04-03,12800.0,12950.0,12750.0,12900.0,5220
2015-04-06,13000.0,13800.0,12900.0,13800.0,44360
2015-04-07,13950.0,13950.0,13550.0,13600.0,22366
2015-04-08,13650.0,13650.0,13100.0,13400.0,22319
2015-04-09,13500.0,13500.0,13150.0,13400.0,10876
2015-04-10,13300.0,13450.0,13200.0,13400.0,11786
2015-04-13,13350.0,13500.0,13250.0,13400.0,81945
2015-04-14,13300.0,13450.0,13250.0,13250.0,12044
2015-04-15,13250.0,13500.0,13200.0,13450.0,14949
2015-04-16,13500.0,13500.0,13350.0,13400.0,8377
2015-04-17,13250.0,13450.0,13250.0,13400.0,9107
2015-04-20,13250.0,13450.0,13150.0,13300.0,8427
2015-04-21,13300.0,13450.0,13150.0,13300.0,30037
2015-04-22,13200.0,13200.0,12700.0,12850.0,55695
2015-04-23,12800.0,13050.0,12700.0,12900.0,21552
2015-04-24,12750.0,12950.0,12600.0,12600.0,18518
2015-04-27,12600.0,13000.0,12600.0,12900.0,8759
2015-04-28,12800.0,12900.0,12600.0,12850.0,29910
2015-04-29,12750.0,12900.0,12700.0,12850.0,1091
2015-04-30,12700.0,12900.0,12600.0,12750.0,28812
2015-05-04,12750.0,12900.0,12700.0,12800.0,4595
2015-05-06,12800.0,12800.0,12500.0,12800.0,20787
2015-05-07,12800.0,12850.0,12700.0,12850.0,4349
2015-05-08,12800.0,12950.0,12750.0,12900.0,4202
2015-05-11,12950.0,12950.0,12800.0,12900.0,3630
2015-05-12,12850.0,12850.0,12450.0,12550.0,8736
2015-05-13,12450.0,12700.0,12450.0,12650.0,12358
2015-05-14,12500.0,12800.0,12300.0,12350.0,14928
2015-05-15,12550.0,12550.0,11900.0,12350.0,21438
2015-05-18,12000.0,12100.0,11700.0,11900.0,36244
2015-05-19,11800.0,11800.0,11300.0,11600.0,58518
2015-05-20,11450.0,11600.0,11000.0,11300.0,36452
2015-05-21,11300.0,11300.0,10900.0,11000.0,46642
2015-05-22,11050.0,11050.0,10950.0,10950.0,40577
2015-05-26,10950.0,11000.0,10100.0,10500.0,93895
2015-05-27,10500.0,10700.0,10450.0,10500.0,50247
2015-05-28,10550.0,10700.0,10450.0,10600.0,26457
2015-05-29,10600.0,10600.0,10200.0,10200.0,62532
2015-06-01,10000.0,10400.0,9990.0,10350.0,27417
2015-06-02,10450.0,10750.0,10250.0,10350.0,19330
2015-06-03,10350.0,11000.0,10250.0,10800.0,31325
2015-06-04,10750.0,11300.0,10750.0,10800.0,16646
2015-06-05,10900.0,10900.0,10400.0,10400.0,30196
2015-06-08,10450.0,10500.0,10350.0,10500.0,6806
