date,open,high,low,close,volume
2015-01-02,3132.0,3197.0,3132.0,3182.0,25314
2015-01-05,3149.0,3310.0,3122.0,3300.0,155136
2015-01-06,3278.0,3316.0,3246.0,3311.0,66705
2015-01-07,3300.0,3321.0,3283.0,3289.0,46414
2015-01-08,3327.0,3348.0,3278.0,3289.0,52632
2015-01-09,3305.0,3397.0,3251.0,3397.0,134787
2015-01-12,3407.0,3483.0,3381.0,3392.0,164234
2015-01-13,3359.0,3424.0,3316.0,3327.0,81838
2015-01-14,3332.0,3402.0,3310.0,3316.0,63084
2015-01-15,3305.0,3370.0,3305.0,3316.0,38910
2015-01-16,3332.0,3343.0,3240.0,3284.0,43938
2015-01-19,3267.0,3310.0,3240.0,3289.0,26688
2015-01-20,3278.0,3337.0,3267.0,3322.0,97536
2015-01-21,3515.0,3515.0,3364.0,3397.0,206084
2015-01-22,3440.0,3440.0,3289.0,3338.0,88017
2015-01-23,3337.0,3343.0,3289.0,3316.0,74294
2015-01-26,3294.0,3343.0,3283.0,3327.0,58688
2015-01-27,3316.0,3332.0,3256.0,3262.0,91038
2015-01-28,3262.0,3283.0,3235.0,3252.0,51723
2015-01-29,3251.0,3289.0,3240.0,3257.0,112475
2015-01-30,3256.0,3283.0,3213.0,3235.0,105428
2015-02-02,3235.0,3251.0,3149.0,3155.0,131213
2015-02-03,3165.0,3219.0,3116.0,3165.0,88110
2015-02-04,3176.0,3230.0,3138.0,3182.0,72124
2015-02-05,3224.0,3224.0,3159.0,3187.0,51300
2015-02-06,3219.0,3235.0,3181.0,3198.0,85150
2015-02-09,3197.0,3213.0,3176.0,3198.0,57335
2015-02-10,3181.0,3208.0,3127.0,3128.0,57322
2015-02-11,3127.0,3192.0,3116.0,3171.0,60851
2015-02-12,3170.0,3170.0,3100.0,3122.0,124784
2015-02-13,3127.0,3149.0,3111.0,3138.0,58223
2015-02-16,3138.0,3262.0,3116.0,3187.0,173376
2015-02-17,3165.0,3203.0,3165.0,3187.0,74377
2015-02-23,3181.0,3246.0,3170.0,3171.0,72117
2015-02-24,3197.0,3213.0,3159.0,3208.0,152936
2015-02-25,3219.0,3256.0,3203.0,3235.0,98721
2015-02-26,3246.0,3246.0,3197.0,3230.0,66792
2015-02-27,3235.0,3246.0,3203.0,3230.0,123853
2015-03-02,3235.0,3283.0,3219.0,3252.0,105747
2015-03-03,3251.0,3267.0,3208.0,3235.0,119580
2015-03-04,3256.0,3283.0,3235.0,3268.0,142733
2015-03-05,3289.0,3364.0,3273.0,3343.0,199320
2015-03-06,3364.0,3364.0,3289.0,3316.0,126495
2015-03-09,3316.0,3337.0,3246.0,3246.0,109738
2015-03-10,3246.0,3262.0,3224.0,3252.0,83507
2015-03-11,3251.0,3375.0,3230.0,3338.0,281356
2015-03-12,3354.0,3364.0,3300.0,3343.0,117301
2015-03-13,3348.0,3402.0,3316.0,3338.0,165089
2015-03-16,3434.0,3440.0,3354.0,3365.0,169908
2015-03-17,3364.0,3445.0,3316.0,3343.0,193727
2015-03-18,3321.0,3337.0,3289.0,3311.0,102498
2015-03-19,3310.0,3337.0,3235.0,3289.0,137757
2015-03-20,3246.0,3337.0,3246.0,3338.0,114901
2015-03-23,3327.0,3359.0,3305.0,3338.0,60007
2015-03-24,3337.0,3359.0,3310.0,3343.0,82587
2015-03-25,3381.0,3472.0,3343.0,3424.0,202634
2015-03-26,3397.0,3434.0,3364.0,3397.0,116474
2015-03-27,3386.0,3424.0,3354.0,3403.0,78782
2015-03-30,3397.0,3440.0,3348.0,3430.0,102945
2015-03-31,3424.0,3537.0,3402.0,3483.0,231150
2015-04-01,3483.0,3569.0,3440.0,3537.0,186652
2015-04-02,3532.0,3575.0,3488.0,3516.0,87917
2015-04-03,3532.0,3607.0,3494.0,3537.0,108386
2015-04-06,3537.0,3558.0,3467.0,3500.0,71835
2015-04-07,3499.0,3499.0,3413.0,3435.0,94561
2015-04-08,3413.0,3467.0,3413.0,3457.0,60541
2015-04-09,3461.0,3488.0,3440.0,3483.0,62789
2015-04-10,3461.0,3505.0,3440.0,3467.0,134827
2015-04-13,3548.0,3742.0,3499.0,3613.0,365792
2015-04-14,3618.0,3693.0,3564.0,3624.0,184282
2015-04-15,3682.0,3817.0,3629.0,3688.0,309257
2015-04-16,3693.0,3693.0,3532.0,3564.0,225426
2015-04-17,3558.0,3623.0,3499.0,3559.0,109453
2015-04-20,3488.0,3542.0,3451.0,3467.0,111190
2015-04-21,3472.0,3521.0,3429.0,3478.0,116218
2015-04-22,3472.0,3499.0,3348.0,3397.0,158678
2015-04-23,3402.0,3451.0,3337.0,3386.0,155959
2015-04-24,3375.0,3526.0,3337.0,3500.0,337187
2015-04-27,3521.0,3558.0,3472.0,3548.0,96939
2015-04-28,3526.0,3542.0,3499.0,3516.0,67391
2015-04-29,3515.0,3515.0,3424.0,3424.0,94405
2015-04-30,3413.0,3456.0,3391.0,3430.0,78463
