date,open,high,low,close,volume
2015-01-02,1591.0,1591.0,1543.0,1544.0,488
2015-01-05,1547.0,1579.0,1543.0,1558.0,558
2015-01-06,1555.0,1613.0,1555.0,1602.0,1423
2015-01-07,1587.0,1593.0,1571.0,1582.0,490
2015-01-08,1573.0,1605.0,1573.0,1582.0,752
2015-01-09,1613.0,1619.0,1587.0,1602.0,675
2015-01-12,1599.0,1599.0,1581.0,1596.0,1120
2015-01-13,1583.0,1649.0,1581.0,1624.0,3598
2015-01-14,1641.0,1770.0,1641.0,1734.0,6362
2015-01-15,1742.0,1756.0,1667.0,1698.0,1651
2015-01-16,1692.0,1742.0,1675.0,1726.0,2898
2015-01-19,1726.0,1760.0,1702.0,1708.0,1184
2015-01-20,1706.0,1746.0,1706.0,1730.0,3301
2015-01-21,1742.0,1836.0,1742.0,1782.0,3057
2015-01-22,1832.0,1832.0,1746.0,1782.0,924
2015-01-23,1798.0,1818.0,1756.0,1756.0,1142
2015-01-26,1802.0,1902.0,1800.0,1878.0,4468
2015-01-27,1860.0,1920.0,1802.0,1832.0,3214
2015-01-28,1824.0,1840.0,1782.0,1786.0,1414
2015-01-29,1778.0,1912.0,1774.0,1888.0,4555
2015-01-30,1910.0,2012.0,1872.0,1872.0,7427
2015-02-02,1868.0,1868.0,1768.0,1768.0,4613
2015-02-03,1756.0,1808.0,1756.0,1784.0,1380
2015-02-04,1780.0,1842.0,1766.0,1822.0,1251
2015-02-05,1822.0,1862.0,1790.0,1820.0,578
2015-02-06,1820.0,1832.0,1782.0,1818.0,643
2015-02-09,1806.0,1816.0,1774.0,1806.0,1109
2015-02-10,1790.0,1812.0,1758.0,1782.0,1586
2015-02-11,1810.0,1810.0,1732.0,1764.0,1979
2015-02-12,1758.0,2028.0,1758.0,2028.0,4537
2015-02-13,2234.0,2330.0,2234.0,2331.0,11572
2015-02-16,2679.0,2679.0,2522.0,2679.0,20349
2015-02-17,2537.0,2783.0,2462.0,2583.0,32553
2015-02-23,2763.0,2861.0,2302.0,2341.0,18995
2015-02-24,2242.0,2280.0,2082.0,2102.0,18017
