date,open,high,low,close,volume
2015-01-02,8770.0,9100.0,8710.0,9100.0,99218
2015-01-05,9170.0,9170.0,8990.0,9010.0,58747
2015-01-06,8900.0,9460.0,8850.0,9370.0,222671
2015-01-07,9300.0,9960.0,9300.0,9710.0,312463
2015-01-08,9880.0,10000.0,9660.0,9690.0,228522
2015-01-09,9650.0,9860.0,9610.0,9800.0,171217
2015-01-12,9890.0,9950.0,9720.0,9800.0,145938
2015-01-13,9830.0,10050.0,9610.0,9620.0,201977
2015-01-14,9540.0,9830.0,9460.0,9690.0,80188
2015-01-15,9690.0,9900.0,9650.0,9900.0,57130
2015-01-16,9930.0,10100.0,9710.0,9900.0,135482
2015-01-19,9900.0,10100.0,9770.0,9850.0,104999
2015-01-20,10500.0,11250.0,9910.0,9910.0,1275409
2015-01-21,9920.0,10200.0,9820.0,10000.0,197205
2015-01-22,10100.0,10600.0,9900.0,9950.0,265103
2015-01-23,10000.0,10050.0,9650.0,9720.0,214598
2015-01-26,9860.0,9950.0,9550.0,9870.0,168715
2015-01-27,9940.0,10250.0,9890.0,9940.0,233272
2015-01-28,10050.0,10700.0,10000.0,10450.0,409846
2015-01-29,10550.0,10900.0,10400.0,10400.0,222627
2015-01-30,10500.0,10600.0,9900.0,9940.0,251038
2015-02-02,9910.0,9950.0,9650.0,9750.0,200251
2015-02-03,9830.0,9930.0,9700.0,9800.0,111516
2015-02-04,9920.0,10250.0,9770.0,10050.0,166466
2015-02-05,10100.0,10600.0,9950.0,10450.0,316111
2015-02-06,10450.0,10550.0,10050.0,10100.0,167286
2015-02-09,10150.0,10150.0,9750.0,9810.0,162176
2015-02-10,9780.0,9860.0,9550.0,9740.0,109836
2015-02-11,9760.0,10050.0,9760.0,9810.0,71277
2015-02-12,9830.0,9950.0,9690.0,9880.0,100662
2015-02-13,9890.0,9940.0,9250.0,9350.0,227755
2015-02-16,9210.0,9510.0,9200.0,9380.0,137159
2015-02-17,9340.0,9490.0,9240.0,9300.0,96120
2015-02-23,9310.0,9600.0,9200.0,9490.0,90346
2015-02-24,9680.0,10100.0,9620.0,9960.0,224767
2015-02-25,10100.0,10100.0,9830.0,9880.0,121371
2015-02-26,9880.0,9970.0,9810.0,9930.0,90568
2015-02-27,9930.0,10300.0,9920.0,9990.0,204453
2015-03-02,10100.0,10200.0,9970.0,10100.0,117975
2015-03-03,10200.0,10200.0,9990.0,10150.0,109042
2015-03-04,10150.0,10200.0,9800.0,9860.0,157001
2015-03-05,9850.0,9870.0,9740.0,9750.0,82011
2015-03-06,9840.0,9850.0,9600.0,9600.0,145588
2015-03-09,9560.0,9720.0,9520.0,9520.0,100119
2015-03-10,9540.0,9780.0,9540.0,9670.0,77640
