date,open,high,low,close,volume
2015-01-02,19920.0,20130.0,19480.0,19500.0,6394
2015-01-05,19520.0,20000.0,19480.0,19900.0,4017
2015-01-06,19849.0,19849.0,19450.0,19750.0,3743
2015-01-07,19550.0,19719.0,19450.0,19600.0,2893
2015-01-08,19660.0,19889.0,19610.0,19770.0,3055
2015-01-09,20090.0,20650.0,19750.0,20510.0,8300
2015-01-12,20700.0,20700.0,20170.0,20320.0,2631
2015-01-13,20320.0,20510.0,19770.0,19860.0,3478
2015-01-14,19830.0,20380.0,19560.0,20260.0,4461
2015-01-15,20250.0,20499.0,19820.0,20400.0,2686
2015-01-16,20369.0,20369.0,19930.0,19940.0,2536
2015-01-19,19930.0,20249.0,19720.0,19940.0,1576
2015-01-20,20269.0,20269.0,19800.0,19940.0,2447
2015-01-21,19929.0,19989.0,19640.0,19730.0,2303
2015-01-22,19590.0,20329.0,19590.0,19940.0,4878
2015-01-23,20199.0,20199.0,19640.0,19830.0,3882
2015-01-26,19889.0,20159.0,19510.0,19520.0,4061
2015-01-27,19739.0,19779.0,19320.0,19520.0,6988
2015-01-28,19510.0,19699.0,19320.0,19600.0,4672
2015-01-29,19590.0,20559.0,19450.0,20170.0,7742
2015-01-30,20490.0,20490.0,19980.0,20070.0,2622
2015-02-02,20199.0,20199.0,19910.0,19960.0,2139
2015-02-03,19990.0,21629.0,19990.0,20780.0,19261
2015-02-04,21209.0,21419.0,20810.0,20990.0,7511
2015-02-05,21111.0,24050.0,20941.0,24060.0,80791
2015-02-06,24690.0,25110.0,22480.0,23430.0,54086
2015-02-09,23530.0,25320.0,22060.0,22590.0,56980
2015-02-10,22580.0,25519.0,22050.0,23640.0,89085
2015-02-11,23740.0,23850.0,22590.0,23430.0,19002
2015-02-12,23099.0,25938.0,22470.0,22480.0,74856
2015-02-13,22580.0,24159.0,21630.0,23530.0,49401
2015-02-16,23840.0,25839.0,23730.0,25110.0,52739
2015-02-17,24580.0,25640.0,24270.0,25220.0,16615
2015-02-23,25939.0,27199.0,24780.0,25320.0,19663
2015-02-24,25309.0,25519.0,23210.0,23950.0,25813
2015-02-25,24170.0,24690.0,23220.0,24380.0,14087
2015-02-26,24790.0,24790.0,23950.0,24170.0,10419
2015-02-27,24569.0,24999.0,23520.0,23740.0,16678
2015-03-02,22579.0,22789.0,20900.0,22480.0,45050
2015-03-03,22160.0,22890.0,21840.0,22900.0,13371
2015-03-04,22680.0,25629.0,22470.0,23740.0,49964
2015-03-05,23840.0,24469.0,23630.0,23850.0,14617
2015-03-06,24259.0,25209.0,23420.0,23950.0,29923
2015-03-09,23100.0,24369.0,23100.0,23320.0,9771
2015-03-10,24049.0,24049.0,23100.0,23740.0,10379
2015-03-11,23640.0,23640.0,22480.0,22590.0,6992
2015-03-12,22060.0,23010.0,22060.0,22380.0,6403
2015-03-13,22890.0,24259.0,22470.0,23010.0,19466
2015-03-16,22800.0,22900.0,21850.0,21960.0,13362
2015-03-17,21950.0,22470.0,21740.0,22480.0,4015
2015-03-18,22900.0,22900.0,21960.0,21960.0,7807
2015-03-19,22060.0,22060.0,21540.0,21960.0,6439
2015-03-20,22060.0,22800.0,21430.0,21750.0,7792
2015-03-23,21740.0,22679.0,21420.0,22270.0,7534
2015-03-24,22260.0,22679.0,22160.0,22480.0,4590
2015-03-25,22470.0,24050.0,22160.0,24060.0,19676
2015-03-26,23310.0,24569.0,23310.0,23850.0,13407
2015-03-27,23850.0,24480.0,23320.0,24170.0,12396
2015-03-30,24260.0,24569.0,23840.0,24480.0,11455
2015-03-31,24259.0,24569.0,23000.0,23110.0,16264
2015-04-01,22890.0,23309.0,22470.0,23010.0,11943
2015-04-02,22900.0,23320.0,22170.0,22380.0,16295
2015-04-03,22370.0,23210.0,22160.0,23220.0,9749
2015-04-06,23840.0,24369.0,23210.0,24270.0,14653
2015-04-07,24270.0,24380.0,23640.0,24170.0,8569
2015-04-08,23940.0,25519.0,23940.0,24900.0,24222
2015-04-09,25110.0,25430.0,24480.0,24800.0,9035
2015-04-10,24469.0,24789.0,23630.0,23850.0,17679
2015-04-13,23840.0,25730.0,23630.0,25740.0,25180
2015-04-14,26580.0,26580.0,25010.0,25640.0,23599
2015-04-15,25940.0,28669.0,25210.0,27000.0,41066
2015-04-16,27519.0,28459.0,26780.0,26790.0,20305
2015-04-17,26900.0,27630.0,26689.0,26900.0,17794
2015-04-20,26780.0,27309.0,26360.0,27210.0,14753
2015-04-21,28160.0,28160.0,26480.0,26690.0,17003
2015-04-22,26469.0,27099.0,24370.0,25320.0,19923
2015-04-23,25419.0,25839.0,24470.0,24900.0,8464
2015-04-24,24890.0,25209.0,23940.0,24900.0,9729
2015-04-27,24480.0,25220.0,24480.0,25010.0,5494
2015-04-28,25220.0,25320.0,24480.0,25010.0,4079
2015-04-29,25320.0,25740.0,24580.0,24800.0,6309
2015-04-30,24789.0,25099.0,24370.0,24690.0,3620
2015-05-04,24999.0,24999.0,23940.0,24060.0,3599
2015-05-06,23939.0,23939.0,22470.0,22800.0,7938
2015-05-07,22470.0,22789.0,21630.0,22690.0,5704
2015-05-08,23110.0,23220.0,21540.0,22380.0,10253
2015-05-11,22469.0,22889.0,21740.0,22060.0,7169
2015-05-12,22159.0,22159.0,21000.0,21220.0,11614
2015-05-13,21430.0,21430.0,20470.0,20870.0,8106
2015-05-14,21010.0,21220.0,20680.0,20890.0,7616
2015-05-15,20879.0,20959.0,20560.0,20610.0,5479
2015-05-18,20599.0,20599.0,19360.0,19600.0,8894
2015-05-19,19590.0,20099.0,19200.0,19790.0,9316
2015-05-20,20119.0,20119.0,19470.0,19810.0,9687
2015-05-21,20320.0,20320.0,19370.0,19460.0,7161
2015-05-22,19450.0,19849.0,19300.0,19750.0,3322
2015-05-26,20070.0,20070.0,19650.0,19880.0,3176
2015-05-27,19960.0,19960.0,19210.0,19420.0,4945
2015-05-28,19420.0,19560.0,19290.0,19500.0,3524
