date,open,high,low,close,volume
2015-01-02,3930.0,3930.0,3875.0,3890.0,23867
2015-01-05,3900.0,3900.0,3865.0,3870.0,36914
2015-01-06,3875.0,3885.0,3810.0,3815.0,55511
2015-01-07,3815.0,3845.0,3750.0,3770.0,87132
2015-01-08,3740.0,3810.0,3740.0,3770.0,47450
2015-01-09,3780.0,3785.0,3760.0,3770.0,39467
2015-01-12,3810.0,3810.0,3770.0,3800.0,27634
2015-01-13,3785.0,3820.0,3750.0,3770.0,96805
2015-01-14,3750.0,3795.0,3740.0,3770.0,32729
2015-01-15,3775.0,3775.0,3745.0,3745.0,126639
2015-01-16,3745.0,3755.0,3745.0,3750.0,27814
2015-01-19,3740.0,3750.0,3730.0,3750.0,19200
2015-01-20,3730.0,3770.0,3730.0,3750.0,22206
2015-01-21,3775.0,3775.0,3725.0,3770.0,68814
2015-01-22,3785.0,3785.0,3740.0,3775.0,12260
2015-01-23,3775.0,3775.0,3745.0,3745.0,32119
2015-01-26,3750.0,3760.0,3735.0,3760.0,10358
2015-01-27,3750.0,3775.0,3745.0,3770.0,15363
2015-01-28,3775.0,3800.0,3770.0,3795.0,25796
2015-01-29,3820.0,3875.0,3815.0,3865.0,26210
2015-01-30,3865.0,3870.0,3835.0,3865.0,26940
2015-02-02,3890.0,3895.0,3860.0,3880.0,36940
2015-02-03,3900.0,3900.0,3870.0,3890.0,38886
2015-02-04,3905.0,3905.0,3880.0,3905.0,9363
2015-02-05,3905.0,3905.0,3880.0,3885.0,25134
2015-02-06,3885.0,3900.0,3865.0,3900.0,44104
2015-02-09,3900.0,3900.0,3870.0,3870.0,14765
2015-02-10,3875.0,3875.0,3855.0,3870.0,25835
2015-02-11,3875.0,3875.0,3860.0,3860.0,16725
2015-02-12,3880.0,3880.0,3850.0,3875.0,17696
2015-02-13,3890.0,3890.0,3850.0,3855.0,22649
2015-02-16,3865.0,3885.0,3850.0,3880.0,68613
2015-02-17,3880.0,3885.0,3855.0,3885.0,6840
2015-02-23,3885.0,3885.0,3870.0,3870.0,39857
2015-02-24,3870.0,3880.0,3865.0,3870.0,73748
2015-02-25,3870.0,3880.0,3860.0,3880.0,31742
2015-02-26,3880.0,3895.0,3880.0,3885.0,23261
2015-02-27,3890.0,3905.0,3880.0,3905.0,47925
2015-03-02,3905.0,3905.0,3895.0,3900.0,75311
2015-03-03,3900.0,3905.0,3880.0,3890.0,55779
2015-03-04,3905.0,3905.0,3890.0,3895.0,40603
2015-03-05,3905.0,3905.0,3900.0,3905.0,27480
2015-03-06,3910.0,3910.0,3885.0,3900.0,22139
2015-03-09,3890.0,3905.0,3875.0,3895.0,63745
2015-03-10,3900.0,3900.0,3880.0,3880.0,63974
2015-03-11,3890.0,3890.0,3875.0,3880.0,25152
2015-03-12,3895.0,3900.0,3880.0,3895.0,47777
2015-03-13,3895.0,3905.0,3880.0,3885.0,55109
2015-03-16,3905.0,3920.0,3875.0,3915.0,78877
2015-03-17,3920.0,3955.0,3915.0,3950.0,58039
2015-03-18,3955.0,3980.0,3945.0,3950.0,36396
2015-03-19,3980.0,3980.0,3910.0,3945.0,11238
2015-03-20,3930.0,3935.0,3900.0,3910.0,47093
2015-03-23,3935.0,3935.0,3900.0,3920.0,43779
2015-03-24,3905.0,3930.0,3900.0,3925.0,41045
2015-03-25,3925.0,3925.0,3905.0,3920.0,19106
2015-03-26,3915.0,3915.0,3890.0,3900.0,25500
2015-03-27,3925.0,3925.0,3880.0,3900.0,35149
2015-03-30,3890.0,3910.0,3890.0,3900.0,44256
2015-03-31,3915.0,3915.0,3860.0,3870.0,69640
2015-04-01,3895.0,3900.0,3870.0,3880.0,52320
2015-04-02,3900.0,3900.0,3870.0,3885.0,33021
2015-04-03,3900.0,3905.0,3870.0,3875.0,52321
2015-04-06,3875.0,3895.0,3860.0,3875.0,54838
2015-04-07,3900.0,3900.0,3855.0,3885.0,35178
2015-04-08,3885.0,3890.0,3855.0,3875.0,55145
2015-04-09,3875.0,3890.0,3855.0,3865.0,112464
2015-04-10,3870.0,3875.0,3845.0,3865.0,143253
2015-04-13,3865.0,3865.0,3845.0,3860.0,89927
2015-04-14,3860.0,3860.0,3805.0,3820.0,110366
2015-04-15,3820.0,3850.0,3800.0,3840.0,51737
2015-04-16,3850.0,3850.0,3815.0,3840.0,34488
2015-04-17,3895.0,3895.0,3815.0,3850.0,37162
2015-04-20,3850.0,3865.0,3820.0,3855.0,80525
2015-04-21,3855.0,3860.0,3825.0,3860.0,51747
2015-04-22,3860.0,3875.0,3825.0,3865.0,119354
2015-04-23,3875.0,3875.0,3840.0,3850.0,48583
2015-04-24,3870.0,3870.0,3835.0,3845.0,31923
2015-04-27,3845.0,3880.0,3845.0,3855.0,53247
2015-04-28,3865.0,3880.0,3845.0,3855.0,62308
2015-04-29,3875.0,3875.0,3820.0,3860.0,40549
2015-04-30,3880.0,3890.0,3840.0,3870.0,42436
2015-05-04,3885.0,3885.0,3820.0,3865.0,52525
2015-05-06,3865.0,3865.0,3840.0,3855.0,11511
2015-05-07,3880.0,3880.0,3830.0,3850.0,42787
2015-05-08,3875.0,3875.0,3835.0,3840.0,62082
2015-05-11,3875.0,3875.0,3835.0,3860.0,62543
2015-05-12,3875.0,3875.0,3860.0,3865.0,67470
2015-05-13,3870.0,3890.0,3865.0,3880.0,60283
2015-05-14,3880.0,3900.0,3870.0,3900.0,101316
2015-05-15,3900.0,3910.0,3880.0,3905.0,79765
2015-05-18,3930.0,3930.0,3885.0,3915.0,69045
2015-05-19,3920.0,3920.0,3880.0,3900.0,57046
2015-05-20,3880.0,3915.0,3880.0,3910.0,104119
2015-05-21,3915.0,3915.0,3890.0,3900.0,80324
2015-05-22,3900.0,3900.0,3880.0,3900.0,84941
2015-05-26,3905.0,3905.0,3870.0,3890.0,35679
2015-05-27,3890.0,3890.0,3820.0,3855.0,25861
2015-05-28,3845.0,3880.0,3835.0,3860.0,68106
2015-05-29,3875.0,3875.0,3840.0,3870.0,21978
2015-06-01,3870.0,3880.0,3850.0,3860.0,53472
2015-06-02,3880.0,3880.0,3845.0,3865.0,70558
2015-06-03,3870.0,3870.0,3840.0,3860.0,23430
2015-06-04,3880.0,3880.0,3845.0,3850.0,34879
2015-06-05,3850.0,3855.0,3780.0,3830.0,105027
2015-06-08,3830.0,3830.0,3785.0,3820.0,30692
2015-06-09,3835.0,3835.0,3800.0,3815.0,14477
2015-06-10,3810.0,3825.0,3795.0,3810.0,15385
2015-06-11,3810.0,3820.0,3780.0,3815.0,38495
2015-06-12,3790.0,3820.0,3780.0,3780.0,58297
2015-06-15,3770.0,3800.0,3770.0,3790.0,38880
2015-06-16,3800.0,3800.0,3750.0,3755.0,93019
2015-06-17,3760.0,3790.0,3720.0,3770.0,34601
2015-06-18,3770.0,3770.0,3725.0,3755.0,22461
2015-06-19,3755.0,3765.0,3740.0,3740.0,23301
2015-06-22,3740.0,3780.0,3725.0,3730.0,43033
2015-06-23,3730.0,3750.0,3715.0,3745.0,25710
2015-06-24,3715.0,3745.0,3700.0,3700.0,53812
2015-06-25,3690.0,3695.0,3635.0,3680.0,108292
2015-06-26,3680.0,3710.0,3640.0,3640.0,48266
2015-06-29,3650.0,3650.0,3600.0,3640.0,38186
2015-06-30,3620.0,3650.0,3610.0,3640.0,34901
2015-07-01,3640.0,3640.0,3605.0,3635.0,22610
2015-07-02,3635.0,3640.0,3620.0,3625.0,21460
2015-07-03,3630.0,3650.0,3615.0,3650.0,38900
2015-07-06,3660.0,3670.0,3625.0,3630.0,33689
2015-07-07,3625.0,3650.0,3625.0,3640.0,36313
2015-07-08,3650.0,3650.0,3600.0,3630.0,61196
2015-07-09,3630.0,3630.0,3590.0,3615.0,24397
2015-07-10,3615.0,3615.0,3590.0,3615.0,36372
2015-07-13,3605.0,3635.0,3600.0,3615.0,14212
2015-07-14,3610.0,3635.0,3595.0,3630.0,38289
2015-07-15,3630.0,3630.0,3605.0,3625.0,33816
2015-07-16,3625.0,3650.0,3620.0,3650.0,22561
2015-07-17,3630.0,3655.0,3620.0,3655.0,18590
2015-07-20,3660.0,3660.0,3605.0,3645.0,32147
2015-07-21,3660.0,3795.0,3640.0,3720.0,37295
2015-07-22,3740.0,3740.0,3675.0,3700.0,37094
2015-07-23,3740.0,3740.0,3680.0,3710.0,24589
2015-07-24,3725.0,3725.0,3665.0,3705.0,51250
2015-07-27,3695.0,3695.0,3670.0,3695.0,28825
2015-07-28,3715.0,3715.0,3655.0,3700.0,5055
2015-07-29,3695.0,3700.0,3675.0,3700.0,7127
2015-07-30,3665.0,3700.0,3665.0,3700.0,3511
2015-07-31,3700.0,3700.0,3660.0,3670.0,20539
2015-08-03,3655.0,3685.0,3655.0,3670.0,8693
2015-08-04,3670.0,3680.0,3640.0,3670.0,32228
2015-08-05,3680.0,3695.0,3650.0,3660.0,5730
2015-08-06,3690.0,3690.0,3635.0,3685.0,65346
2015-08-07,3690.0,3690.0,3635.0,3670.0,15906
2015-08-10,3650.0,3670.0,3620.0,3620.0,29383
2015-08-11,3620.0,3630.0,3580.0,3600.0,34787
2015-08-12,3600.0,3610.0,3550.0,3610.0,23826
2015-08-13,3625.0,3625.0,3570.0,3585.0,36981
2015-08-17,3585.0,3600.0,3580.0,3600.0,11117
2015-08-18,3625.0,3625.0,3585.0,3620.0,3251
2015-08-19,3620.0,3620.0,3565.0,3600.0,13549
2015-08-20,3600.0,3600.0,3540.0,3590.0,30103
2015-08-21,3535.0,3615.0,3530.0,3535.0,27830
2015-08-24,3525.0,3550.0,3420.0,3470.0,88826
2015-08-25,3515.0,3515.0,3445.0,3470.0,26229
2015-08-26,3540.0,3540.0,3400.0,3450.0,80864
2015-08-27,3450.0,3455.0,3340.0,3420.0,79252
2015-08-28,3400.0,3420.0,3380.0,3410.0,54979
2015-08-31,3420.0,3450.0,3410.0,3440.0,32117
2015-09-01,3445.0,3465.0,3425.0,3425.0,17783
2015-09-02,3460.0,3460.0,3410.0,3430.0,15380
2015-09-03,3430.0,3440.0,3400.0,3430.0,23187
2015-09-04,3430.0,3435.0,3400.0,3420.0,20542
2015-09-07,3450.0,3450.0,3390.0,3420.0,11444
2015-09-08,3420.0,3450.0,3400.0,3430.0,14046
2015-09-09,3430.0,3450.0,3420.0,3440.0,15710
2015-09-10,3420.0,3455.0,3400.0,3455.0,39124
2015-09-11,3455.0,3470.0,3420.0,3470.0,41005
2015-09-14,3470.0,3470.0,3440.0,3445.0,1236
2015-09-15,3470.0,3470.0,3400.0,3445.0,44682
2015-09-16,3460.0,3460.0,3450.0,3460.0,16455
2015-09-17,3470.0,3470.0,3405.0,3405.0,24223
2015-09-18,3450.0,3450.0,3400.0,3415.0,13562
2015-09-21,3430.0,3435.0,3400.0,3420.0,11980
2015-09-22,3435.0,3435.0,3415.0,3420.0,12341
2015-09-23,3440.0,3445.0,3400.0,3425.0,38898
2015-09-24,3425.0,3440.0,3385.0,3415.0,20096
2015-09-25,3430.0,3430.0,3415.0,3420.0,6959
2015-09-30,3465.0,3465.0,3405.0,3420.0,12794
2015-10-01,3410.0,3410.0,3400.0,3400.0,10362
2015-10-02,3415.0,3415.0,3395.0,3395.0,8031
2015-10-05,3410.0,3410.0,3400.0,3410.0,11818
2015-10-06,3410.0,3410.0,3385.0,3410.0,23567
2015-10-07,3385.0,3410.0,3385.0,3405.0,24333
2015-10-08,3415.0,3415.0,3385.0,3410.0,11837
2015-10-12,3410.0,3420.0,3385.0,3400.0,29557
2015-10-13,3420.0,3420.0,3390.0,3405.0,8077
2015-10-14,3420.0,3420.0,3410.0,3415.0,3094
2015-10-15,3420.0,3420.0,3400.0,3420.0,13223
2015-10-16,3420.0,3465.0,3420.0,3465.0,23958
2015-10-19,3450.0,3495.0,3450.0,3480.0,336504
2015-10-20,3475.0,3490.0,3460.0,3480.0,19165
2015-10-21,3475.0,3530.0,3475.0,3520.0,28955
2015-10-22,3480.0,3575.0,3480.0,3575.0,28873
2015-10-23,3510.0,3660.0,3510.0,3585.0,65207
2015-10-26,3540.0,3595.0,3500.0,3520.0,61549
