date,open,high,low,close,volume
2015-01-02,6025.0,6120.0,5763.0,6042.0,391022
2015-01-05,6009.0,6057.0,5826.0,5907.0,188467
2015-01-06,5882.0,5986.0,5763.0,5859.0,111884
2015-01-07,5827.0,5898.0,5707.0,5819.0,142793
2015-01-08,5897.0,5953.0,5778.0,5891.0,131619
2015-01-09,5993.0,5993.0,5762.0,5875.0,118306
2015-01-12,5889.0,5905.0,5715.0,5795.0,147886
2015-01-13,5747.0,5810.0,5708.0,5724.0,101856
2015-01-14,5787.0,5802.0,5612.0,5628.0,129021
2015-01-15,5572.0,5778.0,5572.0,5716.0,61791
2015-01-16,5763.0,5763.0,5588.0,5605.0,118909
2015-01-19,5579.0,5715.0,5564.0,5605.0,110876
2015-01-20,5604.0,5858.0,5604.0,5803.0,129716
2015-01-21,5779.0,5850.0,5708.0,5843.0,112453
2015-01-22,5850.0,5882.0,5731.0,5827.0,87347
2015-01-23,5827.0,5866.0,5739.0,5819.0,89519
2015-01-26,5819.0,5866.0,5691.0,5716.0,53046
2015-01-27,5708.0,5755.0,5675.0,5724.0,138437
2015-01-28,5731.0,5954.0,5700.0,5954.0,139760
2015-01-29,6017.0,6017.0,5874.0,5978.0,120515
2015-01-30,6024.0,6024.0,5850.0,5994.0,122659
2015-02-02,5993.0,6025.0,5921.0,5946.0,59171
2015-02-03,5930.0,6128.0,5890.0,5970.0,147531
2015-02-04,5986.0,6089.0,5921.0,5970.0,208233
2015-02-05,6016.0,6096.0,5946.0,6018.0,190562
2015-02-06,6144.0,6366.0,6065.0,6129.0,528346
2015-02-09,6128.0,6128.0,5913.0,6026.0,229726
2015-02-10,6024.0,6096.0,5961.0,6018.0,111721
2015-02-11,6017.0,6224.0,5978.0,6201.0,252824
2015-02-12,6248.0,6319.0,6184.0,6193.0,169010
2015-02-13,6168.0,6263.0,6088.0,6121.0,167748
2015-02-16,6080.0,6160.0,6041.0,6121.0,134711
2015-02-17,6065.0,6176.0,6049.0,6121.0,46454
2015-02-23,6128.0,6304.0,6042.0,6097.0,197844
2015-02-24,6041.0,6120.0,5882.0,5923.0,284339
2015-02-25,5930.0,6049.0,5882.0,6018.0,116382
2015-02-26,6033.0,6081.0,5913.0,6058.0,200146
2015-02-27,6057.0,6176.0,6049.0,6145.0,172208
2015-03-02,6231.0,6231.0,6120.0,6161.0,179452
2015-03-03,6152.0,6231.0,6136.0,6161.0,172251
2015-03-04,6184.0,6502.0,6160.0,6487.0,574271
2015-03-05,6439.0,6550.0,6359.0,6527.0,285360
2015-03-06,6581.0,6605.0,6446.0,6503.0,354392
2015-03-09,6510.0,6876.0,6439.0,6757.0,543128
2015-03-10,6836.0,7003.0,6558.0,6757.0,474225
2015-03-11,6637.0,6915.0,6637.0,6813.0,251614
2015-03-12,6812.0,7003.0,6780.0,6988.0,275665
2015-03-13,7011.0,7075.0,6876.0,6964.0,283447
2015-03-16,7083.0,7202.0,6956.0,7075.0,396930
2015-03-17,7075.0,7352.0,6995.0,7179.0,432647
2015-03-18,7098.0,7360.0,7098.0,7361.0,304591
2015-03-19,7392.0,7456.0,7154.0,7234.0,399900
2015-03-20,7153.0,7440.0,7153.0,7377.0,381402
2015-03-23,7376.0,7495.0,7280.0,7377.0,260950
2015-03-24,7377.0,7742.0,7345.0,7687.0,509478
2015-03-25,7750.0,7894.0,7695.0,7886.0,472856
2015-03-26,7830.0,7870.0,7639.0,7672.0,269277
2015-03-27,7774.0,7790.0,7503.0,7727.0,257256
2015-03-30,7837.0,7925.0,7472.0,7552.0,357075
2015-03-31,7544.0,7552.0,7273.0,7433.0,465186
2015-04-01,7424.0,7886.0,7313.0,7870.0,327603
2015-04-02,7869.0,7988.0,7766.0,7815.0,265789
2015-04-03,7782.0,7940.0,7758.0,7830.0,146640
2015-04-06,7813.0,8306.0,7813.0,8268.0,371153
2015-04-07,8346.0,8346.0,8147.0,8268.0,247426
2015-04-08,8227.0,8267.0,7925.0,8188.0,290260
2015-04-09,8068.0,8187.0,7949.0,8109.0,167488
2015-04-10,8108.0,8227.0,7742.0,7854.0,422474
2015-04-13,7925.0,7989.0,7710.0,7950.0,318478
2015-04-14,7949.0,8068.0,7782.0,7870.0,179270
2015-04-15,7870.0,8068.0,7814.0,7894.0,255237
2015-04-16,7941.0,7949.0,7599.0,7656.0,271656
2015-04-17,7655.0,7814.0,7591.0,7759.0,278858
2015-04-20,7567.0,7647.0,6955.0,7584.0,591313
2015-04-21,7583.0,7798.0,7392.0,7783.0,216669
2015-04-22,7782.0,7870.0,7433.0,7783.0,361645
2015-04-23,7870.0,8108.0,7790.0,7870.0,398656
2015-04-24,7909.0,8147.0,7806.0,7862.0,294305
2015-04-27,7917.0,8068.0,7830.0,7918.0,156097
2015-04-28,7989.0,8109.0,7671.0,8029.0,395108
2015-04-29,7948.0,8187.0,7726.0,7823.0,587078
2015-04-30,7869.0,8147.0,7790.0,8069.0,394503
