date,open,high,low,close,volume
2015-01-02,1187.0,1265.0,1187.0,1236.0,40887
2015-01-05,1221.0,1275.0,1211.0,1275.0,41873
2015-01-06,1280.0,1283.0,1241.0,1281.0,18260
2015-01-07,1280.0,1295.0,1241.0,1284.0,11928
2015-01-08,1256.0,1286.0,1253.0,1284.0,22563
2015-01-09,1290.0,1356.0,1272.0,1356.0,77706
2015-01-12,1360.0,1557.0,1333.0,1555.0,367473
2015-01-13,1597.0,1597.0,1442.0,1466.0,122313
2015-01-14,1462.0,1510.0,1432.0,1463.0,26838
2015-01-15,1474.0,1553.0,1432.0,1553.0,19864
2015-01-16,1495.0,1525.0,1439.0,1484.0,17500
2015-01-19,1549.0,1549.0,1459.0,1475.0,38473
2015-01-20,1489.0,1489.0,1352.0,1484.0,55404
2015-01-21,1448.0,1499.0,1355.0,1362.0,91641
2015-01-22,1372.0,1387.0,1333.0,1334.0,20273
2015-01-23,1354.0,1363.0,1324.0,1334.0,21041
2015-01-26,1359.0,1359.0,1313.0,1344.0,17879
2015-01-27,1320.0,1340.0,1278.0,1317.0,35261
2015-01-28,1270.0,1342.0,1270.0,1337.0,36108
2015-01-29,1334.0,1337.0,1301.0,1320.0,11048
2015-01-30,1328.0,1363.0,1298.0,1299.0,50959
2015-02-02,1301.0,1310.0,1277.0,1299.0,10581
2015-02-03,1298.0,1310.0,1236.0,1248.0,49059
2015-02-04,1277.0,1431.0,1250.0,1394.0,434364
2015-02-05,1435.0,1602.0,1435.0,1555.0,800093
2015-02-06,1564.0,1581.0,1486.0,1544.0,150028
2015-02-09,1543.0,1720.0,1513.0,1619.0,543125
2015-02-10,1603.0,1633.0,1507.0,1630.0,94519
2015-02-11,1648.0,1740.0,1633.0,1687.0,239299
2015-02-12,1686.0,1725.0,1611.0,1684.0,144120
2015-02-13,1713.0,1713.0,1660.0,1690.0,23324
2015-02-16,1641.0,1716.0,1641.0,1660.0,30688
2015-02-17,1671.0,1671.0,1533.0,1612.0,90914
2015-02-23,1612.0,1612.0,1576.0,1607.0,7904
2015-02-24,1630.0,1660.0,1537.0,1660.0,91458
2015-02-25,1650.0,1874.0,1630.0,1822.0,471855
2015-02-26,1815.0,1815.0,1702.0,1762.0,77902
2015-02-27,1779.0,1788.0,1707.0,1729.0,47365
2015-03-02,1729.0,1729.0,1612.0,1637.0,99543
2015-03-03,1641.0,1704.0,1539.0,1627.0,130843
2015-03-04,1615.0,1636.0,1552.0,1589.0,102890
2015-03-05,1609.0,1609.0,1523.0,1550.0,88697
2015-03-06,1549.0,1564.0,1496.0,1538.0,96058
2015-03-09,1546.0,1618.0,1540.0,1580.0,88040
2015-03-10,1605.0,1605.0,1566.0,1585.0,52192
2015-03-11,1600.0,1600.0,1552.0,1574.0,23008
2015-03-12,1599.0,1641.0,1572.0,1600.0,23198
2015-03-13,1609.0,1654.0,1469.0,1508.0,255883
2015-03-16,1486.0,1507.0,1402.0,1445.0,263305
2015-03-17,1459.0,1474.0,1432.0,1457.0,166898
2015-03-18,1471.0,1554.0,1468.0,1547.0,155219
2015-03-19,1552.0,1552.0,1423.0,1472.0,166133
2015-03-20,1471.0,1501.0,1438.0,1487.0,83112
2015-03-23,1486.0,1508.0,1471.0,1493.0,31401
2015-03-24,1493.0,1523.0,1474.0,1493.0,46608
2015-03-25,1495.0,1498.0,1447.0,1478.0,71308
2015-03-26,1469.0,1489.0,1436.0,1466.0,50636
2015-03-27,1477.0,1477.0,1432.0,1439.0,72617
2015-03-30,1447.0,1462.0,1271.0,1272.0,622346
2015-03-31,1274.0,1286.0,1190.0,1272.0,365923
2015-04-01,1277.0,1310.0,1241.0,1263.0,221202
2015-04-02,1260.0,1265.0,1241.0,1245.0,75051
2015-04-03,1265.0,1301.0,1253.0,1275.0,129685
2015-04-06,1274.0,1319.0,1274.0,1296.0,206863
2015-04-07,1309.0,1327.0,1279.0,1307.0,170821
2015-04-08,1297.0,1342.0,1297.0,1337.0,117931
2015-04-09,1343.0,1349.0,1313.0,1347.0,79688
2015-04-10,1351.0,1375.0,1327.0,1364.0,45212
