date,open,high,low,close,volume
2015-01-02,1980.0,2140.0,1930.0,2075.0,279203
2015-01-05,2105.0,2215.0,2040.0,2165.0,567363
2015-01-06,2130.0,2175.0,2055.0,2070.0,197641
2015-01-07,2045.0,2170.0,1990.0,2155.0,304855
2015-01-08,2190.0,2475.0,2170.0,2240.0,2367710
2015-01-09,2245.0,2345.0,2175.0,2195.0,463162
2015-01-12,2185.0,2230.0,2105.0,2200.0,261804
2015-01-13,2210.0,2460.0,2180.0,2180.0,968227
2015-01-14,2180.0,2210.0,2135.0,2160.0,207671
2015-01-15,2160.0,2290.0,2135.0,2235.0,272453
2015-01-16,2215.0,2245.0,2130.0,2145.0,236073
2015-01-19,2145.0,2205.0,2110.0,2110.0,206700
2015-01-20,2120.0,2140.0,1980.0,2020.0,396761
2015-01-21,2000.0,2045.0,1970.0,1980.0,172130
2015-01-22,1980.0,2060.0,1970.0,2025.0,136192
2015-01-23,2065.0,2065.0,1950.0,1950.0,126705
2015-01-26,1965.0,1995.0,1900.0,1900.0,185919
2015-01-27,1915.0,1975.0,1915.0,1920.0,87690
2015-01-28,1930.0,2020.0,1900.0,1950.0,111658
2015-01-29,1960.0,1985.0,1910.0,1920.0,102918
2015-01-30,1960.0,1960.0,1890.0,1890.0,80916
2015-02-02,1920.0,1920.0,1855.0,1875.0,80987
2015-02-03,1865.0,1955.0,1850.0,1955.0,183935
2015-02-04,1950.0,1975.0,1930.0,1950.0,81104
2015-02-05,1960.0,2000.0,1915.0,1915.0,103683
2015-02-06,1910.0,1985.0,1905.0,1930.0,84334
2015-02-09,1930.0,1995.0,1925.0,1945.0,114750
2015-02-10,1955.0,2215.0,1930.0,2150.0,785126
2015-02-11,2175.0,2175.0,2080.0,2170.0,264698
2015-02-12,2170.0,2220.0,2105.0,2210.0,401632
2015-02-13,2230.0,2255.0,2150.0,2160.0,217472
2015-02-16,2200.0,2220.0,2005.0,2005.0,175149
2015-02-17,2035.0,2090.0,1935.0,2090.0,174774
2015-02-23,2045.0,2115.0,2035.0,2085.0,87137
2015-02-24,2055.0,2150.0,2040.0,2075.0,109742
2015-02-25,2075.0,2230.0,2075.0,2180.0,296924
2015-02-26,2240.0,2240.0,2130.0,2220.0,273535
2015-02-27,2180.0,2220.0,2140.0,2150.0,171263
2015-03-02,2130.0,2180.0,2060.0,2090.0,127005
2015-03-03,2090.0,2165.0,2035.0,2105.0,94789
2015-03-04,2155.0,2230.0,2145.0,2155.0,209975
2015-03-05,2160.0,2260.0,2150.0,2250.0,221547
2015-03-06,2235.0,2270.0,2200.0,2220.0,93027
2015-03-09,2245.0,2295.0,2170.0,2295.0,192204
2015-03-10,2285.0,2635.0,2260.0,2635.0,849313
2015-03-11,2780.0,2865.0,2500.0,2685.0,1807755
2015-03-12,2680.0,2770.0,2570.0,2680.0,794838
2015-03-13,2755.0,2860.0,2630.0,2630.0,747096
2015-03-16,2580.0,2625.0,2450.0,2505.0,320010
2015-03-17,2495.0,2590.0,2485.0,2510.0,198773
2015-03-18,2465.0,2510.0,2395.0,2430.0,230551
2015-03-19,2465.0,2465.0,2400.0,2440.0,111934
2015-03-20,2475.0,2475.0,2365.0,2415.0,115130
2015-03-23,2410.0,2500.0,2385.0,2480.0,124896
2015-03-24,2450.0,2525.0,2450.0,2485.0,162720
2015-03-25,2490.0,2515.0,2425.0,2435.0,157785
2015-03-26,2435.0,2455.0,2305.0,2315.0,198017
2015-03-27,2300.0,2365.0,2250.0,2285.0,98166
2015-03-30,2330.0,2375.0,2285.0,2310.0,70047
2015-03-31,2315.0,2345.0,2260.0,2290.0,59680
2015-04-01,2290.0,2395.0,2210.0,2355.0,134364
2015-04-02,2400.0,2400.0,2280.0,2365.0,67604
2015-04-03,2390.0,2410.0,2290.0,2290.0,101141
