date,open,high,low,close,volume
2015-01-02,32002.0,32002.0,30900.0,31160.0,33091
2015-01-05,31224.0,31938.0,30932.0,31452.0,22785
2015-01-06,31678.0,31872.0,30803.0,31452.0,9586
2015-01-07,31743.0,32294.0,31256.0,32068.0,18722
2015-01-08,32327.0,32327.0,30446.0,31549.0,11692
2015-01-09,32100.0,32100.0,30997.0,31128.0,26245
2015-01-12,31127.0,31419.0,30965.0,31258.0,21301
2015-01-13,31451.0,31451.0,30737.0,30836.0,29604
2015-01-14,31062.0,31062.0,30641.0,30803.0,14162
2015-01-15,30641.0,30997.0,30024.0,30803.0,21484
2015-01-16,31386.0,31386.0,30024.0,30025.0,31986
2015-01-19,30024.0,30024.0,28079.0,28145.0,101192
2015-01-20,28176.0,28954.0,27884.0,27885.0,65156
2015-01-21,28046.0,28338.0,27625.0,28047.0,48166
2015-01-22,28274.0,29116.0,28046.0,28209.0,36571
2015-01-23,28241.0,28792.0,28112.0,28631.0,22345
2015-01-26,28663.0,28663.0,27722.0,28047.0,34061
2015-01-27,28403.0,28695.0,27981.0,28436.0,16042
2015-01-28,28436.0,29052.0,28144.0,28274.0,15805
2015-01-29,28014.0,28533.0,27852.0,27918.0,25897
2015-01-30,28144.0,28565.0,27981.0,28534.0,16570
2015-02-02,28533.0,28663.0,28208.0,28469.0,18841
2015-02-03,28468.0,29116.0,28468.0,29053.0,31550
2015-02-04,28987.0,29084.0,28306.0,28793.0,115522
2015-02-05,28825.0,28825.0,28208.0,28209.0,52043
2015-02-06,28241.0,28274.0,27139.0,27204.0,74454
2015-02-09,27204.0,28857.0,26620.0,28339.0,73714
2015-02-10,28857.0,30868.0,28727.0,29182.0,134447
2015-02-11,28760.0,30868.0,28370.0,29960.0,85691
2015-02-12,29960.0,30803.0,29895.0,30544.0,50132
2015-02-13,30543.0,32424.0,30089.0,32424.0,94579
2015-02-16,32553.0,33332.0,31840.0,32489.0,50828
2015-02-17,32294.0,33008.0,31581.0,32684.0,41205
2015-02-23,32748.0,32748.0,31905.0,32133.0,38051
2015-02-24,32164.0,32683.0,31938.0,32230.0,23005
2015-02-25,32229.0,32327.0,31840.0,32133.0,18963
2015-02-26,31808.0,32067.0,31062.0,31516.0,33694
2015-02-27,32034.0,32489.0,31192.0,31873.0,29818
2015-03-02,31905.0,32294.0,31094.0,31711.0,20126
2015-03-03,31451.0,31710.0,30900.0,31096.0,29545
2015-03-04,31289.0,31613.0,30932.0,31452.0,19939
2015-03-05,30965.0,31776.0,30965.0,31549.0,16810
2015-03-06,31548.0,31776.0,30965.0,31258.0,34339
2015-03-09,31256.0,31451.0,31030.0,31192.0,17247
2015-03-10,31386.0,32683.0,31386.0,32392.0,40927
2015-03-11,32164.0,32424.0,31289.0,31841.0,43316
2015-03-12,31776.0,32489.0,31321.0,32392.0,25802
2015-03-13,32424.0,34045.0,32002.0,33657.0,51131
2015-03-16,33591.0,34045.0,33072.0,33851.0,35761
2015-03-17,33721.0,33721.0,32942.0,33462.0,43050
2015-03-18,33137.0,33526.0,32294.0,32684.0,34931
2015-03-19,32878.0,33526.0,32748.0,33203.0,30987
2015-03-20,33202.0,35926.0,33072.0,35278.0,92836
2015-03-23,35796.0,37093.0,35213.0,36834.0,85960
2015-03-24,36834.0,37223.0,36120.0,36899.0,40528
2015-03-25,36899.0,37482.0,35991.0,36964.0,68688
2015-03-26,36315.0,36768.0,35277.0,35862.0,57121
2015-03-27,35861.0,36510.0,34564.0,35278.0,37595
2015-03-30,36250.0,36250.0,34499.0,35213.0,33355
2015-03-31,35666.0,36250.0,34694.0,35667.0,37860
2015-04-01,35731.0,35926.0,35147.0,35343.0,19644
2015-04-02,35342.0,35991.0,34758.0,35473.0,34765
2015-04-03,35666.0,37417.0,35666.0,35991.0,49456
2015-04-06,36315.0,37482.0,36315.0,36964.0,54539
2015-04-07,37158.0,37676.0,36510.0,37094.0,34949
2015-04-08,38131.0,38584.0,37093.0,37094.0,73949
2015-04-09,37093.0,37612.0,36444.0,37547.0,39235
2015-04-10,38065.0,38584.0,37676.0,38586.0,53090
2015-04-13,38779.0,38779.0,37806.0,38196.0,37874
2015-04-14,38260.0,38649.0,36639.0,36640.0,55370
2015-04-15,36639.0,37482.0,36185.0,36770.0,63058
2015-04-16,37093.0,38131.0,36379.0,37678.0,53767
2015-04-17,37741.0,37741.0,36834.0,37159.0,43122
2015-04-20,36639.0,37936.0,36315.0,37483.0,38580
2015-04-21,37482.0,38001.0,37417.0,37678.0,36810
2015-04-22,37741.0,43318.0,37482.0,43320.0,431544
2015-04-23,44032.0,48182.0,41762.0,45394.0,458177
2015-04-24,45070.0,49285.0,43124.0,47016.0,304846
2015-04-27,48377.0,49349.0,46237.0,47794.0,136039
2015-04-28,47858.0,49609.0,47275.0,47599.0,139409
2015-04-29,46561.0,54732.0,44875.0,54733.0,532870
2015-04-30,56224.0,60244.0,54083.0,57392.0,489890
2015-05-04,56742.0,59661.0,56483.0,56873.0,234598
2015-05-06,56937.0,59012.0,55445.0,58170.0,172740
2015-05-07,59012.0,60050.0,55510.0,57262.0,156522
2015-05-08,57261.0,59790.0,56872.0,59013.0,172885
2015-05-11,60633.0,62514.0,59077.0,60374.0,156882
2015-05-12,60698.0,61022.0,57715.0,58364.0,127288
2015-05-13,58039.0,58039.0,52851.0,53435.0,355721
