date,open,high,low,close,volume
2015-01-02,919.0,939.0,904.0,915.0,113062
2015-01-05,920.0,931.0,915.0,918.0,91088
2015-01-06,919.0,949.0,916.0,950.0,87110
2015-01-07,944.0,953.0,918.0,933.0,105351
2015-01-08,938.0,939.0,925.0,940.0,29795
2015-01-09,939.0,948.0,923.0,926.0,69852
2015-01-12,926.0,945.0,918.0,925.0,87429
2015-01-13,925.0,931.0,910.0,928.0,95724
2015-01-14,927.0,939.0,915.0,937.0,94531
2015-01-15,937.0,937.0,922.0,924.0,80022
2015-01-16,923.0,929.0,899.0,921.0,108816
2015-01-19,920.0,923.0,905.0,911.0,86765
2015-01-20,911.0,911.0,900.0,911.0,89150
2015-01-21,910.0,918.0,900.0,907.0,151233
2015-01-22,907.0,915.0,904.0,910.0,142828
2015-01-23,914.0,979.0,914.0,951.0,390907
2015-01-26,941.0,965.0,939.0,956.0,128778
2015-01-27,956.0,965.0,945.0,955.0,86027
2015-01-28,954.0,976.0,942.0,977.0,137062
2015-01-29,978.0,1012.0,969.0,1011.0,124088
2015-01-30,1010.0,1048.0,1010.0,1027.0,77160
2015-02-02,1035.0,1035.0,1010.0,1023.0,75251
2015-02-03,1021.0,1092.0,1019.0,1072.0,238390
2015-02-04,1068.0,1073.0,1055.0,1067.0,48227
2015-02-05,1066.0,1066.0,1055.0,1065.0,26459
2015-02-06,1092.0,1117.0,1083.0,1097.0,308411
2015-02-09,1078.0,1106.0,1078.0,1105.0,144476
2015-02-10,1132.0,1228.0,1103.0,1123.0,757786
2015-02-11,1126.0,1153.0,1103.0,1123.0,116486
2015-02-12,1151.0,1152.0,1089.0,1129.0,74701
2015-02-13,1140.0,1140.0,1098.0,1113.0,54569
2015-02-16,1113.0,1162.0,1102.0,1161.0,119771
2015-02-17,1159.0,1231.0,1148.0,1206.0,276131
2015-02-23,1208.0,1208.0,1110.0,1169.0,151893
2015-02-24,1168.0,1189.0,1157.0,1161.0,62930
2015-02-25,1160.0,1172.0,1149.0,1154.0,52631
2015-02-26,1179.0,1198.0,1141.0,1180.0,349371
2015-02-27,1179.0,1183.0,1164.0,1180.0,207193
2015-03-02,1166.0,1179.0,1151.0,1163.0,98201
2015-03-03,1163.0,1186.0,1148.0,1172.0,17232
2015-03-04,1171.0,1182.0,1144.0,1181.0,50389
2015-03-05,1182.0,1182.0,1153.0,1158.0,36504
2015-03-06,1159.0,1166.0,1140.0,1142.0,81197
2015-03-09,1141.0,1160.0,1125.0,1143.0,95015
2015-03-10,1095.0,1243.0,1095.0,1181.0,664459
2015-03-11,1181.0,1196.0,1152.0,1180.0,119155
2015-03-12,1194.0,1194.0,1155.0,1181.0,50026
2015-03-13,1164.0,1179.0,1157.0,1176.0,69904
2015-03-16,1160.0,1174.0,1157.0,1165.0,36893
2015-03-17,1202.0,1202.0,1171.0,1192.0,41316
2015-03-18,1171.0,1196.0,1159.0,1165.0,50110
2015-03-19,1164.0,1189.0,1164.0,1185.0,60757
2015-03-20,1196.0,1196.0,1151.0,1155.0,177464
2015-03-23,1153.0,1185.0,1113.0,1142.0,286236
2015-03-24,1141.0,1198.0,1141.0,1196.0,128679
2015-03-25,1207.0,1207.0,1171.0,1178.0,123603
2015-03-26,1179.0,1200.0,1178.0,1187.0,157112
2015-03-27,1193.0,1226.0,1181.0,1197.0,261263
2015-03-30,1159.0,1189.0,1159.0,1188.0,73225
2015-03-31,1177.0,1201.0,1177.0,1188.0,54694
2015-04-01,1177.0,1228.0,1177.0,1218.0,365432
2015-04-02,1245.0,1303.0,1239.0,1274.0,391076
2015-04-03,1253.0,1320.0,1231.0,1305.0,240005
2015-04-06,1309.0,1326.0,1277.0,1282.0,78844
2015-04-07,1291.0,1326.0,1257.0,1278.0,99023
2015-04-08,1277.0,1294.0,1251.0,1294.0,100686
2015-04-09,1306.0,1320.0,1273.0,1297.0,175801
2015-04-10,1299.0,1490.0,1275.0,1490.0,1839170
2015-04-13,1512.0,1520.0,1460.0,1504.0,736161
2015-04-14,1512.0,1653.0,1506.0,1553.0,1138875
2015-04-15,1591.0,1593.0,1517.0,1518.0,385064
2015-04-16,1517.0,1566.0,1498.0,1523.0,257747
2015-04-17,1544.0,1544.0,1474.0,1526.0,234958
2015-04-20,1501.0,1512.0,1400.0,1444.0,308283
2015-04-21,1444.0,1444.0,1389.0,1425.0,273114
2015-04-22,1403.0,1484.0,1403.0,1417.0,214801
2015-04-23,1416.0,1498.0,1403.0,1452.0,154532
2015-04-24,1452.0,1482.0,1419.0,1428.0,69217
2015-04-27,1574.0,1615.0,1476.0,1496.0,456653
2015-04-28,1498.0,1544.0,1471.0,1529.0,111010
2015-04-29,1523.0,1523.0,1471.0,1493.0,106808
2015-04-30,1479.0,1509.0,1457.0,1499.0,106140
2015-05-04,1514.0,1520.0,1416.0,1436.0,92366
2015-05-06,1435.0,1435.0,1339.0,1381.0,208378
2015-05-07,1381.0,1395.0,1348.0,1361.0,14461
2015-05-08,1360.0,1465.0,1350.0,1400.0,123959
2015-05-11,1416.0,1416.0,1359.0,1362.0,121830
2015-05-12,1362.0,1441.0,1362.0,1376.0,144186
2015-05-13,1395.0,1411.0,1362.0,1376.0,185839
2015-05-14,1378.0,1403.0,1375.0,1387.0,65767
2015-05-15,1400.0,1454.0,1384.0,1441.0,155920
2015-05-18,1454.0,1457.0,1405.0,1425.0,82203
2015-05-19,1411.0,1435.0,1389.0,1392.0,86522
2015-05-20,1392.0,1444.0,1386.0,1430.0,105780
2015-05-21,1435.0,1457.0,1400.0,1436.0,74983
2015-05-22,1460.0,1460.0,1389.0,1447.0,158331
2015-05-26,1444.0,1476.0,1441.0,1466.0,87792
2015-05-27,1444.0,1474.0,1444.0,1452.0,82261
2015-05-28,1452.0,1476.0,1452.0,1460.0,80863
2015-05-29,1474.0,1563.0,1449.0,1564.0,478358
2015-06-01,1566.0,1713.0,1553.0,1673.0,1110240
2015-06-02,1672.0,1923.0,1640.0,1924.0,1732046
2015-06-03,1901.0,1958.0,1839.0,1885.0,484051
2015-06-04,1934.0,1939.0,1716.0,1749.0,735456
2015-06-05,1765.0,1795.0,1716.0,1785.0,378407
2015-06-08,1746.0,1852.0,1713.0,1836.0,299636
2015-06-09,1839.0,1858.0,1795.0,1825.0,143995
2015-06-10,1825.0,1841.0,1743.0,1787.0,144450
2015-06-11,1787.0,1814.0,1719.0,1725.0,142523
2015-06-12,1738.0,1746.0,1645.0,1689.0,364559
2015-06-15,1716.0,1716.0,1593.0,1673.0,126796
2015-06-16,1648.0,1672.0,1525.0,1561.0,313810
2015-06-17,1588.0,1787.0,1561.0,1776.0,384132
2015-06-18,1746.0,1896.0,1746.0,1850.0,319991
2015-06-19,1825.0,1890.0,1787.0,1853.0,171408
2015-06-22,1852.0,1852.0,1790.0,1809.0,99082
2015-06-23,1828.0,1948.0,1795.0,1929.0,551507
2015-06-24,1967.0,2010.0,1907.0,1978.0,469873
2015-06-25,1967.0,2057.0,1942.0,1994.0,406234
2015-06-26,1975.0,2013.0,1915.0,1994.0,205424
2015-06-29,1991.0,2043.0,1953.0,1962.0,168821
2015-06-30,1948.0,2038.0,1871.0,2038.0,217870
2015-07-01,2046.0,2299.0,2046.0,2218.0,1736381
2015-07-02,2228.0,2228.0,2051.0,2052.0,872598
2015-07-03,2048.0,2078.0,1945.0,1975.0,393333
2015-07-06,1904.0,1999.0,1893.0,1934.0,235942
2015-07-07,1931.0,2010.0,1855.0,1907.0,344838
2015-07-08,1907.0,1907.0,1741.0,1776.0,460257
2015-07-09,1757.0,1776.0,1664.0,1768.0,382936
2015-07-10,1787.0,1855.0,1746.0,1790.0,303203
2015-07-13,1830.0,1929.0,1770.0,1907.0,431038
2015-07-14,1926.0,1926.0,1787.0,1883.0,290390
2015-07-15,1907.0,1956.0,1847.0,1915.0,307039
2015-07-16,1907.0,1926.0,1836.0,1910.0,236045
2015-07-17,1909.0,1967.0,1893.0,1934.0,163598
2015-07-20,1956.0,2005.0,1934.0,1956.0,164831
2015-07-21,1956.0,2013.0,1896.0,1921.0,118729
2015-07-22,1986.0,2005.0,1877.0,1888.0,589919
2015-07-23,1888.0,1888.0,1790.0,1804.0,296134
2015-07-24,1770.0,1833.0,1770.0,1776.0,263865
2015-07-27,1776.0,1776.0,1640.0,1697.0,316541
2015-07-28,1651.0,1697.0,1582.0,1678.0,261278
2015-07-29,1678.0,1711.0,1645.0,1703.0,68784
2015-07-30,1702.0,1825.0,1648.0,1681.0,417909
2015-07-31,1681.0,1716.0,1621.0,1659.0,117202
2015-08-03,1700.0,1700.0,1531.0,1608.0,278855
2015-08-04,1577.0,1626.0,1561.0,1627.0,127626
2015-08-05,1612.0,1670.0,1599.0,1667.0,47174
2015-08-06,1662.0,1700.0,1593.0,1667.0,106243
2015-08-07,1667.0,1689.0,1632.0,1689.0,20117
2015-08-10,1689.0,1689.0,1599.0,1635.0,100627
2015-08-11,1634.0,1651.0,1596.0,1597.0,51167
2015-08-12,1580.0,1602.0,1433.0,1548.0,300377
2015-08-13,1506.0,1610.0,1506.0,1602.0,77409
2015-08-17,1604.0,1621.0,1580.0,1618.0,37899
2015-08-18,1618.0,1634.0,1542.0,1605.0,77284
2015-08-19,1612.0,1626.0,1501.0,1624.0,185539
2015-08-20,1572.0,1632.0,1553.0,1594.0,64894
2015-08-21,1528.0,1582.0,1503.0,1569.0,72748
2015-08-24,1569.0,1593.0,1490.0,1567.0,124502
2015-08-25,1509.0,1629.0,1474.0,1629.0,145478
2015-08-26,1645.0,1700.0,1591.0,1700.0,164057
2015-08-27,1700.0,1702.0,1621.0,1689.0,122142
2015-08-28,1689.0,1732.0,1664.0,1727.0,92835
2015-08-31,1730.0,1741.0,1678.0,1717.0,51963
2015-09-01,1713.0,1713.0,1651.0,1662.0,80019
2015-09-02,1653.0,1653.0,1572.0,1627.0,45078
2015-09-03,1632.0,1653.0,1580.0,1632.0,22961
2015-09-04,1629.0,1648.0,1514.0,1567.0,91679
2015-09-07,1566.0,1566.0,1460.0,1515.0,57197
2015-09-08,1476.0,1531.0,1438.0,1471.0,119889
2015-09-09,1452.0,1550.0,1452.0,1485.0,46253
2015-09-10,1484.0,1539.0,1449.0,1534.0,24044
2015-09-11,1574.0,1574.0,1487.0,1496.0,26151
2015-09-14,1495.0,1525.0,1375.0,1428.0,260434
2015-09-15,1400.0,1468.0,1389.0,1436.0,59153
2015-09-16,1452.0,1580.0,1452.0,1548.0,133069
2015-09-17,1528.0,1561.0,1517.0,1548.0,60475
2015-09-18,1577.0,1681.0,1550.0,1678.0,228477
2015-09-21,1678.0,1683.0,1640.0,1676.0,69713
2015-09-22,1681.0,1683.0,1648.0,1678.0,38927
2015-09-23,1683.0,1689.0,1662.0,1676.0,41859
2015-09-24,1683.0,1721.0,1683.0,1695.0,121658
2015-09-25,1713.0,1713.0,1662.0,1689.0,37646
2015-09-30,1670.0,1670.0,1610.0,1648.0,111671
2015-10-01,1667.0,1667.0,1607.0,1651.0,55802
2015-10-02,1689.0,1689.0,1604.0,1627.0,36985
2015-10-05,1626.0,1634.0,1607.0,1629.0,28488
2015-10-06,1634.0,1634.0,1599.0,1599.0,34563
2015-10-07,1591.0,1591.0,1533.0,1575.0,117114
2015-10-08,1580.0,1580.0,1547.0,1567.0,31950
2015-10-12,1566.0,1580.0,1531.0,1567.0,52848
2015-10-13,1566.0,1572.0,1536.0,1567.0,26151
2015-10-14,1577.0,1577.0,1498.0,1529.0,44524
2015-10-15,1506.0,1580.0,1471.0,1580.0,71808
2015-10-16,1610.0,1610.0,1555.0,1597.0,22355
2015-10-19,1610.0,1612.0,1582.0,1597.0,43492
2015-10-20,1612.0,1618.0,1593.0,1613.0,51094
2015-10-21,1623.0,1634.0,1582.0,1613.0,28940
2015-10-22,1612.0,1634.0,1602.0,1629.0,57439
2015-10-23,1632.0,1645.0,1615.0,1632.0,74491
2015-10-26,1648.0,1648.0,1604.0,1632.0,43276
2015-10-27,1656.0,1656.0,1610.0,1635.0,36761
2015-10-28,1648.0,1648.0,1602.0,1624.0,134999
2015-10-29,1637.0,1637.0,1593.0,1608.0,39261
2015-10-30,1607.0,1607.0,1542.0,1594.0,48249
2015-11-02,1607.0,1607.0,1539.0,1553.0,43749
2015-11-03,1553.0,1566.0,1525.0,1529.0,78004
2015-11-04,1531.0,1553.0,1503.0,1537.0,26349
2015-11-05,1550.0,1550.0,1523.0,1545.0,22205
2015-11-06,1555.0,1558.0,1501.0,1553.0,18590
2015-11-09,1553.0,1569.0,1520.0,1553.0,12963
2015-11-10,1553.0,1553.0,1476.0,1548.0,28775
2015-11-11,1514.0,1547.0,1506.0,1542.0,85282
2015-11-12,1525.0,1539.0,1520.0,1537.0,15048
2015-11-13,1501.0,1528.0,1490.0,1518.0,41999
2015-11-16,1517.0,1517.0,1471.0,1496.0,55637
2015-11-17,1495.0,1512.0,1479.0,1499.0,60299
2015-11-18,1498.0,1512.0,1474.0,1499.0,63899
2015-11-19,1498.0,1525.0,1487.0,1523.0,35018
2015-11-20,1531.0,1547.0,1506.0,1545.0,33333
2015-11-23,1531.0,1544.0,1525.0,1537.0,65096
2015-11-24,1539.0,1539.0,1512.0,1529.0,25758
2015-11-25,1542.0,1542.0,1460.0,1485.0,163935
2015-11-26,1484.0,1498.0,1457.0,1490.0,14248
2015-11-27,1490.0,1503.0,1430.0,1447.0,144656
2015-11-30,1419.0,1438.0,1362.0,1362.0,225115
2015-12-01,1362.0,1444.0,1336.0,1444.0,166982
2015-12-02,1471.0,1471.0,1416.0,1433.0,38978
2015-12-03,1430.0,1430.0,1365.0,1428.0,119188
2015-12-04,1395.0,1424.0,1384.0,1411.0,17210
2015-12-07,1411.0,1427.0,1389.0,1409.0,16215
2015-12-08,1408.0,1411.0,1370.0,1376.0,36013
2015-12-09,1375.0,1392.0,1343.0,1376.0,6133
2015-12-10,1375.0,1405.0,1360.0,1395.0,15217
2015-12-11,1411.0,1411.0,1373.0,1390.0,3542
2015-12-14,1367.0,1403.0,1354.0,1390.0,28874
2015-12-15,1405.0,1405.0,1360.0,1390.0,49321
2015-12-16,1405.0,1405.0,1356.0,1387.0,70524
2015-12-17,1386.0,1386.0,1337.0,1338.0,70293
2015-12-18,1339.0,1446.0,1329.0,1433.0,115026
2015-12-21,1433.0,1457.0,1405.0,1441.0,59319
2015-12-22,1441.0,1471.0,1441.0,1449.0,23416
2015-12-23,1449.0,1474.0,1435.0,1455.0,4305
2015-12-24,1457.0,1460.0,1403.0,1441.0,37415
2015-12-28,1441.0,1441.0,1389.0,1441.0,65606
2015-12-29,1441.0,1452.0,1397.0,1449.0,16465
2015-12-30,1438.0,1471.0,1435.0,1471.0,110548
2016-01-04,1479.0,1479.0,1435.0,1463.0,30202
2016-01-05,1465.0,1465.0,1367.0,1439.0,129809
2016-01-06,1441.0,1449.0,1405.0,1439.0,14075
2016-01-07,1438.0,1449.0,1424.0,1441.0,39235
2016-01-08,1405.0,1438.0,1403.0,1430.0,28841
2016-01-11,1430.0,1430.0,1403.0,1414.0,15955
2016-01-12,1414.0,1424.0,1400.0,1414.0,6915
2016-01-13,1414.0,1416.0,1384.0,1400.0,62196
2016-01-14,1386.0,1400.0,1378.0,1387.0,20586
2016-01-15,1389.0,1395.0,1373.0,1395.0,34493
2016-01-18,1367.0,1395.0,1367.0,1384.0,5876
2016-01-19,1384.0,1384.0,1358.0,1365.0,36398
2016-01-20,1360.0,1378.0,1356.0,1360.0,54558
2016-01-21,1362.0,1403.0,1348.0,1395.0,63048
2016-01-22,1411.0,1416.0,1362.0,1365.0,65088
2016-01-25,1365.0,1378.0,1354.0,1368.0,75919
2016-01-26,1367.0,1370.0,1354.0,1368.0,40314
2016-01-27,1356.0,1408.0,1356.0,1381.0,20799
2016-01-28,1367.0,1389.0,1359.0,1381.0,20047
2016-01-29,1370.0,1397.0,1362.0,1384.0,40222
2016-02-01,1400.0,1400.0,1362.0,1365.0,43177
2016-02-02,1365.0,1384.0,1359.0,1381.0,30327
2016-02-03,1381.0,1389.0,1360.0,1368.0,27589
2016-02-04,1367.0,1389.0,1359.0,1376.0,29476
2016-02-05,1389.0,1389.0,1354.0,1368.0,74513
2016-02-11,1362.0,1367.0,1333.0,1361.0,70017
2016-02-12,1340.0,1360.0,1277.0,1308.0,162519
2016-02-15,1307.0,1335.0,1268.0,1335.0,49681
2016-02-16,1307.0,1362.0,1307.0,1362.0,38299
2016-02-17,1362.0,1362.0,1339.0,1361.0,1325
2016-02-18,1362.0,1373.0,1356.0,1373.0,36251
2016-02-19,1375.0,1375.0,1355.0,1355.0,12402
2016-02-22,1355.0,1370.0,1324.0,1360.0,19996
2016-02-23,1359.0,1392.0,1359.0,1381.0,36170
2016-02-24,1381.0,1381.0,1335.0,1373.0,11414
2016-02-25,1358.0,1384.0,1358.0,1379.0,13283
2016-02-26,1362.0,1386.0,1362.0,1379.0,3413
2016-02-29,1375.0,1389.0,1365.0,1379.0,17430
2016-03-02,1389.0,1389.0,1360.0,1373.0,14986
