date,open,high,low,close,volume
2015-01-02,6898.0,6998.0,6723.0,6999.0,52771
2015-01-05,7098.0,7098.0,6873.0,6999.0,40618
2015-01-06,6998.0,6998.0,6723.0,6874.0,50057
2015-01-07,6873.0,6873.0,6548.0,6749.0,121247
2015-01-08,6773.0,7048.0,6673.0,7023.0,82587
2015-01-09,7098.0,7647.0,7048.0,7474.0,262192
2015-01-12,7623.0,7873.0,7398.0,7474.0,134770
2015-01-13,7523.0,7972.0,7323.0,7749.0,294896
2015-01-14,7873.0,8098.0,7623.0,7773.0,215552
2015-01-15,7698.0,7923.0,7673.0,7673.0,76491
2015-01-16,7647.0,8223.0,7473.0,8198.0,326187
2015-01-19,8198.0,8323.0,8022.0,8074.0,160497
2015-01-20,7998.0,8072.0,7698.0,7973.0,175848
2015-01-21,7923.0,8022.0,7647.0,7673.0,178024
2015-01-22,7673.0,7823.0,7398.0,7498.0,169880
2015-01-23,7597.0,7698.0,7398.0,7548.0,100375
2015-01-26,7548.0,7848.0,7398.0,7849.0,141732
2015-01-27,7848.0,7948.0,7498.0,7524.0,199911
2015-01-28,7448.0,7623.0,7423.0,7524.0,58130
2015-01-29,7647.0,7647.0,7273.0,7424.0,84112
2015-01-30,7398.0,7573.0,7248.0,7448.0,59460
2015-02-02,7473.0,7473.0,7048.0,7149.0,122018
2015-02-03,7123.0,7423.0,7123.0,7374.0,60849
2015-02-04,7423.0,7948.0,7248.0,7923.0,317090
2015-02-05,7923.0,8148.0,7798.0,7899.0,172076
2015-02-06,8072.0,8423.0,7972.0,8348.0,251915
2015-02-09,8397.0,8772.0,8048.0,8573.0,292965
2015-02-10,8598.0,8672.0,8347.0,8573.0,127138
2015-02-11,8497.0,9347.0,8497.0,9348.0,667280
2015-02-12,9422.0,10122.0,9422.0,9898.0,557466
2015-02-13,10097.0,10097.0,9572.0,9673.0,282044
2015-02-16,9548.0,10122.0,9322.0,10098.0,193310
2015-02-17,10022.0,10097.0,9697.0,9823.0,148785
2015-02-23,9598.0,9947.0,9497.0,9948.0,92668
2015-02-24,9822.0,10097.0,9697.0,9948.0,130709
2015-02-25,10047.0,11097.0,9947.0,10648.0,357069
2015-02-26,10497.0,11147.0,10297.0,10498.0,228337
2015-02-27,10297.0,10722.0,10122.0,10723.0,135558
2015-03-02,10722.0,11097.0,10147.0,10448.0,128587
2015-03-03,10647.0,10697.0,10222.0,10473.0,164519
2015-03-04,10597.0,10997.0,10497.0,10848.0,354807
2015-03-05,10897.0,10897.0,10197.0,10623.0,299758
2015-03-06,10647.0,10672.0,10272.0,10423.0,118038
2015-03-09,10397.0,10447.0,10022.0,10398.0,143664
2015-03-10,10497.0,10497.0,9872.0,10148.0,178773
2015-03-11,10022.0,10322.0,9897.0,10148.0,103340
2015-03-12,10047.0,11097.0,10047.0,10973.0,360642
2015-03-13,10972.0,11172.0,10772.0,10923.0,111686
2015-03-16,10997.0,11097.0,10647.0,10898.0,129396
2015-03-17,10797.0,10922.0,10772.0,10848.0,54074
2015-03-18,10772.0,11297.0,10772.0,10948.0,161201
2015-03-19,10872.0,10972.0,10197.0,10348.0,331557
2015-03-20,10172.0,10797.0,10172.0,10673.0,133430
2015-03-23,10797.0,11172.0,10472.0,10948.0,138466
2015-03-24,10997.0,11997.0,10872.0,11748.0,256203
2015-03-25,11872.0,12372.0,11847.0,12373.0,193034
2015-03-26,12147.0,12172.0,11897.0,12073.0,116285
2015-03-27,12097.0,12097.0,11647.0,11923.0,101483
2015-03-30,11772.0,12097.0,11522.0,11872.0,73478
2015-03-31,11897.0,12472.0,11772.0,12048.0,133787
2015-04-01,11972.0,12247.0,11372.0,11698.0,184185
2015-04-02,11847.0,11847.0,11197.0,11623.0,169687
2015-04-03,11797.0,11797.0,11272.0,11573.0,96241
2015-04-06,11572.0,11572.0,11222.0,11498.0,81445
2015-04-07,11472.0,11797.0,11372.0,11498.0,73706
2015-04-08,11422.0,11697.0,10897.0,11348.0,109964
2015-04-09,11247.0,11297.0,10772.0,11273.0,92692
2015-04-10,11347.0,11372.0,10872.0,11173.0,95275
2015-04-13,11197.0,11197.0,10747.0,10873.0,78159
2015-04-14,10672.0,10847.0,10347.0,10398.0,164852
2015-04-15,10397.0,11247.0,10397.0,10748.0,109552
2015-04-16,10747.0,11247.0,10522.0,10973.0,75367
2015-04-17,11197.0,11197.0,10522.0,10698.0,61748
2015-04-20,10722.0,11097.0,10497.0,10998.0,84447
2015-04-21,10997.0,12247.0,10847.0,12147.0,407752
2015-04-22,12147.0,13497.0,11972.0,13398.0,721383
2015-04-23,13747.0,13922.0,12397.0,13647.0,390078
2015-04-24,13747.0,14246.0,13047.0,13047.0,346842
2015-04-27,13047.0,13072.0,11972.0,12772.0,264293
2015-04-28,12771.0,12821.0,11647.0,12347.0,289921
2015-04-29,12747.0,13172.0,12422.0,12498.0,638626
2015-04-30,12597.0,12747.0,12072.0,12247.0,187343
2015-05-04,12472.0,12472.0,11872.0,11998.0,85445
2015-05-06,11797.0,12272.0,11197.0,11698.0,209451
2015-05-07,11422.0,12847.0,11047.0,12498.0,282984
2015-05-08,12397.0,12847.0,12247.0,12572.0,331344
2015-05-11,12797.0,13671.0,12797.0,13422.0,303428
2015-05-12,13521.0,13671.0,12972.0,13047.0,305110
2015-05-13,13097.0,14996.0,13072.0,14997.0,505033
