date,open,high,low,close,volume
2015-01-02,590.0,594.0,584.0,594.0,3996
2015-01-05,594.0,604.0,587.0,601.0,10828
2015-01-06,600.0,607.0,585.0,604.0,17577
2015-01-07,603.0,608.0,591.0,604.0,26297
2015-01-08,603.0,603.0,593.0,597.0,10902
2015-01-09,597.0,608.0,582.0,605.0,47854
2015-01-12,604.0,619.0,595.0,615.0,16277
2015-01-13,625.0,625.0,608.0,616.0,9517
2015-01-14,616.0,636.0,609.0,627.0,27514
2015-01-15,631.0,652.0,625.0,629.0,29417
2015-01-16,633.0,638.0,604.0,626.0,17226
2015-01-19,620.0,628.0,604.0,616.0,9900
2015-01-20,615.0,625.0,604.0,626.0,33796
2015-01-21,625.0,638.0,614.0,634.0,19575
2015-01-22,634.0,648.0,619.0,646.0,6759
2015-01-23,646.0,660.0,637.0,661.0,25904
2015-01-26,660.0,667.0,648.0,667.0,13550
2015-01-27,667.0,671.0,658.0,671.0,4546
2015-01-28,671.0,672.0,657.0,670.0,10970
2015-01-29,670.0,720.0,669.0,705.0,21085
2015-01-30,704.0,705.0,682.0,688.0,13020
2015-02-02,684.0,711.0,684.0,687.0,63580
2015-02-03,686.0,701.0,686.0,688.0,24326
2015-02-04,691.0,701.0,652.0,690.0,19051
2015-02-05,693.0,705.0,686.0,698.0,9717
2015-02-06,697.0,706.0,676.0,687.0,69485
2015-02-09,686.0,705.0,657.0,661.0,39926
2015-02-10,661.0,688.0,647.0,687.0,20985
2015-02-11,688.0,697.0,669.0,698.0,3702
2015-02-12,697.0,705.0,667.0,705.0,23335
2015-02-13,705.0,707.0,670.0,689.0,6198
2015-02-16,693.0,714.0,688.0,712.0,22931
2015-02-17,701.0,720.0,690.0,711.0,29229
2015-02-23,755.0,755.0,713.0,725.0,50455
2015-02-24,719.0,743.0,719.0,725.0,30624
2015-02-25,724.0,820.0,724.0,778.0,89102
2015-02-26,785.0,795.0,756.0,780.0,46853
2015-02-27,779.0,779.0,742.0,755.0,49291
2015-03-02,758.0,793.0,734.0,781.0,127093
2015-03-03,799.0,818.0,781.0,810.0,111529
2015-03-04,828.0,928.0,810.0,884.0,185351
2015-03-05,896.0,896.0,814.0,814.0,98341
2015-03-06,825.0,867.0,813.0,813.0,43271
2015-03-09,816.0,831.0,794.0,820.0,54346
2015-03-10,823.0,858.0,823.0,845.0,31504
2015-03-11,843.0,852.0,802.0,842.0,22920
2015-03-12,844.0,844.0,814.0,823.0,48882
2015-03-13,827.0,848.0,783.0,799.0,46523
2015-03-16,799.0,810.0,791.0,810.0,41373
2015-03-17,804.0,816.0,798.0,810.0,15789
2015-03-18,800.0,839.0,800.0,805.0,57949
2015-03-19,823.0,823.0,784.0,791.0,58174
2015-03-20,792.0,816.0,781.0,795.0,67849
2015-03-23,789.0,812.0,779.0,786.0,87576
2015-03-24,785.0,806.0,774.0,807.0,18238
2015-03-25,810.0,820.0,793.0,819.0,11935
2015-03-26,819.0,820.0,804.0,818.0,2092
2015-03-27,820.0,839.0,791.0,798.0,25569
2015-03-30,799.0,819.0,795.0,818.0,25254
2015-03-31,825.0,825.0,804.0,820.0,4473
2015-04-01,835.0,835.0,802.0,813.0,1316
2015-04-02,829.0,829.0,810.0,818.0,2155
2015-04-03,829.0,829.0,816.0,826.0,5590
2015-04-06,829.0,839.0,817.0,829.0,12265
2015-04-07,823.0,833.0,819.0,831.0,15511
2015-04-08,832.0,832.0,820.0,831.0,5113
2015-04-09,839.0,873.0,836.0,851.0,29999
2015-04-10,840.0,896.0,840.0,882.0,19407
2015-04-13,885.0,891.0,870.0,872.0,9675
2015-04-14,874.0,885.0,842.0,872.0,10404
2015-04-15,876.0,876.0,848.0,872.0,18379
2015-04-16,874.0,885.0,874.0,886.0,7399
2015-04-17,886.0,964.0,858.0,954.0,63659
2015-04-20,946.0,972.0,920.0,963.0,31578
2015-04-21,953.0,963.0,906.0,951.0,38652
2015-04-22,951.0,972.0,918.0,938.0,25553
2015-04-23,938.0,953.0,924.0,925.0,4861
