date,open,high,low,close,volume
2015-01-02,4040.0,4145.0,4040.0,4120.0,119807
2015-01-05,4195.0,4195.0,4100.0,4150.0,167014
2015-01-06,4120.0,4130.0,4000.0,4035.0,161211
2015-01-07,4040.0,4075.0,3950.0,4050.0,114101
2015-01-08,4050.0,4120.0,4050.0,4100.0,97906
2015-01-09,4190.0,4290.0,4120.0,4285.0,156772
2015-01-12,4295.0,4295.0,4130.0,4220.0,102583
2015-01-13,4170.0,4240.0,4170.0,4220.0,139461
2015-01-14,4285.0,4285.0,4160.0,4190.0,74956
2015-01-15,4210.0,4210.0,4150.0,4170.0,59199
2015-01-16,4190.0,4190.0,4130.0,4135.0,60160
2015-01-19,4145.0,4200.0,4060.0,4090.0,124948
2015-01-20,4095.0,4140.0,4010.0,4090.0,83883
2015-01-21,4095.0,4095.0,3965.0,4045.0,130986
2015-01-22,4020.0,4065.0,3970.0,4005.0,123562
2015-01-23,3990.0,4060.0,3880.0,3885.0,229125
2015-01-26,3880.0,3920.0,3750.0,3750.0,247903
2015-01-27,3710.0,3900.0,3710.0,3900.0,230164
2015-01-28,3960.0,3960.0,3850.0,3905.0,80301
2015-01-29,3880.0,3960.0,3865.0,3910.0,86063
2015-01-30,3940.0,4020.0,3895.0,4020.0,174411
2015-02-02,4020.0,4180.0,4000.0,4155.0,174486
2015-02-03,4170.0,4185.0,4075.0,4100.0,101846
2015-02-04,4075.0,4160.0,4020.0,4100.0,103614
2015-02-05,4100.0,4150.0,4060.0,4105.0,112881
2015-02-06,4160.0,4255.0,4060.0,4205.0,235147
2015-02-09,4190.0,4220.0,4010.0,4020.0,213755
2015-02-10,4010.0,4140.0,3950.0,4135.0,235038
2015-02-11,4150.0,4205.0,4095.0,4200.0,225103
2015-02-12,4240.0,4260.0,3880.0,4005.0,920562
2015-02-13,4065.0,4080.0,3970.0,4000.0,240564
2015-02-16,4005.0,4060.0,3930.0,4020.0,228023
2015-02-17,4040.0,4175.0,3985.0,4125.0,324135
2015-02-23,4165.0,4165.0,4020.0,4130.0,334838
2015-02-24,4135.0,4245.0,4105.0,4180.0,535926
2015-02-25,4190.0,4240.0,4150.0,4170.0,179723
2015-02-26,4220.0,4480.0,4180.0,4430.0,959210
2015-02-27,4460.0,4615.0,4395.0,4400.0,928324
2015-03-02,4370.0,4385.0,4280.0,4335.0,394851
2015-03-03,4360.0,4555.0,4330.0,4385.0,512185
2015-03-04,4390.0,4440.0,4295.0,4380.0,224619
2015-03-05,4400.0,4475.0,4295.0,4325.0,195538
2015-03-06,4325.0,4355.0,4125.0,4170.0,501184
2015-03-09,4225.0,4265.0,4140.0,4175.0,324518
2015-03-10,4220.0,4280.0,4110.0,4170.0,234377
2015-03-11,4110.0,4200.0,4100.0,4170.0,229258
2015-03-12,4180.0,4310.0,4155.0,4245.0,294858
2015-03-13,4245.0,4270.0,4175.0,4225.0,231405
2015-03-16,4265.0,4360.0,4240.0,4360.0,365765
2015-03-17,4395.0,4645.0,4345.0,4640.0,1466855
2015-03-18,4650.0,4725.0,4495.0,4505.0,865288
2015-03-19,4480.0,4555.0,4420.0,4520.0,418643
2015-03-20,4590.0,4670.0,4430.0,4440.0,806647
2015-03-23,4445.0,4455.0,4350.0,4365.0,317878
2015-03-24,4405.0,4440.0,4340.0,4430.0,225742
2015-03-25,4440.0,4460.0,4360.0,4360.0,256123
2015-03-26,4340.0,4380.0,4265.0,4305.0,293127
2015-03-27,4350.0,4395.0,4290.0,4340.0,167481
2015-03-30,4360.0,4580.0,4360.0,4530.0,629653
2015-03-31,4500.0,4545.0,4430.0,4475.0,264416
2015-04-01,4460.0,4475.0,4380.0,4405.0,236461
2015-04-02,4390.0,4495.0,4390.0,4420.0,297852
2015-04-03,4530.0,4575.0,4415.0,4430.0,406992
2015-04-06,4470.0,4470.0,4315.0,4365.0,401229
2015-04-07,4350.0,4445.0,4310.0,4440.0,257400
2015-04-08,4480.0,4480.0,4375.0,4380.0,255187
2015-04-09,4380.0,4515.0,4350.0,4500.0,451755
2015-04-10,4530.0,4600.0,4460.0,4460.0,381609
2015-04-13,4465.0,4650.0,4405.0,4640.0,440494
2015-04-14,4670.0,4680.0,4500.0,4560.0,410858
2015-04-15,4525.0,4615.0,4480.0,4500.0,294983
2015-04-16,4555.0,4750.0,4510.0,4700.0,948330
2015-04-17,4785.0,5050.0,4740.0,5020.0,2170622
2015-04-20,4910.0,5020.0,4825.0,4915.0,852493
2015-04-21,5010.0,5260.0,4915.0,5170.0,1503734
2015-04-22,5200.0,5440.0,4400.0,5020.0,1646359
2015-04-23,5040.0,5080.0,4710.0,4945.0,616956
2015-04-24,4930.0,5350.0,4910.0,4975.0,1218148
2015-04-27,5030.0,5150.0,4920.0,5040.0,438101
2015-04-28,5070.0,5100.0,4965.0,4990.0,270483
2015-04-29,4995.0,5020.0,4775.0,4865.0,369971
2015-04-30,4865.0,4930.0,4780.0,4780.0,298412
2015-05-04,4780.0,4820.0,4655.0,4655.0,248670
2015-05-06,4590.0,4775.0,4525.0,4720.0,321011
2015-05-07,4705.0,4790.0,4500.0,4720.0,356363
