date,open,high,low,close,volume
2015-01-02,13212.0,13869.0,13212.0,13804.0,96623
2015-01-05,13803.0,14001.0,13540.0,13935.0,68927
2015-01-06,13738.0,13935.0,13475.0,13672.0,63474
2015-01-07,13606.0,13803.0,13540.0,13738.0,31057
2015-01-08,14001.0,15710.0,13935.0,15053.0,735456
2015-01-09,14987.0,16038.0,14658.0,15710.0,446352
2015-01-12,15907.0,16827.0,15381.0,16630.0,562233
2015-01-13,16696.0,16827.0,15973.0,16302.0,199837
2015-01-14,16170.0,16564.0,15710.0,16170.0,181540
2015-01-15,15907.0,16959.0,15907.0,16039.0,433911
2015-01-16,16104.0,16170.0,15644.0,15907.0,179927
2015-01-19,16038.0,16170.0,15315.0,15513.0,248958
2015-01-20,15710.0,16104.0,15315.0,15776.0,288896
2015-01-21,15710.0,15775.0,15184.0,15184.0,159302
2015-01-22,15381.0,15578.0,14987.0,15579.0,240563
2015-01-23,15578.0,15841.0,15250.0,15381.0,252457
2015-01-26,15512.0,16433.0,15118.0,16170.0,518483
2015-01-27,16170.0,16301.0,15578.0,15710.0,239124
2015-01-28,15578.0,16038.0,15578.0,15842.0,226475
2015-01-29,15841.0,17287.0,15841.0,16762.0,931323
2015-01-30,17024.0,17090.0,16564.0,16762.0,363891
2015-02-02,16959.0,17616.0,16630.0,16828.0,460464
2015-02-03,17090.0,17156.0,14329.0,14330.0,2255991
2015-02-04,14461.0,14789.0,13803.0,14330.0,708802
2015-02-05,14395.0,14658.0,14264.0,14461.0,301016
2015-02-06,14461.0,14724.0,14198.0,14395.0,290626
2015-02-09,14329.0,14395.0,13212.0,13409.0,348177
2015-02-10,13409.0,14132.0,13080.0,13738.0,363580
2015-02-11,13803.0,13935.0,13278.0,13344.0,345426
2015-02-12,14461.0,15315.0,14395.0,15316.0,1331808
2015-02-13,15644.0,15907.0,14526.0,14527.0,681337
2015-02-16,14526.0,14658.0,13803.0,13804.0,280355
2015-02-17,13672.0,14329.0,13672.0,14264.0,191708
2015-02-23,14264.0,14461.0,14001.0,14461.0,134364
2015-02-24,14658.0,14987.0,14461.0,14856.0,318811
2015-02-25,14987.0,15052.0,14592.0,14593.0,120473
2015-02-26,14592.0,15184.0,14592.0,14856.0,208625
2015-02-27,14789.0,14987.0,14395.0,14724.0,183690
2015-03-02,14789.0,15052.0,14658.0,14856.0,222476
2015-03-03,15118.0,15907.0,14921.0,15776.0,733406
2015-03-04,15907.0,16630.0,15512.0,16433.0,578871
2015-03-05,16170.0,16301.0,15841.0,15907.0,298537
2015-03-06,16104.0,16104.0,15184.0,15447.0,301030
2015-03-09,15512.0,15907.0,15447.0,15710.0,209068
2015-03-10,15841.0,16564.0,15644.0,16367.0,497406
2015-03-11,15907.0,16235.0,15578.0,15973.0,251380
2015-03-12,16038.0,16367.0,15710.0,16302.0,245428
2015-03-13,16367.0,16564.0,16104.0,16367.0,247723
2015-03-16,16498.0,16761.0,16170.0,16236.0,279425
2015-03-17,16433.0,16498.0,15841.0,15907.0,250597
2015-03-18,15907.0,16170.0,15644.0,15644.0,172473
2015-03-19,15907.0,16433.0,15644.0,16433.0,290697
2015-03-20,16367.0,17945.0,16301.0,17485.0,951913
2015-03-23,17945.0,18470.0,17616.0,18339.0,915242
2015-03-24,18536.0,18733.0,18010.0,18405.0,305046
2015-03-25,18339.0,18339.0,17813.0,18274.0,315293
2015-03-26,17879.0,18799.0,17879.0,18800.0,334950
2015-03-27,18996.0,19917.0,18076.0,18142.0,759134
2015-03-30,18142.0,18470.0,17682.0,18208.0,242957
2015-03-31,18339.0,18470.0,17682.0,17682.0,253047
2015-04-01,17616.0,18207.0,17353.0,17353.0,233709
2015-04-02,17550.0,17945.0,17353.0,17353.0,244128
2015-04-03,17287.0,17945.0,17221.0,17879.0,277972
2015-04-06,17945.0,17945.0,17419.0,17616.0,115812
2015-04-07,17550.0,17682.0,17287.0,17551.0,166226
2015-04-08,17484.0,17682.0,16433.0,16565.0,450232
2015-04-09,16761.0,17024.0,16630.0,16893.0,178949
2015-04-10,17024.0,17353.0,16696.0,17091.0,213899
2015-04-13,16959.0,17156.0,16038.0,16302.0,438668
2015-04-14,16301.0,16564.0,15907.0,16499.0,212702
2015-04-15,17156.0,17419.0,16893.0,16893.0,417954
2015-04-16,16893.0,16959.0,16301.0,16433.0,241950
2015-04-17,16696.0,17419.0,16564.0,16762.0,352374
2015-04-20,16564.0,16893.0,16367.0,16565.0,194539
2015-04-21,16827.0,17156.0,16498.0,16696.0,216216
2015-04-22,16696.0,17024.0,15512.0,16236.0,369624
2015-04-23,16433.0,16433.0,15250.0,15447.0,292664
2015-04-24,15578.0,16104.0,15381.0,15447.0,247032
2015-04-27,15447.0,16235.0,15447.0,15907.0,148007
2015-04-28,16170.0,16170.0,15644.0,15644.0,115114
2015-04-29,15775.0,16301.0,15447.0,16039.0,291203
2015-04-30,15907.0,17747.0,15775.0,16367.0,1011956
2015-05-04,16564.0,17287.0,16433.0,16630.0,439925
2015-05-06,16761.0,16893.0,15907.0,15973.0,250424
2015-05-07,16367.0,17221.0,16104.0,16893.0,455530
2015-05-08,17221.0,17353.0,16630.0,16893.0,335666
2015-05-11,17156.0,17221.0,16630.0,16828.0,216155
2015-05-12,16761.0,17682.0,16696.0,17485.0,642692
2015-05-13,17353.0,17550.0,17156.0,17288.0,293576
2015-05-14,17287.0,17616.0,16761.0,16959.0,329897
2015-05-15,17221.0,17813.0,17024.0,17616.0,624426
2015-05-18,17419.0,17616.0,17024.0,17288.0,348246
2015-05-19,17221.0,17287.0,16696.0,17025.0,308378
2015-05-20,17090.0,17287.0,16761.0,16762.0,224380
2015-05-21,16827.0,17156.0,16696.0,16959.0,159738
2015-05-22,16959.0,16959.0,14461.0,14461.0,1344338
2015-05-26,14724.0,15052.0,14526.0,14724.0,384660
2015-05-27,14855.0,14921.0,14066.0,14067.0,277150
2015-05-28,14329.0,14658.0,14001.0,14527.0,183500
2015-05-29,14526.0,14921.0,14395.0,14461.0,138814
2015-06-01,14264.0,14395.0,13672.0,14198.0,125456
2015-06-02,14001.0,14132.0,13080.0,13133.0,403308
2015-06-03,13212.0,13672.0,12923.0,13147.0,218337
2015-06-04,13067.0,14592.0,13067.0,14067.0,550988
2015-06-05,14132.0,14132.0,13672.0,13870.0,111108
2015-06-08,14066.0,14066.0,13540.0,13935.0,116988
2015-06-09,14264.0,14592.0,13935.0,14330.0,169840
2015-06-10,14329.0,14592.0,14066.0,14461.0,170699
2015-06-11,14789.0,14789.0,13935.0,14067.0,141221
2015-06-12,13935.0,14198.0,13540.0,13541.0,92562
2015-06-15,13540.0,14001.0,13146.0,13804.0,88788
2015-06-16,13803.0,14001.0,13278.0,13804.0,78160
2015-06-17,13672.0,14264.0,13672.0,14001.0,116532
2015-06-18,14066.0,14198.0,13738.0,13870.0,69695
2015-06-19,13803.0,14198.0,13672.0,14067.0,101202
2015-06-22,14198.0,14724.0,14066.0,14461.0,160964
2015-06-23,14526.0,14789.0,14198.0,14461.0,105748
2015-06-24,14329.0,14461.0,14198.0,14330.0,100437
2015-06-25,14329.0,14592.0,14198.0,14395.0,135281
2015-06-26,14329.0,14526.0,13935.0,14001.0,162497
2015-06-29,13672.0,13869.0,13080.0,13344.0,148588
2015-06-30,13212.0,13803.0,13146.0,13541.0,112272
2015-07-01,13738.0,14001.0,13540.0,13804.0,138956
2015-07-02,13935.0,13935.0,13606.0,13804.0,95019
2015-07-03,13869.0,13935.0,13475.0,13672.0,103493
2015-07-06,13343.0,13475.0,13133.0,13147.0,207401
2015-07-07,13212.0,13409.0,12936.0,12949.0,182962
2015-07-08,13028.0,13278.0,12923.0,13028.0,121408
2015-07-09,12765.0,13015.0,12186.0,12542.0,158415
2015-07-10,12318.0,13001.0,12318.0,12765.0,98633
2015-07-13,12883.0,13212.0,12660.0,13212.0,66617
2015-07-14,13278.0,13278.0,13080.0,13147.0,52871
2015-07-15,13212.0,13278.0,13015.0,13041.0,76394
2015-07-16,13028.0,13343.0,13028.0,13212.0,78576
2015-07-17,13343.0,13343.0,12949.0,12963.0,103674
2015-07-20,13001.0,13278.0,12896.0,13278.0,78762
2015-07-21,13212.0,13343.0,13015.0,13212.0,70091
2015-07-22,13080.0,13278.0,12923.0,12936.0,83610
2015-07-23,12936.0,13054.0,12870.0,12949.0,61941
2015-07-24,12870.0,13015.0,12699.0,12752.0,54829
2015-07-27,12594.0,12739.0,12344.0,12384.0,82245
2015-07-28,12252.0,12344.0,11739.0,11858.0,124677
2015-07-29,11831.0,12186.0,11831.0,11990.0,83776
2015-07-30,11043.0,11121.0,9991.0,9991.0,637466
2015-07-31,10004.0,10228.0,9649.0,9715.0,160726
2015-08-03,9649.0,9938.0,9649.0,9702.0,87948
2015-08-04,9596.0,10648.0,9596.0,10175.0,165506
2015-08-05,10241.0,10661.0,10214.0,10517.0,112505
2015-08-06,10609.0,10714.0,10451.0,10544.0,71980
2015-08-07,10543.0,10582.0,10398.0,10399.0,58080
2015-08-10,10569.0,10622.0,10162.0,10189.0,54585
2015-08-11,10372.0,10385.0,9846.0,9847.0,76159
2015-08-12,9965.0,9965.0,9202.0,9452.0,107760
2015-08-13,9557.0,9767.0,9334.0,9715.0,54575
2015-08-17,9610.0,10057.0,9465.0,9518.0,49204
2015-08-18,9662.0,9833.0,9228.0,9295.0,59765
2015-08-19,8689.0,9163.0,8282.0,8322.0,163824
2015-08-20,7966.0,8453.0,7966.0,8203.0,65510
2015-08-21,7887.0,8137.0,7625.0,7770.0,78578
2015-08-24,7375.0,8111.0,7375.0,7717.0,68791
2015-08-25,7730.0,8137.0,7664.0,8059.0,91317
2015-08-26,8164.0,8624.0,8058.0,8545.0,88515
2015-08-27,8795.0,9084.0,8545.0,8979.0,96051
2015-08-28,8703.0,9123.0,8703.0,8874.0,70919
2015-08-31,8795.0,9097.0,8795.0,9058.0,42578
2015-09-01,9163.0,9675.0,9110.0,9321.0,97649
2015-09-02,9202.0,9307.0,8676.0,9281.0,38576
2015-09-03,9412.0,9504.0,9228.0,9308.0,18569
2015-09-04,9399.0,9399.0,8808.0,8808.0,33340
2015-09-07,8926.0,8926.0,8597.0,8795.0,25531
2015-09-08,8742.0,8926.0,8676.0,8834.0,31675
2015-09-09,9005.0,9071.0,8821.0,9005.0,29417
2015-09-10,8689.0,9110.0,8689.0,9084.0,36665
2015-09-11,9110.0,9202.0,8466.0,9032.0,38209
2015-09-14,9071.0,9136.0,8860.0,8900.0,22694
2015-09-15,9005.0,9018.0,8873.0,9019.0,27042
2015-09-16,9071.0,9347.0,9057.0,9242.0,51127
2015-09-17,9334.0,9334.0,9136.0,9203.0,25354
2015-09-18,9320.0,9320.0,9136.0,9203.0,33923
2015-09-21,9071.0,9202.0,8992.0,9058.0,25403
2015-09-22,9110.0,9439.0,9097.0,9439.0,70869
2015-09-23,9347.0,9978.0,9334.0,9820.0,123232
2015-09-24,10057.0,10057.0,9478.0,9663.0,38563
2015-09-25,9781.0,9781.0,9491.0,9663.0,19997
2015-09-30,9596.0,9689.0,9268.0,9689.0,19629
2015-10-01,9781.0,10043.0,9570.0,10005.0,59484
2015-10-02,9938.0,10004.0,9689.0,9860.0,34517
2015-10-05,9859.0,9925.0,9807.0,9860.0,17370
2015-10-06,9859.0,9965.0,9504.0,9663.0,48839
2015-10-07,9662.0,9794.0,9491.0,9505.0,14318
2015-10-08,9662.0,9662.0,9202.0,9203.0,43613
2015-10-12,9189.0,9452.0,9176.0,9334.0,37301
2015-10-13,9399.0,9399.0,9097.0,9268.0,32437
2015-10-14,9242.0,9452.0,9189.0,9452.0,20083
2015-10-15,9334.0,9504.0,9294.0,9426.0,18656
2015-10-16,9491.0,9544.0,9399.0,9452.0,18100
2015-10-19,9452.0,9478.0,9281.0,9373.0,14513
2015-10-20,9320.0,9465.0,9228.0,9268.0,28235
2015-10-21,9242.0,9465.0,9242.0,9268.0,17407
2015-10-22,9268.0,9360.0,9136.0,9229.0,26892
2015-10-23,9426.0,9426.0,9031.0,9071.0,39518
2015-10-26,9110.0,9202.0,9057.0,9058.0,34227
2015-10-27,9189.0,9189.0,8361.0,8611.0,100427
2015-10-28,8492.0,8610.0,8387.0,8519.0,44070
2015-10-29,8532.0,8558.0,8282.0,8335.0,34974
2015-10-30,8334.0,8400.0,8137.0,8335.0,30112
2015-11-02,8334.0,8334.0,7979.0,8151.0,32490
2015-11-03,8216.0,8256.0,8111.0,8230.0,21452
2015-11-04,8282.0,8282.0,8071.0,8230.0,30546
2015-11-05,8058.0,8229.0,8058.0,8217.0,16269
2015-11-06,8229.0,8269.0,7979.0,8177.0,32488
2015-11-09,8150.0,8150.0,7756.0,8019.0,39038
2015-11-10,7848.0,7979.0,7585.0,7822.0,48150
2015-11-11,7651.0,7848.0,7493.0,7638.0,32914
2015-11-12,7572.0,7690.0,7454.0,7546.0,41766
2015-11-13,7546.0,7546.0,7427.0,7494.0,20975
2015-11-16,7362.0,7467.0,7230.0,7336.0,28030
2015-11-17,7230.0,7546.0,7230.0,7520.0,22580
2015-11-18,7401.0,7835.0,7401.0,7796.0,23522
2015-11-19,7848.0,8045.0,7756.0,7954.0,20875
2015-11-20,7953.0,8150.0,7861.0,8059.0,21168
2015-11-23,8071.0,8124.0,7979.0,8059.0,9621
2015-11-24,8085.0,8085.0,7887.0,8019.0,22289
2015-11-25,8058.0,8071.0,7887.0,7980.0,8699
2015-11-26,7914.0,8058.0,7769.0,7888.0,23526
2015-11-27,7940.0,7940.0,7769.0,7862.0,12555
2015-11-30,7861.0,7874.0,7638.0,7730.0,16710
2015-12-01,7730.0,7848.0,7730.0,7756.0,11505
2015-12-02,7717.0,7795.0,7677.0,7796.0,11680
2015-12-03,7861.0,7874.0,7651.0,7678.0,7923
2015-12-04,7677.0,7677.0,7335.0,7546.0,24778
2015-12-07,7546.0,7611.0,7440.0,7572.0,7943
2015-12-08,7427.0,7572.0,7322.0,7362.0,22792
2015-12-09,7362.0,7427.0,7230.0,7309.0,26396
2015-12-10,7388.0,7467.0,7164.0,7362.0,37395
2015-12-11,7362.0,7375.0,7178.0,7375.0,10841
2015-12-14,7375.0,7375.0,7033.0,7060.0,31495
2015-12-15,7059.0,7230.0,7007.0,7139.0,11207
2015-12-16,7138.0,7283.0,7085.0,7139.0,17387
2015-12-17,7230.0,9097.0,7151.0,7717.0,399325
2015-12-18,7717.0,7795.0,7506.0,7572.0,42312
2015-12-21,7638.0,7638.0,7467.0,7520.0,26852
