date,open,high,low,close,volume
2022-08-22,13000.0,15450.0,12950.0,14600.0,14822381
2022-08-23,14600.0,15900.0,14200.0,14950.0,5547904
2022-08-24,14950.0,15100.0,14000.0,15000.0,3157809
2022-08-25,16200.0,16550.0,14650.0,15050.0,4372881
2022-08-26,14750.0,15100.0,14400.0,14400.0,1201367
2022-08-29,13750.0,13950.0,13150.0,13400.0,1328992
2022-08-30,13450.0,15300.0,13300.0,14700.0,6413017
2022-08-31,14500.0,14750.0,13800.0,14050.0,1527852
2022-09-01,13900.0,14550.0,13650.0,13900.0,1778640
2022-09-02,13900.0,14350.0,13550.0,13600.0,1067757
2022-09-05,13550.0,14100.0,13000.0,13600.0,1686721
2022-09-06,14150.0,14250.0,13550.0,13700.0,1329385
2022-09-07,13600.0,13650.0,13050.0,13200.0,826157
2022-09-08,13500.0,13700.0,12600.0,12750.0,1355952
2022-09-13,12950.0,12950.0,12000.0,12100.0,856353
2022-09-14,11450.0,11550.0,11200.0,11250.0,757668
2022-09-15,11550.0,14500.0,11400.0,13800.0,7401361
2022-09-16,14000.0,14850.0,13600.0,13750.0,3040429
2022-09-19,13750.0,14000.0,11500.0,11650.0,1821469
2022-09-20,11750.0,12900.0,11750.0,12100.0,2060076
2022-09-21,12400.0,13100.0,11800.0,11950.0,1616168
2022-09-22,11550.0,12200.0,11500.0,12000.0,808001
2022-09-23,12000.0,12350.0,11700.0,11850.0,654339
2022-09-26,11700.0,12050.0,11200.0,11250.0,646782
2022-09-27,11200.0,11500.0,10500.0,11100.0,584862
2022-09-28,10900.0,11000.0,10250.0,10400.0,790762
2022-09-29,10850.0,11300.0,10000.0,10000.0,2220094
2022-09-30,9800.0,9800.0,9070.0,9120.0,829426
2022-10-04,9340.0,10350.0,9180.0,9740.0,1399400
2022-10-05,9900.0,10100.0,9120.0,9230.0,794682
2022-10-06,9330.0,9710.0,9210.0,9580.0,506735
2022-10-07,9480.0,9680.0,9140.0,9220.0,444486
2022-10-11,9000.0,9030.0,8370.0,8380.0,442996
2022-10-12,8320.0,8420.0,8080.0,8200.0,387095
2022-10-13,8110.0,8200.0,7600.0,7690.0,400990
2022-10-14,8160.0,9580.0,8110.0,9250.0,3673748
2022-10-17,8840.0,9430.0,8710.0,9390.0,905635
2022-10-18,9540.0,9680.0,9180.0,9220.0,602470
2022-10-19,9260.0,9310.0,8850.0,8850.0,383815
2022-10-20,8800.0,9010.0,8520.0,8610.0,224832
2022-10-21,8530.0,8800.0,8200.0,8210.0,253319
2022-10-24,8390.0,9180.0,8380.0,8570.0,656403
2022-10-25,8610.0,9180.0,8560.0,8870.0,549326
2022-10-26,8970.0,9290.0,8400.0,8400.0,390898
2022-10-27,8400.0,9200.0,8400.0,9050.0,641328
2022-10-28,9110.0,9500.0,8680.0,8770.0,946955
2022-10-31,8970.0,10100.0,8930.0,9480.0,3891069
2022-11-01,9500.0,9610.0,9290.0,9580.0,709321
2022-11-02,9590.0,9590.0,9230.0,9280.0,491798
2022-11-03,8910.0,9250.0,8830.0,9160.0,314247
2022-11-04,9160.0,9190.0,8950.0,9090.0,222763
2022-11-07,9200.0,9230.0,8950.0,9000.0,254532
2022-11-08,9000.0,9370.0,9000.0,9210.0,301669
2022-11-09,9260.0,9400.0,9130.0,9190.0,308887
2022-11-10,9100.0,9230.0,8860.0,8900.0,354238
2022-11-11,9210.0,9390.0,9090.0,9150.0,433415
2022-11-14,9230.0,9250.0,9070.0,9100.0,213304
2022-11-15,9070.0,9170.0,8880.0,9020.0,251816
2022-11-16,9020.0,9220.0,8960.0,9160.0,204951
2022-11-17,9200.0,9230.0,8950.0,9050.0,175739
2022-11-18,9040.0,9270.0,8960.0,8970.0,255168
2022-11-21,8970.0,8980.0,8310.0,8490.0,335304
2022-11-22,8350.0,8550.0,8250.0,8330.0,143207
2022-11-23,8380.0,8450.0,8280.0,8330.0,131010
2022-11-24,8350.0,8590.0,8350.0,8540.0,120761
2022-11-25,8590.0,8640.0,8410.0,8450.0,95647
2022-11-28,8440.0,8440.0,8000.0,8080.0,171877
2022-11-29,8070.0,8840.0,8070.0,8270.0,396598
2022-11-30,8170.0,10750.0,8170.0,10750.0,10099339
2022-12-01,11300.0,11650.0,10750.0,11150.0,7775659
2022-12-02,11200.0,11500.0,11000.0,11450.0,4995096
2022-12-05,11850.0,12100.0,10350.0,10400.0,3979158
2022-12-06,10300.0,10850.0,10150.0,10500.0,1723348
2022-12-07,10400.0,10800.0,10200.0,10750.0,1274081
2022-12-08,10600.0,10700.0,10050.0,10100.0,859560
2022-12-09,10350.0,10600.0,9940.0,10000.0,1183924
2022-12-12,9850.0,10050.0,9610.0,9610.0,652282
2022-12-13,9630.0,10050.0,9560.0,10050.0,735185
2022-12-14,9920.0,10200.0,9900.0,10000.0,493571
2022-12-15,9940.0,10050.0,9640.0,9680.0,373497
2022-12-16,9340.0,9400.0,9200.0,9240.0,434608
