date,open,high,low,close,volume
2015-01-02,3140.0,3290.0,3105.0,3240.0,29497
2015-01-05,3210.0,3270.0,3210.0,3270.0,30708
2015-01-06,3280.0,3280.0,3160.0,3260.0,16492
2015-01-07,3295.0,3295.0,3200.0,3250.0,18308
2015-01-08,3235.0,3270.0,3195.0,3230.0,23786
2015-01-09,3260.0,3365.0,3200.0,3350.0,43482
2015-01-12,3345.0,3350.0,3280.0,3345.0,27326
2015-01-13,3350.0,3385.0,3280.0,3280.0,10661
2015-01-14,3280.0,3305.0,3210.0,3220.0,18354
2015-01-15,3220.0,3250.0,3150.0,3195.0,17394
2015-01-16,3195.0,3250.0,3140.0,3235.0,29290
2015-01-19,3235.0,3300.0,3230.0,3280.0,24686
2015-01-20,3320.0,3320.0,3240.0,3290.0,7877
2015-01-21,3320.0,3335.0,3265.0,3300.0,45644
2015-01-22,3280.0,3370.0,3280.0,3320.0,24339
2015-01-23,3330.0,3330.0,3295.0,3310.0,21847
2015-01-26,3375.0,3375.0,3270.0,3270.0,24745
2015-01-27,3270.0,3350.0,3240.0,3320.0,29295
2015-01-28,3330.0,3385.0,3320.0,3320.0,10896
2015-01-29,3350.0,3400.0,3290.0,3340.0,11491
2015-01-30,3340.0,3340.0,3210.0,3295.0,35363
2015-02-02,3305.0,3330.0,3220.0,3255.0,12148
2015-02-03,3255.0,3255.0,3190.0,3190.0,16061
2015-02-04,3190.0,3270.0,3185.0,3270.0,33852
2015-02-05,3290.0,3290.0,3230.0,3275.0,5048
2015-02-06,3255.0,3365.0,3255.0,3365.0,69400
2015-02-09,3375.0,3375.0,3285.0,3325.0,22176
2015-02-10,3345.0,3345.0,3195.0,3210.0,38810
2015-02-11,3210.0,3250.0,3165.0,3235.0,28547
2015-02-12,3235.0,3270.0,3210.0,3270.0,9698
2015-02-13,3270.0,3270.0,3240.0,3255.0,7168
2015-02-16,3255.0,3285.0,3220.0,3280.0,36285
2015-02-17,3280.0,3420.0,3245.0,3400.0,38719
2015-02-23,3440.0,3465.0,3370.0,3425.0,46249
2015-02-24,3420.0,3540.0,3420.0,3495.0,23876
2015-02-25,3510.0,3525.0,3450.0,3500.0,13676
2015-02-26,3535.0,3540.0,3450.0,3460.0,26597
2015-02-27,3455.0,3805.0,3435.0,3540.0,92349
2015-03-02,3575.0,3590.0,3500.0,3575.0,16276
2015-03-03,3575.0,3605.0,3510.0,3585.0,14420
2015-03-04,3530.0,3605.0,3530.0,3600.0,6390
2015-03-05,3610.0,3610.0,3495.0,3545.0,28001
2015-03-06,3490.0,3585.0,3490.0,3550.0,16853
2015-03-09,3550.0,3590.0,3525.0,3530.0,30735
2015-03-10,3510.0,3525.0,3435.0,3450.0,33337
2015-03-11,3410.0,3410.0,3320.0,3320.0,35731
2015-03-12,3360.0,3450.0,3310.0,3430.0,17186
2015-03-13,3430.0,3465.0,3390.0,3395.0,9608
2015-03-16,3375.0,3420.0,3365.0,3405.0,6619
2015-03-17,3420.0,3470.0,3405.0,3415.0,6864
2015-03-18,3415.0,3425.0,3380.0,3410.0,25530
2015-03-19,3390.0,3410.0,3325.0,3400.0,23073
2015-03-20,3400.0,3450.0,3350.0,3420.0,19373
2015-03-23,3400.0,3420.0,3360.0,3415.0,12191
2015-03-24,3380.0,3405.0,3340.0,3380.0,31229
2015-03-25,3380.0,3395.0,3340.0,3380.0,26673
2015-03-26,3380.0,3385.0,3310.0,3355.0,23065
2015-03-27,3350.0,3350.0,3245.0,3300.0,33242
2015-03-30,3300.0,3355.0,3265.0,3355.0,44554
2015-03-31,3450.0,3510.0,3425.0,3500.0,60506
2015-04-01,3510.0,3600.0,3510.0,3565.0,60127
2015-04-02,3570.0,3610.0,3450.0,3595.0,111948
2015-04-03,3700.0,3855.0,3620.0,3790.0,172520
2015-04-06,3750.0,3800.0,3705.0,3720.0,54488
2015-04-07,3750.0,3770.0,3685.0,3750.0,39004
2015-04-08,3735.0,3775.0,3720.0,3750.0,31833
2015-04-09,3760.0,3800.0,3685.0,3715.0,41451
2015-04-10,3715.0,3750.0,3690.0,3720.0,36052
2015-04-13,3750.0,3840.0,3740.0,3785.0,60782
2015-04-14,3800.0,3940.0,3780.0,3780.0,74612
2015-04-15,3790.0,3810.0,3755.0,3780.0,25601
2015-04-16,3780.0,3820.0,3740.0,3770.0,22193
2015-04-17,3770.0,3840.0,3770.0,3810.0,29887
2015-04-20,3755.0,3850.0,3725.0,3740.0,24889
2015-04-21,3720.0,3775.0,3665.0,3775.0,45943
2015-04-22,3775.0,3775.0,3520.0,3700.0,60520
2015-04-23,3700.0,3700.0,3550.0,3600.0,54152
2015-04-24,3580.0,3620.0,3520.0,3520.0,12168
2015-04-27,3485.0,3650.0,3485.0,3635.0,15652
2015-04-28,3610.0,3670.0,3610.0,3645.0,20868
2015-04-29,3630.0,3760.0,3610.0,3755.0,24646
2015-04-30,3680.0,3755.0,3645.0,3665.0,22366
2015-05-04,3690.0,3750.0,3655.0,3660.0,9451
2015-05-06,3660.0,3660.0,3450.0,3535.0,25291
2015-05-07,3580.0,3600.0,3460.0,3580.0,20635
2015-05-08,3580.0,3585.0,3525.0,3540.0,13000
2015-05-11,3540.0,3600.0,3500.0,3590.0,28972
2015-05-12,3590.0,3700.0,3590.0,3630.0,9479
2015-05-13,3570.0,3650.0,3570.0,3650.0,20728
2015-05-14,3635.0,3690.0,3585.0,3685.0,13443
2015-05-15,3685.0,3700.0,3635.0,3695.0,20643
2015-05-18,3695.0,3700.0,3550.0,3680.0,15695
