date,open,high,low,close,volume
2015-01-02,55175.0,55175.0,52190.0,53440.0,2993
2015-01-05,52914.0,54045.0,50850.0,51065.0,2776
2015-01-06,50745.0,51480.0,49925.0,50550.0,1563
2015-01-07,50545.0,50960.0,48270.0,48485.0,2882
2015-01-08,48570.0,50325.0,48475.0,48900.0,1245
2015-01-09,50330.0,52800.0,50130.0,51375.0,2640
2015-01-12,52389.0,52600.0,50535.0,51995.0,803
2015-01-13,51980.0,51980.0,50325.0,51995.0,999
2015-01-14,50950.0,51575.0,50330.0,50755.0,1450
2015-01-15,50330.0,50950.0,49300.0,50755.0,1201
2015-01-16,50545.0,50545.0,48990.0,49415.0,1007
2015-01-19,49510.0,49510.0,48265.0,49310.0,1308
2015-01-20,48475.0,50540.0,46200.0,50345.0,6136
2015-01-21,50540.0,57859.0,50015.0,57875.0,18436
2015-01-22,58075.0,63950.0,56209.0,62105.0,27344
2015-01-23,62925.0,65189.0,60555.0,63650.0,15005
2015-01-26,63640.0,64150.0,59610.0,60970.0,8979
2015-01-27,60955.0,63120.0,59925.0,62105.0,7409
2015-01-28,61890.0,62810.0,59415.0,62825.0,7999
2015-01-29,62815.0,62815.0,58280.0,58800.0,3605
2015-01-30,58485.0,59620.0,56420.0,57360.0,6265
2015-02-02,55700.0,55700.0,53110.0,53440.0,12750
2015-02-03,54360.0,57240.0,53225.0,54880.0,7116
2015-02-04,55185.0,56735.0,55085.0,56740.0,3882
2015-02-05,56735.0,57360.0,55495.0,55710.0,2839
2015-02-06,55704.0,57144.0,54360.0,55710.0,4195
2015-02-09,54975.0,55700.0,53015.0,53130.0,4277
2015-02-10,53015.0,54670.0,50540.0,51480.0,6299
2015-02-11,52085.0,52085.0,49510.0,49725.0,5889
2015-02-12,50335.0,50545.0,48580.0,50550.0,2146
2015-02-13,50545.0,54985.0,49415.0,49520.0,10629
2015-02-16,49720.0,51050.0,49610.0,50755.0,2093
2015-02-17,50640.0,51670.0,50540.0,51375.0,1930
2015-02-23,51360.0,51980.0,50325.0,51685.0,2922
2015-02-24,51480.0,51990.0,51170.0,51580.0,3016
2015-02-25,51575.0,52195.0,50740.0,50755.0,3153
2015-02-26,50740.0,51575.0,50330.0,51480.0,2896
2015-02-27,51165.0,51575.0,49200.0,50135.0,12463
2015-03-02,50450.0,50960.0,49615.0,50240.0,5866
2015-03-03,50235.0,50450.0,49515.0,50240.0,7595
2015-03-04,50955.0,57770.0,50545.0,57770.0,25794
2015-03-05,61675.0,64670.0,56005.0,57150.0,84064
2015-03-06,57770.0,59620.0,56115.0,59525.0,37438
2015-03-09,61275.0,68395.0,61060.0,63960.0,101883
2015-03-10,64669.0,72090.0,60645.0,61690.0,107085
2015-03-11,61475.0,66620.0,58789.0,62000.0,54447
2015-03-12,61985.0,63230.0,58890.0,58905.0,25734
2015-03-13,58075.0,62090.0,58075.0,61795.0,23188
2015-03-16,61890.0,64155.0,60450.0,61795.0,16200
2015-03-17,61065.0,62094.0,60245.0,61280.0,10044
2015-03-18,61275.0,64160.0,58389.0,58800.0,17967
2015-03-19,58795.0,60449.0,58075.0,59420.0,7434
2015-03-20,59425.0,60245.0,58280.0,58495.0,5421
2015-03-23,58490.0,59215.0,57150.0,59215.0,8318
2015-03-24,59105.0,62089.0,57765.0,61070.0,8784
2015-03-25,61055.0,62610.0,60445.0,61380.0,8604
2015-03-26,61370.0,62510.0,59715.0,61070.0,9635
2015-03-27,61175.0,66535.0,60755.0,63340.0,46837
2015-03-30,63745.0,65710.0,62710.0,65610.0,23282
