date,open,high,low,close,volume
2015-12-18,5020.0,5190.0,3790.0,3800.0,8257472
2015-12-21,3750.0,4050.0,3750.0,3775.0,1488514
2015-12-22,3870.0,3975.0,3805.0,3820.0,1010543
2015-12-23,3855.0,3940.0,3820.0,3855.0,445017
2015-12-24,3895.0,4150.0,3815.0,3835.0,929406
2015-12-28,3865.0,3920.0,3780.0,3780.0,311604
2015-12-29,3780.0,3780.0,3500.0,3690.0,354665
2015-12-30,3710.0,3765.0,3660.0,3755.0,261666
2016-01-04,3710.0,3730.0,3510.0,3535.0,408424
2016-01-05,3460.0,4095.0,3425.0,3700.0,1583747
2016-01-06,3750.0,3760.0,3540.0,3590.0,576405
2016-01-07,3550.0,3670.0,3510.0,3580.0,437940
2016-01-08,3550.0,3990.0,3525.0,3800.0,1281958
2016-01-11,4465.0,4700.0,3770.0,3865.0,4041297
2016-01-12,3840.0,3930.0,3700.0,3700.0,869717
2016-01-13,3710.0,3785.0,3660.0,3705.0,534802
2016-01-14,3705.0,4075.0,3690.0,3870.0,1961764
2016-01-15,3940.0,3950.0,3740.0,3740.0,672374
2016-01-18,3700.0,3735.0,3575.0,3680.0,462010
2016-01-19,3680.0,4160.0,3640.0,4005.0,3811493
2016-01-20,4060.0,4295.0,3780.0,3855.0,1826963
2016-01-21,3885.0,4045.0,3835.0,3900.0,1110349
2016-01-22,3900.0,4025.0,3815.0,3830.0,696987
2016-01-25,3850.0,3920.0,3810.0,3830.0,436399
2016-01-26,3795.0,3840.0,3700.0,3700.0,325665
2016-01-27,3730.0,3745.0,3615.0,3640.0,327545
2016-01-28,3640.0,3715.0,3620.0,3650.0,151794
2016-01-29,3660.0,3870.0,3660.0,3740.0,319014
2016-02-01,3760.0,3820.0,3715.0,3755.0,228079
2016-02-02,3755.0,3835.0,3625.0,3650.0,226779
2016-02-03,3620.0,3620.0,3520.0,3585.0,153123
2016-02-04,3600.0,3740.0,3560.0,3740.0,153275
2016-02-05,3950.0,3980.0,3755.0,3795.0,420960
2016-02-11,3750.0,3835.0,3600.0,3730.0,173582
2016-02-12,3695.0,3745.0,3440.0,3485.0,320119
2016-02-15,3485.0,3610.0,3485.0,3520.0,196808
2016-02-16,3545.0,3715.0,3525.0,3700.0,210679
2016-02-17,3700.0,3710.0,3560.0,3570.0,205929
2016-02-18,3600.0,3675.0,3595.0,3665.0,60852
2016-02-19,3665.0,3770.0,3595.0,3765.0,65194
2016-02-22,3800.0,3900.0,3790.0,3805.0,173348
2016-02-23,3970.0,3990.0,3795.0,3870.0,574465
2016-02-24,3890.0,4100.0,3890.0,4070.0,758632
2016-02-25,4080.0,4145.0,4020.0,4125.0,434744
2016-02-26,4080.0,4245.0,4050.0,4235.0,479123
2016-02-29,4270.0,4395.0,4160.0,4210.0,478893
2016-03-02,4235.0,4250.0,4110.0,4110.0,311684
2016-03-03,4150.0,4280.0,4055.0,4255.0,371042
2016-03-04,4245.0,4450.0,4190.0,4375.0,519152
2016-03-07,4450.0,4450.0,4325.0,4375.0,169854
2016-03-08,4400.0,4400.0,4165.0,4215.0,378819
2016-03-09,4195.0,4300.0,4170.0,4245.0,118034
2016-03-10,4245.0,4345.0,4200.0,4280.0,154345
2016-03-11,4285.0,4310.0,4190.0,4220.0,143449
2016-03-14,4220.0,4290.0,4175.0,4210.0,189127
2016-03-15,4210.0,4300.0,4200.0,4210.0,113551
2016-03-16,4210.0,4280.0,4195.0,4205.0,117359
2016-03-17,4200.0,4335.0,4190.0,4250.0,158677
2016-03-18,4280.0,4280.0,4170.0,4245.0,252461
2016-03-21,4230.0,4240.0,4090.0,4215.0,202191
2016-03-22,4200.0,4240.0,4170.0,4170.0,135421
2016-03-23,4160.0,4195.0,4110.0,4135.0,203648
2016-03-24,4100.0,4135.0,4030.0,4130.0,126264
2016-03-25,4085.0,4175.0,4085.0,4125.0,67701
