date,open,high,low,close,volume
2015-01-02,3844.0,4031.0,3784.0,3892.0,239045
2015-01-05,3924.0,3978.0,3738.0,3838.0,53077
2015-01-06,3811.0,4025.0,3751.0,3938.0,59040
2015-01-07,3904.0,3978.0,3824.0,3832.0,32513
2015-01-08,3831.0,3904.0,3751.0,3771.0,43219
2015-01-09,3811.0,3844.0,3711.0,3825.0,36218
2015-01-12,3798.0,3824.0,3758.0,3811.0,15874
2015-01-13,3811.0,3858.0,3764.0,3805.0,23997
2015-01-14,3804.0,3971.0,3804.0,3972.0,22949
2015-01-15,4038.0,4111.0,3965.0,4025.0,34317
2015-01-16,4071.0,4071.0,3851.0,3998.0,16394
2015-01-19,3998.0,3998.0,3871.0,3938.0,12442
2015-01-20,3938.0,3938.0,3704.0,3905.0,50699
2015-01-21,3871.0,3904.0,3724.0,3745.0,70632
2015-01-22,3758.0,3884.0,3751.0,3858.0,20142
2015-01-23,3858.0,3951.0,3798.0,3952.0,19643
2015-01-26,3944.0,4338.0,3944.0,4185.0,154742
2015-01-27,4232.0,4252.0,4111.0,4205.0,20109
2015-01-28,4185.0,4305.0,4165.0,4279.0,46562
2015-01-29,4278.0,4452.0,4205.0,4272.0,48903
2015-01-30,4318.0,4318.0,4098.0,4192.0,35673
2015-02-02,4178.0,4191.0,4071.0,4185.0,19850
2015-02-03,4185.0,4205.0,4045.0,4052.0,41123
2015-02-04,4051.0,4418.0,4051.0,4292.0,110915
2015-02-05,4398.0,4832.0,4265.0,4599.0,141173
2015-02-06,4652.0,4725.0,4478.0,4579.0,74683
2015-02-09,4732.0,4739.0,4512.0,4559.0,120128
2015-02-10,4499.0,4632.0,4358.0,4526.0,28165
2015-02-11,4679.0,4719.0,4492.0,4539.0,62717
2015-02-12,4505.0,4592.0,4505.0,4539.0,20192
2015-02-13,4539.0,4659.0,4525.0,4599.0,60327
2015-02-16,4639.0,4879.0,4552.0,4833.0,148943
2015-02-17,4959.0,4959.0,4772.0,4806.0,40588
2015-02-23,4786.0,5006.0,4786.0,4926.0,60000
2015-02-24,4926.0,4999.0,4879.0,4940.0,30671
2015-02-25,4966.0,4986.0,4779.0,4839.0,51046
2015-02-26,4872.0,4872.0,4739.0,4806.0,39755
2015-02-27,4605.0,4605.0,4171.0,4172.0,447216
2015-03-02,4211.0,4312.0,4125.0,4259.0,62158
2015-03-03,4258.0,4412.0,4258.0,4366.0,61904
2015-03-04,4365.0,4398.0,4218.0,4292.0,37300
2015-03-05,4292.0,4659.0,4238.0,4499.0,65808
2015-03-06,4465.0,4645.0,4425.0,4539.0,38470
2015-03-09,4499.0,4559.0,4338.0,4439.0,28700
2015-03-10,4485.0,4485.0,4305.0,4379.0,18301
2015-03-11,4338.0,4385.0,4238.0,4292.0,12052
2015-03-12,4292.0,4365.0,4272.0,4312.0,29845
2015-03-13,4292.0,4372.0,4225.0,4366.0,40398
2015-03-16,4405.0,4418.0,4358.0,4406.0,52947
2015-03-17,4452.0,4452.0,4111.0,4232.0,195851
2015-03-18,4232.0,4278.0,4191.0,4239.0,37451
2015-03-19,4245.0,4418.0,4205.0,4392.0,95556
2015-03-20,4438.0,4445.0,4338.0,4439.0,22283
2015-03-23,4438.0,4485.0,4272.0,4386.0,50411
2015-03-24,4385.0,4398.0,4245.0,4272.0,49887
2015-03-25,4272.0,4352.0,4238.0,4292.0,47573
2015-03-26,4272.0,4325.0,4252.0,4325.0,19526
2015-03-27,4325.0,4325.0,4252.0,4319.0,13566
2015-03-30,4385.0,4385.0,4272.0,4366.0,16383
2015-03-31,4338.0,4378.0,4272.0,4312.0,19223
2015-04-01,4312.0,4345.0,4205.0,4279.0,29787
2015-04-02,4278.0,4378.0,4198.0,4379.0,42938
2015-04-03,4378.0,4699.0,4378.0,4626.0,189036
2015-04-06,4665.0,4705.0,4505.0,4599.0,34832
2015-04-07,4572.0,4665.0,4539.0,4666.0,58871
2015-04-08,4685.0,4772.0,4612.0,4699.0,30145
2015-04-09,4712.0,4739.0,4605.0,4693.0,36876
2015-04-10,4692.0,4732.0,4619.0,4693.0,24318
2015-04-13,4692.0,4725.0,4539.0,4673.0,44622
2015-04-14,4672.0,4766.0,4605.0,4619.0,42186
2015-04-15,4619.0,4659.0,4539.0,4633.0,28322
2015-04-16,4685.0,4752.0,4545.0,4706.0,98805
2015-04-17,4739.0,4786.0,4652.0,4706.0,34075
2015-04-20,4705.0,4725.0,4579.0,4666.0,59681
2015-04-21,4872.0,4872.0,4665.0,4713.0,50229
2015-04-22,4679.0,4732.0,4505.0,4626.0,82683
2015-04-23,4619.0,4739.0,4565.0,4719.0,67878
2015-04-24,4719.0,4772.0,4665.0,4739.0,51193
2015-04-27,4745.0,5093.0,4745.0,5060.0,799511
2015-04-28,5053.0,5300.0,4886.0,5287.0,480173
2015-04-29,5320.0,5613.0,5259.0,5494.0,153828
2015-04-30,5560.0,5560.0,5313.0,5494.0,32914
2015-05-04,5493.0,5493.0,5360.0,5407.0,13679
2015-05-06,5340.0,5393.0,5139.0,5273.0,54728
2015-05-07,5273.0,5393.0,5139.0,5340.0,30177
2015-05-08,5253.0,5433.0,5253.0,5407.0,38637
2015-05-11,5433.0,5460.0,5333.0,5447.0,36434
2015-05-12,5807.0,5867.0,5226.0,5280.0,381641
2015-05-13,5046.0,5520.0,5046.0,5494.0,85632
2015-05-14,5446.0,5560.0,5306.0,5494.0,53907
2015-05-15,5493.0,5493.0,5266.0,5440.0,53556
2015-05-18,5406.0,5440.0,5239.0,5434.0,73581
2015-05-19,5353.0,5406.0,5273.0,5307.0,48662
2015-05-20,5340.0,5340.0,5006.0,5193.0,213804
2015-05-21,5600.0,5620.0,5266.0,5280.0,624538
2015-05-22,5390.0,5450.0,5190.0,5320.0,176760
2015-05-26,5350.0,5350.0,4900.0,4950.0,277070
2015-05-27,4995.0,4995.0,4810.0,4970.0,67858
