date,open,high,low,close,volume
2015-01-02,2493.0,2633.0,2470.0,2615.0,30021
2015-01-05,2614.0,2641.0,2542.0,2559.0,10154
2015-01-06,2500.0,2557.0,2459.0,2517.0,34530
2015-01-07,2519.0,2519.0,2406.0,2502.0,46150
2015-01-08,2569.0,2576.0,2538.0,2555.0,28829
2015-01-09,2538.0,2542.0,2493.0,2494.0,16348
2015-01-12,2466.0,2531.0,2466.0,2517.0,14524
2015-01-13,2535.0,2535.0,2474.0,2502.0,14833
2015-01-14,2512.0,2546.0,2466.0,2502.0,13801
2015-01-15,2504.0,2516.0,2470.0,2506.0,18986
2015-01-16,2493.0,2550.0,2444.0,2464.0,12331
2015-01-19,2463.0,2474.0,2394.0,2452.0,20813
2015-01-20,2451.0,2482.0,2338.0,2464.0,35062
2015-01-21,2444.0,2463.0,2322.0,2324.0,34156
2015-01-22,2349.0,2428.0,2254.0,2350.0,74221
2015-01-23,2368.0,2463.0,2357.0,2445.0,39593
2015-01-26,2463.0,2463.0,2387.0,2407.0,25351
2015-01-27,2428.0,2428.0,2338.0,2407.0,35596
2015-01-28,2444.0,2444.0,2387.0,2430.0,19192
2015-01-29,2417.0,2436.0,2375.0,2377.0,17437
2015-01-30,2421.0,2421.0,2285.0,2290.0,36235
2015-02-02,2277.0,2315.0,2258.0,2259.0,25174
2015-02-03,2273.0,2444.0,2273.0,2346.0,30384
2015-02-04,2383.0,2383.0,2201.0,2350.0,36141
2015-02-05,2349.0,2383.0,2319.0,2320.0,20804
2015-02-06,2387.0,2546.0,2319.0,2490.0,60993
2015-02-09,2535.0,2538.0,2375.0,2380.0,21263
2015-02-10,2379.0,2417.0,2341.0,2384.0,19495
2015-02-11,2425.0,2425.0,2341.0,2388.0,13045
2015-02-12,2338.0,2425.0,2338.0,2426.0,20223
2015-02-13,2504.0,2504.0,2391.0,2430.0,4986
2015-02-16,2451.0,2451.0,2391.0,2399.0,7732
2015-02-17,2372.0,2421.0,2311.0,2324.0,28323
2015-02-23,2326.0,2353.0,2303.0,2331.0,18248
2015-02-24,2372.0,2372.0,2288.0,2293.0,25461
2015-02-25,2296.0,2341.0,2292.0,2316.0,22637
2015-02-26,2322.0,2470.0,2322.0,2441.0,27873
2015-02-27,2463.0,2516.0,2379.0,2483.0,14476
2015-03-02,2482.0,2538.0,2432.0,2502.0,23707
2015-03-03,2531.0,2546.0,2470.0,2547.0,24471
2015-03-04,2603.0,2603.0,2500.0,2540.0,9167
2015-03-05,2519.0,2576.0,2508.0,2517.0,27743
2015-03-06,2546.0,2546.0,2463.0,2464.0,22057
2015-03-09,2447.0,2512.0,2447.0,2475.0,39868
2015-03-10,2463.0,2497.0,2349.0,2430.0,11195
2015-03-11,2425.0,2474.0,2357.0,2471.0,11237
2015-03-12,2478.0,2478.0,2391.0,2399.0,17883
2015-03-13,2410.0,2455.0,2406.0,2456.0,7986
2015-03-16,2478.0,2557.0,2402.0,2430.0,42507
2015-03-17,2425.0,2519.0,2417.0,2502.0,60943
2015-03-18,2519.0,2531.0,2474.0,2502.0,1720
2015-03-19,2485.0,2565.0,2463.0,2566.0,31178
2015-03-20,2584.0,2584.0,2485.0,2502.0,42465
2015-03-23,2508.0,2641.0,2500.0,2589.0,29821
2015-03-24,2595.0,2755.0,2557.0,2706.0,59725
2015-03-25,2706.0,2747.0,2614.0,2653.0,27428
2015-03-26,2625.0,2652.0,2538.0,2600.0,13867
2015-03-27,2595.0,2648.0,2535.0,2596.0,7842
2015-03-30,2595.0,2648.0,2550.0,2631.0,14234
2015-03-31,2588.0,2625.0,2516.0,2627.0,25427
2015-04-01,2610.0,2671.0,2591.0,2631.0,29438
2015-04-02,2682.0,2710.0,2629.0,2676.0,20917
2015-04-03,2667.0,2717.0,2633.0,2710.0,12671
2015-04-06,2721.0,2729.0,2671.0,2672.0,4717
2015-04-07,2686.0,3069.0,2678.0,3070.0,169903
2015-04-08,3240.0,3335.0,2982.0,3002.0,264460
2015-04-09,2975.0,3058.0,2956.0,2975.0,46746
2015-04-10,2967.0,2986.0,2865.0,2899.0,49904
2015-04-13,2910.0,2941.0,2846.0,2899.0,25059
2015-04-14,2918.0,3039.0,2861.0,2990.0,52103
2015-04-15,3032.0,3285.0,2937.0,3146.0,76806
2015-04-16,3274.0,3297.0,2997.0,3168.0,125168
2015-04-17,3221.0,3516.0,3176.0,3484.0,125023
2015-04-20,3410.0,3785.0,3369.0,3381.0,158867
2015-04-21,3448.0,3600.0,3236.0,3480.0,245580
2015-04-22,3498.0,3551.0,3183.0,3465.0,130975
2015-04-23,3426.0,3490.0,3297.0,3446.0,46594
2015-04-24,3448.0,3846.0,3361.0,3790.0,214882
2015-04-27,3736.0,3782.0,3660.0,3677.0,39168
2015-04-28,3672.0,3710.0,3505.0,3563.0,32217
2015-04-29,3539.0,3619.0,3467.0,3518.0,33395
2015-04-30,3486.0,3604.0,3335.0,3412.0,47426
2015-05-04,3388.0,3399.0,3263.0,3354.0,25684
2015-05-06,3319.0,3357.0,3077.0,3184.0,38655
2015-05-07,3134.0,3213.0,3043.0,3176.0,17754
2015-05-08,3270.0,3524.0,3270.0,3431.0,68640
2015-05-11,3414.0,3467.0,3301.0,3369.0,19745
2015-05-12,3319.0,3384.0,3263.0,3297.0,18471
2015-05-13,3361.0,3376.0,3251.0,3293.0,23794
2015-05-14,3399.0,3437.0,3217.0,3256.0,38762
2015-05-15,3255.0,3410.0,3225.0,3412.0,34233
2015-05-18,3077.0,3119.0,2899.0,2899.0,344256
2015-05-19,2907.0,2975.0,2713.0,2884.0,166769
2015-05-20,2925.0,2967.0,2774.0,2881.0,93899
2015-05-21,2933.0,3020.0,2888.0,2930.0,97147
2015-05-22,3013.0,3100.0,2918.0,2930.0,75509
2015-05-26,3062.0,3361.0,2971.0,3358.0,219595
2015-05-27,3407.0,3407.0,3168.0,3404.0,128049
2015-05-28,3418.0,3543.0,3316.0,3335.0,45718
2015-05-29,3335.0,3426.0,3240.0,3275.0,41003
2015-06-01,3259.0,3380.0,3032.0,3176.0,37993
2015-06-02,3176.0,3316.0,3085.0,3229.0,36402
2015-06-03,3350.0,3350.0,3145.0,3165.0,24159
2015-06-04,3145.0,3194.0,3066.0,3165.0,19443
2015-06-05,3164.0,3213.0,3047.0,3172.0,10635
2015-06-08,3104.0,3240.0,3077.0,3093.0,15314
2015-06-09,3077.0,3259.0,3062.0,3218.0,55012
2015-06-10,3221.0,3278.0,3164.0,3191.0,65733
2015-06-11,3206.0,3312.0,3122.0,3138.0,40743
2015-06-12,3047.0,3126.0,2884.0,2915.0,61800
2015-06-15,2914.0,3088.0,2914.0,3013.0,16586
2015-06-16,3107.0,3168.0,2914.0,2915.0,63922
2015-06-17,3001.0,3020.0,2785.0,2797.0,52239
2015-06-18,2678.0,2785.0,2599.0,2691.0,96888
2015-06-19,2656.0,2675.0,2553.0,2577.0,65771
2015-06-22,2603.0,2629.0,2553.0,2555.0,34012
2015-06-23,2603.0,2667.0,2553.0,2623.0,37028
2015-06-24,2652.0,2671.0,2588.0,2631.0,26041
2015-06-25,2652.0,2667.0,2610.0,2612.0,23064
2015-06-26,2648.0,2660.0,2595.0,2653.0,34341
2015-06-29,2656.0,2656.0,2538.0,2608.0,20250
2015-06-30,2607.0,2607.0,2493.0,2566.0,34789
2015-07-01,2599.0,2599.0,2527.0,2570.0,36488
2015-07-02,2565.0,2576.0,2485.0,2528.0,20850
2015-07-03,2500.0,2550.0,2500.0,2551.0,17002
2015-07-06,2576.0,2603.0,2463.0,2464.0,33072
2015-07-07,2485.0,2527.0,2330.0,2377.0,48296
2015-07-08,2353.0,2500.0,2345.0,2445.0,15820
2015-07-09,2364.0,2557.0,2330.0,2524.0,27522
2015-07-10,2538.0,2538.0,2459.0,2464.0,6565
2015-07-13,2466.0,2557.0,2375.0,2494.0,16817
2015-07-14,2493.0,2576.0,2485.0,2577.0,18846
2015-07-15,2569.0,2569.0,2500.0,2532.0,16433
2015-07-16,2493.0,2557.0,2451.0,2483.0,22800
2015-07-17,2482.0,2482.0,2349.0,2422.0,43052
2015-07-20,2428.0,2463.0,2410.0,2426.0,5506
2015-07-21,2394.0,2444.0,2394.0,2415.0,15941
2015-07-22,2379.0,2444.0,2372.0,2407.0,17034
2015-07-23,2425.0,2432.0,2383.0,2426.0,2703
2015-07-24,2466.0,2466.0,2368.0,2426.0,7939
2015-07-27,2398.0,2398.0,2216.0,2225.0,24139
2015-07-28,2254.0,2417.0,2235.0,2297.0,14139
2015-07-29,2349.0,2387.0,2322.0,2346.0,2097
2015-07-30,2285.0,2360.0,2285.0,2343.0,2779
2015-07-31,2277.0,2368.0,2269.0,2274.0,10207
2015-08-03,2285.0,2341.0,2269.0,2278.0,2141
2015-08-04,2277.0,2960.0,2273.0,2846.0,281406
2015-08-05,2880.0,2880.0,2588.0,2672.0,154779
2015-08-06,2690.0,2690.0,2531.0,2593.0,48355
2015-08-07,2546.0,2591.0,2504.0,2559.0,30994
2015-08-10,2557.0,2648.0,2482.0,2559.0,64798
2015-08-11,2557.0,2648.0,2550.0,2596.0,29243
2015-08-12,2576.0,2648.0,2466.0,2502.0,12357
2015-08-13,2493.0,2565.0,2463.0,2468.0,13222
2015-08-17,2466.0,2482.0,2406.0,2426.0,7041
2015-08-18,2425.0,2497.0,2338.0,2377.0,11703
2015-08-19,2341.0,2368.0,2194.0,2312.0,17217
2015-08-20,2311.0,2311.0,2190.0,2206.0,5594
2015-08-21,2084.0,2194.0,1944.0,2123.0,30704
2015-08-24,1959.0,2099.0,1951.0,1978.0,21358
2015-08-25,2231.0,2231.0,2008.0,2047.0,8857
2015-08-26,2046.0,2152.0,2012.0,2047.0,6757
2015-08-27,2080.0,2209.0,2080.0,2130.0,5522
2015-08-28,2103.0,2417.0,2103.0,2218.0,22880
2015-08-31,2205.0,2379.0,2205.0,2225.0,2161
2015-09-01,2209.0,2250.0,2144.0,2165.0,2341
2015-09-02,2133.0,2160.0,2095.0,2127.0,278944
2015-09-03,2156.0,2417.0,2156.0,2233.0,9505
2015-09-04,2273.0,2273.0,2182.0,2199.0,2891
2015-09-07,2197.0,2209.0,2050.0,2157.0,10906
2015-09-08,2273.0,2273.0,2080.0,2081.0,7687
2015-09-09,2231.0,2231.0,2084.0,2108.0,1832
2015-09-10,2122.0,2141.0,2053.0,2055.0,10213
2015-09-11,2053.0,2231.0,2027.0,2062.0,15227
2015-09-14,2137.0,2137.0,2050.0,2051.0,3106
2015-09-15,2050.0,2103.0,2031.0,2058.0,8713
2015-09-16,2076.0,2258.0,2061.0,2184.0,17213
2015-09-17,2311.0,2311.0,2141.0,2153.0,2489
2015-09-18,2163.0,2220.0,2163.0,2195.0,2680
2015-09-21,2194.0,2194.0,2141.0,2176.0,956
2015-09-22,2254.0,2254.0,2167.0,2206.0,2413
2015-09-23,2254.0,2254.0,2163.0,2180.0,2595
2015-09-24,2178.0,2178.0,2114.0,2115.0,3077
2015-09-25,2114.0,2292.0,2065.0,2191.0,12790
2015-09-30,2197.0,2197.0,2156.0,2187.0,89
2015-10-01,2186.0,2194.0,2141.0,2180.0,3246
2015-10-02,2231.0,2235.0,2141.0,2233.0,25757
2015-10-05,2216.0,2266.0,2201.0,2244.0,5259
2015-10-06,2273.0,2277.0,2216.0,2218.0,5041
2015-10-07,2262.0,2262.0,2216.0,2248.0,3748
2015-10-08,2266.0,2311.0,2266.0,2286.0,4569
2015-10-12,2368.0,2368.0,2300.0,2346.0,5330
2015-10-13,2383.0,2383.0,2273.0,2316.0,7043
2015-10-14,2315.0,2341.0,2303.0,2343.0,4266
2015-10-15,2357.0,2975.0,2341.0,2396.0,223171
2015-10-16,2402.0,2519.0,2402.0,2452.0,38324
2015-10-19,2489.0,2610.0,2444.0,2543.0,37822
2015-10-20,2500.0,2542.0,2451.0,2502.0,11862
2015-10-21,2516.0,2546.0,2463.0,2517.0,11218
2015-10-22,2535.0,2535.0,2466.0,2513.0,7778
2015-10-23,2512.0,2527.0,2406.0,2479.0,10618
2015-10-26,2497.0,2504.0,2444.0,2506.0,5289
2015-10-27,2466.0,2519.0,2459.0,2517.0,14147
2015-10-28,2535.0,2535.0,2466.0,2479.0,4557
2015-10-29,2478.0,2812.0,2455.0,2593.0,69701
2015-10-30,2755.0,2755.0,2508.0,2524.0,39651
2015-11-02,2523.0,2576.0,2493.0,2562.0,4376
2015-11-03,2557.0,2595.0,2444.0,2498.0,17534
2015-11-04,2497.0,2523.0,2466.0,2494.0,2807
2015-11-05,2493.0,2614.0,2444.0,2577.0,37336
2015-11-06,2572.0,2622.0,2500.0,2593.0,66261
2015-11-09,2588.0,2652.0,2470.0,2634.0,72314
2015-11-10,2576.0,2641.0,2516.0,2521.0,25276
2015-11-11,2519.0,2561.0,2516.0,2559.0,10936
2015-11-12,2584.0,2599.0,2463.0,2593.0,10309
2015-11-13,2576.0,2789.0,2542.0,2668.0,88806
2015-11-16,2652.0,2740.0,2569.0,2710.0,25838
2015-11-17,2740.0,2740.0,2614.0,2710.0,47289
2015-11-18,2710.0,2710.0,2652.0,2702.0,12002
2015-11-19,2701.0,2766.0,2633.0,2638.0,48363
2015-11-20,2678.0,3016.0,2652.0,2945.0,707603
2015-11-23,2956.0,3183.0,2956.0,3184.0,273789
2015-11-24,3183.0,3263.0,3138.0,3259.0,114939
2015-11-25,3251.0,3391.0,3119.0,3373.0,248699
2015-11-26,3380.0,3516.0,3354.0,3450.0,159549
2015-11-27,3380.0,3482.0,3266.0,3427.0,58849
2015-11-30,3380.0,3380.0,3259.0,3369.0,58445
2015-12-01,3369.0,3460.0,3304.0,3450.0,99424
2015-12-02,3448.0,3516.0,3335.0,3442.0,90382
2015-12-03,3357.0,3475.0,3354.0,3468.0,57382
2015-12-04,3410.0,3566.0,3410.0,3567.0,67353
2015-12-07,3664.0,4188.0,3641.0,3942.0,556310
2015-12-08,3941.0,3979.0,3827.0,3904.0,181592
2015-12-09,3941.0,4074.0,3782.0,4018.0,203470
2015-12-10,3941.0,4377.0,3941.0,4283.0,261224
2015-12-11,4301.0,4434.0,4074.0,4150.0,131051
2015-12-14,4074.0,4150.0,3903.0,3942.0,160679
2015-12-15,3979.0,4054.0,3827.0,3904.0,65114
2015-12-16,3903.0,4112.0,3846.0,4056.0,135075
2015-12-17,4074.0,4112.0,3922.0,3999.0,66451
2015-12-18,3922.0,4016.0,3903.0,3942.0,56341
2015-12-21,3922.0,3979.0,3827.0,3923.0,116821
2015-12-22,3960.0,3960.0,3789.0,3923.0,111832
2015-12-23,3922.0,4188.0,3808.0,4131.0,286753
2015-12-24,4131.0,4245.0,3721.0,3866.0,185588
2015-12-28,3808.0,3903.0,3645.0,3741.0,212836
2015-12-29,3740.0,3998.0,3725.0,3904.0,114855
2015-12-30,3960.0,3960.0,3763.0,3790.0,79742
2016-01-04,3789.0,3846.0,3600.0,3601.0,88032
2016-01-05,3585.0,3725.0,3433.0,3639.0,90048
2016-01-06,3638.0,3706.0,3562.0,3609.0,85127
2016-01-07,3604.0,3770.0,3494.0,3692.0,193450
2016-01-08,3634.0,3634.0,3532.0,3635.0,66580
2016-01-11,3554.0,3626.0,3433.0,3548.0,51674
2016-01-12,3547.0,3547.0,3247.0,3248.0,168169
2016-01-13,3319.0,3486.0,3266.0,3465.0,113811
2016-01-14,3460.0,3732.0,3342.0,3677.0,319377
2016-01-15,3808.0,4150.0,3664.0,3696.0,308221
2016-01-18,3694.0,3827.0,3676.0,3737.0,73218
2016-01-19,3717.0,3884.0,3676.0,3753.0,88029
2016-01-20,3846.0,3884.0,3467.0,3612.0,116806
2016-01-21,3638.0,3657.0,3452.0,3563.0,48489
2016-01-22,3562.0,3577.0,3414.0,3552.0,43596
2016-01-25,3539.0,3581.0,3429.0,3533.0,54924
2016-01-26,3516.0,3554.0,3342.0,3423.0,80028
2016-01-27,3475.0,3475.0,3259.0,3335.0,46632
2016-01-28,3335.0,3611.0,3289.0,3518.0,45938
2016-01-29,3505.0,3551.0,3354.0,3412.0,22950
2016-02-01,3467.0,3505.0,3285.0,3412.0,67835
2016-02-02,3410.0,3410.0,3278.0,3335.0,56014
2016-02-03,3278.0,3410.0,3270.0,3404.0,26849
2016-02-04,3479.0,3479.0,3335.0,3358.0,23739
2016-02-05,3354.0,3361.0,3266.0,3305.0,35169
2016-02-11,3236.0,3236.0,3069.0,3119.0,24694
2016-02-12,3107.0,3107.0,2660.0,2790.0,120087
2016-02-15,2872.0,3210.0,2842.0,3146.0,66379
2016-02-16,3145.0,3217.0,3032.0,3100.0,33452
2016-02-17,3141.0,3369.0,3047.0,3229.0,43774
2016-02-18,3229.0,3509.0,3229.0,3480.0,86683
2016-02-19,3437.0,3509.0,3338.0,3419.0,25424
2016-02-22,3380.0,3444.0,3297.0,3335.0,38570
2016-02-23,3308.0,3463.0,3141.0,3218.0,32724
2016-02-24,3240.0,3240.0,3172.0,3210.0,34349
2016-02-25,3213.0,3270.0,3069.0,3078.0,40287
2016-02-26,3119.0,3285.0,3107.0,3256.0,33528
2016-02-29,3225.0,3558.0,3225.0,3540.0,95964
2016-03-02,3551.0,3672.0,3498.0,3544.0,75868
2016-03-03,3615.0,3827.0,3596.0,3703.0,137063
2016-03-04,3713.0,3713.0,3585.0,3688.0,34237
2016-03-07,3782.0,3782.0,3494.0,3582.0,34831
2016-03-08,3623.0,3623.0,3444.0,3552.0,16472
2016-03-09,3657.0,3657.0,3463.0,3503.0,20290
2016-03-10,3581.0,3581.0,3448.0,3559.0,19078
2016-03-11,3558.0,3657.0,3467.0,3658.0,50823
2016-03-14,3653.0,3774.0,3566.0,3643.0,37140
2016-03-15,3585.0,3607.0,3482.0,3487.0,26309
2016-03-16,3372.0,3528.0,3372.0,3529.0,16027
2016-03-17,3532.0,3645.0,3490.0,3586.0,28606
2016-03-18,3585.0,3596.0,3524.0,3593.0,19349
2016-03-21,3592.0,3676.0,3573.0,3612.0,22506
2016-03-22,3607.0,3789.0,3448.0,3612.0,116134
2016-03-23,3630.0,3630.0,3551.0,3567.0,27121
2016-03-24,3569.0,3607.0,3524.0,3540.0,40239
2016-03-25,3588.0,3588.0,3429.0,3559.0,20907
2016-03-28,3581.0,3592.0,3448.0,3491.0,15008
2016-03-29,3505.0,3513.0,3467.0,3510.0,15772
2016-03-30,3554.0,3554.0,3448.0,3468.0,16809
2016-03-31,3448.0,3562.0,3410.0,3431.0,42223
2016-04-01,3399.0,3403.0,3255.0,3267.0,87066
2016-04-04,3312.0,3312.0,3115.0,3206.0,43008
2016-04-05,3206.0,3251.0,3191.0,3233.0,34981
2016-04-06,3232.0,3259.0,3107.0,3115.0,86222
2016-04-07,3122.0,3259.0,3111.0,3259.0,67224
2016-04-08,3259.0,3308.0,3191.0,3301.0,46207
2016-04-11,3301.0,3335.0,3259.0,3331.0,27090
2016-04-12,3361.0,3361.0,3293.0,3316.0,11218
2016-04-14,3255.0,3323.0,3255.0,3324.0,11830
2016-04-15,3429.0,4016.0,3410.0,3468.0,816281
2016-04-18,3520.0,3520.0,3372.0,3487.0,58476
2016-04-19,3539.0,3543.0,3426.0,3476.0,43308
2016-04-20,3486.0,3505.0,3437.0,3461.0,29096
2016-04-21,3520.0,3520.0,3433.0,3457.0,44709
2016-04-22,3426.0,3494.0,3426.0,3468.0,43900
2016-04-25,3467.0,3494.0,3426.0,3453.0,22914
2016-04-26,3422.0,3524.0,3335.0,3525.0,62716
2016-04-27,3573.0,3660.0,3448.0,3472.0,79810
2016-04-28,3471.0,3501.0,3391.0,3461.0,38700
2016-04-29,3422.0,3475.0,3369.0,3419.0,41974
2016-05-02,3418.0,3422.0,3312.0,3335.0,28092
2016-05-03,3335.0,3448.0,3304.0,3328.0,18176
2016-05-04,3399.0,3694.0,3384.0,3389.0,194177
2016-05-09,3448.0,3486.0,3403.0,3419.0,37341
2016-05-10,3463.0,3463.0,3354.0,3438.0,28429
2016-05-11,3463.0,3941.0,3463.0,3828.0,790738
2016-05-12,3827.0,4301.0,3785.0,4150.0,651726
2016-05-13,4112.0,4339.0,4074.0,4264.0,317522
2016-05-16,4188.0,4434.0,4150.0,4207.0,270788
2016-05-17,4169.0,4226.0,3979.0,4169.0,107475
2016-05-18,4169.0,4396.0,4035.0,4150.0,302315
2016-05-19,4150.0,4207.0,3778.0,3779.0,277407
2016-05-20,3865.0,4054.0,3827.0,3961.0,127989
2016-05-23,3941.0,4226.0,3941.0,4131.0,132973
2016-05-24,4131.0,4131.0,3884.0,3980.0,92740
2016-05-25,4035.0,4434.0,3998.0,4359.0,407045
2016-05-26,4396.0,4510.0,4226.0,4340.0,289209
2016-05-27,4320.0,4415.0,4263.0,4340.0,173604
2016-05-30,4396.0,4434.0,4245.0,4321.0,107175
