date,open,high,low,close,volume
2015-01-02,44100.0,44800.0,43150.0,43650.0,164383
2015-01-05,43600.0,44200.0,43000.0,44100.0,142132
2015-01-06,43700.0,44950.0,43650.0,44300.0,159496
2015-01-07,44700.0,45000.0,43750.0,44000.0,126639
2015-01-08,44150.0,44900.0,43900.0,44900.0,117113
2015-01-09,44900.0,45350.0,44250.0,44300.0,162887
2015-01-12,44450.0,48500.0,44400.0,47900.0,643526
2015-01-13,48200.0,49900.0,47500.0,49750.0,502926
2015-01-14,50300.0,50500.0,49000.0,49350.0,263341
2015-01-15,49400.0,50500.0,48700.0,50100.0,197690
2015-01-16,50500.0,52800.0,50100.0,52000.0,408089
2015-01-19,53300.0,53300.0,51100.0,52200.0,224657
2015-01-20,51800.0,52500.0,51000.0,52400.0,169461
2015-01-21,52400.0,53200.0,51900.0,51900.0,173079
2015-01-22,52500.0,52500.0,50000.0,50700.0,184592
2015-01-23,51400.0,52100.0,50600.0,51900.0,184720
2015-01-26,52300.0,54400.0,51800.0,53800.0,292041
2015-01-27,54000.0,54300.0,53000.0,53800.0,183209
2015-01-28,53900.0,57000.0,53300.0,56100.0,333570
2015-01-29,56100.0,57900.0,55100.0,57700.0,281004
2015-01-30,57500.0,59500.0,57400.0,57700.0,278317
2015-02-02,58000.0,58500.0,56100.0,57300.0,184830
2015-02-03,58000.0,58800.0,55600.0,58300.0,248615
2015-02-04,58600.0,59400.0,58300.0,58600.0,124489
2015-02-05,59000.0,60200.0,58100.0,60000.0,222994
2015-02-06,60000.0,64300.0,59900.0,63000.0,406264
2015-02-09,63400.0,63500.0,60900.0,61700.0,258941
2015-02-10,61700.0,62200.0,58500.0,59600.0,336094
2015-02-11,60000.0,62900.0,59200.0,62000.0,244132
2015-02-12,63500.0,65000.0,60700.0,61700.0,346189
2015-02-13,62400.0,62700.0,61000.0,61900.0,143408
2015-02-16,61900.0,62100.0,59400.0,59500.0,183203
2015-02-17,59500.0,61800.0,59500.0,61100.0,124621
2015-02-23,61100.0,62400.0,60100.0,61600.0,103867
2015-02-24,61600.0,62300.0,61000.0,61900.0,76583
2015-02-25,62000.0,62200.0,61100.0,61300.0,93532
2015-02-26,60900.0,61200.0,59400.0,59600.0,160117
2015-02-27,59200.0,61400.0,58700.0,61400.0,115743
2015-03-02,61100.0,61200.0,59200.0,60700.0,180114
2015-03-03,60000.0,60400.0,59200.0,59200.0,120666
2015-03-04,58800.0,59000.0,57400.0,58000.0,161345
2015-03-05,57200.0,58900.0,57200.0,57900.0,83534
2015-03-06,58200.0,58900.0,57600.0,57800.0,74603
2015-03-09,57300.0,58600.0,56400.0,56600.0,79304
2015-03-10,57200.0,57400.0,55500.0,56000.0,130959
2015-03-11,56000.0,58000.0,56000.0,57600.0,128242
2015-03-12,57000.0,57900.0,56300.0,56300.0,110837
2015-03-13,56300.0,58500.0,56300.0,58400.0,87832
2015-03-16,58700.0,60500.0,58400.0,60000.0,144742
2015-03-17,60600.0,61000.0,59800.0,60400.0,103233
2015-03-18,60900.0,61900.0,60100.0,61200.0,145431
2015-03-19,61200.0,61700.0,59900.0,61300.0,104500
2015-03-20,61800.0,62000.0,61100.0,61600.0,77575
2015-03-23,62200.0,62300.0,61100.0,61700.0,78092
2015-03-24,61700.0,62000.0,60500.0,61400.0,54372
2015-03-25,61400.0,64800.0,61400.0,64100.0,274023
2015-03-26,63500.0,64800.0,63000.0,63900.0,133803
2015-03-27,64700.0,66200.0,63200.0,64000.0,185870
2015-03-30,64500.0,67000.0,63600.0,66300.0,199463
2015-03-31,67300.0,68300.0,66200.0,68200.0,231401
2015-04-01,68200.0,75900.0,67800.0,71300.0,786984
2015-04-02,71900.0,74900.0,64100.0,64500.0,850138
2015-04-03,64900.0,65800.0,63000.0,65000.0,244276
2015-04-06,64200.0,66800.0,64200.0,66700.0,167647
2015-04-07,66700.0,68500.0,66000.0,66700.0,225613
2015-04-08,67200.0,67900.0,65000.0,66100.0,174408
2015-04-09,66100.0,67100.0,65300.0,65700.0,116115
2015-04-10,66300.0,74100.0,66100.0,70600.0,467929
2015-04-13,72000.0,74500.0,69500.0,72800.0,338030
2015-04-14,72600.0,72800.0,68100.0,71400.0,323012
2015-04-15,70500.0,73800.0,70500.0,71500.0,252232
2015-04-16,72200.0,73200.0,71000.0,71200.0,109337
2015-04-17,71300.0,74800.0,71300.0,74400.0,265783
2015-04-20,73800.0,76500.0,73100.0,74500.0,220413
2015-04-21,75100.0,75900.0,74500.0,75400.0,115830
2015-04-22,76300.0,79400.0,72900.0,76700.0,349369
2015-04-23,77100.0,78400.0,72900.0,74800.0,199240
2015-04-24,74800.0,75500.0,71600.0,72200.0,206150
2015-04-27,72400.0,76500.0,72400.0,76300.0,222065
2015-04-28,77400.0,78200.0,76000.0,76600.0,136275
2015-04-29,77000.0,77000.0,72400.0,73700.0,189691
2015-04-30,72800.0,75800.0,71700.0,72700.0,125066
2015-05-04,72800.0,72900.0,69000.0,72400.0,144357
2015-05-06,71500.0,73700.0,71200.0,72100.0,108073
2015-05-07,71800.0,72900.0,69800.0,71800.0,126640
2015-05-08,72100.0,72800.0,70900.0,72100.0,86178
2015-05-11,73400.0,77000.0,73000.0,76900.0,188088
2015-05-12,77000.0,77500.0,74500.0,75000.0,90324
2015-05-13,76000.0,77500.0,74400.0,76700.0,125072
2015-05-14,79800.0,84400.0,79700.0,83300.0,591924
2015-05-15,83900.0,95700.0,83700.0,94100.0,749552
2015-05-18,94700.0,97700.0,91000.0,94400.0,505349
2015-05-19,96100.0,102500.0,94500.0,96200.0,450300
2015-05-20,98500.0,102000.0,97200.0,98700.0,307163
2015-05-21,99000.0,100500.0,96400.0,96900.0,309730
2015-05-22,97600.0,97600.0,92000.0,92500.0,329959
2015-05-26,92600.0,101500.0,92600.0,97500.0,477792
2015-05-27,95900.0,96600.0,92500.0,94000.0,181755
2015-05-28,94800.0,97100.0,94000.0,95200.0,157338
2015-05-29,96000.0,99500.0,94900.0,94900.0,177432
2015-06-01,93700.0,95200.0,89800.0,94900.0,211060
2015-06-02,93500.0,93600.0,88100.0,88100.0,253967
2015-06-03,84700.0,92000.0,84100.0,89100.0,299765
2015-06-04,89600.0,95000.0,89400.0,93800.0,247782
2015-06-05,93200.0,94800.0,90200.0,93000.0,198588
2015-06-08,93800.0,98300.0,91100.0,97600.0,189613
2015-06-09,97000.0,99200.0,96200.0,98000.0,157441
2015-06-10,99200.0,99200.0,93300.0,94000.0,132219
2015-06-11,95000.0,95900.0,93000.0,95900.0,148086
2015-06-12,100000.0,110000.0,99100.0,110000.0,894149
2015-06-15,111000.0,131500.0,106000.0,110000.0,1770994
2015-06-16,109500.0,119000.0,108000.0,108500.0,700007
2015-06-17,109000.0,112500.0,102500.0,105000.0,492631
2015-06-18,106500.0,109000.0,103500.0,105500.0,367001
2015-06-19,106000.0,106500.0,100500.0,104500.0,347514
2015-06-22,106000.0,107500.0,100000.0,101500.0,272787
2015-06-23,103000.0,104000.0,100000.0,102000.0,199805
2015-06-24,102000.0,107500.0,100500.0,106500.0,306281
2015-06-25,106500.0,107000.0,102500.0,105000.0,207568
2015-06-26,106000.0,111500.0,103500.0,106000.0,377579
2015-06-29,102000.0,108500.0,101500.0,102500.0,245690
2015-06-30,101500.0,104000.0,97600.0,101500.0,237578
2015-07-01,103000.0,106000.0,102000.0,105500.0,206985
2015-07-02,107000.0,118500.0,105000.0,113500.0,740312
2015-07-03,115000.0,116000.0,108500.0,111500.0,301632
2015-07-06,108500.0,113500.0,108500.0,109000.0,238044
2015-07-07,112000.0,112500.0,96000.0,97000.0,459590
2015-07-08,96000.0,97500.0,88800.0,90200.0,678217
2015-07-09,87100.0,94400.0,83000.0,94000.0,537984
2015-07-10,96000.0,96500.0,91100.0,92600.0,188887
2015-07-13,91100.0,100500.0,91100.0,99900.0,297229
2015-07-14,102000.0,103000.0,99100.0,101500.0,140477
2015-07-15,102000.0,104500.0,99800.0,102000.0,144467
2015-07-16,101500.0,102500.0,99500.0,101500.0,131930
2015-07-17,101500.0,102000.0,99200.0,101000.0,145794
2015-07-20,101000.0,106500.0,99900.0,106500.0,199748
2015-07-21,106500.0,107500.0,104000.0,106500.0,146941
2015-07-22,105000.0,107500.0,103500.0,105000.0,119982
2015-07-23,105000.0,111500.0,105000.0,110500.0,242218
2015-07-24,111000.0,113500.0,107500.0,109500.0,185199
2015-07-27,111500.0,114000.0,109000.0,109000.0,181208
2015-07-28,107000.0,109500.0,103000.0,107500.0,207607
2015-07-29,107500.0,109500.0,105500.0,107500.0,152688
2015-07-30,108500.0,110000.0,101500.0,102000.0,159395
2015-07-31,102000.0,103000.0,97600.0,102500.0,211985
2015-08-03,100500.0,104000.0,100000.0,100000.0,84706
2015-08-04,99000.0,101500.0,95500.0,100000.0,156835
2015-08-05,101000.0,106000.0,100000.0,105000.0,162171
2015-08-06,107000.0,107500.0,103000.0,105000.0,110651
2015-08-07,103500.0,106500.0,103000.0,106000.0,88717
2015-08-10,106000.0,109000.0,105000.0,109000.0,121880
2015-08-11,111000.0,111500.0,102000.0,103000.0,149879
2015-08-12,100500.0,101500.0,91000.0,96100.0,411559
2015-08-13,98300.0,103500.0,97800.0,102500.0,281089
2015-08-17,102000.0,105500.0,100000.0,105000.0,128777
2015-08-18,107500.0,109500.0,98400.0,99200.0,334150
2015-08-19,97700.0,99000.0,87200.0,93000.0,403334
2015-08-20,91000.0,96500.0,90400.0,92700.0,188760
2015-08-21,88000.0,97100.0,87900.0,96000.0,293000
2015-08-24,97500.0,97800.0,92500.0,94000.0,160068
2015-08-25,96000.0,97400.0,92800.0,96800.0,144481
2015-08-26,97600.0,102000.0,96600.0,100000.0,209507
2015-08-27,102000.0,105000.0,100500.0,104500.0,212224
2015-08-28,106000.0,106500.0,103500.0,103500.0,147279
2015-08-31,103500.0,105500.0,103000.0,104000.0,98195
2015-09-01,104000.0,108000.0,102500.0,103000.0,126671
2015-09-02,100500.0,104000.0,100000.0,101000.0,122104
2015-09-03,102500.0,104000.0,98800.0,99100.0,129660
2015-09-04,99200.0,99900.0,90600.0,91700.0,323880
2015-09-07,92100.0,95600.0,91600.0,94500.0,109586
2015-09-08,94400.0,95500.0,88600.0,90500.0,156121
2015-09-09,93600.0,95600.0,92600.0,94500.0,155311
2015-09-10,94000.0,96600.0,91600.0,96600.0,123268
2015-09-11,94400.0,95700.0,93900.0,94400.0,72240
2015-09-14,94900.0,95300.0,92100.0,92800.0,71293
2015-09-15,92900.0,95400.0,91400.0,95200.0,90996
2015-09-16,96800.0,96800.0,95200.0,95300.0,86903
2015-09-17,96800.0,96800.0,94600.0,95300.0,91715
2015-09-18,96100.0,101000.0,95800.0,101000.0,227684
2015-09-21,98700.0,99800.0,96400.0,98000.0,125782
2015-09-22,99500.0,99500.0,97200.0,98700.0,81916
2015-09-23,97300.0,99200.0,96200.0,96200.0,111905
2015-09-24,97600.0,100500.0,96600.0,98400.0,107888
2015-09-25,97700.0,98400.0,96200.0,97500.0,58671
2015-09-30,97300.0,99200.0,96300.0,98800.0,81667
2015-10-01,99600.0,100000.0,98300.0,99100.0,65937
2015-10-02,99500.0,101500.0,98700.0,99700.0,114754
2015-10-05,101500.0,105000.0,100500.0,102000.0,183096
2015-10-06,104000.0,104500.0,101500.0,102500.0,117326
2015-10-07,102000.0,102000.0,96900.0,97100.0,170633
2015-10-08,98000.0,98300.0,95200.0,96300.0,123236
2015-10-12,96700.0,96700.0,93400.0,93500.0,116842
2015-10-13,92900.0,96200.0,91500.0,93100.0,159470
2015-10-14,93400.0,94000.0,92300.0,93200.0,85723
2015-10-15,92800.0,93500.0,92800.0,93300.0,63627
2015-10-16,94100.0,95400.0,93200.0,94400.0,106790
2015-10-19,94500.0,94900.0,92700.0,92800.0,62078
2015-10-20,93700.0,93700.0,91700.0,92700.0,87224
2015-10-21,93100.0,93100.0,91700.0,91900.0,75552
2015-10-22,91200.0,91900.0,90200.0,90400.0,96687
2015-10-23,90500.0,91800.0,88000.0,88900.0,171249
2015-10-26,89800.0,90000.0,88200.0,89400.0,120048
2015-10-27,89900.0,89900.0,86300.0,86500.0,162112
2015-10-28,87000.0,92300.0,87000.0,91300.0,206309
2015-10-29,91300.0,91900.0,90100.0,91600.0,94848
2015-10-30,91400.0,91400.0,88700.0,89800.0,78646
2015-11-02,90800.0,90800.0,88100.0,88200.0,118547
2015-11-03,88300.0,90600.0,88300.0,89900.0,83434
2015-11-04,89100.0,90100.0,89000.0,89900.0,53871
2015-11-05,89500.0,90200.0,88900.0,89900.0,45086
2015-11-06,89100.0,90900.0,89000.0,89600.0,67285
2015-11-09,89600.0,89800.0,87000.0,87000.0,67770
2015-11-10,85200.0,86200.0,82000.0,82100.0,105145
2015-11-11,79700.0,83300.0,79000.0,79700.0,209217
2015-11-12,80100.0,82700.0,80100.0,82500.0,92533
2015-11-13,81600.0,82500.0,80800.0,82100.0,58903
2015-11-16,82500.0,84900.0,79900.0,83300.0,104685
2015-11-17,89500.0,92000.0,86200.0,89000.0,264880
2015-11-18,88500.0,88700.0,86300.0,86300.0,98566
2015-11-19,87100.0,88400.0,85500.0,86000.0,70403
2015-11-20,85400.0,86700.0,85000.0,86000.0,40357
2015-11-23,86500.0,87400.0,86000.0,87300.0,63955
2015-11-24,87200.0,88400.0,87100.0,88400.0,64928
2015-11-25,88400.0,90800.0,88400.0,89600.0,83160
2015-11-26,90000.0,90700.0,89700.0,89900.0,74564
2015-11-27,90600.0,90600.0,88900.0,90300.0,54705
2015-11-30,90000.0,90400.0,89300.0,90200.0,116838
2015-12-01,91000.0,94000.0,91000.0,93200.0,175270
2015-12-02,93800.0,95200.0,92900.0,94700.0,123898
2015-12-03,94600.0,94600.0,92000.0,94500.0,97512
2015-12-04,92600.0,94200.0,92600.0,93400.0,53945
2015-12-07,94000.0,94600.0,92000.0,92000.0,62589
2015-12-08,91000.0,91900.0,90300.0,91300.0,57225
2015-12-09,90300.0,92000.0,90300.0,91500.0,48143
2015-12-10,91600.0,92000.0,89200.0,92000.0,71665
2015-12-11,91800.0,91900.0,89400.0,89500.0,71385
2015-12-14,87000.0,88300.0,86100.0,86500.0,66500
2015-12-15,86300.0,88300.0,86300.0,87300.0,43599
2015-12-16,88000.0,90900.0,87800.0,88900.0,85554
