date,open,high,low,close,volume
2015-01-02,3766.0,3814.0,3766.0,3808.0,5131
2015-01-05,3757.0,3814.0,3757.0,3808.0,18391
2015-01-06,3805.0,3805.0,3775.0,3799.0,9262
2015-01-07,3783.0,3813.0,3765.0,3817.0,39841
2015-01-08,3804.0,3838.0,3804.0,3835.0,16591
2015-01-09,3829.0,3849.0,3829.0,3835.0,9421
2015-01-12,3829.0,3838.0,3804.0,3835.0,9637
2015-01-13,3832.0,3841.0,3795.0,3799.0,33467
2015-01-14,3804.0,3841.0,3804.0,3817.0,19176
2015-01-15,3797.0,3873.0,3797.0,3874.0,11206
2015-01-16,3873.0,3918.0,3834.0,3856.0,28361
2015-01-19,3871.0,3928.0,3871.0,3929.0,14977
2015-01-20,3964.0,3964.0,3879.0,3938.0,16259
2015-01-21,3932.0,3959.0,3894.0,3908.0,16006
2015-01-22,3961.0,3992.0,3926.0,3947.0,15689
2015-01-23,3964.0,4018.0,3852.0,4004.0,42101
2015-01-26,4000.0,4018.0,3952.0,4022.0,8441
2015-01-27,3934.0,4009.0,3919.0,3986.0,16574
2015-01-28,4009.0,4009.0,3961.0,3986.0,16878
2015-01-29,3980.0,3980.0,3923.0,3974.0,35154
2015-01-30,4019.0,4019.0,3961.0,4013.0,105472
2015-02-02,4019.0,4191.0,4001.0,4191.0,45113
2015-02-03,4028.0,4282.0,4028.0,4230.0,100224
2015-02-04,4301.0,4665.0,4263.0,4492.0,151549
2015-02-05,4385.0,4525.0,4329.0,4492.0,33033
2015-02-06,4567.0,4567.0,4324.0,4396.0,19154
2015-02-09,4395.0,4488.0,4329.0,4492.0,64673
2015-02-10,4478.0,4572.0,4319.0,4416.0,21500
2015-02-11,4412.0,4645.0,4349.0,4492.0,15260
2015-02-12,4488.0,4497.0,4169.0,4341.0,50327
2015-02-13,4357.0,4459.0,4272.0,4285.0,21302
2015-02-16,4300.0,4449.0,4300.0,4323.0,23328
2015-02-17,4504.0,4504.0,4300.0,4323.0,4636
2015-02-23,4319.0,4478.0,4310.0,4434.0,26228
2015-02-24,4404.0,4696.0,4404.0,4540.0,25955
2015-02-25,4654.0,4654.0,4488.0,4519.0,23623
2015-02-26,4514.0,4619.0,4451.0,4566.0,15032
2015-02-27,4665.0,4756.0,4617.0,4762.0,23558
2015-03-02,4846.0,4977.0,4759.0,4866.0,41393
2015-03-03,4948.0,4948.0,4508.0,4726.0,47725
2015-03-04,4725.0,4864.0,4590.0,4726.0,24408
2015-03-05,4634.0,4709.0,4534.0,4658.0,14307
2015-03-06,4829.0,4829.0,4616.0,4658.0,23200
2015-03-09,4786.0,4786.0,4580.0,4640.0,31384
2015-03-10,4552.0,4723.0,4356.0,4519.0,55719
2015-03-11,4579.0,4618.0,4383.0,4519.0,30699
2015-03-12,4496.0,4572.0,4478.0,4566.0,57816
2015-03-13,4565.0,4565.0,4499.0,4548.0,19888
2015-03-16,4547.0,4547.0,4415.0,4540.0,59911
2015-03-17,4536.0,4581.0,4440.0,4492.0,35610
2015-03-18,4543.0,4675.0,4488.0,4640.0,26421
2015-03-19,4497.0,4823.0,4497.0,4640.0,28840
2015-03-20,4487.0,4562.0,4424.0,4566.0,18506
2015-03-23,4562.0,4562.0,4431.0,4510.0,17990
2015-03-24,4438.0,4456.0,4306.0,4396.0,47243
2015-03-25,4337.0,4403.0,4310.0,4368.0,15833
2015-03-26,4339.0,4360.0,4320.0,4360.0,24904
2015-03-27,4319.0,4367.0,4310.0,4368.0,22116
2015-03-30,4225.0,4382.0,4120.0,4153.0,55311
2015-03-31,4237.0,4237.0,4078.0,4118.0,160383
2015-04-01,4117.0,4127.0,4069.0,4109.0,41703
2015-04-02,4103.0,4290.0,4019.0,4266.0,59074
2015-04-03,4254.0,4301.0,4169.0,4275.0,18720
2015-04-06,4282.0,4386.0,4282.0,4378.0,22503
2015-04-07,4345.0,4399.0,4299.0,4405.0,13021
2015-04-08,4420.0,4429.0,4306.0,4396.0,17967
2015-04-09,4393.0,4393.0,4282.0,4351.0,7216
2015-04-10,4398.0,4398.0,4284.0,4305.0,13541
2015-04-13,4282.0,4393.0,4227.0,4351.0,19760
2015-04-14,4433.0,4433.0,4229.0,4305.0,26636
2015-04-15,4299.0,4382.0,4214.0,4386.0,9127
2015-04-16,4441.0,4441.0,4246.0,4360.0,5960
2015-04-17,4300.0,4357.0,4273.0,4333.0,9949
2015-04-20,4327.0,4401.0,4281.0,4341.0,16035
2015-04-21,4272.0,4393.0,4272.0,4341.0,15764
2015-04-22,4356.0,4356.0,4254.0,4275.0,29974
2015-04-23,4290.0,4335.0,4245.0,4266.0,25888
2015-04-24,4235.0,4279.0,4197.0,4200.0,30554
2015-04-27,4199.0,4254.0,4199.0,4248.0,2502
2015-04-28,4304.0,4575.0,4275.0,4296.0,44531
2015-04-29,4272.0,4374.0,4272.0,4341.0,3560
2015-04-30,4412.0,4412.0,4263.0,4266.0,17595
2015-05-04,4245.0,4320.0,4179.0,4230.0,40297
