date,open,high,low,close,volume
2016-12-06,8653.0,9647.0,7948.0,8237.0,10268886
2016-12-07,8173.0,8429.0,7531.0,7564.0,3210451
2016-12-08,7594.0,7883.0,6985.0,7179.0,3368088
2016-12-09,7275.0,7884.0,7211.0,7628.0,2961220
2016-12-12,7788.0,7884.0,7339.0,7404.0,1280553
2016-12-13,7404.0,8846.0,7307.0,8526.0,4953606
2016-12-14,8363.0,8781.0,8236.0,8301.0,2613400
2016-12-15,8204.0,9198.0,8140.0,8718.0,4066188
2016-12-16,8813.0,9069.0,8589.0,8814.0,1358004
2016-12-19,8845.0,9134.0,8653.0,8718.0,1482814
2016-12-20,8781.0,8876.0,8268.0,8301.0,1308762
2016-12-21,8301.0,8333.0,7852.0,7981.0,1185030
2016-12-22,7916.0,8077.0,7788.0,8077.0,729781
2016-12-23,8077.0,8301.0,7948.0,8077.0,992837
2016-12-26,8108.0,8236.0,8012.0,8109.0,666344
2016-12-27,8140.0,8332.0,8076.0,8205.0,861686
2016-12-28,8236.0,8588.0,8203.0,8461.0,1088661
2016-12-29,8365.0,8526.0,8269.0,8494.0,440357
2017-01-02,8492.0,8492.0,8268.0,8301.0,372129
2017-01-03,8333.0,8429.0,8140.0,8173.0,404281
2017-01-04,8204.0,8269.0,8108.0,8237.0,298597
2017-01-05,8299.0,8684.0,8203.0,8461.0,867499
2017-01-06,8492.0,8492.0,8300.0,8365.0,288270
2017-01-09,8332.0,8396.0,8204.0,8205.0,302644
2017-01-10,8204.0,8269.0,7980.0,8013.0,367660
2017-01-11,8077.0,8205.0,7981.0,7981.0,343810
2017-01-12,7915.0,8011.0,7755.0,7788.0,371827
2017-01-13,7820.0,7917.0,7595.0,7757.0,458056
2017-01-16,7722.0,7819.0,7466.0,7499.0,409200
2017-01-17,7370.0,7434.0,7210.0,7339.0,560018
2017-01-18,7308.0,7596.0,7147.0,7372.0,485670
2017-01-19,7372.0,7564.0,7372.0,7372.0,224702
2017-01-20,7370.0,7402.0,7146.0,7179.0,356057
2017-01-23,7114.0,7146.0,6665.0,6730.0,684069
2017-01-24,6665.0,6665.0,6396.0,6410.0,726667
2017-01-25,6473.0,6634.0,6396.0,6474.0,366401
2017-01-26,6473.0,6955.0,6473.0,6795.0,590786
2017-01-31,6825.0,6953.0,6633.0,6730.0,269149
2017-02-01,6730.0,6858.0,6698.0,6795.0,233327
2017-02-02,6699.0,6730.0,6539.0,6539.0,342077
2017-02-03,6666.0,6666.0,6442.0,6539.0,243491
2017-02-06,6568.0,6793.0,6472.0,6666.0,274133
2017-02-07,6698.0,6858.0,6602.0,6795.0,273172
2017-02-08,6858.0,6890.0,6698.0,6763.0,198806
2017-02-09,6570.0,6666.0,6506.0,6539.0,340957
2017-02-10,6570.0,6666.0,6506.0,6539.0,186752
2017-02-13,6538.0,6569.0,6409.0,6442.0,249975
2017-02-14,6472.0,6601.0,6408.0,6506.0,284665
2017-02-15,6472.0,6601.0,6441.0,6506.0,274819
2017-02-16,6506.0,6506.0,6276.0,6276.0,548800
2017-02-17,6274.0,6274.0,5729.0,5897.0,1083094
2017-02-20,5870.0,5889.0,5703.0,5801.0,653970
2017-02-21,5769.0,7338.0,5762.0,6442.0,5686251
2017-02-22,6371.0,6505.0,6198.0,6474.0,1252947
2017-02-23,6473.0,7051.0,6384.0,6635.0,1852378
2017-02-24,6665.0,6922.0,6634.0,6763.0,672980
2017-02-27,6889.0,7017.0,6761.0,6826.0,570305
2017-02-28,6825.0,6890.0,6633.0,6730.0,297400
2017-03-02,6761.0,6985.0,6697.0,6826.0,404499
2017-03-03,7017.0,8075.0,6953.0,7275.0,4175633
2017-03-06,7338.0,7402.0,7146.0,7339.0,705955
2017-03-07,7595.0,7660.0,7371.0,7468.0,991558
2017-03-08,7371.0,7531.0,7243.0,7468.0,495557
2017-03-09,7466.0,7466.0,7274.0,7275.0,260444
2017-03-10,7275.0,7308.0,7019.0,7212.0,370962
2017-03-13,7210.0,7403.0,7050.0,7243.0,241619
2017-03-14,7338.0,7563.0,7274.0,7436.0,557446
2017-03-15,7402.0,7530.0,7274.0,7275.0,293300
2017-03-16,7306.0,7370.0,7241.0,7275.0,148177
2017-03-17,7337.0,7755.0,7274.0,7499.0,1027391
2017-03-20,7627.0,7820.0,7499.0,7564.0,421320
2017-03-21,7659.0,7659.0,7434.0,7532.0,351820
2017-03-22,7498.0,7787.0,7402.0,7788.0,381805
2017-03-23,7819.0,7947.0,7690.0,7948.0,608283
2017-03-24,7980.0,8141.0,7852.0,7917.0,501586
2017-03-27,7756.0,7788.0,7564.0,7628.0,453014
2017-03-28,7531.0,7723.0,7434.0,7596.0,381047
2017-03-29,7594.0,7626.0,7434.0,7499.0,253779
2017-03-30,7498.0,7626.0,7434.0,7499.0,221920
2017-03-31,7403.0,7595.0,7275.0,7564.0,432078
2017-04-03,7594.0,7850.0,7563.0,7788.0,347743
2017-04-04,7884.0,7884.0,7660.0,7724.0,276159
