date,open,high,low,close,volume
2015-12-07,6331.0,8214.0,6258.0,7212.0,5122399
2015-12-08,6893.0,7725.0,6551.0,6772.0,1600989
2015-12-09,6919.0,8802.0,6821.0,8802.0,1376927
2015-12-10,9706.0,11173.0,8459.0,9046.0,4354830
2015-12-11,9119.0,11759.0,9045.0,10855.0,4704985
2015-12-14,10512.0,12126.0,10048.0,10904.0,1533756
2015-12-15,11319.0,12957.0,10512.0,11344.0,1715311
2015-12-16,11735.0,11931.0,10635.0,11051.0,585555
2015-12-17,10659.0,10880.0,10024.0,10171.0,526893
2015-12-18,10195.0,10610.0,9901.0,10024.0,263472
2015-12-21,9877.0,10341.0,9290.0,9755.0,461763
2015-12-22,9705.0,9705.0,9119.0,9119.0,246388
2015-12-23,8997.0,9388.0,8777.0,9364.0,284924
2015-12-24,9412.0,9486.0,9070.0,9364.0,128630
2015-12-28,9461.0,9681.0,9119.0,9266.0,149829
2015-12-29,9266.0,9706.0,8850.0,9633.0,297782
2015-12-30,9730.0,10170.0,9535.0,10073.0,323118
2016-01-04,10146.0,11539.0,10097.0,10415.0,642829
2016-01-05,10219.0,10635.0,10048.0,10562.0,211709
2016-01-06,10757.0,11222.0,10170.0,10391.0,354598
2016-01-07,10293.0,10855.0,10049.0,10049.0,333606
2016-01-08,9583.0,9705.0,9045.0,9608.0,358101
2016-01-11,9681.0,9681.0,8997.0,8997.0,158896
2016-01-12,8948.0,9217.0,8826.0,8973.0,122780
2016-01-13,9070.0,9608.0,9022.0,9560.0,209321
2016-01-14,9290.0,9388.0,9119.0,9388.0,84034
2016-01-15,9730.0,10414.0,9632.0,9828.0,452305
2016-01-18,9608.0,9999.0,9559.0,9951.0,100355
2016-01-19,9852.0,9950.0,9265.0,9437.0,151178
2016-01-20,9412.0,9485.0,8410.0,8459.0,241466
2016-01-21,8459.0,8899.0,8141.0,8606.0,179059
2016-01-22,8557.0,8752.0,8410.0,8606.0,83093
2016-01-25,8606.0,9046.0,8557.0,8875.0,74449
2016-01-26,8703.0,8776.0,7774.0,7970.0,286703
