date,open,high,low,close,volume
2015-09-25,5720.0,7430.0,5710.0,7430.0,4719711
2015-09-30,9650.0,9650.0,7080.0,7170.0,7280587
2015-10-01,7230.0,7550.0,6710.0,6880.0,1566129
2015-10-02,6980.0,7050.0,6200.0,6400.0,1094083
2015-10-05,6450.0,6540.0,6150.0,6150.0,509398
2015-10-06,6240.0,6250.0,5890.0,5910.0,601365
2015-10-07,5970.0,7100.0,5870.0,6160.0,2264029
2015-10-08,6260.0,6590.0,6130.0,6140.0,401482
2015-10-12,6310.0,6390.0,6000.0,6000.0,330115
2015-10-13,6000.0,6020.0,5790.0,5790.0,260118
2015-10-14,5870.0,5910.0,5710.0,5720.0,178920
2015-10-15,5730.0,5900.0,5710.0,5770.0,176678
2015-10-16,5820.0,6400.0,5770.0,5940.0,478062
2015-10-19,6020.0,6120.0,5840.0,5900.0,192438
2015-10-20,5960.0,6070.0,5850.0,5980.0,188270
2015-10-21,6070.0,6100.0,5830.0,5830.0,174692
2015-10-22,5830.0,5860.0,5710.0,5720.0,99131
2015-10-23,5830.0,6630.0,5720.0,5930.0,684613
2015-10-26,5980.0,6490.0,5850.0,6030.0,373439
2015-10-27,6080.0,7780.0,6050.0,6500.0,3936187
2015-10-28,6790.0,7530.0,6540.0,6770.0,1904851
2015-10-29,6770.0,6900.0,6400.0,6400.0,395092
2015-10-30,6350.0,6440.0,6060.0,6220.0,295063
2015-11-02,6470.0,6650.0,6120.0,6220.0,334584
2015-11-03,6270.0,6330.0,6020.0,6020.0,182394
2015-11-04,6080.0,6140.0,5870.0,5880.0,175480
2015-11-05,5990.0,6300.0,5880.0,6100.0,194166
2015-11-06,6080.0,6100.0,5840.0,5840.0,132480
2015-11-09,5880.0,5900.0,5570.0,5590.0,127247
2015-11-10,5450.0,5590.0,5330.0,5340.0,108514
2015-11-11,5380.0,5550.0,5300.0,5390.0,78965
2015-11-12,5360.0,5470.0,5330.0,5330.0,56505
2015-11-13,5310.0,5350.0,5150.0,5160.0,75614
2015-11-16,5130.0,5300.0,5120.0,5190.0,55813
2015-11-17,5200.0,5230.0,5100.0,5200.0,78335
2015-11-18,5120.0,5180.0,4950.0,5010.0,80550
2015-11-19,5030.0,5050.0,4955.0,4980.0,39206
2015-11-20,4980.0,5100.0,4975.0,5050.0,36530
2015-11-23,5100.0,5150.0,5010.0,5060.0,61404
2015-11-24,5100.0,5100.0,4945.0,5070.0,60563
2015-11-25,5150.0,5150.0,4975.0,4975.0,48164
2015-11-26,4975.0,5010.0,4960.0,4980.0,41647
2015-11-27,4990.0,5250.0,4985.0,5110.0,99306
2015-11-30,5140.0,5220.0,5000.0,5040.0,46526
2015-12-01,5130.0,5150.0,5030.0,5140.0,22687
2015-12-02,5100.0,5190.0,4980.0,4990.0,56991
2015-12-03,4990.0,5030.0,4945.0,4970.0,29619
2015-12-04,4970.0,6440.0,4835.0,5400.0,819150
2015-12-07,5430.0,5540.0,5200.0,5230.0,150252
2015-12-08,5250.0,5900.0,5250.0,5480.0,448746
2015-12-09,5480.0,5730.0,5360.0,5550.0,117188
2015-12-10,5700.0,5800.0,5310.0,5310.0,144224
2015-12-11,5300.0,5470.0,5210.0,5420.0,46083
2015-12-14,5300.0,5430.0,4900.0,4900.0,65953
2015-12-15,4800.0,5380.0,4800.0,5020.0,129657
2015-12-16,5050.0,5340.0,5020.0,5190.0,39796
2015-12-17,5190.0,5220.0,5110.0,5140.0,20688
2015-12-18,5060.0,5320.0,5040.0,5200.0,21385
2015-12-21,5190.0,5420.0,5150.0,5270.0,38109
2015-12-22,5300.0,5370.0,5060.0,5060.0,30129
2015-12-23,5080.0,5300.0,5030.0,5250.0,35624
2015-12-24,5310.0,5340.0,5040.0,5080.0,39005
2015-12-28,5080.0,5170.0,5010.0,5020.0,37225
2015-12-29,5020.0,5190.0,5020.0,5070.0,29474
2015-12-30,5090.0,5280.0,5090.0,5260.0,59452
2016-01-04,5310.0,5350.0,5170.0,5200.0,30687
2016-01-05,5190.0,5430.0,5090.0,5290.0,112715
2016-01-06,5390.0,6500.0,5320.0,5850.0,2438612
2016-01-07,5850.0,6120.0,5680.0,6050.0,954205
2016-01-08,5800.0,5880.0,5590.0,5700.0,378604
2016-01-11,5680.0,6030.0,5520.0,5630.0,532868
2016-01-12,5630.0,6140.0,5580.0,5990.0,422225
2016-01-13,5900.0,5960.0,5630.0,5760.0,288644
2016-01-14,5570.0,5630.0,5400.0,5530.0,202435
2016-01-15,5570.0,5590.0,5160.0,5180.0,229668
2016-01-18,5040.0,5300.0,5030.0,5130.0,76329
2016-01-19,5180.0,5280.0,5060.0,5200.0,82353
2016-01-20,5220.0,5280.0,4860.0,5000.0,147731
2016-01-21,4925.0,5090.0,4790.0,4790.0,83603
2016-01-22,4800.0,4890.0,4690.0,4800.0,70761
2016-01-25,4800.0,4895.0,4780.0,4800.0,81535
2016-01-26,4795.0,4805.0,4740.0,4785.0,40150
2016-01-27,4860.0,4880.0,4685.0,4695.0,60727
2016-01-28,4685.0,4840.0,4680.0,4775.0,25898
2016-01-29,4950.0,5000.0,4845.0,4885.0,39385
2016-02-01,4885.0,4955.0,4840.0,4870.0,49677
2016-02-02,4890.0,4890.0,4750.0,4845.0,90348
2016-02-03,5060.0,5150.0,4860.0,4915.0,153120
2016-02-04,4915.0,4960.0,4795.0,4840.0,54493
2016-02-05,4850.0,5030.0,4835.0,4850.0,32107
2016-02-11,4800.0,4800.0,4555.0,4555.0,84137
2016-02-12,4555.0,4605.0,4200.0,4240.0,79866
2016-02-15,4150.0,4380.0,4150.0,4260.0,37129
2016-02-16,4300.0,4455.0,4300.0,4390.0,20760
2016-02-17,4365.0,4425.0,4320.0,4340.0,21679
2016-02-18,4395.0,4430.0,4365.0,4400.0,19156
2016-02-19,4380.0,4470.0,4365.0,4470.0,14493
2016-02-22,4425.0,4580.0,4425.0,4565.0,28811
2016-02-23,4565.0,4700.0,4495.0,4495.0,23879
2016-02-24,4520.0,4595.0,4465.0,4500.0,18597
2016-02-25,4545.0,4575.0,4445.0,4525.0,20273
2016-02-26,4485.0,4565.0,4485.0,4485.0,15845
2016-02-29,4485.0,4620.0,4450.0,4620.0,31137
2016-03-02,4850.0,4850.0,4580.0,4590.0,34539
2016-03-03,4635.0,4640.0,4500.0,4585.0,14295
2016-03-04,4565.0,4755.0,4540.0,4730.0,62837
2016-03-07,4735.0,4820.0,4665.0,4725.0,36167
2016-03-08,4680.0,4770.0,4595.0,4670.0,59507
2016-03-09,4680.0,4725.0,4655.0,4665.0,41280
2016-03-10,4725.0,4725.0,4555.0,4640.0,28265
2016-03-11,4640.0,4680.0,4585.0,4610.0,30262
2016-03-14,4610.0,4660.0,4550.0,4570.0,38941
2016-03-15,4580.0,5230.0,4580.0,4750.0,566176
2016-03-16,4805.0,5080.0,4800.0,4860.0,243337
2016-03-17,4860.0,4925.0,4775.0,4775.0,57287
2016-03-18,4785.0,4880.0,4755.0,4805.0,53105
2016-03-21,4800.0,4905.0,4745.0,4850.0,115591
2016-03-22,5640.0,5800.0,4965.0,4980.0,985549
2016-03-23,4955.0,5010.0,4875.0,4925.0,141530
2016-03-24,4900.0,5100.0,4850.0,4885.0,97980
2016-03-25,4880.0,4930.0,4755.0,4775.0,89613
2016-03-28,4760.0,4850.0,4760.0,4765.0,53429
2016-03-29,4790.0,5100.0,4790.0,4930.0,161068
2016-03-30,4930.0,5020.0,4900.0,4935.0,40196
2016-03-31,4975.0,5000.0,4900.0,4915.0,44132
2016-04-01,4965.0,4985.0,4865.0,4870.0,32957
2016-04-04,4880.0,4960.0,4840.0,4865.0,46922
2016-04-05,4870.0,5060.0,4865.0,5020.0,124747
2016-04-06,4990.0,5060.0,4950.0,5000.0,62175
2016-04-07,4975.0,5160.0,4960.0,5160.0,114266
2016-04-08,5100.0,5240.0,5020.0,5240.0,109614
2016-04-11,5330.0,5340.0,5150.0,5150.0,73611
2016-04-12,5190.0,5210.0,5020.0,5120.0,77716
2016-04-14,5080.0,5180.0,5010.0,5040.0,61142
2016-04-15,5060.0,5080.0,4980.0,4980.0,44680
2016-04-18,4930.0,4990.0,4875.0,4965.0,70219
2016-04-19,4935.0,5160.0,4930.0,5120.0,69171
2016-04-20,5120.0,5140.0,5030.0,5070.0,39131
2016-04-21,5120.0,5160.0,5020.0,5110.0,105084
2016-04-22,5070.0,5240.0,5060.0,5190.0,72775
2016-04-25,5300.0,5790.0,5250.0,5290.0,589425
2016-04-26,5300.0,5380.0,5170.0,5240.0,142944
2016-04-27,5260.0,5460.0,5250.0,5300.0,185899
2016-04-28,5280.0,6470.0,5280.0,6000.0,2662492
2016-04-29,6090.0,6150.0,5800.0,5880.0,401756
2016-05-02,5860.0,6100.0,5770.0,5930.0,335864
2016-05-03,6000.0,6330.0,5510.0,5590.0,681912
2016-05-04,5610.0,6140.0,5500.0,6000.0,516539
2016-05-09,6080.0,6430.0,5940.0,5960.0,738959
2016-05-10,5940.0,6240.0,5920.0,5940.0,310545
2016-05-11,5940.0,5950.0,5750.0,5890.0,194775
2016-05-12,5920.0,6140.0,5810.0,6060.0,209190
2016-05-13,6100.0,6130.0,5940.0,6040.0,86344
2016-05-16,6090.0,6090.0,5830.0,5850.0,89814
2016-05-17,5860.0,5960.0,5680.0,5730.0,89909
2016-05-18,5690.0,5870.0,5330.0,5430.0,125729
2016-05-19,5470.0,5470.0,5100.0,5330.0,167311
2016-05-20,5330.0,5680.0,5250.0,5500.0,135543
2016-05-23,5440.0,6650.0,5440.0,5900.0,948131
2016-05-24,6030.0,6090.0,5750.0,5820.0,207755
2016-05-25,5820.0,6100.0,5760.0,5930.0,227873
2016-05-26,5930.0,6030.0,5810.0,5840.0,70437
2016-05-27,5740.0,5760.0,5510.0,5600.0,125026
2016-05-30,5700.0,5700.0,5470.0,5510.0,58045
2016-05-31,5460.0,5630.0,5360.0,5400.0,98593
2016-06-01,5360.0,5740.0,5310.0,5710.0,121161
2016-06-02,5700.0,5730.0,5530.0,5640.0,62839
2016-06-03,5640.0,5700.0,5490.0,5550.0,73165
2016-06-07,5550.0,5710.0,5400.0,5640.0,175874
2016-06-08,6010.0,6350.0,5710.0,5810.0,688501
2016-06-09,5790.0,5820.0,5540.0,5650.0,126996
2016-06-10,5630.0,5710.0,5480.0,5480.0,71651
2016-06-13,5400.0,5570.0,5390.0,5450.0,82230
2016-06-14,5430.0,6150.0,5430.0,5970.0,515727
2016-06-15,6020.0,6190.0,5850.0,6050.0,213523
2016-06-16,6360.0,7270.0,5880.0,5940.0,2539952
2016-06-17,6050.0,6290.0,5770.0,5940.0,354014
2016-06-20,5960.0,7050.0,5960.0,6940.0,1564107
2016-06-21,6930.0,7090.0,6710.0,6710.0,451565
2016-06-22,6640.0,7670.0,6470.0,6820.0,1100267
2016-06-23,6840.0,7190.0,6680.0,7100.0,648052
2016-06-24,7190.0,7210.0,6000.0,6180.0,697745
2016-06-27,6060.0,6500.0,5950.0,6220.0,373886
2016-06-28,6130.0,6380.0,6070.0,6280.0,173914
2016-06-29,6330.0,6610.0,6250.0,6370.0,230081
2016-06-30,6480.0,6690.0,6350.0,6480.0,211144
2016-07-01,6500.0,6680.0,6420.0,6600.0,162183
2016-07-04,6620.0,6700.0,6270.0,6270.0,158479
2016-07-05,6340.0,6370.0,6230.0,6290.0,75023
2016-07-06,6350.0,6360.0,5950.0,6010.0,222147
2016-07-07,6040.0,6240.0,6020.0,6240.0,97635
2016-07-08,6220.0,6280.0,5930.0,6080.0,81756
2016-07-11,6110.0,6400.0,6110.0,6370.0,129184
2016-07-12,6420.0,6440.0,6250.0,6300.0,79408
2016-07-13,6540.0,6890.0,6450.0,6800.0,668917
2016-07-14,6800.0,6840.0,6530.0,6750.0,168102
2016-07-15,6750.0,7120.0,6650.0,6800.0,390270
2016-07-18,6800.0,7160.0,6640.0,6720.0,278448
2016-07-19,6790.0,6840.0,6460.0,6460.0,120234
2016-07-20,6460.0,6750.0,6410.0,6430.0,125022
2016-07-21,6420.0,6740.0,6420.0,6500.0,77379
2016-07-22,6510.0,6640.0,6200.0,6210.0,101837
2016-07-25,6190.0,6340.0,6110.0,6220.0,61011
2016-07-26,6280.0,6320.0,6140.0,6230.0,35860
2016-07-27,6340.0,6340.0,6150.0,6200.0,56773
2016-07-28,6300.0,6390.0,6170.0,6180.0,75800
2016-07-29,6180.0,6380.0,6150.0,6210.0,65452
2016-08-01,6210.0,6320.0,6040.0,6040.0,93453
2016-08-02,6040.0,6090.0,5770.0,5770.0,154867
2016-08-03,5770.0,5980.0,5590.0,5840.0,131865
2016-08-04,5810.0,5960.0,5810.0,5860.0,43091
2016-08-05,5860.0,5970.0,5730.0,5800.0,62662
2016-08-08,5800.0,5950.0,5650.0,5700.0,69869
2016-08-09,5700.0,5770.0,5620.0,5640.0,44355
2016-08-10,5640.0,5770.0,5550.0,5680.0,77908
2016-08-11,5680.0,6090.0,5640.0,5810.0,195381
2016-08-12,5810.0,5840.0,5660.0,5730.0,55629
2016-08-16,5870.0,5870.0,5680.0,5700.0,44157
2016-08-17,5690.0,5690.0,5510.0,5510.0,72030
2016-08-18,5470.0,5570.0,5450.0,5470.0,54719
2016-08-19,5530.0,5780.0,5530.0,5680.0,118604
2016-08-22,5740.0,5800.0,5650.0,5710.0,62968
2016-08-23,5650.0,5790.0,5550.0,5550.0,50040
2016-08-24,5550.0,5610.0,5500.0,5560.0,25026
2016-08-25,5560.0,5620.0,5450.0,5490.0,41957
2016-08-26,5450.0,5700.0,5450.0,5550.0,18072
2016-08-29,5550.0,5650.0,5020.0,5170.0,116148
2016-08-30,5100.0,5240.0,5090.0,5130.0,57723
2016-08-31,5130.0,5250.0,5000.0,5180.0,79707
2016-09-01,5180.0,5230.0,5120.0,5170.0,16551
2016-09-02,5120.0,5270.0,5120.0,5250.0,18957
2016-09-05,5310.0,5400.0,5210.0,5210.0,63175
2016-09-06,5220.0,5250.0,5100.0,5140.0,64169
2016-09-07,5170.0,5220.0,5000.0,5120.0,62427
2016-09-08,5070.0,5120.0,4980.0,4980.0,95065
2016-09-09,4980.0,5030.0,4700.0,4885.0,88633
2016-09-12,4795.0,4795.0,4700.0,4740.0,71928
2016-09-13,4760.0,4945.0,4760.0,4875.0,41902
2016-09-19,4875.0,4960.0,4875.0,4910.0,39845
2016-09-20,4820.0,5180.0,4820.0,5080.0,103243
2016-09-21,5080.0,5170.0,5040.0,5070.0,53994
2016-09-22,5100.0,5320.0,5100.0,5190.0,61488
2016-09-23,5160.0,5280.0,5100.0,5170.0,81129
2016-09-26,5240.0,5260.0,5110.0,5130.0,32450
2016-09-27,5100.0,5160.0,5080.0,5130.0,18486
2016-09-28,5130.0,5180.0,5020.0,5120.0,48527
2016-09-29,5120.0,5180.0,5080.0,5180.0,17892
2016-09-30,5110.0,5210.0,5080.0,5170.0,37160
2016-10-04,5130.0,5200.0,5090.0,5190.0,57647
2016-10-05,5130.0,5270.0,5130.0,5250.0,67229
2016-10-06,5280.0,5340.0,5200.0,5290.0,48938
2016-10-07,5330.0,5330.0,5200.0,5210.0,38149
2016-10-10,5160.0,5200.0,5100.0,5100.0,47115
2016-10-11,5100.0,5280.0,5100.0,5150.0,54380
2016-10-12,5120.0,5270.0,5070.0,5130.0,52338
2016-10-13,5140.0,5360.0,5110.0,5310.0,151666
2016-10-14,5300.0,6030.0,5230.0,5750.0,1630830
2016-10-17,5790.0,5850.0,5550.0,5650.0,205836
2016-10-18,5660.0,5710.0,5520.0,5590.0,106996
2016-10-19,5610.0,6240.0,5550.0,5810.0,1988720
2016-10-20,5810.0,6350.0,5810.0,6000.0,503549
2016-10-21,6010.0,6010.0,5590.0,5590.0,211821
2016-10-24,5540.0,5700.0,5470.0,5650.0,116651
2016-10-25,5750.0,6170.0,5690.0,5870.0,700984
2016-10-26,5870.0,6090.0,5550.0,5570.0,226208
2016-10-27,5600.0,5830.0,5550.0,5770.0,106580
2016-10-28,5830.0,5870.0,5480.0,5500.0,150071
2016-10-31,5410.0,5480.0,5050.0,5060.0,120698
2016-11-01,5010.0,5290.0,5010.0,5090.0,56295
2016-11-02,5050.0,5100.0,4720.0,4780.0,141173
2016-11-03,4775.0,4950.0,4740.0,4770.0,91223
2016-11-04,4775.0,4835.0,4720.0,4795.0,31674
2016-11-07,4800.0,4930.0,4800.0,4900.0,35475
2016-11-08,4905.0,4950.0,4830.0,4900.0,48361
2016-11-09,4905.0,4935.0,4370.0,4590.0,150493
2016-11-10,4720.0,4960.0,4660.0,4900.0,78364
2016-11-11,4950.0,4950.0,4765.0,4840.0,59241
2016-11-14,4840.0,4950.0,4790.0,4900.0,35787
2016-11-15,4855.0,4960.0,4810.0,4865.0,45882
2016-11-16,4880.0,5080.0,4870.0,5020.0,50821
2016-11-17,5060.0,5250.0,4945.0,5200.0,70312
2016-11-18,5230.0,5240.0,5100.0,5120.0,47991
2016-11-21,5170.0,5270.0,5020.0,5170.0,51128
2016-11-22,5220.0,5290.0,5140.0,5230.0,25418
2016-11-23,5230.0,5270.0,5070.0,5100.0,26748
2016-11-24,5060.0,5260.0,4990.0,5050.0,25002
2016-11-25,5050.0,5180.0,5050.0,5150.0,14741
2016-11-28,5150.0,5190.0,5000.0,5030.0,16624
2016-11-29,5010.0,5120.0,4955.0,4965.0,14126
2016-11-30,4965.0,5020.0,4870.0,4925.0,23854
2016-12-01,4850.0,4915.0,4795.0,4815.0,29103
2016-12-02,4780.0,4865.0,4780.0,4830.0,18443
2016-12-05,4825.0,4880.0,4730.0,4730.0,26404
2016-12-06,4730.0,5090.0,4730.0,4915.0,27741
2016-12-07,4880.0,5000.0,4870.0,4870.0,22156
2016-12-08,4870.0,5140.0,4870.0,5090.0,66169
2016-12-09,5120.0,5440.0,5120.0,5240.0,126684
2016-12-12,5170.0,5350.0,5170.0,5290.0,15022
2016-12-13,5260.0,5390.0,5230.0,5390.0,21756
2016-12-14,5450.0,5640.0,5330.0,5420.0,108624
2016-12-15,5380.0,5380.0,5200.0,5230.0,92874
2016-12-16,5250.0,5340.0,5200.0,5260.0,30807
2016-12-19,5250.0,5330.0,5200.0,5230.0,22482
2016-12-20,5240.0,5420.0,5210.0,5330.0,40313
2016-12-21,5340.0,5390.0,5270.0,5350.0,23992
2016-12-22,5330.0,5530.0,5330.0,5440.0,93480
2016-12-23,5420.0,5570.0,5360.0,5530.0,74867
2016-12-26,5550.0,5660.0,5380.0,5420.0,40204
2016-12-27,5370.0,5480.0,5350.0,5350.0,12866
2016-12-28,5350.0,5390.0,5280.0,5360.0,13067
2016-12-29,5360.0,5730.0,5360.0,5730.0,118692
2017-01-02,5800.0,6100.0,5600.0,5650.0,335412
2017-01-03,5730.0,5730.0,5620.0,5730.0,51885
2017-01-04,5700.0,5750.0,5620.0,5730.0,52021
2017-01-05,5750.0,5760.0,5500.0,5680.0,65240
2017-01-06,5660.0,5980.0,5610.0,5910.0,207163
2017-01-09,5910.0,6120.0,5730.0,5810.0,105603
2017-01-10,5860.0,5860.0,5550.0,5780.0,77543
2017-01-11,5780.0,5780.0,5550.0,5600.0,56689
2017-01-12,5640.0,5720.0,5520.0,5720.0,46376
2017-01-13,5660.0,5750.0,5580.0,5650.0,37864
2017-01-16,5650.0,5670.0,5450.0,5510.0,27369
2017-01-17,5510.0,5570.0,5460.0,5470.0,12347
2017-01-18,5480.0,5630.0,5480.0,5620.0,19931
2017-01-19,5550.0,5650.0,5500.0,5520.0,9130
2017-01-20,5570.0,5570.0,5400.0,5500.0,16852
2017-01-23,5500.0,5600.0,5460.0,5510.0,21642
2017-01-24,5460.0,5660.0,5430.0,5470.0,17499
2017-01-25,5470.0,5580.0,5440.0,5470.0,17321
2017-01-26,5500.0,5700.0,5500.0,5660.0,57490
2017-01-31,5660.0,5850.0,5580.0,5770.0,59533
2017-02-01,5770.0,6000.0,5720.0,5990.0,164609
2017-02-02,5950.0,6200.0,5930.0,6050.0,261719
2017-02-03,6050.0,6170.0,5920.0,5980.0,67581
2017-02-06,6080.0,6110.0,5920.0,5980.0,34364
2017-02-07,5980.0,6000.0,5670.0,5870.0,60893
2017-02-08,5900.0,5900.0,5680.0,5870.0,33738
2017-02-09,5780.0,5950.0,5770.0,5830.0,28332
2017-02-10,5830.0,6050.0,5800.0,5880.0,35967
2017-02-13,5880.0,6040.0,5740.0,5740.0,35098
2017-02-14,5740.0,5870.0,5670.0,5690.0,20599
2017-02-15,5690.0,5740.0,5560.0,5630.0,97957
2017-02-16,5630.0,5900.0,5560.0,5740.0,52297
2017-02-17,5740.0,5800.0,5660.0,5770.0,17263
2017-02-20,5820.0,5820.0,5630.0,5750.0,47728
2017-02-21,5690.0,5790.0,5560.0,5630.0,61134
2017-02-22,5620.0,5650.0,5550.0,5600.0,36399
2017-02-23,5650.0,5690.0,5500.0,5590.0,17496
2017-02-24,5560.0,5590.0,5130.0,5140.0,245415
2017-02-27,5190.0,5230.0,5070.0,5200.0,81812
2017-02-28,5210.0,5260.0,5120.0,5130.0,41856
2017-03-02,5130.0,5150.0,4955.0,4995.0,72528
2017-03-03,4995.0,5040.0,4885.0,5030.0,33554
2017-03-06,5030.0,5210.0,4900.0,5180.0,36279
2017-03-07,5180.0,5180.0,5060.0,5150.0,13189
2017-03-08,5200.0,5200.0,5100.0,5140.0,4843
2017-03-09,5190.0,5190.0,5020.0,5100.0,38062
2017-03-10,5080.0,5160.0,5000.0,5140.0,34571
2017-03-13,5200.0,5200.0,5090.0,5190.0,30170
2017-03-14,5200.0,5230.0,5130.0,5190.0,37354
2017-03-15,5200.0,5280.0,5110.0,5130.0,51545
2017-03-16,5140.0,5440.0,5140.0,5320.0,211860
2017-03-17,5300.0,5330.0,5220.0,5250.0,41876
2017-03-20,5250.0,5250.0,5130.0,5150.0,46696
2017-03-21,5150.0,5180.0,5100.0,5130.0,33007
2017-03-22,5100.0,5130.0,5030.0,5030.0,35314
2017-03-23,5030.0,5130.0,4990.0,5050.0,29090
2017-03-24,5050.0,5160.0,4960.0,5010.0,75069
2017-03-27,5000.0,5040.0,4950.0,4980.0,29281
2017-03-28,4980.0,5020.0,4950.0,5000.0,38820
2017-03-29,5000.0,5040.0,4950.0,4990.0,26981
2017-03-30,4985.0,5080.0,4985.0,4995.0,18401
2017-03-31,4990.0,5130.0,4950.0,5030.0,34374
2017-04-03,5030.0,5260.0,5030.0,5260.0,60084
2017-04-04,5250.0,5310.0,5200.0,5250.0,45618
2017-04-05,5250.0,5340.0,5210.0,5310.0,40222
2017-04-06,5310.0,5330.0,5220.0,5240.0,37320
2017-04-07,5350.0,6810.0,5340.0,6810.0,4854897
2017-04-10,6860.0,7050.0,6350.0,6520.0,4011380
2017-04-11,6530.0,6630.0,6200.0,6400.0,1435610
2017-04-12,6480.0,6600.0,5960.0,6010.0,1928982
2017-04-13,6040.0,6220.0,5860.0,6120.0,1327078
2017-04-14,6010.0,6140.0,5710.0,5720.0,593381
2017-04-17,5750.0,5870.0,5650.0,5800.0,264457
2017-04-18,5850.0,5930.0,5680.0,5880.0,261577
2017-04-19,5880.0,5950.0,5790.0,5890.0,274432
2017-04-20,5890.0,5960.0,5710.0,5750.0,170358
2017-04-21,5790.0,5900.0,5700.0,5880.0,181373
2017-04-24,5810.0,5880.0,5700.0,5710.0,155623
2017-04-25,5760.0,6000.0,5720.0,5950.0,296099
2017-04-26,5940.0,5990.0,5850.0,5920.0,146932
2017-04-27,5950.0,5960.0,5580.0,5710.0,172755
2017-04-28,5640.0,5770.0,5550.0,5660.0,103262
2017-05-02,5600.0,5660.0,5510.0,5550.0,104034
2017-05-04,5510.0,5800.0,5500.0,5720.0,177903
2017-05-08,5760.0,5950.0,5730.0,5920.0,188202
2017-05-10,5920.0,5970.0,5810.0,5890.0,82871
2017-05-11,5890.0,6020.0,5830.0,5930.0,113895
2017-05-12,6130.0,6140.0,5940.0,6030.0,262201
2017-05-15,6060.0,6120.0,5980.0,6100.0,164991
2017-05-16,6050.0,6120.0,5940.0,5950.0,125390
2017-05-17,6000.0,6100.0,5930.0,6070.0,100094
2017-05-18,5940.0,6060.0,5940.0,6040.0,73529
2017-05-19,6080.0,6120.0,5950.0,6060.0,104705
2017-05-22,6020.0,6210.0,6010.0,6210.0,131891
2017-05-23,6200.0,6340.0,6170.0,6180.0,276693
2017-05-24,6200.0,6250.0,5950.0,6040.0,123589
2017-05-25,6050.0,6100.0,5950.0,6060.0,56650
2017-05-26,6090.0,6090.0,5860.0,5910.0,97068
2017-05-29,5880.0,5950.0,5740.0,5770.0,83224
2017-05-30,5750.0,5850.0,5750.0,5840.0,52025
2017-05-31,5840.0,5940.0,5770.0,5900.0,55751
2017-06-01,5960.0,5960.0,5850.0,5930.0,29491
2017-06-02,5930.0,6070.0,5930.0,5980.0,55545
2017-06-05,6050.0,6100.0,5920.0,6100.0,53185
2017-06-07,6100.0,6100.0,6010.0,6050.0,141527
2017-06-08,6240.0,6270.0,6040.0,6050.0,220722
2017-06-09,6030.0,6390.0,5910.0,6280.0,326091
2017-06-12,6280.0,6330.0,6180.0,6320.0,151117
2017-06-13,6310.0,6330.0,6120.0,6230.0,127870
2017-06-14,6310.0,6310.0,6170.0,6220.0,65841
2017-06-15,6200.0,6240.0,6070.0,6150.0,51961
2017-06-16,6150.0,6420.0,6100.0,6240.0,143568
2017-06-19,6240.0,6470.0,6230.0,6320.0,266068
2017-06-20,6370.0,6370.0,6020.0,6190.0,145691
2017-06-21,6310.0,6310.0,6070.0,6250.0,122137
2017-06-22,6260.0,7380.0,6250.0,6640.0,6647129
2017-06-23,6580.0,6670.0,6430.0,6610.0,627200
2017-06-26,6660.0,8590.0,6600.0,8590.0,10104274
2017-06-27,8680.0,8680.0,7900.0,8090.0,3703434
2017-06-28,8120.0,8320.0,7700.0,8130.0,2612372
2017-06-29,8320.0,10200.0,8200.0,9420.0,15485906
2017-06-30,9420.0,9510.0,8990.0,9110.0,2269961
2017-07-03,9100.0,9360.0,8720.0,9300.0,1639035
