date,open,high,low,close,volume
2015-12-17,2043.0,2656.0,2037.0,2111.0,14131371
2015-12-18,2160.0,2167.0,1916.0,1937.0,2625789
2015-12-21,1892.0,1896.0,1670.0,1683.0,1440507
2015-12-22,1699.0,1736.0,1607.0,1645.0,741838
2015-12-23,1630.0,1663.0,1508.0,1577.0,622980
2015-12-24,1672.0,2047.0,1665.0,1756.0,7018599
2015-12-28,1706.0,1722.0,1631.0,1651.0,803932
2015-12-29,1672.0,1936.0,1669.0,1699.0,1530988
2015-12-30,1726.0,1819.0,1699.0,1756.0,490790
2016-01-04,1756.0,1762.0,1675.0,1719.0,279662
2016-01-05,1736.0,2234.0,1736.0,2235.0,7889545
2016-01-06,2385.0,2495.0,2053.0,2205.0,6481285
2016-01-07,2254.0,2551.0,2194.0,2298.0,5907645
2016-01-08,2234.0,2488.0,2167.0,2375.0,3732107
2016-01-11,2572.0,2636.0,2224.0,2242.0,3300509
2016-01-12,2341.0,2358.0,2107.0,2155.0,995988
2016-01-13,2190.0,2441.0,2144.0,2322.0,2890781
2016-01-14,2237.0,2508.0,2194.0,2509.0,2495250
2016-01-15,2461.0,2541.0,2385.0,2486.0,1509236
2016-01-18,2458.0,2793.0,2428.0,2733.0,3110779
2016-01-19,2669.0,2843.0,2632.0,2763.0,1698286
2016-01-20,2702.0,2719.0,2511.0,2519.0,1122633
2016-01-21,2488.0,2515.0,2331.0,2342.0,838260
2016-01-22,2368.0,2425.0,2264.0,2322.0,430277
2016-01-25,2365.0,2411.0,2348.0,2362.0,474809
2016-01-26,2348.0,2401.0,2274.0,2288.0,395153
2016-01-27,2328.0,2408.0,2244.0,2245.0,507780
2016-01-28,2244.0,2338.0,2170.0,2195.0,323638
2016-01-29,2224.0,2264.0,2174.0,2195.0,169897
2016-02-01,2274.0,2287.0,2187.0,2238.0,208960
2016-02-02,2274.0,2361.0,2197.0,2282.0,406793
2016-02-03,2274.0,2290.0,2200.0,2201.0,204523
2016-02-04,2194.0,2247.0,2170.0,2191.0,136189
2016-02-05,2200.0,2230.0,2170.0,2231.0,137178
2016-02-11,2170.0,2210.0,2053.0,2057.0,143637
2016-02-12,2007.0,2023.0,1859.0,1914.0,231338
2016-02-15,1933.0,2318.0,1933.0,2141.0,510557
2016-02-16,2230.0,2304.0,2194.0,2201.0,296843
2016-02-17,2200.0,2217.0,2097.0,2161.0,116364
2016-02-18,2190.0,2277.0,2147.0,2235.0,134055
2016-02-19,2234.0,2287.0,2174.0,2288.0,112430
2016-02-22,2338.0,2365.0,2274.0,2305.0,137450
2016-02-23,2314.0,2338.0,2240.0,2302.0,131598
2016-02-24,2308.0,2348.0,2274.0,2315.0,84830
2016-02-25,2338.0,2361.0,2277.0,2288.0,135658
2016-02-26,2304.0,2311.0,2247.0,2265.0,76943
2016-02-29,2257.0,2277.0,2073.0,2195.0,126891
2016-03-02,2204.0,2240.0,2164.0,2208.0,76327
2016-03-03,2184.0,2207.0,2123.0,2134.0,107566
2016-03-04,2164.0,2438.0,2134.0,2392.0,757540
2016-03-07,2425.0,2562.0,2405.0,2476.0,716824
2016-03-08,2488.0,2545.0,2408.0,2469.0,289970
2016-03-09,2468.0,2558.0,2395.0,2469.0,288410
2016-03-10,2468.0,2548.0,2458.0,2533.0,179919
2016-03-11,2518.0,2521.0,2451.0,2476.0,72604
2016-03-14,2475.0,2495.0,2388.0,2408.0,84125
2016-03-15,2425.0,2448.0,2375.0,2408.0,58680
2016-03-16,2461.0,2615.0,2428.0,2526.0,318188
2016-03-17,2538.0,2592.0,2481.0,2523.0,147412
2016-03-18,2672.0,2809.0,2595.0,2596.0,451575
2016-03-21,2625.0,2646.0,2565.0,2603.0,155074
2016-03-22,2608.0,2608.0,2518.0,2563.0,99508
2016-03-23,2541.0,2595.0,2525.0,2576.0,93776
2016-03-24,2595.0,2595.0,2475.0,2509.0,75882
2016-03-25,2508.0,2608.0,2475.0,2603.0,112483
2016-03-28,2602.0,2682.0,2575.0,2659.0,132073
2016-03-29,2682.0,2712.0,2618.0,2659.0,110362
2016-03-30,2689.0,2689.0,2625.0,2656.0,67710
2016-03-31,2659.0,2666.0,2551.0,2623.0,88703
2016-04-01,2622.0,2649.0,2551.0,2576.0,65649
2016-04-04,2565.0,2689.0,2565.0,2683.0,134198
2016-04-05,2682.0,2686.0,2629.0,2653.0,47382
2016-04-06,2662.0,2676.0,2575.0,2656.0,78437
2016-04-07,2659.0,2676.0,2582.0,2583.0,89062
2016-04-08,2575.0,2662.0,2568.0,2663.0,87971
2016-04-11,2676.0,3445.0,2676.0,3445.0,3524732
2016-04-12,3629.0,3646.0,3298.0,3496.0,2025373
2016-04-14,3445.0,3595.0,3345.0,3496.0,955765
2016-04-15,3478.0,3713.0,3318.0,3335.0,985333
2016-04-18,3311.0,3325.0,3114.0,3178.0,567504
2016-04-19,3174.0,3241.0,3140.0,3178.0,364559
2016-04-20,3211.0,3227.0,3097.0,3098.0,252041
2016-04-21,3117.0,3167.0,3047.0,3101.0,229226
2016-04-22,3100.0,3308.0,3060.0,3252.0,546332
2016-04-25,3291.0,3318.0,3207.0,3248.0,178812
2016-04-26,3257.0,3291.0,3160.0,3228.0,126691
2016-04-27,3244.0,3445.0,3217.0,3379.0,353942
2016-04-28,3378.0,3512.0,3318.0,3412.0,316985
2016-04-29,3345.0,3428.0,3144.0,3285.0,200460
2016-05-02,3285.0,3305.0,3201.0,3225.0,71708
2016-05-03,3224.0,3288.0,3130.0,3202.0,140295
2016-05-04,3201.0,3241.0,3174.0,3195.0,91399
2016-05-09,3221.0,3328.0,3140.0,3245.0,190815
2016-05-10,3277.0,3277.0,3154.0,3175.0,118541
2016-05-11,3160.0,3184.0,3147.0,3158.0,97267
2016-05-12,3157.0,3187.0,3134.0,3145.0,61739
