date,open,high,low,close,volume
2017-09-27,5880.0,6020.0,4120.0,4170.0,13005220
2017-09-28,4160.0,4510.0,3969.0,4210.0,3495720
2017-09-29,4110.0,4200.0,3920.0,3980.0,1551545
2017-10-10,4080.0,4900.0,3830.0,4440.0,4140875
2017-10-11,4410.0,4760.0,4360.0,4600.0,1471735
2017-10-12,4620.0,4640.0,4350.0,4420.0,941405
2017-10-13,4410.0,4530.0,4170.0,4400.0,882900
2017-10-16,4330.0,4340.0,4100.0,4120.0,565085
2017-10-17,4100.0,4240.0,4060.0,4060.0,335260
2017-10-18,4090.0,4090.0,3860.0,3860.0,557875
2017-10-19,3950.0,4500.0,3840.0,4200.0,1016850
2017-10-20,4260.0,4260.0,4000.0,4090.0,259115
2017-10-23,4170.0,4190.0,4040.0,4130.0,184785
2017-10-24,4230.0,4350.0,4100.0,4100.0,381145
2017-10-25,4040.0,4150.0,4000.0,4100.0,216975
2017-10-26,4150.0,4450.0,4080.0,4190.0,690310
2017-10-27,3910.0,4060.0,3880.0,3970.0,1342515
2017-10-30,4000.0,4040.0,3880.0,3980.0,415385
2017-10-31,3930.0,3970.0,3910.0,3920.0,248235
2017-11-01,4000.0,4230.0,3949.0,4110.0,1102070
2017-11-02,4180.0,4340.0,4110.0,4120.0,1093465
2017-11-03,4100.0,4100.0,3980.0,4020.0,618625
2017-11-06,4029.0,4120.0,4010.0,4070.0,341270
2017-11-07,4080.0,4220.0,4020.0,4110.0,585385
2017-11-08,4150.0,4350.0,4110.0,4240.0,985675
2017-11-09,4300.0,4720.0,4240.0,4500.0,2663130
2017-11-10,4500.0,4600.0,4330.0,4450.0,589780
2017-11-13,4530.0,4530.0,4370.0,4380.0,467750
2017-11-14,4420.0,4470.0,4220.0,4320.0,449390
2017-11-15,4350.0,4350.0,4160.0,4160.0,491680
2017-11-16,4200.0,4400.0,4100.0,4380.0,619810
2017-11-17,4390.0,4600.0,4350.0,4560.0,1077630
2017-11-20,4600.0,4610.0,4440.0,4510.0,465135
2017-11-21,4570.0,4690.0,4510.0,4540.0,857935
2017-11-22,4560.0,4980.0,4560.0,4840.0,1545270
2017-11-23,4890.0,4930.0,4690.0,4800.0,671910
2017-11-24,4850.0,5130.0,4790.0,4950.0,1180610
2017-11-27,5100.0,5120.0,4950.0,5030.0,757610
2017-11-28,5080.0,5100.0,4730.0,4900.0,852255
2017-11-29,4860.0,5040.0,4830.0,4920.0,399405
2017-11-30,4860.0,5020.0,4780.0,4960.0,404875
2017-12-01,5080.0,5340.0,4960.0,5220.0,629410
2017-12-04,5320.0,5320.0,5170.0,5230.0,403695
2017-12-05,5260.0,5500.0,5190.0,5200.0,629630
2017-12-06,5260.0,5420.0,5000.0,5130.0,594175
2017-12-07,5080.0,5240.0,4820.0,5240.0,385960
2017-12-08,5200.0,5430.0,5130.0,5330.0,250490
2017-12-11,5330.0,5510.0,5140.0,5170.0,352335
2017-12-12,5270.0,5330.0,5160.0,5310.0,249615
2017-12-13,5340.0,5400.0,5280.0,5300.0,198700
2017-12-14,5310.0,5490.0,5300.0,5390.0,347965
2017-12-15,5389.0,5440.0,5340.0,5420.0,237285
2017-12-18,5430.0,5480.0,5339.0,5350.0,87065
2017-12-19,5340.0,5360.0,5110.0,5200.0,201700
2017-12-20,5260.0,5260.0,4960.0,5000.0,230160
2017-12-21,5040.0,5050.0,4720.0,4840.0,240795
2017-12-22,4800.0,4970.0,4770.0,4930.0,76915
2017-12-26,4900.0,4990.0,4700.0,4740.0,224835
2017-12-27,4600.0,4690.0,4340.0,4650.0,462900
2017-12-28,4660.0,4700.0,4450.0,4700.0,1167405
2018-01-02,4750.0,4930.0,4750.0,4810.0,493270
2018-01-03,4860.0,4960.0,4790.0,4910.0,463465
2018-01-04,4880.0,4930.0,4790.0,4890.0,385785
2018-01-05,4960.0,4960.0,4840.0,4920.0,294520
2018-01-08,4970.0,4970.0,4730.0,4790.0,280605
2018-01-09,4750.0,4850.0,4660.0,4750.0,156730
2018-01-10,4750.0,4850.0,4660.0,4690.0,194065
2018-01-11,4680.0,4740.0,4650.0,4680.0,140020
2018-01-12,4680.0,4680.0,4500.0,4610.0,271790
2018-01-15,4610.0,4610.0,4420.0,4460.0,264750
2018-01-16,4500.0,4750.0,4380.0,4730.0,468305
2018-01-17,4800.0,4910.0,4710.0,4870.0,366550
2018-01-18,4900.0,4910.0,4760.0,4850.0,224525
2018-01-19,4850.0,4860.0,4760.0,4820.0,158475
2018-01-22,4860.0,4860.0,4700.0,4740.0,117510
2018-01-23,4760.0,5060.0,4670.0,5000.0,529095
2018-01-24,4990.0,5130.0,4930.0,5110.0,432455
2018-01-25,5130.0,5260.0,4980.0,5250.0,421445
2018-01-26,5280.0,5280.0,4980.0,5190.0,319305
2018-01-29,5260.0,5660.0,5210.0,5580.0,1040020
2018-01-30,5580.0,5640.0,5370.0,5530.0,568305
2018-01-31,5310.0,5560.0,5270.0,5540.0,494020
2018-02-01,5530.0,5610.0,5410.0,5600.0,310945
2018-02-02,5610.0,5629.0,5320.0,5420.0,278900
2018-02-05,5240.0,5390.0,5190.0,5230.0,393525
2018-02-06,4830.0,5280.0,4830.0,5200.0,453265
2018-02-07,5300.0,5400.0,5080.0,5120.0,260580
2018-02-08,5160.0,5300.0,5040.0,5270.0,165230
2018-02-09,5060.0,5270.0,5060.0,5230.0,116625
2018-02-12,5299.0,5379.0,5160.0,5250.0,152505
2018-02-13,5370.0,5370.0,5040.0,5100.0,220775
2018-02-14,5219.0,5219.0,5000.0,5170.0,52685
2018-02-19,5249.0,5380.0,5209.0,5380.0,161790
2018-02-20,5379.0,5490.0,5299.0,5370.0,130525
2018-02-21,5370.0,5400.0,5300.0,5310.0,128740
2018-02-22,5310.0,5379.0,5160.0,5330.0,77285
2018-02-23,5330.0,5460.0,5330.0,5400.0,334960
2018-02-26,5470.0,5470.0,5320.0,5380.0,119805
2018-02-27,5380.0,5430.0,5270.0,5400.0,92465
2018-02-28,5480.0,6020.0,5460.0,5670.0,1898420
2018-03-02,5610.0,5890.0,5590.0,5790.0,532760
2018-03-05,5900.0,6320.0,5750.0,5880.0,1092560
2018-03-06,5900.0,6260.0,5880.0,6040.0,829435
2018-03-07,6130.0,6130.0,5960.0,6000.0,356910
2018-03-08,6040.0,6420.0,6010.0,6380.0,586180
2018-03-09,6240.0,6850.0,6240.0,6800.0,940930
2018-03-12,6990.0,7250.0,6920.0,7210.0,1129605
2018-03-13,7300.0,7300.0,6640.0,6720.0,768200
2018-03-14,6790.0,7200.0,6790.0,7000.0,736485
2018-03-15,7040.0,7560.0,6800.0,7560.0,813085
2018-03-16,7600.0,7840.0,7390.0,7670.0,810215
2018-03-19,7650.0,8030.0,7460.0,7920.0,517475
2018-03-20,7869.0,7980.0,7360.0,7490.0,742255
2018-03-21,7610.0,7680.0,7390.0,7580.0,510750
2018-03-22,7580.0,7700.0,7480.0,7560.0,349390
2018-03-23,7400.0,7650.0,7150.0,7300.0,542630
2018-03-26,7240.0,7440.0,7140.0,7340.0,296730
2018-03-27,7420.0,7710.0,7290.0,7620.0,322290
2018-03-28,7650.0,7650.0,7330.0,7500.0,274475
2018-03-29,7350.0,7590.0,7200.0,7580.0,271930
2018-03-30,7650.0,7830.0,7510.0,7620.0,332950
2018-04-02,7699.0,7859.0,7480.0,7620.0,371315
2018-04-03,7520.0,7520.0,7300.0,7360.0,239245
2018-04-04,7360.0,7400.0,6780.0,6970.0,594825
2018-04-05,7030.0,7120.0,6910.0,7000.0,156860
2018-04-06,6990.0,7180.0,6680.0,7080.0,180875
2018-04-09,7090.0,7110.0,6730.0,6810.0,186375
2018-04-10,6810.0,7040.0,6810.0,6930.0,131715
2018-04-11,7090.0,7090.0,6780.0,6920.0,165595
2018-04-12,6920.0,7350.0,6820.0,7160.0,302105
2018-04-13,7300.0,7350.0,7010.0,7120.0,141110
2018-04-16,7000.0,7120.0,6960.0,7080.0,179600
2018-04-17,7130.0,7630.0,7000.0,7600.0,491980
2018-04-18,7620.0,7640.0,7400.0,7480.0,138645
2018-04-19,7420.0,7540.0,7310.0,7390.0,123320
2018-04-20,7389.0,7770.0,7290.0,7480.0,318075
2018-04-23,7460.0,7480.0,7030.0,7320.0,224590
2018-04-24,7240.0,7390.0,6990.0,7010.0,152915
2018-04-25,6940.0,7020.0,6750.0,6860.0,125835
2018-04-26,6860.0,7180.0,6760.0,7100.0,155145
2018-04-27,7020.0,7200.0,7020.0,7120.0,48270
2018-04-30,7120.0,7120.0,6840.0,7020.0,115100
2018-05-02,7020.0,7150.0,6490.0,6970.0,94955
2018-05-03,6940.0,7160.0,6930.0,6960.0,85335
2018-05-04,6960.0,7130.0,6800.0,6940.0,87230
2018-05-08,6950.0,7090.0,6800.0,6950.0,95575
2018-05-09,6880.0,7140.0,6700.0,7060.0,98785
2018-05-10,7020.0,7030.0,6890.0,7000.0,46060
2018-05-11,7120.0,7180.0,6940.0,7070.0,71445
2018-05-14,7140.0,7240.0,6910.0,7080.0,67015
2018-05-15,6950.0,7070.0,6770.0,6820.0,82140
2018-05-16,6720.0,6780.0,6400.0,6770.0,283000
2018-05-17,6660.0,6990.0,6660.0,6890.0,78085
2018-05-18,6910.0,6960.0,6710.0,6960.0,85310
2018-05-21,6930.0,6930.0,6770.0,6850.0,86135
2018-05-23,6880.0,7360.0,6880.0,7010.0,322885
2018-05-24,6970.0,7280.0,6960.0,7180.0,219320
2018-05-25,7140.0,7300.0,7070.0,7290.0,128820
2018-05-28,7490.0,7940.0,7450.0,7920.0,626615
2018-05-29,7990.0,8280.0,7750.0,7890.0,618750
2018-05-30,7860.0,8000.0,7650.0,7760.0,191970
2018-05-31,7800.0,8080.0,7779.0,8020.0,241970
2018-06-01,8160.0,8370.0,8020.0,8300.0,240605
2018-06-04,8400.0,8840.0,8000.0,8060.0,609525
2018-06-05,8169.0,8460.0,8119.0,8390.0,296095
2018-06-07,8390.0,8800.0,8200.0,8780.0,319345
2018-06-08,8710.0,8780.0,8460.0,8750.0,219960
2018-06-11,8650.0,8750.0,8370.0,8520.0,189935
2018-06-12,8550.0,8580.0,8200.0,8220.0,296180
2018-06-14,8180.0,8510.0,8100.0,8120.0,291395
2018-06-15,8160.0,8580.0,8070.0,8400.0,269935
2018-06-18,8260.0,8290.0,7810.0,8090.0,351175
2018-06-19,8380.0,8380.0,7920.0,8130.0,134870
2018-06-20,8080.0,8410.0,8080.0,8380.0,147555
2018-06-21,8500.0,8920.0,8380.0,8510.0,439985
2018-06-22,8530.0,8580.0,8170.0,8500.0,194035
2018-06-25,8530.0,8570.0,8270.0,8300.0,153910
2018-06-26,8160.0,8340.0,7970.0,8230.0,186950
2018-06-27,8360.0,8420.0,8150.0,8160.0,124010
2018-06-28,8080.0,8260.0,8000.0,8130.0,75070
2018-06-29,8130.0,8180.0,7810.0,8080.0,150860
2018-07-02,8390.0,8490.0,8000.0,8100.0,270570
2018-07-03,8360.0,8700.0,8169.0,8680.0,448690
2018-07-04,8800.0,8800.0,8400.0,8400.0,209790
2018-07-05,8450.0,8450.0,8040.0,8200.0,214360
2018-07-06,8120.0,8800.0,8080.0,8600.0,329190
2018-07-09,8500.0,9170.0,8500.0,8910.0,708230
2018-07-10,9100.0,9100.0,8720.0,8850.0,250900
2018-07-11,8820.0,9100.0,8510.0,8920.0,386630
2018-07-12,8930.0,9100.0,8760.0,9020.0,338915
2018-07-13,9100.0,9400.0,8820.0,8960.0,330045
2018-07-16,8960.0,9150.0,8810.0,8910.0,181315
2018-07-17,8880.0,8990.0,8620.0,8700.0,170335
2018-07-18,8710.0,8980.0,8600.0,8640.0,146955
2018-07-19,8640.0,8890.0,8600.0,8840.0,205620
2018-07-20,8840.0,8840.0,8360.0,8490.0,388415
2018-07-23,8420.0,8450.0,7900.0,7960.0,422235
2018-07-24,7860.0,8330.0,7860.0,8220.0,232825
2018-07-25,8140.0,8520.0,8140.0,8470.0,225170
2018-07-26,8480.0,8520.0,8129.0,8360.0,183690
2018-07-27,8280.0,8540.0,8280.0,8520.0,86420
2018-07-30,8420.0,8700.0,8260.0,8680.0,199580
2018-07-31,8550.0,8680.0,8320.0,8420.0,103015
2018-08-01,8450.0,8500.0,8290.0,8370.0,93925
2018-08-02,8370.0,8680.0,8310.0,8610.0,213795
2018-08-03,8610.0,8650.0,8530.0,8590.0,50275
2018-08-06,8540.0,8580.0,8250.0,8250.0,107475
2018-08-07,8250.0,8520.0,8170.0,8350.0,145495
2018-08-08,8380.0,8460.0,8240.0,8240.0,43005
2018-08-09,8280.0,8340.0,7970.0,8100.0,184745
2018-08-10,8210.0,8210.0,7780.0,7820.0,148715
2018-08-13,7820.0,7850.0,7450.0,7600.0,192135
2018-08-14,7600.0,7740.0,7350.0,7650.0,123880
2018-08-16,7690.0,8630.0,7650.0,8440.0,463920
2018-08-17,8590.0,8970.0,8400.0,8580.0,455215
2018-08-20,8580.0,8700.0,8330.0,8630.0,143675
2018-08-21,8630.0,8800.0,8510.0,8640.0,156075
2018-08-22,8640.0,8810.0,8340.0,8530.0,202885
2018-08-23,8600.0,8790.0,8410.0,8790.0,128950
2018-08-24,8790.0,8970.0,8750.0,8900.0,214945
2018-08-27,8850.0,9410.0,8850.0,9360.0,465295
2018-08-28,9420.0,9870.0,9420.0,9650.0,443545
2018-08-29,9700.0,9700.0,9490.0,9610.0,125325
2018-08-30,9750.0,9770.0,9560.0,9650.0,128735
2018-08-31,9620.0,9800.0,9580.0,9640.0,121365
2018-09-03,9660.0,9700.0,9500.0,9600.0,85625
2018-09-04,9710.0,10240.0,9600.0,10200.0,629515
2018-09-05,10200.0,10340.0,10060.0,10260.0,193775
2018-09-06,10260.0,10300.0,9920.0,10120.0,176410
2018-09-07,10020.0,10300.0,10000.0,10300.0,183930
2018-09-10,10260.0,10380.0,10040.0,10320.0,126435
2018-09-11,10420.0,10860.0,10320.0,10540.0,323900
2018-09-12,10540.0,10720.0,10100.0,10240.0,215245
2018-09-13,10220.0,10400.0,9990.0,10160.0,183100
2018-09-14,10200.0,10240.0,9910.0,10040.0,194350
2018-09-17,10180.0,10740.0,10080.0,10580.0,343895
2018-09-18,10640.0,11160.0,10380.0,11080.0,307750
2018-09-19,11000.0,11120.0,10219.0,10520.0,463725
2018-09-20,10460.0,10520.0,10100.0,10420.0,237020
2018-09-21,10240.0,10480.0,10080.0,10320.0,264170
2018-09-27,10360.0,10560.0,10240.0,10480.0,116400
2018-09-28,10480.0,10480.0,10180.0,10380.0,166950
2018-10-01,10440.0,10440.0,9640.0,9990.0,333000
2018-10-02,10060.0,10380.0,9930.0,9990.0,192015
2018-10-04,10160.0,10160.0,9830.0,9960.0,78090
2018-10-05,9800.0,10020.0,9600.0,9770.0,143705
2018-10-08,9720.0,10140.0,9710.0,10000.0,141870
2018-10-10,10000.0,10020.0,9480.0,9800.0,151440
2018-10-11,9260.0,9540.0,9170.0,9200.0,271810
2018-10-12,9200.0,10020.0,9130.0,9970.0,337940
2018-10-15,10020.0,10480.0,9740.0,10060.0,242485
2018-10-16,10060.0,10320.0,9600.0,10000.0,159455
2018-10-17,10400.0,10400.0,10000.0,10300.0,181680
2018-10-18,10400.0,10400.0,10060.0,10380.0,129240
2018-10-19,10160.0,10780.0,10160.0,10720.0,221395
