date,open,high,low,close,volume
2017-03-31,7506.0,9341.0,7506.0,8158.0,2656861
2017-04-03,8224.0,8274.0,7707.0,8008.0,465859
2017-04-04,7908.0,8058.0,7707.0,8008.0,222502
2017-04-05,8040.0,8124.0,7707.0,7841.0,239415
2017-04-06,7789.0,7939.0,7756.0,7790.0,114126
2017-04-07,7841.0,8024.0,7807.0,7991.0,196977
2017-04-10,8057.0,8057.0,7673.0,7674.0,152760
2017-04-11,7673.0,7857.0,7290.0,7674.0,202264
2017-04-12,7723.0,8174.0,7473.0,7891.0,161424
2017-04-13,7841.0,8057.0,7824.0,7941.0,119296
2017-04-14,7857.0,8608.0,7857.0,8108.0,148047
2017-04-17,8157.0,8323.0,8090.0,8158.0,83395
2017-04-18,8158.0,8224.0,7958.0,8108.0,54663
2017-04-19,8091.0,8158.0,7874.0,8108.0,74973
2017-04-20,8140.0,8574.0,8140.0,8441.0,199810
2017-04-21,8574.0,8590.0,8257.0,8291.0,65013
2017-04-24,8306.0,8306.0,7973.0,8241.0,108118
2017-04-25,8207.0,8290.0,8074.0,8158.0,65778
2017-04-26,8156.0,8306.0,8106.0,8274.0,81598
2017-04-27,8324.0,8324.0,8074.0,8108.0,73831
2017-04-28,8108.0,8108.0,7841.0,7958.0,109404
2017-05-02,7923.0,8007.0,7723.0,7774.0,98707
2017-05-04,7773.0,8040.0,7623.0,8024.0,99487
2017-05-08,8024.0,8024.0,7757.0,7891.0,128596
2017-05-10,7891.0,8057.0,7857.0,8041.0,49782
2017-05-11,7991.0,8124.0,7924.0,8008.0,50733
2017-05-12,7956.0,7973.0,7772.0,7790.0,111631
2017-05-15,7908.0,7924.0,7740.0,7808.0,55122
2017-05-16,7873.0,7873.0,7639.0,7657.0,85102
2017-05-17,7640.0,7723.0,7457.0,7457.0,68554
2017-05-18,7390.0,7440.0,7224.0,7224.0,111210
2017-05-19,7224.0,7307.0,7023.0,7174.0,68970
2017-05-22,7173.0,7206.0,7056.0,7157.0,61386
2017-05-23,7123.0,7307.0,7123.0,7174.0,56383
2017-05-24,7173.0,7306.0,7139.0,7207.0,53476
2017-05-25,7240.0,7424.0,7190.0,7374.0,40354
2017-05-26,7356.0,7423.0,7306.0,7340.0,29943
2017-05-29,7340.0,7340.0,7139.0,7174.0,43978
2017-05-30,7139.0,7224.0,7073.0,7174.0,30451
2017-05-31,7173.0,7406.0,7173.0,7290.0,27331
2017-06-01,7323.0,7323.0,7174.0,7274.0,32082
2017-06-02,7290.0,7290.0,7090.0,7224.0,43326
2017-06-05,7239.0,7239.0,7072.0,7090.0,36304
2017-06-07,7056.0,7223.0,7056.0,7140.0,44376
2017-06-08,7139.0,7223.0,7106.0,7140.0,38160
2017-06-09,7207.0,7490.0,7173.0,7407.0,82033
2017-06-12,7406.0,7406.0,7257.0,7307.0,40060
2017-06-13,7290.0,7489.0,7290.0,7340.0,44070
2017-06-14,7340.0,7440.0,7207.0,7224.0,69280
2017-06-15,7224.0,7274.0,7157.0,7224.0,25003
2017-06-16,7207.0,7257.0,7056.0,7224.0,55152
2017-06-19,7122.0,7306.0,7122.0,7290.0,36370
2017-06-20,7273.0,7273.0,7139.0,7157.0,16275
2017-06-21,7122.0,7173.0,6939.0,6940.0,82231
2017-06-22,7005.0,7005.0,6822.0,6990.0,42364
2017-06-23,7005.0,7005.0,6806.0,6840.0,38083
2017-06-26,6906.0,6939.0,6673.0,6673.0,48745
2017-06-27,6688.0,6971.0,6588.0,6956.0,95338
2017-06-28,7255.0,7605.0,6855.0,6856.0,301002
2017-06-29,6855.0,6872.0,6706.0,6756.0,34669
2017-06-30,6706.0,6873.0,6623.0,6690.0,87631
2017-07-03,6722.0,7088.0,6688.0,7006.0,73831
2017-07-04,6939.0,7139.0,6739.0,6823.0,53398
2017-07-05,6890.0,6890.0,6739.0,6790.0,28771
2017-07-06,6739.0,6856.0,6689.0,6773.0,27715
2017-07-07,6689.0,6839.0,6689.0,6773.0,22420
2017-07-10,6755.0,6755.0,6639.0,6706.0,38238
2017-07-11,6706.0,6706.0,6539.0,6623.0,17832
2017-07-12,6606.0,6739.0,6606.0,6656.0,26358
2017-07-13,6590.0,6723.0,6590.0,6640.0,25734
2017-07-14,6639.0,6772.0,6606.0,6623.0,56593
2017-07-17,6606.0,6639.0,6522.0,6606.0,22386
2017-07-18,6656.0,6840.0,6556.0,6740.0,40843
2017-07-19,6656.0,6739.0,6656.0,6723.0,14922
2017-07-20,6739.0,6789.0,6672.0,6756.0,43897
2017-07-21,6706.0,6823.0,6706.0,6790.0,45711
2017-07-24,6790.0,6840.0,6706.0,6790.0,30742
2017-07-25,6739.0,6856.0,6739.0,6790.0,23844
2017-07-26,6789.0,6839.0,6673.0,6673.0,68955
2017-07-27,6739.0,6789.0,6673.0,6773.0,35538
2017-07-28,6756.0,6756.0,6573.0,6623.0,61710
2017-07-31,6573.0,6690.0,6506.0,6690.0,22129
2017-08-01,6689.0,6705.0,6606.0,6656.0,12538
2017-08-02,6706.0,6706.0,6623.0,6640.0,14160
2017-08-03,6690.0,6690.0,6406.0,6540.0,37332
2017-08-04,6454.0,6555.0,6355.0,6439.0,49249
2017-08-07,6405.0,6405.0,6305.0,6356.0,49824
2017-08-08,6354.0,6471.0,6205.0,6289.0,64803
