date,open,high,low,close,volume
2018-12-27,7931.0,10301.0,7921.0,10304.0,10820451
2018-12-28,11052.0,12946.0,10378.0,12020.0,16812391
2019-01-02,12468.0,12926.0,11542.0,11961.0,3915055
2019-01-03,11898.0,11939.0,10774.0,11152.0,2248330
2019-01-04,11051.0,11403.0,10495.0,11350.0,2380249
2019-01-07,11365.0,11543.0,10853.0,11152.0,1321739
2019-01-08,11089.0,11186.0,10456.0,10521.0,943003
2019-01-09,11052.0,11384.0,10496.0,10579.0,1879172
2019-01-10,10575.0,10575.0,10024.0,10184.0,833857
2019-01-11,10065.0,10183.0,9846.0,9849.0,693281
2019-01-14,9590.0,9924.0,9510.0,9603.0,465937
2019-01-15,9709.0,9776.0,9488.0,9514.0,450645
2019-01-16,9568.0,10139.0,9568.0,9967.0,991782
2019-01-17,10022.0,10022.0,9598.0,9603.0,354723
2019-01-18,9590.0,9813.0,9500.0,9642.0,321575
2019-01-21,9728.0,9736.0,9463.0,9464.0,220576
2019-01-22,9380.0,9509.0,9213.0,9237.0,289797
2019-01-23,9305.0,9410.0,9117.0,9138.0,216682
2019-01-24,9137.0,9204.0,8908.0,8911.0,334961
2019-01-25,8817.0,9231.0,8817.0,9090.0,398821
2019-01-28,9084.0,9231.0,9064.0,9080.0,228845
2019-01-29,9079.0,9344.0,8927.0,9149.0,398444
2019-01-30,9185.0,9282.0,9115.0,9129.0,180980
2019-01-31,9205.0,9205.0,8996.0,9030.0,158537
2019-02-01,9025.0,9074.0,8917.0,8951.0,143845
2019-02-07,9018.0,9026.0,8406.0,8754.0,176805
2019-02-08,8721.0,9009.0,8721.0,8901.0,147363
2019-02-11,8998.0,9127.0,8769.0,8921.0,182916
2019-02-12,8880.0,9165.0,8880.0,9040.0,146863
2019-02-13,9057.0,9194.0,9047.0,9158.0,154743
2019-02-14,9285.0,9313.0,9027.0,9100.0,194552
2019-02-15,9095.0,9164.0,9005.0,9080.0,95011
2019-02-18,9017.0,9066.0,8986.0,8992.0,99962
2019-02-19,8986.0,9058.0,8937.0,8992.0,97583
2019-02-20,8848.0,9007.0,8848.0,8972.0,133272
2019-02-21,8935.0,9360.0,8917.0,9365.0,455993
2019-02-22,9423.0,9984.0,9371.0,9603.0,1587036
2019-02-25,9707.0,9802.0,9442.0,9522.0,300606
2019-02-26,9658.0,9658.0,9224.0,9257.0,465748
2019-02-27,9354.0,9423.0,9264.0,9298.0,194431
2019-02-28,9291.0,9312.0,8887.0,8911.0,202634
2019-03-04,8974.0,9221.0,8917.0,9090.0,159916
2019-03-05,9162.0,9172.0,8956.0,9090.0,124885
2019-03-06,9105.0,9116.0,8879.0,8941.0,151540
2019-03-07,8877.0,8936.0,8730.0,8803.0,159564
2019-03-08,8751.0,8838.0,8540.0,8625.0,216797
2019-03-11,8659.0,8659.0,8494.0,8605.0,77110
2019-03-12,8611.0,8699.0,8581.0,8666.0,92361
2019-03-13,8679.0,8759.0,8599.0,8764.0,94887
2019-03-14,8761.0,8987.0,8712.0,8941.0,182602
2019-03-15,8965.0,9312.0,8880.0,9158.0,368040
2019-03-18,9273.0,9433.0,9116.0,9189.0,268579
2019-03-19,9254.0,9274.0,8979.0,9000.0,148762
2019-03-20,9065.0,9065.0,8779.0,8883.0,100943
2019-03-21,8847.0,9083.0,8700.0,8744.0,107745
2019-03-22,8560.0,8797.0,8393.0,8507.0,258990
2019-03-25,8285.0,8296.0,8129.0,8162.0,218152
2019-03-26,8344.0,8364.0,8138.0,8370.0,142557
2019-03-27,8561.0,8633.0,8268.0,8428.0,166746
2019-03-28,8327.0,8880.0,8255.0,8605.0,280556
2019-03-29,8467.0,8742.0,8276.0,8408.0,141430
2019-04-01,8434.0,8797.0,8288.0,8792.0,248993
2019-04-02,8877.0,8877.0,8599.0,8764.0,116750
2019-04-03,8838.0,8998.0,8699.0,8921.0,169121
2019-04-04,8918.0,9332.0,8879.0,9217.0,516614
2019-04-05,9311.0,9311.0,9017.0,9118.0,175747
2019-04-08,9311.0,9324.0,8796.0,9080.0,162890
2019-04-09,9076.0,9174.0,8860.0,8992.0,157545
2019-04-10,8909.0,9146.0,8839.0,9100.0,124271
2019-04-11,9095.0,11816.0,9095.0,11822.0,4447007
2019-04-12,13119.0,14423.0,12846.0,13778.0,21560984
2019-04-15,16101.0,17897.0,14800.0,17903.0,9677068
2019-04-16,17898.0,18096.0,14698.0,15810.0,2688234
2019-04-17,15292.0,15292.0,14423.0,14804.0,1596246
2019-04-18,14838.0,15353.0,14581.0,15317.0,1294521
2019-04-19,15193.0,18550.0,15057.0,16462.0,17843050
2019-04-22,16772.0,16932.0,14760.0,15337.0,3896587
2019-04-23,15494.0,15494.0,14012.0,14172.0,2335122
2019-04-24,13912.0,14287.0,13498.0,14211.0,2169726
2019-04-25,13891.0,14421.0,13045.0,13323.0,2113756
2019-04-26,13518.0,13793.0,13142.0,13480.0,1440190
2019-04-29,13120.0,13300.0,12844.0,13185.0,699744
2019-04-30,13317.0,13890.0,13178.0,13381.0,2022914
2019-05-02,13398.0,13715.0,13120.0,13718.0,738096
2019-05-03,13932.0,13932.0,13062.0,13086.0,1034188
2019-05-07,12649.0,13400.0,12528.0,12868.0,642871
2019-05-08,12846.0,12926.0,12213.0,12237.0,687050
2019-05-09,12292.0,13810.0,11994.0,12535.0,2655285
2019-05-10,12292.0,12429.0,11757.0,11822.0,760166
2019-05-13,11855.0,12627.0,11603.0,11822.0,1271669
2019-05-14,11521.0,11976.0,11503.0,11822.0,453345
2019-05-15,11839.0,12135.0,11741.0,11883.0,382859
2019-05-16,11800.0,12214.0,11723.0,11883.0,555778
2019-05-17,11876.0,12586.0,11799.0,12080.0,1008090
2019-05-20,11957.0,12374.0,11957.0,12120.0,579249
2019-05-21,12096.0,12116.0,11605.0,11705.0,417831
2019-05-22,11702.0,12155.0,11623.0,11883.0,579618
2019-05-23,11838.0,11938.0,11465.0,11645.0,300274
2019-05-24,11601.0,12057.0,11542.0,12060.0,663347
2019-05-27,11939.0,11957.0,11702.0,11744.0,286752
2019-05-28,11858.0,12547.0,11722.0,12237.0,1148686
2019-05-29,12235.0,12729.0,12058.0,12455.0,879476
2019-05-30,12470.0,15233.0,12313.0,14804.0,6272352
2019-05-31,13812.0,14465.0,13341.0,13421.0,2861708
2019-06-03,13199.0,14089.0,13004.0,13876.0,1539435
2019-06-04,13731.0,14997.0,13711.0,13915.0,4247591
2019-06-05,13990.0,14109.0,13497.0,13541.0,635629
2019-06-07,13535.0,13751.0,13221.0,13659.0,489836
2019-06-10,13675.0,14210.0,13619.0,13619.0,794005
2019-06-11,13730.0,13910.0,13555.0,13836.0,365227
2019-06-12,13812.0,14602.0,13773.0,14013.0,1696790
2019-06-13,14208.0,14229.0,13910.0,14034.0,480463
2019-06-14,13988.0,14189.0,13710.0,13816.0,467075
2019-06-17,13694.0,13869.0,13239.0,13245.0,415885
2019-06-18,13121.0,13259.0,12747.0,13126.0,420516
2019-06-19,13063.0,13241.0,12945.0,13028.0,182910
2019-06-20,13023.0,13556.0,12962.0,13225.0,472216
2019-06-21,13300.0,13419.0,13161.0,13164.0,266934
2019-06-24,13102.0,13223.0,12868.0,12868.0,201532
2019-06-25,12927.0,13025.0,12335.0,12434.0,291310
2019-06-26,12277.0,12431.0,11999.0,12138.0,288040
2019-06-27,12075.0,13045.0,11998.0,12335.0,893341
2019-06-28,12234.0,12530.0,12157.0,12198.0,219729
2019-07-01,12136.0,12313.0,12017.0,12218.0,185718
2019-07-02,12430.0,12726.0,12253.0,12593.0,324230
2019-07-03,14800.0,14957.0,13141.0,13146.0,5664381
2019-07-04,13160.0,15981.0,12766.0,15120.0,17549223
2019-07-05,14523.0,15884.0,14307.0,15239.0,6867734
2019-07-08,14879.0,15334.0,14287.0,14349.0,1752838
2019-07-09,14128.0,14462.0,13616.0,13915.0,1260668
2019-07-10,13829.0,14207.0,13793.0,13935.0,813952
2019-07-11,14384.0,15611.0,13949.0,15395.0,6325507
2019-07-12,15113.0,15391.0,14524.0,14645.0,2167842
2019-07-15,14641.0,15290.0,14366.0,15239.0,1922057
2019-07-16,15374.0,16323.0,14998.0,15593.0,4962538
2019-07-17,15432.0,15884.0,15251.0,15653.0,1357978
2019-07-18,15512.0,15589.0,14977.0,15080.0,940056
2019-07-19,14937.0,16100.0,14919.0,15692.0,3008462
2019-07-22,15549.0,16162.0,15472.0,15514.0,1301522
2019-07-23,15844.0,16004.0,13459.0,15001.0,2819036
2019-07-24,15194.0,15884.0,14402.0,15514.0,3039404
2019-07-25,15114.0,15451.0,14031.0,14034.0,1484164
2019-07-26,13870.0,14760.0,12964.0,13816.0,1856913
2019-07-29,13219.0,14245.0,13219.0,13343.0,736850
2019-07-30,13202.0,13655.0,13141.0,13146.0,438397
2019-07-31,13140.0,13340.0,12666.0,12929.0,401760
2019-08-01,12649.0,13006.0,12294.0,12335.0,417531
2019-08-02,11879.0,12509.0,11781.0,12198.0,420002
2019-08-05,12508.0,12526.0,11166.0,11390.0,652691
2019-08-06,10950.0,11778.0,10319.0,10955.0,675078
2019-08-07,11346.0,11485.0,10852.0,11112.0,592824
2019-08-08,11208.0,11643.0,11208.0,11605.0,407729
2019-08-09,11624.0,11858.0,11503.0,11645.0,360897
2019-08-12,11521.0,11521.0,11243.0,11370.0,233465
2019-08-13,11285.0,11285.0,10951.0,11034.0,235579
2019-08-14,11129.0,11147.0,10812.0,11014.0,223263
2019-08-16,10757.0,10854.0,10618.0,10837.0,203012
2019-08-19,11030.0,14070.0,10911.0,13698.0,5783427
2019-08-20,13396.0,14898.0,13221.0,13698.0,6264585
2019-08-21,13636.0,14580.0,13476.0,13935.0,3052875
2019-08-22,13933.0,14270.0,13439.0,13462.0,1878759
2019-08-23,13439.0,14051.0,13300.0,13738.0,1443419
2019-08-26,13615.0,14209.0,12964.0,13106.0,1425796
2019-08-27,13358.0,14462.0,13178.0,13343.0,3355891
2019-08-28,13358.0,13852.0,13340.0,13521.0,927934
2019-08-29,13637.0,14090.0,13498.0,13718.0,1602734
2019-08-30,13833.0,14329.0,13812.0,14152.0,1652505
2019-09-02,13951.0,14267.0,13418.0,14013.0,1080101
2019-09-03,15019.0,15294.0,13046.0,13164.0,5056867
2019-09-04,12927.0,13123.0,12611.0,12830.0,1172959
2019-09-05,13258.0,13340.0,12867.0,12929.0,924429
2019-09-06,12889.0,13007.0,12649.0,12830.0,380276
2019-09-09,12843.0,12863.0,12526.0,12535.0,396881
2019-09-10,12568.0,12727.0,12334.0,12375.0,271380
2019-09-11,12252.0,12725.0,12252.0,12633.0,286040
2019-09-16,12451.0,12528.0,12274.0,12434.0,176924
2019-09-17,12254.0,12373.0,12136.0,12237.0,237759
2019-09-18,12174.0,12352.0,12156.0,12237.0,160565
2019-09-19,12255.0,12373.0,12157.0,12178.0,159622
2019-09-20,12074.0,13278.0,12074.0,12515.0,1012557
2019-09-23,12449.0,12686.0,12334.0,12535.0,258839
2019-09-24,12430.0,12865.0,12392.0,12593.0,271332
2019-09-25,12527.0,12825.0,12372.0,12375.0,226100
2019-09-26,12429.0,12509.0,12156.0,12237.0,153383
2019-09-27,12076.0,12451.0,12076.0,12434.0,156572
2019-09-30,12334.0,12450.0,12036.0,12317.0,144603
2019-10-01,12117.0,12277.0,12040.0,12138.0,150629
2019-10-02,11956.0,12113.0,11956.0,12060.0,147318
2019-10-04,11997.0,12334.0,11900.0,12198.0,176579
2019-10-07,12097.0,12372.0,11976.0,11981.0,237222
2019-10-08,11901.0,12215.0,11880.0,12120.0,170625
2019-10-10,12040.0,12511.0,11978.0,12138.0,307154
2019-10-11,12174.0,12825.0,12095.0,12396.0,389481
2019-10-14,12509.0,12823.0,12409.0,12671.0,399580
2019-10-15,13220.0,13241.0,12667.0,12711.0,585651
2019-10-16,12907.0,12907.0,12650.0,12851.0,230539
2019-10-17,12826.0,13459.0,12631.0,12888.0,461756
2019-10-18,12787.0,12985.0,12648.0,12790.0,179219
2019-10-21,12568.0,12825.0,12429.0,12553.0,161115
2019-10-22,12509.0,12609.0,12213.0,12218.0,250556
2019-10-23,12137.0,12353.0,12057.0,12158.0,165489
2019-10-24,12175.0,12252.0,11818.0,12060.0,184905
2019-10-25,11938.0,12036.0,11855.0,11961.0,115005
2019-10-28,11917.0,12825.0,11858.0,12237.0,510969
2019-10-29,12313.0,12787.0,12115.0,12237.0,398403
2019-10-30,12215.0,12688.0,12176.0,12277.0,426307
2019-10-31,12351.0,12683.0,12272.0,12691.0,335908
2019-11-01,12807.0,12907.0,12570.0,12851.0,366276
2019-11-04,12967.0,13322.0,12730.0,12988.0,679818
2019-11-05,13160.0,13378.0,12805.0,13225.0,941811
2019-11-06,13316.0,13316.0,12390.0,12691.0,645514
2019-11-07,12725.0,14187.0,12391.0,12651.0,7012084
2019-11-08,12944.0,15748.0,12471.0,14112.0,15659741
2019-11-11,14149.0,15021.0,13439.0,14152.0,10434006
2019-11-12,14444.0,18393.0,14169.0,18396.0,28856572
2019-11-13,19713.0,19733.0,15687.0,15790.0,16626421
2019-11-14,15630.0,15767.0,14503.0,14645.0,4512373
2019-11-15,14404.0,15531.0,14309.0,14428.0,5673634
2019-11-18,14327.0,14561.0,13913.0,13996.0,1325550
2019-11-19,13993.0,14072.0,13481.0,13561.0,1215824
2019-11-20,13535.0,15472.0,13278.0,13659.0,16587261
2019-11-21,13970.0,14861.0,13340.0,13521.0,4411174
2019-11-22,13616.0,13930.0,12667.0,12732.0,1748303
2019-11-25,13161.0,13300.0,12806.0,12868.0,790258
2019-11-26,12787.0,13790.0,12766.0,13343.0,3950947
2019-11-27,13949.0,14050.0,13219.0,13225.0,1890822
2019-11-28,13159.0,13730.0,13061.0,13245.0,1766213
2019-11-29,13064.0,13321.0,12827.0,12851.0,538787
2019-12-02,12707.0,13024.0,12352.0,12355.0,523845
2019-12-03,12117.0,12472.0,12058.0,12120.0,383325
2019-12-04,11917.0,12275.0,11917.0,12218.0,263656
2019-12-05,12373.0,12667.0,12116.0,12178.0,381036
2019-12-06,12115.0,12274.0,12035.0,12257.0,212040
2019-12-09,12175.0,12391.0,12175.0,12355.0,201091
2019-12-10,12410.0,12906.0,12410.0,12593.0,654454
2019-12-11,12568.0,13618.0,12450.0,12908.0,1046612
2019-12-12,12884.0,12905.0,12508.0,12535.0,342138
2019-12-13,12864.0,12962.0,12586.0,12633.0,293739
2019-12-16,12669.0,13379.0,12569.0,12770.0,558018
2019-12-17,12688.0,12827.0,12570.0,12573.0,192409
2019-12-18,12568.0,13023.0,12468.0,12515.0,374069
2019-12-19,12451.0,12608.0,12431.0,12455.0,134282
2019-12-20,12409.0,12569.0,12353.0,12495.0,158671
2019-12-23,12590.0,12649.0,12253.0,12475.0,365075
2019-12-24,12413.0,12511.0,12117.0,12120.0,259802
2019-12-26,12040.0,12632.0,12040.0,12138.0,417126
2019-12-27,12134.0,12391.0,11835.0,11921.0,566978
2019-12-30,11918.0,11939.0,11247.0,11625.0,388643
2020-01-02,11522.0,11622.0,11306.0,11350.0,306236
2020-01-03,11346.0,11563.0,11326.0,11488.0,222202
2020-01-06,11268.0,11404.0,10854.0,10975.0,317740
2020-01-07,10970.0,11286.0,10772.0,10816.0,238932
2020-01-08,10674.0,10754.0,9923.0,10224.0,523765
2020-01-09,10341.0,10634.0,10341.0,10481.0,219256
2020-01-10,10516.0,10752.0,10474.0,10619.0,166464
2020-01-13,10613.0,10732.0,10554.0,10619.0,133821
2020-01-14,10534.0,10694.0,10534.0,10599.0,156617
2020-01-15,10614.0,10694.0,10555.0,10561.0,152161
2020-01-16,10496.0,10596.0,10496.0,10561.0,115852
2020-01-17,10475.0,10712.0,10475.0,10717.0,145587
2020-01-20,10833.0,11898.0,10753.0,11271.0,1337832
2020-01-21,11207.0,11207.0,10734.0,10796.0,300044
2020-01-22,10732.0,10891.0,10711.0,10738.0,118498
2020-01-23,10672.0,10731.0,10574.0,10677.0,156447
2020-01-28,9708.0,11625.0,9688.0,10324.0,946385
2020-01-29,10359.0,10534.0,10220.0,10501.0,180830
2020-01-30,10321.0,10874.0,10301.0,10422.0,244731
2020-01-31,10302.0,10536.0,10184.0,10184.0,162483
2020-02-03,9676.0,10121.0,9668.0,9987.0,223647
2020-02-04,10201.0,10280.0,10062.0,10263.0,106972
2020-02-05,10262.0,10457.0,10262.0,10461.0,156317
2020-02-06,10439.0,10576.0,10378.0,10561.0,100884
2020-02-07,10457.0,10634.0,10380.0,10481.0,103753
