date,open,high,low,close,volume
2020-11-12,11935.0,15513.0,10183.0,15513.0,58885942
2020-11-13,14837.0,19490.0,14136.0,14737.0,58144667
2020-11-16,15387.0,15888.0,14136.0,14212.0,11562535
2020-11-17,14411.0,14636.0,12659.0,12710.0,8350645
2020-11-18,12435.0,12810.0,11934.0,12385.0,3750022
2020-11-19,12560.0,13410.0,12359.0,12485.0,5385670
2020-11-20,12385.0,12585.0,12209.0,12285.0,1298335
2020-11-23,12360.0,12635.0,12084.0,12110.0,1421931
2020-11-24,12185.0,12185.0,11809.0,11835.0,1169682
2020-11-25,11859.0,11959.0,11208.0,11359.0,1512121
2020-11-26,11283.0,11859.0,11183.0,11359.0,1206147
2020-11-27,11358.0,11709.0,11283.0,11409.0,776167
2020-11-30,11259.0,11309.0,10958.0,10984.0,866400
2020-12-01,11034.0,11084.0,10658.0,10709.0,748648
2020-12-02,10809.0,10984.0,10633.0,10659.0,556304
2020-12-03,10708.0,10733.0,10332.0,10383.0,674571
2020-12-04,10433.0,11459.0,10233.0,10609.0,2241780
2020-12-07,10558.0,11309.0,10508.0,10884.0,1340321
2020-12-08,11009.0,11059.0,10558.0,10609.0,510139
2020-12-09,10633.0,10708.0,10432.0,10533.0,393816
2020-12-10,10558.0,10558.0,10332.0,10408.0,266435
2020-12-11,10432.0,10633.0,10432.0,10508.0,261399
2020-12-14,10332.0,10508.0,10307.0,10458.0,392062
2020-12-15,10583.0,10884.0,10583.0,10684.0,815631
2020-12-16,10759.0,10884.0,10608.0,10634.0,358137
2020-12-17,10683.0,10858.0,10507.0,10558.0,325449
2020-12-18,10608.0,10633.0,10407.0,10508.0,324681
2020-12-21,10558.0,10708.0,10357.0,10558.0,447583
2020-12-22,10508.0,10658.0,10307.0,10358.0,403302
2020-12-23,10358.0,10433.0,10083.0,10083.0,477000
2020-12-24,10083.0,10133.0,9857.0,9883.0,459524
2020-12-28,9883.0,10008.0,9507.0,9533.0,598043
2020-12-29,9557.0,9708.0,9532.0,9683.0,220560
2020-12-30,9808.0,9808.0,9682.0,9733.0,224421
2021-01-04,9457.0,9633.0,9357.0,9508.0,756869
2021-01-05,9482.0,9958.0,9432.0,9883.0,680612
2021-01-06,9858.0,9883.0,9708.0,9708.0,430193
2021-01-07,9733.0,9808.0,9683.0,9683.0,291296
2021-01-08,9683.0,9733.0,9532.0,9583.0,351321
2021-01-11,9582.0,9607.0,9231.0,9282.0,642173
2021-01-12,9282.0,9357.0,9156.0,9232.0,311840
2021-01-13,9181.0,9332.0,9056.0,9257.0,226802
2021-01-14,9357.0,9833.0,9282.0,9558.0,746370
2021-01-15,9507.0,9607.0,9331.0,9357.0,287171
2021-01-18,9432.0,9432.0,9081.0,9107.0,297922
2021-01-19,9082.0,9182.0,8881.0,9007.0,329591
2021-01-20,8981.0,9207.0,8981.0,9107.0,254051
2021-01-21,9232.0,9232.0,9031.0,9082.0,196492
2021-01-22,9082.0,9132.0,9006.0,9057.0,220776
2021-01-25,9082.0,9107.0,9006.0,9057.0,198311
2021-01-26,9081.0,9382.0,9056.0,9107.0,439446
2021-01-27,9182.0,9257.0,9056.0,9082.0,242305
2021-01-28,9057.0,9132.0,8906.0,8982.0,219820
