date,open,high,low,close,volume
2023-04-10,4765.0,5043.0,4765.0,4830.0,3498288
2023-04-11,4904.0,4904.0,4676.0,4880.0,1127844
2023-04-12,4885.0,4945.0,4815.0,4945.0,588808
2023-04-13,4939.0,4994.0,4894.0,4994.0,568017
2023-04-14,4974.0,5103.0,4959.0,5094.0,742485
2023-04-17,5084.0,5223.0,5044.0,5114.0,856453
2023-04-18,5114.0,5163.0,5074.0,5114.0,918624
2023-04-19,5113.0,5242.0,4974.0,5213.0,644292
2023-04-20,5153.0,5272.0,5073.0,5253.0,563956
2023-04-21,5253.0,5532.0,5193.0,5343.0,494925
2023-04-24,5392.0,5441.0,5193.0,5402.0,457252
2023-04-25,5392.0,5481.0,5302.0,5452.0,441982
2023-04-26,5451.0,5451.0,5292.0,5372.0,219235
2023-04-27,5352.0,5352.0,5103.0,5273.0,231414
2023-04-28,5212.0,5312.0,5163.0,5173.0,118932
2023-05-02,5243.0,5243.0,5114.0,5124.0,88087
2023-05-03,5093.0,5143.0,5024.0,5044.0,187536
2023-05-04,5044.0,5114.0,4984.0,5114.0,101519
2023-05-08,5104.0,5153.0,5054.0,5114.0,55353
2023-05-09,5114.0,5144.0,5044.0,5144.0,76402
2023-05-10,5143.0,5183.0,5074.0,5124.0,139160
2023-05-11,5124.0,5153.0,5074.0,5144.0,773757
2023-05-12,5163.0,5163.0,5114.0,5124.0,61682
2023-05-15,5113.0,5163.0,5064.0,5074.0,106188
2023-05-16,5074.0,5173.0,5074.0,5134.0,107753
2023-05-17,5133.0,5163.0,5084.0,5114.0,73498
2023-05-18,5114.0,5163.0,5084.0,5114.0,33482
2023-05-19,5114.0,5163.0,5094.0,5144.0,245545
2023-05-22,5163.0,5163.0,5084.0,5104.0,104542
2023-05-23,5103.0,5113.0,5074.0,5084.0,80131
2023-05-24,5074.0,5114.0,5074.0,5114.0,47221
2023-05-25,5103.0,5123.0,5074.0,5094.0,374330
2023-05-26,5094.0,5113.0,5044.0,5104.0,81306
2023-05-30,5113.0,5113.0,5044.0,5074.0,70266
2023-05-31,5073.0,5123.0,5044.0,5064.0,99196
2023-06-01,5064.0,5113.0,5034.0,5084.0,85331
2023-06-02,5093.0,5093.0,5044.0,5074.0,51766
2023-06-05,5074.0,5093.0,5054.0,5084.0,41561
