date,open,high,low,close,volume
2023-09-25,12045.0,23323.0,11027.0,17184.0,48232845
2023-09-26,19520.0,21456.0,16384.0,16384.0,14440013
2023-09-27,15148.0,17317.0,12846.0,12846.0,6974826
2023-10-04,12379.0,12379.0,9192.0,10077.0,2571747
2023-10-05,10310.0,12446.0,9609.0,10394.0,10031740
2023-10-06,10009.0,11094.0,10009.0,10160.0,1751024
2023-10-10,10360.0,10510.0,8408.0,8425.0,2053151
2023-10-11,8709.0,9193.0,8458.0,8559.0,1186142
2023-10-12,8642.0,9126.0,8492.0,8976.0,953607
2023-10-13,8841.0,8875.0,8124.0,8358.0,891885
2023-10-16,8425.0,8692.0,8108.0,8225.0,801156
2023-10-17,8559.0,8909.0,8408.0,8509.0,833075
2023-10-18,8308.0,8325.0,7424.0,7491.0,821115
2023-10-19,7390.0,7473.0,6889.0,6990.0,409062
2023-10-20,6840.0,6940.0,6520.0,6520.0,401228
2023-10-23,6622.0,7073.0,6385.0,6406.0,449995
2023-10-24,6453.0,6707.0,6096.0,6707.0,327686
2023-10-25,6756.0,6756.0,6082.0,6106.0,1544447
2023-10-26,5912.0,6305.0,5825.0,5989.0,1197842
2023-10-27,6136.0,6252.0,5935.0,6016.0,1259417
2023-10-30,5992.0,6195.0,5888.0,5939.0,569469
2023-10-31,6105.0,6265.0,5498.0,5555.0,908955
2023-11-01,5639.0,5776.0,5605.0,5716.0,295758
2023-11-02,5872.0,6242.0,5832.0,6109.0,787605
2023-11-03,6193.0,6193.0,5942.0,6103.0,417866
2023-11-06,6342.0,6606.0,6269.0,6546.0,1184371
2023-11-07,6546.0,6546.0,5842.0,5986.0,865291
2023-11-08,6029.0,6079.0,5656.0,5656.0,514397
2023-11-09,5608.0,5768.0,5545.0,5662.0,290184
2023-11-10,5612.0,5758.0,5368.0,5452.0,314575
2023-11-13,5498.0,5635.0,5164.0,5248.0,363819
2023-11-14,5388.0,5645.0,5318.0,5515.0,608311
2023-11-15,5621.0,5688.0,5471.0,5545.0,373723
2023-11-16,5504.0,5698.0,5364.0,5625.0,465669
2023-11-17,5622.0,5622.0,5328.0,5339.0,335538
