date,open,high,low,close,volume
2025-08-14,28848.0,32751.0,27581.0,31283.0,20035508
2025-08-18,31016.0,40655.0,30916.0,40655.0,3750141
2025-08-19,43356.0,47525.0,39788.0,42122.0,4294794
2025-08-20,40088.0,41155.0,35085.0,39521.0,1988393
2025-08-21,39454.0,41022.0,34385.0,35018.0,1176147
2025-08-22,34718.0,37653.0,34218.0,35552.0,991312
2025-08-25,35952.0,46191.0,35852.0,46191.0,2980784
2025-08-26,50493.0,50894.0,45357.0,46124.0,2024892
2025-08-27,46925.0,55029.0,45357.0,52828.0,4415056
2025-08-28,51561.0,57230.0,49059.0,53395.0,2464316
2025-08-29,53362.0,57030.0,52761.0,55063.0,1457575
2025-09-01,54329.0,54629.0,47659.0,49026.0,952818
2025-09-02,50127.0,51861.0,47425.0,48692.0,996328
2025-09-03,49893.0,54696.0,49159.0,49593.0,1734772
2025-09-04,51194.0,51727.0,49360.0,49593.0,433490
2025-09-05,50060.0,50193.0,47725.0,48126.0,450869
2025-09-08,47559.0,47692.0,45057.0,45324.0,474838
2025-09-09,44357.0,45691.0,43523.0,44890.0,470970
2025-09-10,45924.0,58331.0,45791.0,56597.0,3070238
2025-09-11,55196.0,57097.0,53929.0,55329.0,1039313
2025-09-12,54662.0,61199.0,53228.0,57130.0,2367910
2025-09-15,53962.0,67870.0,53395.0,66369.0,5391181
2025-09-16,67036.0,70871.0,64234.0,65502.0,1588463
2025-09-17,67703.0,72372.0,65802.0,70704.0,1775547
2025-09-18,71872.0,73873.0,69037.0,71038.0,899019
2025-09-19,71205.0,78709.0,70371.0,78042.0,1548060
2025-09-22,77708.0,79542.0,71371.0,77708.0,2832547
2025-09-23,78375.0,82711.0,76207.0,78375.0,1949345
2025-09-24,77541.0,80710.0,72372.0,76041.0,1812196
2025-09-25,75707.0,76874.0,68870.0,69704.0,1580352
2025-09-26,68870.0,72372.0,67703.0,70037.0,1292829
2025-09-29,70538.0,74707.0,68203.0,69370.0,1364103
2025-09-30,77875.0,82711.0,71705.0,72872.0,5804106
2025-10-01,71705.0,74540.0,66636.0,67369.0,1907074
2025-10-02,67369.0,70037.0,65402.0,66869.0,1499507
2025-10-10,67536.0,67870.0,61166.0,65301.0,2005813
2025-10-13,63367.0,66369.0,62667.0,63267.0,807664
2025-10-14,63867.0,66402.0,62733.0,63534.0,971591
2025-10-15,64968.0,66269.0,63067.0,63867.0,830041
2025-10-16,63367.0,63667.0,57197.0,57364.0,2506678
2025-10-17,56697.0,59798.0,55363.0,55463.0,1237035
2025-10-20,55463.0,57497.0,54362.0,55196.0,906685
2025-10-21,55363.0,55830.0,52061.0,53028.0,1202422
2025-10-22,55029.0,65602.0,53895.0,56864.0,6904161
2025-10-23,57797.0,61199.0,57097.0,59932.0,2457885
2025-10-24,59999.0,59999.0,57064.0,57164.0,1242276
2025-10-27,57164.0,61900.0,55263.0,61599.0,2060015
2025-10-28,61599.0,61700.0,58431.0,58631.0,1022135
2025-10-29,59065.0,60999.0,57597.0,58031.0,1278191
2025-10-30,58131.0,59498.0,56663.0,58998.0,829120
2025-10-31,57497.0,57497.0,55063.0,55696.0,1883512
2025-11-03,55663.0,62200.0,55263.0,60532.0,2650792
2025-11-04,60732.0,63100.0,59031.0,61700.0,2412972
2025-11-05,69700.0,73300.0,61500.0,61700.0,1785051
2025-11-06,61800.0,64100.0,59000.0,59300.0,534298
2025-11-07,58000.0,68400.0,57000.0,65100.0,1716911
2025-11-10,67300.0,84500.0,66700.0,74700.0,3436717
2025-11-11,74300.0,94000.0,70900.0,89600.0,6164652
2025-11-12,88700.0,93500.0,86100.0,89500.0,2570879
2025-11-13,89600.0,107700.0,86100.0,92200.0,3790581
2025-11-14,88800.0,99200.0,88500.0,94700.0,1568272
2025-11-17,95600.0,103300.0,94100.0,97900.0,1310864
2025-11-18,98400.0,100700.0,91700.0,97900.0,975234
2025-11-19,97000.0,99400.0,92700.0,95000.0,612383
2025-11-20,94000.0,98200.0,92700.0,93300.0,647916
2025-11-21,80200.0,88200.0,80100.0,83700.0,1313931
2025-11-24,83800.0,91000.0,77000.0,80000.0,1425896
2025-11-25,75100.0,80900.0,73500.0,77000.0,2784512
2025-11-26,78800.0,81800.0,77700.0,79300.0,1637267
2025-11-27,79700.0,81000.0,73900.0,74100.0,1581393
2025-11-28,75000.0,85700.0,74900.0,84200.0,3731332
2025-12-01,84300.0,84400.0,81200.0,83000.0,1303839
2025-12-02,81300.0,85800.0,75100.0,83500.0,3076372
2025-12-03,83700.0,91300.0,82300.0,87400.0,3728585
2025-12-04,87400.0,94500.0,86400.0,89000.0,2105878
2025-12-05,89000.0,90200.0,80100.0,80800.0,1871371
2025-12-08,81900.0,82600.0,75900.0,76400.0,1211402
2025-12-09,77400.0,79000.0,76000.0,77000.0,652773
2025-12-10,76300.0,78500.0,74300.0,77200.0,876044
2025-12-11,78400.0,80100.0,76900.0,77100.0,886809
2025-12-12,76900.0,78200.0,74200.0,75000.0,742948
